Name;Region;Volume
Ile-de-France;R11;11938714
Champagne-Ardenne;R21;1373935
Picardie;R22;1962150
Haute-Normandie;R23;1879146
Centre;R24;2619613
Basse-Normandie;R25;1518103
Bourgogne;R26;1693742
Nord-Pas-de-Calais;R31;4107148
Lorraine;R41;2406524
Alsace;R42;1880860
Franche-Comté;R43;1208268
Pays de la Loire;R52;3676582
Brittany - Bretagne;R53;3301802
Poitou-Charentes;R54;1824367
Aquitaine;R72;3321058
Midi-Pyrénées;R73;2964308
Limousin;R74;764935
Rhône-Alpes;R82;6384816
Auvergne;R83;1388779
Languedoc-Roussillon;R91;2693275
Provence Alpes Côte-d'Azur (PACA);R93;4984058
Corsica (Corse);R94;314867
