iteration,score,learning_rate,max_depth,min_child_weight,colsample_bynode,subsample,reg_lambda,reg_alpha,objective,tree_method,eval_metric
591.0,0.4122237029506041,0.01,3,0.0,0.8,0.8,0,1,binary:logistic,hist,logloss
591.0,0.4122237029506041,0.01,3,0.0001,0.8,0.8,0,1,binary:logistic,hist,logloss
576.0,0.41227015319415605,0.01,3,0.0,0.8,0.8,1,0,binary:logistic,hist,logloss
576.0,0.41227015319415605,0.01,3,0.0001,0.8,0.8,1,0,binary:logistic,hist,logloss
702.0,0.4123021330869311,0.01,3,0.0,1.0,0.8,1,2,binary:logistic,hist,logloss
702.0,0.4123021330869311,0.01,3,0.0001,1.0,0.8,1,2,binary:logistic,hist,logloss
582.0,0.412316813608305,0.01,3,0.0001,0.8,0.8,1,1,binary:logistic,hist,logloss
582.0,0.412316813608305,0.01,3,0.0,0.8,0.8,1,1,binary:logistic,hist,logloss
662.0,0.41232366232917583,0.01,3,0.0,0.8,0.8,0,2,binary:logistic,hist,logloss
662.0,0.41232366232917583,0.01,3,0.0001,0.8,0.8,0,2,binary:logistic,hist,logloss
581.0,0.41241439749014097,0.01,3,0.0,1.0,0.8,2,1,binary:logistic,hist,logloss
581.0,0.41241439749014097,0.01,3,0.0001,1.0,0.8,2,1,binary:logistic,hist,logloss
612.0,0.4124183830939784,0.01,3,0.0001,0.8,0.8,2,1,binary:logistic,hist,logloss
612.0,0.4124183830939784,0.01,3,0.0,0.8,0.8,2,1,binary:logistic,hist,logloss
702.0,0.4124419009291079,0.01,3,0.0001,1.0,0.8,2,2,binary:logistic,hist,logloss
702.0,0.4124419009291079,0.01,3,0.0,1.0,0.8,2,2,binary:logistic,hist,logloss
580.0,0.4124434891999176,0.01,3,0.0,1.0,0.8,0,1,binary:logistic,hist,logloss
580.0,0.4124434891999176,0.01,3,0.0001,1.0,0.8,0,1,binary:logistic,hist,logloss
702.0,0.41244708935029273,0.01,3,0.0001,0.8,0.8,1,2,binary:logistic,hist,logloss
702.0,0.41244708935029273,0.01,3,0.0,0.8,0.8,1,2,binary:logistic,hist,logloss
580.0,0.4124825382623739,0.01,3,0.0,0.8,0.8,2,0,binary:logistic,hist,logloss
580.0,0.4124825382623739,0.01,3,0.0001,0.8,0.8,2,0,binary:logistic,hist,logloss
