iteration,score,learning_rate,max_depth,min_child_weight,colsample_bynode,subsample,reg_lambda,reg_alpha,objective,tree_method,eval_metric
394.0,9.736302970126939,0.03,4,0.0001,0.8,1.0,2,2,reg:gamma,hist,gamma-nloglik
394.0,9.736302970126939,0.03,4,0.0,0.8,1.0,2,2,reg:gamma,hist,gamma-nloglik
387.0,9.738972129468417,0.03,4,0.0001,0.8,1.0,1,2,reg:gamma,hist,gamma-nloglik
387.0,9.738972129468417,0.03,4,0.0,0.8,1.0,1,2,reg:gamma,hist,gamma-nloglik
428.0,9.739509078385074,0.03,4,0.0001,1.0,1.0,2,0,reg:gamma,hist,gamma-nloglik
428.0,9.739509078385074,0.03,4,0.0,1.0,1.0,2,0,reg:gamma,hist,gamma-nloglik
429.0,9.739770997515299,0.03,4,0.0001,1.0,1.0,1,1,reg:gamma,hist,gamma-nloglik
429.0,9.739770997515299,0.03,4,0.0,1.0,1.0,1,1,reg:gamma,hist,gamma-nloglik
428.0,9.73994307671526,0.03,4,0.0001,1.0,1.0,1,2,reg:gamma,hist,gamma-nloglik
428.0,9.73994307671526,0.03,4,0.0,1.0,1.0,1,2,reg:gamma,hist,gamma-nloglik
436.0,9.74111986024233,0.03,4,0.0,1.0,1.0,0,2,reg:gamma,hist,gamma-nloglik
436.0,9.74111986024233,0.03,4,0.0001,1.0,1.0,0,2,reg:gamma,hist,gamma-nloglik
383.0,9.741364555165074,0.03,4,0.0,0.8,1.0,0,2,reg:gamma,hist,gamma-nloglik
383.0,9.741364555165074,0.03,4,0.0001,0.8,1.0,0,2,reg:gamma,hist,gamma-nloglik
405.0,9.741406340309421,0.03,4,0.0001,0.8,1.0,0,1,reg:gamma,hist,gamma-nloglik
405.0,9.741406340309421,0.03,4,0.0,0.8,1.0,0,1,reg:gamma,hist,gamma-nloglik
400.0,9.742573090638404,0.03,4,0.0,0.8,1.0,2,0,reg:gamma,hist,gamma-nloglik
