"Vandalism","Fire","Lightning","Wind","Hail","Vehicle","WaterNW","WaterW","Misc","Loss","Description"
0,0,1,0,0,0,0,0,0,6838.87,"lightning damage                                  "
0,0,1,0,0,0,0,0,0,2085,"lightning damage at Comm. Center                  "
0,0,1,0,0,0,0,0,0,11335,"lightning damage at water tower                   "
0,0,1,0,0,0,0,0,0,1480,"lightning damge to radio tower                    "
1,0,0,0,0,0,0,0,0,600,"vandalism damage at recycle center                "
1,0,0,0,0,0,0,0,0,8775,"surveillance equipment stolen                     "
0,0,0,1,0,0,0,0,0,34610.27,"wind blew stack off and damaged roof              "
0,0,1,0,0,0,0,0,0,2860.64,"Lightning Surge                                   "
0,0,0,0,0,1,0,0,0,9711.28,"forklift hit building damaging wall and door frame"
0,0,0,0,0,0,0,0,1,6279.16,"power surge damage at courthouse                  "
0,0,0,0,0,0,0,1,0,1942.67,"water damage at courthouse                        "
0,0,1,0,0,0,0,0,0,4781.25,"lightning damage at Port Wing Tower               "
0,0,0,0,0,0,0,0,1,32733.44,"mercury spill at County Health Dept.              "
0,0,1,0,0,0,0,0,0,33605.39,"lightning damage to tower                         "
0,0,0,1,0,0,0,0,0,7642.16,"wind damage to radio tower                        "
0,0,0,0,0,1,0,0,0,1352.88,"vehicle hit and damaged pole at fairgrounds       "
0,0,1,0,0,0,0,0,0,10323.5,"Lightning hit Barnes Tower                        "
0,0,1,0,0,0,0,0,0,4336.55,"lightning damage to elevator at sheriff's dept.   "
0,0,1,0,0,0,0,0,0,16609,"lightning damage at Sheriff's Dept.               "
0,0,1,0,0,0,0,0,0,119634.28,"lightning damage at Comm. Center                  "
0,0,1,0,0,0,0,0,0,3425.56,"lightning damage at Hwy. Dept.                    "
0,0,1,0,0,0,0,0,0,27480.88,"air conditioning unit damaged                     "
0,0,1,0,0,0,0,0,0,540,"lightning damage                                  "
0,0,1,0,0,0,0,0,0,2675,"lightning damage at courthouse                    "
0,0,1,0,0,0,0,0,0,44845.82,"lightning damage                                  "
0,0,0,0,0,1,0,0,0,2250,"washer damaged by truck                           "
0,0,0,0,0,0,0,1,0,713.15,"storm damaged controller at courthouse            "
0,0,0,0,0,1,0,0,0,1762,"tank damaged by plow                              "
0,0,1,0,0,0,0,0,0,10252.69,"lightning damage at courthouse                    "
0,0,0,0,0,1,0,0,0,3469.79,"light pole damaged                                "
0,0,0,0,0,0,1,0,0,5474.3,"water damage from broken pipe                     "
1,0,0,0,0,0,0,0,0,2630,"AGT equipment damaged                             "
1,0,0,0,0,0,0,0,0,126,"glass breakage at jail entrance                   "
0,0,0,0,0,0,0,0,1,14854.47,"vaccines destroyed                                "
0,0,1,0,0,0,0,0,0,2499.59,"lightning damage at courthouse                    "
0,0,0,1,0,0,0,0,0,35000,"wind damaged roof on hwy bldg                     "
0,0,0,0,0,0,1,0,0,1487,"water damage at MLK Jr. Blvd.                     "
0,0,0,0,0,1,0,0,0,4274.12,"toll booth damaged at airport                     "
1,0,0,0,0,0,0,0,0,1835.07,"vandalism at Badger Prairie Park                  "
0,0,0,0,0,0,0,0,1,892,"elevator damaged at Alliant Energy                "
0,0,1,0,0,0,0,0,0,3281.37,"lightning damage at PSB                           "
0,0,0,0,0,0,1,0,0,16259.97,"water damage at courthouse                        "
0,0,0,0,0,0,0,1,0,2295.05,"water damage                                      "
0,0,0,0,0,0,0,1,0,7953.28,"water damage at LETC                              "
1,0,0,0,0,0,0,0,0,534,"theft at Token Creek                              "
0,0,0,0,0,0,1,0,0,736.63,"sewer back up at PSP                              "
1,0,0,0,0,0,0,0,0,7711,"window broken at courthouse                       "
0,0,0,0,0,1,0,0,0,1655,"arrow board damaged                               "
1,0,0,0,0,0,0,0,0,2599,"video equip stolen                                "
1,0,0,0,0,0,0,0,0,629,"theft at park shelter at Token Creek              "
0,0,0,0,0,0,0,1,0,1194.9,"water damage at zoo                               "
1,0,0,0,0,0,0,0,0,1936,"vandalism damage at courthouse                    "
0,0,0,0,0,0,0,1,0,28227,"water damaged pumps at zoo                        "
0,0,1,0,0,0,0,0,0,3299.12,"lightning damage                                  "
0,0,1,0,0,0,0,0,0,24593.15,"lightning damage at airport                       "
0,0,0,0,0,0,1,0,0,3511.14,"water damage at PSB                               "
0,0,0,1,0,0,0,0,0,21719.61,"wind damage at Alliant Energy Center              "
0,0,0,0,0,0,0,1,0,264021.36,"water damage at Courthouse                        "
0,0,0,0,0,1,0,0,0,2430,"building damaged by vehicle                       "
0,0,1,0,0,0,0,0,0,7375,"lightning damage to terminal                      "
0,0,0,0,0,0,1,0,0,1414,"water damage at zoo                               "
0,0,1,0,0,0,0,0,0,1289.65,"lightning damage at airport                       "
0,0,0,0,0,1,0,0,0,4879.11,"siren damaged                                     "
0,0,0,0,0,0,0,1,0,3644.28,"ice dam damage at hwy. garage                     "
0,0,0,0,0,0,0,0,1,6971.42,"power surge at PSB Madison                        "
1,0,0,0,0,0,0,0,0,1337,"laptop theft                                      "
0,0,0,0,0,0,0,0,1,7042.29,"food spoilage at CFS                              "
0,0,0,0,0,1,0,0,0,1375.76,"door damage at AEC                                "
0,0,0,0,0,1,0,0,0,5765,"glass damage at airport                           "
0,0,0,0,0,0,1,0,0,645.9,"water damage at DCRA terminal                     "
0,0,0,0,0,1,0,0,0,2935.2,"exit plaza damage at airport                      "
0,0,0,0,0,0,0,1,0,8220.5,"water pipes froze & broke Airport                 "
0,0,1,0,0,0,0,0,0,9915.42,"lightning damaged radios                          "
0,0,0,1,0,0,0,0,0,3354,"roof damage at Zoo                                "
0,0,0,0,0,1,0,0,0,846,"fence dmgd by hit and run vehicle                 "
0,0,0,0,0,1,0,0,0,28670,"garage door damaged by vehicle                    "
0,0,0,0,0,1,0,0,0,3150,"sign damged when struck by bus                    "
0,0,0,1,0,0,0,0,0,1,"high winds damaged trees at zoo                   "
0,0,0,1,0,0,0,0,0,75848.64,"storm damage at zoo                               "
0,0,1,0,0,0,0,0,0,1250,"Primate Building lightning damage                 "
0,0,0,0,0,0,0,1,0,6369.39,"water damage at Job Center                        "
0,0,0,1,0,0,0,0,0,2000,"high winds damaged trees at zoo                   "
1,0,0,0,0,0,0,0,0,1002,"glass vandalism at MLK Bldg                       "
0,0,0,0,0,0,0,0,1,16500.88,"security system dmgd by electrical surge          "
0,0,0,0,0,0,0,1,0,3641.26,"runway lights damaged during rain storm           "
0,0,0,0,0,1,0,0,0,905,"fence damaged at airport                          "
0,0,0,0,0,1,0,0,0,1550,"arrow board damaged                               "
0,0,0,0,0,1,0,0,0,746,"airport fence damaged by vehicle                  "
0,0,0,0,0,1,0,0,0,8745,"highway arrowboard damaged                        "
0,0,1,0,0,0,0,0,0,6552,"control panel and transducer damaged by lightning "
0,0,1,0,0,0,0,0,0,1000,"tree struck and damaged by lightning              "
1,0,0,0,0,0,0,0,0,1878,"resident pushed out and broke window              "
0,0,0,0,0,0,1,0,0,3077,"water damage to condo plats and cabinet           "
0,0,1,0,0,0,0,0,0,3278.5,"card access controller hit by electrical charge   "
0,0,1,0,0,0,0,0,0,14478.17,"lightning/hail damage to equip at airport         "
0,0,1,0,0,0,0,0,0,2255,"Lightning struck airport analog boards            "
0,0,0,0,0,1,0,0,0,4785.16,"well damaged by truck                             "
0,0,0,0,0,0,1,0,0,19170,"control panel damaged by water leak               "
1,0,0,0,0,0,0,0,0,6300,"Electrical wire stolen off of poles               "
1,0,0,0,0,0,0,0,0,3948,"AEC Barn 1 masonry wall damaged                   "
1,0,0,0,0,0,0,0,0,1360,"vandalism to Badger Shelter                       "
0,0,0,0,0,0,0,0,1,1678,"Employee fell thru glass window                   "
1,0,0,0,0,0,0,0,0,2147,"broken window in skywalk stairwell                "
0,0,1,0,0,0,0,0,0,4485,"lightning damage to fire alarm system             "
0,0,0,0,0,0,0,1,0,8548.44,"snow damaged jetbridge control panels             "
1,0,0,0,0,0,0,0,0,2483.43,"Camrock Park shelter vandalized                   "
0,0,0,0,0,0,0,0,1,4063,"network and phone lines cut                       "
0,0,0,1,0,0,0,0,0,9726.08,"wind damage                                       "
0,0,0,1,0,0,0,0,0,2127.88,"wind damage at hwy shop                           "
0,0,0,1,0,0,0,0,0,8315.25,"storm damage at airport                           "
0,0,1,0,0,0,0,0,0,1284.3,"lightning damage to 911 system                    "
0,0,0,0,0,1,0,0,0,1054,"garage door damage at Ledge Park                  "
0,1,0,0,0,0,0,0,0,835.36,"fire damage at Clearview Park                     "
0,0,0,0,0,0,0,1,0,4931.1,"frozen coils at highway shop                      "
0,0,0,1,0,0,0,0,0,2641.32,"wind damage at Clearview                          "
0,0,1,0,0,0,0,0,0,2355.91,"lightning damage at Ledge Park                    "
0,0,1,0,0,0,0,0,0,3758.65,"lightning damage at Clearview                     "
0,0,1,0,0,0,0,0,0,28181.13,"lightning damage                                  "
0,0,0,0,0,0,0,1,0,3460.32,"water damage (back up)                            "
1,0,0,0,0,0,0,0,0,5866.08,"items stolen from vehicle                         "
0,0,0,1,0,0,0,0,0,3600,"wind damage to building                           "
0,0,0,0,0,0,0,0,1,25389.31,"power surge damaged bldg components               "
0,0,1,0,0,0,0,0,0,6618.65,"power surge damaged generator, circuits           "
0,0,1,0,0,0,0,0,0,2762.5,"lightning damage to sign, taxiway, circuit board  "
0,0,1,0,0,0,0,0,0,25159.44,"power surge to electrical panel/circuits          "
0,0,0,0,0,0,0,0,1,179.55,"camera damaged                                    "
0,0,1,0,0,0,0,0,0,5873,"lightning damage at Sampson Road                  "
0,0,0,0,0,0,0,0,1,444,"screen damaged                                    "
0,0,0,0,0,1,0,0,0,500,"wall damage at Hwy 16                             "
0,0,0,1,0,0,0,0,0,1256.55,"wind damage at fairgrounds                        "
0,0,0,0,0,1,0,0,0,395,"PBT damaged                                       "
0,0,0,0,0,0,0,1,0,11846.52,"water damage at Health Care Center                "
0,0,1,0,0,0,0,0,0,2277.71,"lightning damage at health center                 "
0,0,0,0,0,1,0,0,0,8638,"building & door damaged                           "
0,0,0,0,0,0,0,0,1,1707.75,"radio damaged                                     "
0,0,0,0,0,1,0,0,0,2350,"garage door damaged at Hwy Dept                   "
0,0,0,0,0,0,0,0,1,13905,"surveillance system missing                       "
0,0,0,0,0,0,0,1,0,1125,"gutters collapsed at Health & Human Svcs          "
0,0,0,0,0,0,0,1,0,25472.23,"storm damage at Health Care Center                "
0,0,0,1,0,0,0,0,0,3130,"wind damage to garage                             "
0,0,0,1,0,0,0,0,0,4500,"wind damage at Health Center                      "
1,0,0,0,0,0,0,0,0,1360.48,"fuel system damaged                               "
0,0,0,0,0,0,1,0,0,1534.35,"police radio damaged                              "
0,0,0,0,0,1,0,0,0,1839.91,"truck hit garage door                             "
0,0,1,0,0,0,0,0,0,1572.4,"lightning damage to scale                         "
0,0,1,0,0,0,0,0,0,25344.7,"lightning damage at jail                          "
0,0,0,0,0,0,0,1,0,4105.88,"water damage HCC                                  "
0,0,1,0,0,0,0,0,0,5388.42,"lightning damage at Admin Bldg                    "
0,0,1,0,0,0,0,0,0,1000,"lightning damage to answering service             "
0,0,0,0,0,1,0,0,0,7985,"waste hauling truck hit insured vehicle           "
0,0,0,0,0,1,0,0,0,7364.95,"vehicle hit outside wall to breakroom             "
0,0,0,0,0,1,0,0,0,1200,"broke fiberglass top on tree branch               "
0,0,0,0,0,0,0,0,1,2935,"ice/snow fell from roof onto canopy               "
0,0,0,0,0,1,0,0,0,1000,"truck poked small hole in building                "
0,0,0,1,0,0,0,0,0,2000,"high winds bent fence gate                        "
0,0,0,1,0,0,0,0,0,1000,"wind twisted of TV antenna mount at comm. tower   "
0,0,1,0,0,0,0,0,0,13632.5,"lightning damage to tower & equipment             "
0,0,1,0,0,0,0,0,0,144.9,"lightning damage                                  "
1,0,0,0,0,0,0,0,0,636,"Jail vandalism                                    "
0,0,0,0,0,0,0,0,1,190,"cell phone damaged                                "
1,0,0,0,0,0,0,0,0,245.85,"theft of wire at fairgrounds                      "
0,0,0,0,0,0,0,0,1,3717.22,"power surge damage at Judicial Center             "
0,0,0,0,0,1,0,0,0,7783.64,"garage door damaged                               "
1,0,0,0,0,0,0,0,0,915.79,"vandalism damage at jail                          "
1,0,0,0,0,0,0,0,0,132.56,"broken window                                     "
0,0,0,1,0,0,0,0,0,1728,"tarp damaged at hwy shop                          "
1,0,0,0,0,0,0,0,0,2367.51,"window broken                                     "
0,0,0,1,0,0,0,0,0,35451.69,"storm damage                                      "
0,0,0,0,1,0,0,0,0,2975,"hail damage Pineview Park                         "
1,0,0,0,0,0,0,0,0,192.23,"vandalism damage                                  "
1,0,0,0,0,0,0,0,0,265.99,"park equipment stolen                             "
1,0,0,0,0,0,0,0,0,1585,"window damaged at jail                            "
1,0,0,0,0,0,0,0,0,600,"glass vandalism at rec park                       "
0,0,0,0,0,1,0,0,0,286.95,"equipment damaged by vehicle                      "
0,0,0,0,0,1,0,0,0,858,"vehicle hit outlet box and pole                   "
1,0,0,0,0,0,0,0,0,1000,"many rocks thrown through windows-door kicked in  "
1,0,0,0,0,0,0,0,0,1775,"rocks and bricks thrown threw windows             "
1,0,0,0,0,0,0,0,0,1000,"rocks thrown threw several windows                "
0,0,0,0,0,1,0,0,0,4140.75,"wheel loader damaged overhead door, frame         "
0,0,0,0,0,1,0,0,0,357.95,"camera left on car, fell to ground and broke      "
0,0,1,0,0,0,0,0,0,44628.76,"lightning damage at airport                       "
0,1,0,0,0,0,0,0,0,146083.94,"fire damage to house                              "
0,0,1,0,0,0,0,0,0,11826.12,"lightning damage at Fall Creek tower              "
0,1,0,0,0,0,0,0,0,106141.84,"fire & smoke damage at courthouse                 "
0,0,0,0,0,0,1,0,0,9648.62,"broken drain pipe dmgd copy machine               "
0,0,1,0,0,0,0,0,0,5451.19,"lightning damage at safety building               "
1,0,0,0,0,0,0,0,0,2500,"broken glass, intercom and television             "
0,0,1,0,0,0,0,0,0,8489.35,"lightning struck and destroyed tank, dmgd clock   "
0,0,0,0,0,0,0,1,0,7507.81,"water damage at courthouse                        "
0,0,0,0,0,0,0,1,0,28756.67,"water damage-Courthouse                           "
0,0,1,0,0,0,0,0,0,2515,"lightning damage at hwy dept.                     "
1,0,0,0,0,0,0,0,0,1971.18,"theft of laptop                                   "
0,0,1,0,0,0,0,0,0,596.82,"lightning damage at courthouse                    "
0,0,1,0,0,0,0,0,0,10934.73,"lightning damage at Crandon Pit                   "
0,0,0,1,0,0,0,0,0,4500,"wind damage at Social Services                    "
0,0,0,0,0,0,0,1,0,2440.21,"water damage at courthouse                        "
0,0,1,0,0,0,0,0,0,42213.37,"lightning damage                                  "
0,0,1,0,0,0,0,0,0,13378.32,"lightning damage to radio tower                   "
0,0,1,0,0,0,0,0,0,31633.55,"lightning damage                                  "
0,0,1,0,0,0,0,0,0,25446.84,"lightning damage                                  "
0,0,1,0,0,0,0,0,0,8045.88,"lightning damage to control equip & fire alarm    "
0,0,1,0,0,0,0,0,0,8378.61,"lightning dmg to several items at Courthouse      "
0,0,0,0,0,0,0,0,1,4447.29,"power surge at LEC                                "
0,0,0,0,0,1,0,0,0,985,"garage door damaged                               "
1,0,0,0,0,0,0,0,0,1044,"laptop damaged at WIC                             "
0,0,1,0,0,0,0,0,0,13283.12,"lightning damage at Orchard Manor                 "
0,1,0,0,0,0,0,0,0,624.85,"fire & smoke damage at Admin Office               "
0,0,0,0,1,0,0,0,0,376255.81,"hail damage at multiple sites                     "
0,0,0,0,0,1,0,0,0,800,"car drove through standing water                  "
0,0,1,0,0,0,0,0,0,638.67,"lightning damage to phone service                 "
0,0,0,0,0,0,0,0,1,9952.86,"alarm failed, spoilage of vaccine supply          "
0,0,1,0,0,0,0,0,0,758.44,"lightning damage at Ogden Street                  "
1,0,0,0,0,0,0,0,0,612.82,"theft from Coroner's van                          "
0,0,0,0,0,1,0,0,0,6344,"light pole damaged                                "
0,0,0,0,0,0,1,0,0,4333.65,"Water Damage - Courthouse                         "
0,0,0,0,0,1,0,0,0,3356.11,"transformer damaged at fairgrounds                "
0,0,0,0,0,0,0,0,1,13131,"optic lines damaged at Human Svcs                 "
0,0,0,0,0,1,0,0,0,5850,"fence gate damaged at fair grounds                "
0,0,1,0,0,0,0,0,0,4323.88,"lightning damage at nursing home                  "
0,0,1,0,0,0,0,0,0,27619.98,"lightning damage to electronics                   "
