brand;type;model;cubic_capacity;max_power;max_torque;seats;weight;max_engine_speed;seconds_to_100;top_speed;sports_car;tau
Austin;Rovermini;Ehlemayair;998;31;67;4;620;5000;19.5;129;0;23.33892191
Citroen;Visa;Baseclub;652;25;49;5;755;5500;26.2;125;0;34.13031837
Citroen;2CV;Specialton;602;21;39;4;585;5750;NA;115;0;28.64862971
Fiat;Panda;34;850;25;60;5;680;5250;32.3;125;0;32.84695632
Opel;Ascona2;LS1.6D;1598;41;96;5;1015;4600;21;143;0;35.00643433
Renault;R4;Berlinetl;845;21;56;4;695;4500;NA;115;0;37.04655656
Renault;R5;C;956;31;65;5;695;5750;19.3;137;0;27.88104718
Volkswagen;Golfdiesel;C/CL/GL;1588;40;100;5;900;4500;18.7;148;0;31.76630052
Volvo;300;34OBasesel;1596;40;100;5;1030;4800;20;140;0;36.40046677
Wartburg;Berline;WWLSSL;992;37;98;5;920;4250;NA;130;0;31.20940715
Daihatsu;Charade;TSDT;993;37;91;5;705;4800;NA;150;0;23.92192931
Ford;Escort;Custom;1117;37;83;5;790;5000;17.2;144;0;27.60642426
Innocenti;S;SLSE;993;38;75;5;670;5600;17.4;145;0;22.13604433
Lada;1200;Economyn;1198;44;87;5;970;5600;NA;140;0;29.0071299
Peugeot;205;XE1.0;954;33;69;5;785;6000;18.8;134;0;29.56747975
Skoda;Type 130;LLXGLS;1289;43;103;5;885;5000;15;150;0;27.58097039
Talbot;Samba;Lssympahia;1124;37;82;4;740;4800;18.2;143;0;24.04305962
Volkswagen;Jetta;C/C/GL;1595;55;125;5;900;5000;17.2;149;0;23.12818163
Volkswagen;Passatvant;C/CL;1297;44;100;5;985;5600;17.5;148;0;30.04623403
Volkswagen;Polo;CoachC/CL;1043;33;74;5;730;5600;19.5;142;0;28.11586795
Audi;80;Base;1588;40;100;5;980;4800;15.5;151;0;34.58997168
Ford;Sierra;Berline;1593;55;121;5;1030;4900;14.1;165;0;26.46061761
Mercedes;SerieW124;D25O;2437;66;154;5;1320;4600;16.2;175;0;31.42790093
Mitsubishi;Lancer;Break 18GLD;1796;60;108;5;1025;4500;NA;145;0;24.87257194
Nissan;Cherry;1.3DX1.SAR;1270;44;100;5;785;5600;14.4;155;0;23.81987116
Opel;Record;LSGLGLS3TD;2260;63;189;5;1245;4200;15;168;0;30.47385588
Rover;SD2;2400S;2393;68;193;5;1475;4200;16.1;165;0;33.93050159
Seat;Ibiza;1.2L;1193;46;88;5;900;5800;16;155;0;25.71676204
Toyota;Starlet;1000L;999;40;75;5;780;6000;NA;150;0;24.51870232
Zastava;Yugo;55L55GLS;1116;40;80;4;790;6000;NA;145;0;23.70016167
Fiat;Regata;70C;1301;50;100;5;890;5700;13.5;155;0;23.90896763
Lada;2105;GL;1452;55;106;5;1030;5600;NA;148;0;25.85459189
Lancia;Prisma;Turbodisel;1929;59;172;5;1015;4200;16;158;0;25.49873204
