Australia, Population size (abridged)	Last modified: 15 Mar 2019;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1921           0             62847.68        65851.28       128698.96
  1921           1             57777.30        60216.58       117993.88
  1921           2             56940.78        59047.16       115987.94
  1921           3             58272.29        60217.82       118490.11
  1921           4             58718.95        60773.16       119492.11
  1921           5             59887.79        61686.66       121574.45
  1921           6             61033.62        62332.64       123366.26
  1921           7             59455.12        60775.78       120230.90
  1921           8             57735.82        58806.14       116541.96
  1921           9             56180.87        57139.91       113320.78
  1921          10             54371.71        56003.21       110374.92
  1921          11             52719.21        54661.55       107380.76
  1921          12             51964.96        53089.46       105054.42
  1921          13             51180.98        51993.91       103174.89
  1921          14             49233.62        51185.66       100419.28
  1921          15             48232.89        50293.65        98526.54
  1921          16             46904.49        47973.97        94878.46
  1921          17             45554.90        46119.54        91674.44
  1921          18             45807.14        46115.80        91922.94
  1921          19             46120.55        46167.75        92288.30
  1921          20             46774.42        46332.58        93107.00
  1921          21             46227.13        44912.95        91140.08
  1921          22             45428.67        43293.79        88722.46
  1921          23             46195.72        42954.23        89149.95
  1921          24             47001.76        43296.31        90298.07
  1921          25             47266.36        44159.28        91425.64
  1921          26             47570.64        44656.86        92227.50
  1921          27             47788.80        45617.27        93406.07
  1921          28             47887.23        46382.42        94269.65
  1921          29             47147.58        46539.94        93687.52
  1921          30             45670.89        46347.92        92018.81
  1921          31             44973.40        46606.88        91580.28
  1921          32             44359.31        46164.01        90523.32
  1921          33             43065.26        44562.98        87628.24
  1921          34             41692.44        43273.56        84966.00
  1921          35             40793.53        42387.10        83180.63
  1921          36             39266.09        41072.10        80338.19
  1921          37             37331.03        38982.12        76313.15
  1921          38             36216.97        37642.84        73859.81
  1921          39             35748.24        37269.40        73017.64
  1921          40             35083.55        36743.64        71827.19
  1921          41             33439.10        35393.55        68832.65
  1921          42             31439.85        33470.34        64910.19
  1921          43             30082.91        32006.03        62088.94
  1921          44             29238.07        30928.20        60166.27
  1921          45             28636.18        30235.93        58872.11
  1921          46             27933.16        29627.90        57561.06
  1921          47             27194.14        28961.62        56155.76
  1921          48             26546.48        28789.54        55336.02
  1921          49             26167.75        28925.26        55093.01
  1921          50             25613.16        28844.26        54457.42
  1921          51             24763.40        27872.61        52636.01
  1921          52             23930.03        26656.94        50586.97
  1921          53             22745.10        25723.58        48468.68
  1921          54             21600.22        25122.51        46722.73
  1921          55             21160.67        24974.70        46135.37
  1921          56             20716.22        24504.19        45220.41
  1921          57             20160.54        23554.41        43714.95
  1921          58             19369.11        22539.88        41908.99
  1921          59             18430.07        21600.79        40030.86
  1921          60             17629.84        20702.55        38332.39
  1921          61             16384.70        19189.96        35574.66
  1921          62             15218.41        17571.85        32790.26
  1921          63             14528.24        16560.46        31088.70
  1921          64             13546.16        15607.73        29153.89
  1921          65             12185.81        14304.72        26490.53
  1921          66             10647.38        12471.41        23118.79
  1921          67              9261.40        10650.93        19912.33
  1921          68              8353.76         9380.59        17734.35
  1921          69              7810.61         8689.84        16500.45
  1921          70              7407.86         8111.97        15519.83
  1921          71              6848.71         7348.16        14196.87
  1921          72              6183.58         6532.83        12716.41
  1921          73              5837.71         5819.70        11657.41
  1921          74              5438.46         5270.44        10708.90
  1921          75              5009.27         4922.28         9931.55
  1921          76              4599.67         4556.92         9156.59
  1921          77              4151.24         3898.93         8050.17
  1921          78              3589.57         3430.15         7019.72
  1921          79              3177.32         3025.05         6202.37
  1921          80              3084.56         2952.73         6037.29
  1921          81              2602.36         2491.07         5093.43
  1921          82              2138.23         1961.51         4099.74
  1921          83              1907.48         1724.00         3631.48
  1921          84              1663.17         1509.27         3172.44
  1921          85              1428.45         1199.59         2628.04
  1921          86              1165.45          974.88         2140.33
  1921          87               906.46          838.88         1745.34
  1921          88               694.40          657.24         1351.64
  1921          89               547.79          488.76         1036.55
  1921          90               422.21          366.34          788.55
  1921          91               304.16          273.23          577.39
  1921          92               239.57          195.25          434.82
  1921          93               195.86          136.79          332.65
  1921          94               135.69          101.77          237.46
  1921          95                88.07           73.52          161.59
  1921          96                53.75           43.26           97.01
  1921          97                33.60           28.97           62.57
  1921          98                22.94           22.58           45.52
  1921          99                14.95           15.97           30.92
  1921         100                12.58           16.65           29.23
  1921         101                 8.76           11.01           19.77
  1921         102                 3.48            3.38            6.86
  1921         103                 1.95            2.54            4.49
  1921         104                 0.48            3.01            3.49
  1921         105                 0.00            1.38            1.38
  1921         106                 0.00            1.08            1.08
  1921         107                 0.00            0.92            0.92
  1921         108                 0.00            0.54            0.54
  1921         109                 0.00            0.46            0.46
  1921         110+                0.00            1.00            1.00
  1922           0             64647.12        67298.36       131945.48
  1922           1             61421.37        63919.73       125341.10
  1922           2             57309.04        59661.92       116970.96
  1922           3             56694.25        58744.66       115438.91
  1922           4             58093.42        59994.25       118087.67
  1922           5             58552.05        60600.00       119152.05
  1922           6             59738.08        61541.37       121279.45
  1922           7             60903.29        62204.11       123107.40
  1922           8             59360.27        60659.45       120019.72
  1922           9             57655.34        58707.40       116362.74
  1922          10             56109.04        57057.81       113166.85
  1922          11             54306.58        55902.47       110209.05
  1922          12             52658.63        54559.45       107218.08
  1922          13             51899.18        53004.93       104904.11
  1922          14             51108.22        51906.58       103014.80
  1922          15             49158.63        51102.47       100261.10
  1922          16             48151.23        50207.40        98358.63
  1922          17             46810.68        47864.38        94675.06
  1922          18             45450.41        46003.29        91453.70
  1922          19             45699.18        46000.00        91699.18
  1922          20             46000.00        46052.05        92052.05
  1922          21             46646.30        46200.00        92846.30
  1922          22             46109.86        44765.21        90875.07
  1922          23             45297.53        43151.23        88448.76
  1922          24             46047.12        42804.93        88852.05
  1922          25             46847.12        43145.48        89992.60
  1922          26             47100.82        44001.64        91102.46
  1922          27             47396.71        44495.89        91892.60
  1922          28             47601.64        45447.95        93049.59
  1922          29             47698.36        46197.53        93895.89
  1922          30             46958.63        46352.88        93311.51
  1922          31             45504.11        46150.41        91654.52
  1922          32             44802.47        46399.18        91201.65
  1922          33             44152.88        45955.34        90108.22
  1922          34             42857.81        44359.45        87217.26
  1922          35             41503.29        43052.88        84556.17
  1922          36             40603.29        42155.34        82758.63
  1922          37             39059.45        40856.99        79916.44
  1922          38             37106.58        38760.27        75866.85
  1922          39             36001.64        37401.64        73403.28
  1922          40             35551.23        37001.64        72552.87
  1922          41             34902.47        36501.64        71404.11
  1922          42             33260.27        35159.45        68419.72
  1922          43             31255.34        33205.75        64461.09
  1922          44             29904.93        31756.16        61661.09
  1922          45             29051.23        30652.05        59703.28
  1922          46             28452.88        29952.88        58405.76
  1922          47             27752.05        29351.23        57103.28
  1922          48             27003.29        28652.88        55656.17
  1922          49             26351.23        28497.53        54848.76
  1922          50             25951.23        28598.36        54549.59
  1922          51             25402.47        28500.82        53903.29
  1922          52             24553.70        27554.52        52108.22
  1922          53             23702.47        26304.11        50006.58
  1922          54             22506.58        25352.88        47859.46
  1922          55             21352.05        24750.41        46102.46
  1922          56             20900.82        24549.59        45450.41
  1922          57             20452.05        24052.88        44504.93
  1922          58             19901.64        23102.47        43004.11
  1922          59             19103.29        22053.70        41156.99
  1922          60             18152.88        21052.05        39204.93
  1922          61             17352.05        20152.88        37504.93
  1922          62             16106.58        18706.58        34813.16
  1922          63             14901.64        17053.70        31955.34
  1922          64             14202.47        16051.23        30253.70
  1922          65             13204.11        15052.88        28256.99
  1922          66             11854.52        13754.52        25609.04
  1922          67             10355.34        12006.58        22361.92
  1922          68              8953.70        10204.93        19158.63
  1922          69              8052.05         8952.88        17004.93
  1922          70              7500.82         8250.41        15751.23
  1922          71              7100.00         7701.64        14801.64
  1922          72              6552.05         6952.05        13504.10
  1922          73              5851.23         6101.64        11952.87
  1922          74              5500.00         5400.82        10900.82
  1922          75              5100.00         4851.23         9951.23
  1922          76              4651.23         4498.36         9149.59
  1922          77              4249.59         4152.05         8401.64
  1922          78              3801.64         3500.00         7301.64
  1922          79              3250.41         3050.41         6300.82
  1922          80              3160.45         2868.48         6028.93
  1922          81              2783.11         2602.45         5385.56
  1922          82              2354.08         2196.05         4550.13
  1922          83              1881.18         1702.48         3583.66
  1922          84              1657.55         1484.66         3142.21
  1922          85              1423.45         1248.37         2671.82
  1922          86              1213.20          969.74         2182.94
  1922          87               981.58          792.78         1774.36
  1922          88               748.38          674.25         1422.63
  1922          89               574.17          520.57         1094.74
  1922          90               446.07          379.02          825.09
  1922          91               340.31          290.57          630.88
  1922          92               245.14          221.59          466.73
  1922          93               183.50          152.62          336.12
  1922          94               152.68          106.70          259.38
  1922          95               106.36           79.47          185.83
  1922          96                69.08           56.00          125.08
  1922          97                39.24           31.31           70.55
  1922          98                21.11           19.92           41.03
  1922          99                15.44           17.17           32.61
  1922         100                10.91           12.24           23.15
  1922         101                 9.01           11.71           20.72
  1922         102                 5.33            8.62           13.95
  1922         103                 2.53            2.38            4.91
  1922         104                 1.43            1.54            2.97
  1922         105                 0.00            2.54            2.54
  1922         106                 0.00            1.38            1.38
  1922         107                 0.00            1.08            1.08
  1922         108                 0.00            0.92            0.92
  1922         109                 0.00            0.54            0.54
  1922         110+                0.00            1.46            1.46
  1923           0             64300.00        66898.36       131198.36
  1923           1             63596.71        66098.36       129695.07
  1923           2             61021.37        63570.14       124591.51
  1923           3             57159.45        59612.33       116771.78
  1923           4             56644.66        58695.07       115339.73
  1923           5             58043.84        59894.25       117938.09
  1923           6             58552.05        60600.82       119152.87
  1923           7             59787.67        61641.37       121429.04
  1923           8             61003.29        62304.11       123307.40
  1923           9             59560.27        60759.45       120319.72
  1923          10             57804.93        58907.40       116712.33
  1923          11             56209.04        57208.22       113417.26
  1923          12             54506.58        56052.88       110559.46
  1923          13             52808.22        54709.04       107517.26
  1923          14             51999.18        53204.11       105203.29
  1923          15             51208.22        52156.16       103364.38
  1923          16             49308.22        51402.47       100710.69
  1923          17             48251.23        50507.40        98758.63
  1923          18             46861.10        48164.38        95025.48
  1923          19             45600.00        46352.88        91952.88
  1923          20             45848.77        46300.00        92148.77
