Australia, Life tables (period 1x1), Females	Last modified: 15 Mar 2019;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1921           0      0.05999  0.05750  0.28  100000    5750   95857  6317561  63.18
  1921           1      0.01206  0.01199  0.50   94250    1130   93685  6221704  66.01
  1921           2      0.00578  0.00576  0.50   93120     537   92851  6128020  65.81
  1921           3      0.00289  0.00288  0.50   92583     267   92450  6035168  65.19
  1921           4      0.00325  0.00325  0.50   92316     300   92166  5942719  64.37
  1921           5      0.00252  0.00251  0.50   92016     231   91900  5850553  63.58
  1921           6      0.00248  0.00248  0.50   91785     228   91671  5758652  62.74
  1921           7      0.00181  0.00181  0.50   91557     166   91474  5666982  61.90
  1921           8      0.00138  0.00138  0.50   91391     126   91328  5575507  61.01
  1921           9      0.00137  0.00137  0.50   91265     125   91202  5484179  60.09
  1921          10      0.00125  0.00125  0.50   91140     114   91083  5392977  59.17
  1921          11      0.00116  0.00116  0.50   91026     105   90973  5301894  58.25
  1921          12      0.00113  0.00113  0.50   90921     103   90869  5210921  57.31
  1921          13      0.00142  0.00142  0.50   90818     129   90754  5120052  56.38
  1921          14      0.00144  0.00143  0.50   90689     130   90624  5029298  55.46
  1921          15      0.00160  0.00160  0.50   90559     145   90487  4938674  54.54
  1921          16      0.00181  0.00181  0.50   90414     164   90333  4848187  53.62
  1921          17      0.00217  0.00216  0.50   90251     195   90153  4757854  52.72
  1921          18      0.00248  0.00247  0.50   90056     223   89944  4667701  51.83
  1921          19      0.00220  0.00220  0.50   89833     197   89734  4577757  50.96
  1921          20      0.00298  0.00297  0.50   89635     266   89502  4488023  50.07
  1921          21      0.00254  0.00254  0.50   89369     227   89255  4398521  49.22
  1921          22      0.00254  0.00253  0.50   89142     226   89029  4309265  48.34
  1921          23      0.00326  0.00325  0.50   88916     289   88772  4220236  47.46
  1921          24      0.00314  0.00313  0.50   88627     278   88488  4131465  46.62
  1921          25      0.00353  0.00352  0.50   88349     311   88194  4042976  45.76
  1921          26      0.00342  0.00342  0.50   88038     301   87888  3954783  44.92
  1921          27      0.00397  0.00396  0.50   87737     348   87563  3866895  44.07
  1921          28      0.00383  0.00383  0.50   87389     334   87222  3779332  43.25
  1921          29      0.00409  0.00408  0.50   87055     356   86877  3692110  42.41
  1921          30      0.00395  0.00394  0.50   86699     342   86528  3605233  41.58
  1921          31      0.00327  0.00327  0.50   86357     282   86216  3518704  40.75
  1921          32      0.00442  0.00441  0.50   86075     380   85885  3432488  39.88
  1921          33      0.00489  0.00487  0.50   85696     418   85487  3346603  39.05
  1921          34      0.00476  0.00474  0.50   85278     405   85076  3261116  38.24
  1921          35      0.00438  0.00437  0.50   84873     371   84688  3176040  37.42
  1921          36      0.00498  0.00497  0.50   84503     420   84293  3091352  36.58
  1921          37      0.00555  0.00554  0.50   84082     466   83850  3007060  35.76
  1921          38      0.00649  0.00647  0.50   83617     541   83346  2923210  34.96
  1921          39      0.00544  0.00542  0.50   83076     451   82850  2839864  34.18
  1921          40      0.00561  0.00559  0.50   82625     462   82394  2757013  33.37
  1921          41      0.00483  0.00482  0.50   82163     396   81965  2674619  32.55
  1921          42      0.00588  0.00586  0.50   81767     479   81528  2592654  31.71
  1921          43      0.00587  0.00585  0.50   81288     476   81050  2511127  30.89
  1921          44      0.00602  0.00600  0.50   80812     485   80570  2430076  30.07
  1921          45      0.00673  0.00671  0.50   80327     539   80058  2349507  29.25
  1921          46      0.00617  0.00615  0.50   79789     491   79543  2269449  28.44
  1921          47      0.00685  0.00682  0.50   79297     541   79027  2189906  27.62
