Austria, Population size (abridged)	Last modified: 03 Sep 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1947           0             48987.36        51872.47       100859.83
  1947           1             45681.51        47188.07        92869.58
  1947           2             50460.33        51856.40       102316.73
  1947           3             53938.60        55650.06       109588.66
  1947           4             56456.41        58449.71       114906.12
  1947           5             62287.84        64576.18       126864.02
  1947           6             66425.01        68811.12       135236.13
  1947           7             61339.49        63553.86       124893.35
  1947           8             49707.56        51523.64       101231.20
  1947           9             42890.95        44507.52        87398.47
  1947          10             42278.76        43819.15        86097.91
  1947          11             42901.33        44403.85        87305.18
  1947          12             43767.65        45909.23        89676.88
  1947          13             44980.40        48202.14        93182.54
  1947          14             46327.46        50015.45        96342.91
  1947          15             47723.89        51698.27        99422.16
  1947          16             48899.77        52796.30       101696.07
  1947          17             49393.93        52811.36       102205.29
  1947          18             49898.58        52181.10       102079.68
  1947          19             51254.61        50789.47       102044.08
  1947          20             54173.65        49426.18       103599.83
  1947          21             57598.00        48452.37       106050.37
  1947          22             60041.05        47549.28       107590.33
  1947          23             61569.10        47596.81       109165.91
  1947          24             62203.57        48150.56       110354.13
  1947          25             61744.02        47527.10       109271.12
  1947          26             57794.81        44279.28       102074.09
  1947          27             47678.95        37135.83        84814.78
  1947          28             37045.16        29748.76        66793.92
  1947          29             33289.38        27069.09        60358.47
  1947          30             36252.28        29144.91        65397.19
  1947          31             44591.47        35461.28        80052.75
  1947          32             53800.15        42880.11        96680.26
  1947          33             58284.39        47097.03       105381.42
  1947          34             59252.43        48463.71       107716.14
  1947          35             59522.10        48862.65       108384.75
  1947          36             60425.93        49757.13       110183.06
  1947          37             60695.23        50475.99       111171.22
  1947          38             59983.41        50295.67       110279.08
  1947          39             59908.42        50392.79       110301.21
  1947          40             59757.86        51295.74       111053.60
  1947          41             59059.19        52277.40       111336.59
  1947          42             58786.46        52636.78       111423.24
  1947          43             58712.59        52675.99       111388.58
  1947          44             58548.53        53015.00       111563.53
  1947          45             57867.02        52469.66       110336.68
  1947          46             56831.35        50969.49       107800.84
  1947          47             55839.64        49097.86       104937.50
  1947          48             54541.91        46732.46       101274.37
  1947          49             53413.72        44621.95        98035.67
  1947          50             52558.53        42794.90        95353.43
  1947          51             51266.73        40616.30        91883.03
  1947          52             49641.21        38620.48        88261.69
  1947          53             47987.49        37144.09        85131.58
  1947          54             46458.99        36089.24        82548.23
  1947          55             44612.68        35066.96        79679.64
  1947          56             43078.11        33807.71        76885.82
  1947          57             43210.17        33350.68        76560.85
  1947          58             43201.63        33186.82        76388.45
  1947          59             42230.46        32406.97        74637.43
  1947          60             41083.67        31409.16        72492.83
  1947          61             39765.37        30586.04        70351.41
  1947          62             38305.09        29791.84        68096.93
  1947          63             36907.72        28629.00        65536.72
  1947          64             35443.99        27342.08        62786.07
  1947          65             33912.58        26208.81        60121.39
  1947          66             32804.82        25274.76        58079.58
  1947          67             31773.89        24189.69        55963.58
  1947          68             30328.24        22913.92        53242.16
  1947          69             28708.18        21813.72        50521.90
  1947          70             27243.25        20754.45        47997.70
  1947          71             25332.15        19130.56        44462.71
  1947          72             22993.79        17275.87        40269.66
  1947          73             20727.72        15357.93        36085.65
  1947          74             18562.72        13858.76        32421.48
  1947          75             16471.84        12669.15        29140.99
  1947          76             14721.82        11335.45        26057.27
  1947          77             13117.97         9862.39        22980.36
  1947          78             11420.57         8421.76        19842.33
  1947          79              9963.48         7195.76        17159.24
  1947          80              8612.21         6053.30        14665.51
  1947          81              7140.53         5003.54        12144.07
  1947          82              6077.34         4241.04        10318.38
  1947          83              5033.25         3411.66         8444.91
  1947          84              3843.61         2577.29         6420.90
  1947          85              2966.46         1993.10         4959.56
  1947          86              2373.18         1506.05         3879.23
  1947          87              1777.07         1087.02         2864.09
  1947          88              1276.46          772.42         2048.88
  1947          89               901.74          527.05         1428.79
  1947          90               641.52          342.62          984.14
  1947          91               457.55          204.79          662.34
  1947          92               307.08          140.80          447.88
  1947          93               201.91          105.76          307.67
  1947          94               126.64           57.92          184.56
  1947          95                75.43           29.44          104.87
  1947          96                46.04           23.60           69.64
  1947          97                22.93           12.61           35.54
  1947          98                 9.87            6.77           16.64
  1947          99                 4.05            5.24            9.29
  1947         100                 0.96            1.54            2.50
  1947         101                 0.52            0.92            1.44
  1947         102                 0.48            0.00            0.48
  1947         103                 0.00            0.00            0.00
  1947         104                 0.00            0.00            0.00
  1947         105                 0.00            0.00            0.00
  1947         106                 0.00            0.00            0.00
  1947         107                 0.00            0.00            0.00
  1947         108                 0.00            0.00            0.00
  1947         109                 0.00            0.00            0.00
  1947         110+                0.00            0.00            0.00
  1948           0             54234.00        57413.50       111647.50
  1948           1             47719.50        50116.00        97835.50
  1948           2             45465.00        46917.50        92382.50
  1948           3             50256.50        51635.00       101891.50
  1948           4             53786.50        55481.50       109268.00
  1948           5             56346.00        58319.00       114665.00
  1948           6             62193.00        64464.50       126657.50
  1948           7             66338.50        68701.50       135040.00
  1948           8             61260.50        63449.00       124709.50
  1948           9             49660.50        51462.50       101123.00
  1948          10             42849.00        44456.00        87305.00
  1948          11             42233.50        43753.50        85987.00
  1948          12             42861.00        44344.50        87205.50
  1948          13             43722.00        45860.50        89582.50
  1948          14             44928.50        48141.00        93069.50
  1948          15             46271.00        49937.00        96208.00
  1948          16             47654.00        51613.50        99267.50
  1948          17             48814.00        52692.00       101506.00
  1948          18             49308.00        52683.50       101991.50
  1948          19             49806.00        52032.50       101838.50
  1948          20             51137.50        50624.50       101762.00
  1948          21             54028.00        49268.00       103296.00
  1948          22             57448.00        48284.50       105732.50
  1948          23             59903.00        47366.50       107269.50
  1948          24             61418.00        47421.50       108839.50
  1948          25             62052.50        47984.00       110036.50
  1948          26             61590.50        47368.50       108959.00
  1948          27             57636.00        44118.00       101754.00
  1948          28             47565.50        37008.50        84574.00
  1948          29             36968.50        29660.50        66629.00
  1948          30             33204.00        26975.00        60179.00
  1948          31             36151.50        29042.50        65194.00
  1948          32             44465.50        35333.50        79799.00
  1948          33             53637.50        42720.00        96357.50
  1948          34             58114.50        46925.00       105039.50
  1948          35             59073.50        48285.00       107358.50
  1948          36             59349.50        48677.00       108026.50
  1948          37             60244.00        49537.50       109781.50
  1948          38             60492.50        50235.00       110727.50
  1948          39             59770.00        50043.50       109813.50
  1948          40             59680.50        50143.50       109824.00
  1948          41             59516.50        51036.00       110552.50
  1948          42             58828.50        51997.50       110826.00
  1948          43             58554.50        52322.00       110876.50
  1948          44             58466.00        52353.00       110819.00
  1948          45             58280.00        52653.50       110933.50
  1948          46             57593.50        52072.50       109666.00
  1948          47             56541.00        50555.00       107096.00
  1948          48             55515.50        48660.50       104176.00
  1948          49             54195.00        46286.50       100481.50
  1948          50             53062.00        44161.50        97223.50
  1948          51             52194.00        42306.50        94500.50
  1948          52             50897.00        40108.00        91005.00
  1948          53             49287.00        38104.50        87391.50
  1948          54             47622.50        36655.00        84277.50
  1948          55             46056.00        35568.50        81624.50
  1948          56             44184.00        34452.50        78636.50
  1948          57             42625.50        33198.50        75824.00
  1948          58             42706.00        32723.00        75429.00
  1948          59             42660.50        32528.00        75188.50
  1948          60             41658.50        31695.50        73354.00
  1948          61             40472.50        30654.50        71127.00
  1948          62             39091.00        29794.00        68885.00
  1948          63             37573.00        28959.00        66532.00
  1948          64             36137.50        27764.00        63901.50
  1948          65             34633.00        26421.50        61054.50
  1948          66             33042.50        25257.00        58299.50
  1948          67             31887.50        24293.50        56181.00
  1948          68             30813.00        23152.00        53965.00
  1948          69             29286.00        21813.00        51099.00
  1948          70             27582.50        20687.00        48269.50
  1948          71             26040.00        19611.50        45651.50
  1948          72             24124.50        17999.50        42124.00
  1948          73             21793.00        16114.50        37907.50
  1948          74             19526.00        14241.50        33767.50
  1948          75             17337.00        12764.00        30101.00
  1948          76             15250.50        11541.50        26792.00
  1948          77             13531.50        10231.00        23762.50
  1948          78             11945.00         8810.00        20755.00
  1948          79             10281.00         7432.00        17713.00
  1948          80              8853.36         6260.95        15114.31
  1948          81              7550.15         5217.63        12767.78
  1948          82              6204.27         4243.75        10448.02
  1948          83              5222.56         3533.06         8755.62
  1948          84              4227.17         2807.19         7034.36
  1948          85              3177.12         2062.05         5239.17
  1948          86              2421.87         1559.55         3981.42
  1948          87              1892.89         1152.84         3045.73
  1948          88              1387.00          806.62         2193.62
  1948          89               967.58          563.74         1531.32
  1948          90               658.16          370.54         1028.70
  1948          91               468.97          229.99          698.96
  1948          92               335.00          136.63          471.63
  1948          93               214.97           95.31          310.28
  1948          94               137.90           63.23          201.13
  1948          95                93.73           33.70          127.43
  1948          96                52.92           20.97           73.89
  1948          97                29.04           16.60           45.64
  1948          98                13.42            7.64           21.06
  1948          99                 4.37            3.77            8.14
  1948         100                 0.52            3.77            4.29
  1948         101                 0.48            1.00            1.48
  1948         102                 0.52            0.46            0.98
  1948         103                 0.48            0.00            0.48
  1948         104                 0.00            0.00            0.00
  1948         105                 0.00            0.00            0.00
  1948         106                 0.00            0.00            0.00
  1948         107                 0.00            0.00            0.00
  1948         108                 0.00            0.00            0.00
  1948         109                 0.00            0.00            0.00
  1948         110+                0.00            0.00            0.00
  1949           0             54594.50        57297.00       111891.50
  1949           1             53027.00        55880.00       108907.00
  1949           2             47406.50        49775.50        97182.00
  1949           3             45194.00        46654.50        91848.50
  1949           4             49986.50        51388.50       101375.00
  1949           5             53514.00        55231.00       108745.00
  1949           6             56051.50        58052.00       114103.50
  1949           7             61884.00        64172.50       126056.50
  1949           8             66015.50        68376.00       134391.50
  1949           9             60939.00        63086.00       124025.00
  1949          10             49330.50        51081.50       100412.00
  1949          11             42503.00        44012.50        86515.50
  1949          12             41888.00        43277.00        85165.00
  1949          13             42456.50        43821.50        86278.00
  1949          14             43277.50        45283.00        88560.50
  1949          15             44464.00        47150.50        91614.50
  1949          16             45761.00        48872.50        94633.50
  1949          17             47124.00        50438.50        97562.50
  1949          18             48261.50        51488.50        99750.00
  1949          19             48765.00        51489.50       100254.50
  1949          20             49237.00        50816.00       100053.00
  1949          21             50578.00        49418.50        99996.50
  1949          22             53427.00        47988.50       101415.50
  1949          23             56863.50        47035.00       103898.50
  1949          24             59302.50        46102.50       105405.00
  1949          25             60818.50        46182.50       107001.00
  1949          26             61452.50        46754.50       108207.00
  1949          27             61003.00        46162.50       107165.50
  1949          28             57062.00        42952.50       100014.50
  1949          29             47026.50        35870.50        82897.00
  1949          30             36464.00        28549.00        65013.00
  1949          31             32699.50        25880.50        58580.00
  1949          32             35667.50        28015.50        63683.00
  1949          33             43977.50        34344.50        78322.00
  1949          34             53137.00        41755.00        94892.00
  1949          35             57629.00        45993.00       103622.00
  1949          36             58590.00        47412.50       106002.50
  1949          37             58888.50        47858.50       106747.00
  1949          38             59783.50        48750.50       108534.00
  1949          39             60061.50        49501.00       109562.50
  1949          40             59349.50        49357.00       108706.50
  1949          41             59318.50        49643.50       108962.00
  1949          42             59160.50        50572.50       109733.00
  1949          43             58489.50        51530.00       110019.50
  1949          44             58214.00        51852.50       110066.50
  1949          45             58105.00        51930.50       110035.50
  1949          46             57921.00        52188.00       110109.00
