Austria, Life tables (period 1x1), Males	Last modified: 03 Sep 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0      0.09940  0.09293  0.30  100000    9293   93487  5895494  58.95
  1947           1      0.00845  0.00841  0.50   90707     763   90325  5802007  63.96
  1947           2      0.00469  0.00468  0.50   89944     421   89733  5711682  63.50
  1947           3      0.00340  0.00340  0.50   89523     304   89371  5621948  62.80
  1947           4      0.00270  0.00270  0.50   89218     241   89098  5532578  62.01
  1947           5      0.00195  0.00195  0.50   88978     173   88891  5443480  61.18
  1947           6      0.00152  0.00152  0.50   88804     135   88737  5354589  60.30
  1947           7      0.00169  0.00169  0.50   88669     150   88594  5265852  59.39
  1947           8      0.00149  0.00149  0.50   88520     132   88454  5177258  58.49
  1947           9      0.00100  0.00100  0.50   88388      88   88344  5088804  57.57
  1947          10      0.00134  0.00134  0.50   88300     118   88240  5000461  56.63
  1947          11      0.00164  0.00163  0.50   88181     144   88109  4912220  55.71
  1947          12      0.00104  0.00104  0.50   88037      92   87991  4824111  54.80
  1947          13      0.00109  0.00109  0.50   87945      96   87898  4736120  53.85
  1947          14      0.00146  0.00146  0.50   87850     128   87786  4648222  52.91
  1947          15      0.00170  0.00170  0.50   87721     149   87647  4560437  51.99
  1947          16      0.00160  0.00160  0.50   87572     140   87502  4472790  51.08
  1947          17      0.00234  0.00234  0.50   87432     205   87330  4385288  50.16
  1947          18      0.00255  0.00255  0.50   87227     222   87116  4297959  49.27
  1947          19      0.00319  0.00319  0.50   87005     277   86866  4210843  48.40
  1947          20      0.00325  0.00324  0.50   86728     281   86587  4123976  47.55
  1947          21      0.00313  0.00313  0.50   86447     270   86312  4037389  46.70
  1947          22      0.00379  0.00379  0.50   86177     326   86013  3951077  45.85
  1947          23      0.00384  0.00383  0.50   85850     329   85686  3865064  45.02
  1947          24      0.00354  0.00353  0.50   85522     302   85371  3779378  44.19
  1947          25      0.00337  0.00337  0.50   85220     287   85076  3694007  43.35
  1947          26      0.00337  0.00336  0.50   84933     285   84790  3608931  42.49
  1947          27      0.00368  0.00367  0.50   84647     311   84492  3524141  41.63
  1947          28      0.00316  0.00315  0.50   84337     266   84204  3439648  40.78
  1947          29      0.00311  0.00310  0.50   84071     261   83941  3355444  39.91
  1947          30      0.00377  0.00376  0.50   83810     315   83653  3271504  39.03
  1947          31      0.00338  0.00337  0.50   83495     281   83354  3187851  38.18
  1947          32      0.00383  0.00383  0.50   83213     318   83054  3104497  37.31
  1947          33      0.00334  0.00334  0.50   82895     277   82757  3021443  36.45
  1947          34      0.00409  0.00408  0.50   82619     337   82450  2938686  35.57
  1947          35      0.00334  0.00333  0.50   82281     274   82145  2856236  34.71
  1947          36      0.00435  0.00434  0.50   82008     356   81830  2774091  33.83
  1947          37      0.00446  0.00445  0.50   81652     363   81470  2692261  32.97
  1947          38      0.00513  0.00512  0.50   81288     416   81080  2610791  32.12
  1947          39      0.00490  0.00489  0.50   80872     395   80675  2529711  31.28
  1947          40      0.00507  0.00505  0.50   80477     407   80274  2449036  30.43
  1947          41      0.00503  0.00502  0.50   80070     402   79869  2368763  29.58
  1947          42      0.00583  0.00581  0.50   79668     463   79437  2288893  28.73
  1947          43      0.00606  0.00604  0.50   79205     478   78966  2209457  27.90
  1947          44      0.00640  0.00638  0.50   78727     502   78476  2130491  27.06
  1947          45      0.00725  0.00722  0.50   78225     565   77942  2052015  26.23
  1947          46      0.00804  0.00800  0.50   77660     622   77349  1974072  25.42
  1947          47      0.00835  0.00831  0.50   77038     641   76718  1896723  24.62
  1947          48      0.00964  0.00960  0.50   76398     733   76031  1820005  23.82
  1947          49      0.00946  0.00942  0.50   75664     712   75308  1743974  23.05
  1947          50      0.01139  0.01132  0.50   74952     849   74528  1668666  22.26
  1947          51      0.01153  0.01146  0.50   74104     849   73679  1594138  21.51
  1947          52      0.01367  0.01357  0.50   73254     994   72757  1520459  20.76
  1947          53      0.01321  0.01312  0.50   72260     948   71786  1447702  20.03
  1947          54      0.01311  0.01303  0.50   71311     929   70847  1375917  19.29
  1947          55      0.01631  0.01618  0.50   70382    1139   69813  1305070  18.54
  1947          56      0.01855  0.01838  0.50   69244    1272   68607  1235257  17.84
  1947          57      0.01827  0.01811  0.50   67971    1231   67356  1166650  17.16
  1947          58      0.01936  0.01918  0.50   66740    1280   66100  1099294  16.47
  1947          59      0.02104  0.02082  0.50   65461    1363   64779  1033194  15.78
  1947          60      0.02352  0.02325  0.50   64098    1490   63353   968415  15.11
  1947          61      0.02502  0.02471  0.50   62608    1547   61834   905062  14.46
  1947          62      0.02766  0.02728  0.50   61061    1666   60228   843228  13.81
  1947          63      0.02897  0.02855  0.50   59395    1696   58547   783000  13.18
  1947          64      0.03278  0.03225  0.50   57699    1861   56769   724453  12.56
  1947          65      0.03573  0.03510  0.50   55838    1960   54858   667684  11.96
  1947          66      0.03840  0.03768  0.50   53878    2030   52863   612826  11.37
  1947          67      0.04072  0.03991  0.50   51849    2069   50814   559962  10.80
  1947          68      0.04733  0.04624  0.50   49779    2302   48628   509149  10.23
  1947          69      0.05163  0.05034  0.50   47478    2390   46283   460520   9.70
  1947          70      0.05480  0.05333  0.50   45088    2405   43886   414237   9.19
  1947          71      0.05814  0.05650  0.50   42683    2411   41477   370352   8.68
  1947          72      0.06499  0.06295  0.50   40272    2535   39004   328874   8.17
  1947          73      0.07508  0.07236  0.50   37737    2731   36371   289870   7.68
  1947          74      0.07411  0.07146  0.50   35006    2502   33755   253499   7.24
  1947          75      0.09054  0.08662  0.50   32504    2816   31097   219744   6.76
  1947          76      0.09771  0.09316  0.50   29689    2766   28306   188647   6.35
  1947          77      0.10866  0.10306  0.50   26923    2775   25536   160341   5.96
  1947          78      0.11742  0.11091  0.50   24148    2678   22809   134805   5.58
  1947          79      0.13232  0.12410  0.50   21470    2665   20138   111996   5.22
  1947          80      0.14613  0.13618  0.50   18806    2561   17525    91858   4.88
  1947          81      0.15040  0.13988  0.50   16245    2272   15108    74333   4.58
  1947          82      0.17720  0.16277  0.50   13972    2274   12835    59225   4.24
  1947          83      0.19085  0.17422  0.50   11698    2038   10679    46390   3.97
  1947          84      0.20192  0.18340  0.50    9660    1772    8774    35711   3.70
  1947          85      0.23694  0.21184  0.50    7888    1671    7053    26937   3.41
  1947          86      0.25141  0.22333  0.50    6217    1388    5523    19884   3.20
  1947          87      0.28603  0.25024  0.50    4829    1208    4224    14361   2.97
  1947          88      0.30305  0.26317  0.50    3620     953    3144    10137   2.80
  1947          89      0.32492  0.27951  0.50    2668     746    2295     6993   2.62
  1947          90      0.37314  0.31447  0.50    1922     604    1620     4698   2.44
  1947          91      0.38148  0.32037  0.50    1318     422    1106     3078   2.34
  1947          92      0.41006  0.34029  0.50     895     305     743     1972   2.20
  1947          93      0.43925  0.36015  0.50     591     213     484     1229   2.08
  1947          94      0.46888  0.37983  0.50     378     144     306      744   1.97
