Belgium, Population size (abridged)	Last modified: 06 Sep 2019;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
     1841        0             60433.69        62321.59       122755.28
     1841        1             54930.12        56038.22       110968.34
     1841        2             50856.58        51810.85       102667.43
     1841        3             48327.75        48812.06        97139.81
     1841        4             46749.49        47890.30        94639.79
     1841        5             44218.34        45346.24        89564.58
     1841        6             44481.44        45793.22        90274.66
     1841        7             42165.76        43608.94        85774.70
     1841        8             42707.89        44309.56        87017.45
     1841        9             41439.26        43335.24        84774.50
     1841       10             41484.41        44055.60        85540.01
     1841       11             40915.51        41549.00        82464.51
     1841       12             41404.09        39121.84        80525.93
     1841       13             38130.34        37420.31        75550.65
     1841       14             41650.32        40194.65        81844.97
     1841       15             40146.70        41658.73        81805.43
     1841       16             41958.90        42541.57        84500.47
     1841       17             41220.34        41618.29        82838.63
     1841       18             41212.66        41114.99        82327.65
     1841       19             39169.79        40076.01        79245.80
     1841       20             37051.23        37868.59        74919.82
     1841       21             34918.33        35532.48        70450.81
     1841       22             33317.42        34042.06        67359.48
     1841       23             29901.42        30125.22        60026.64
     1841       24             36457.90        36896.67        73354.57
     1841       25             29699.86        30050.82        59750.68
     1841       26             31800.84        31475.27        63276.11
     1841       27             30751.79        30600.92        61352.71
     1841       28             30210.50        30039.16        60249.66
     1841       29             31355.63        32035.78        63391.41
     1841       30             32236.15        33323.64        65559.79
     1841       31             28894.34        28459.62        57353.96
     1841       32             30416.70        30099.77        60516.47
     1841       33             28120.88        28564.16        56685.04
     1841       34             33442.04        34715.95        68157.99
     1841       35             25601.36        26697.82        52299.18
     1841       36             26902.20        27640.40        54542.60
     1841       37             25417.21        26254.16        51671.37
     1841       38             26296.26        27047.10        53343.36
     1841       39             28526.28        30093.08        58619.36
     1841       40             29491.44        31258.36        60749.80
     1841       41             25271.50        25730.44        51001.94
     1841       42             26221.58        26357.05        52578.63
     1841       43             24050.78        24660.15        48710.93
     1841       44             28858.93        29067.60        57926.53
     1841       45             20742.86        20108.53        40851.39
     1841       46             20686.66        18597.73        39284.39
