Belgium, Life tables (period 1x1), Females	Last modified: 25 Jan 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1841           0      0.15159  0.13731  0.31  100000   13731   90582  4035839  40.36
  1841           1      0.07492  0.07221  0.50   86269    6230   83154  3945257  45.73
  1841           2      0.04170  0.04085  0.50   80039    3270   78404  3862103  48.25
  1841           3      0.02546  0.02514  0.50   76769    1930   75804  3783699  49.29
  1841           4      0.01848  0.01831  0.50   74839    1371   74154  3707895  49.54
  1841           5      0.01392  0.01382  0.50   73469    1016   72961  3633741  49.46
  1841           6      0.01283  0.01274  0.50   72453     923   71991  3560781  49.15
  1841           7      0.01094  0.01088  0.50   71530     778   71141  3488789  48.77
  1841           8      0.00881  0.00877  0.50   70752     621   70441  3417649  48.30
  1841           9      0.00814  0.00811  0.50   70131     569   69847  3347208  47.73
  1841          10      0.00739  0.00737  0.50   69562     512   69306  3277361  47.11
  1841          11      0.00676  0.00674  0.50   69050     465   68817  3208055  46.46
  1841          12      0.00650  0.00648  0.50   68585     445   68362  3139237  45.77
  1841          13      0.00690  0.00687  0.50   68140     468   67906  3070875  45.07
  1841          14      0.00747  0.00744  0.50   67672     504   67420  3002969  44.38
  1841          15      0.00817  0.00814  0.50   67168     547   66895  2935549  43.70
  1841          16      0.00883  0.00879  0.50   66621     586   66329  2868654  43.06
  1841          17      0.00909  0.00905  0.50   66036     598   65737  2802326  42.44
  1841          18      0.00924  0.00919  0.50   65438     602   65137  2736589  41.82
  1841          19      0.00922  0.00918  0.50   64836     595   64539  2671452  41.20
  1841          20      0.00920  0.00916  0.50   64241     588   63947  2606913  40.58
  1841          21      0.00925  0.00920  0.50   63653     586   63360  2542966  39.95
  1841          22      0.00938  0.00934  0.50   63067     589   62773  2479605  39.32
  1841          23      0.00990  0.00985  0.50   62478     615   62171  2416833  38.68
  1841          24      0.00936  0.00932  0.50   61863     576   61575  2354662  38.06
  1841          25      0.00945  0.00941  0.50   61287     577   60998  2293087  37.42
  1841          26      0.01026  0.01020  0.50   60710     620   60400  2232089  36.77
  1841          27      0.01015  0.01010  0.50   60090     607   59787  2171688  36.14
  1841          28      0.01047  0.01042  0.50   59484     620   59174  2111901  35.50
  1841          29      0.01040  0.01035  0.50   58864     609   58559  2052728  34.87
  1841          30      0.01010  0.01004  0.50   58255     585   57962  1994168  34.23
  1841          31      0.01053  0.01048  0.50   57670     604   57367  1936206  33.57
  1841          32      0.01089  0.01083  0.50   57065     618   56756  1878839  32.92
  1841          33      0.01108  0.01102  0.50   56447     622   56136  1822082  32.28
  1841          34      0.01058  0.01052  0.50   55825     587   55532  1765946  31.63
  1841          35      0.01110  0.01103  0.50   55238     610   54933  1710414  30.96
  1841          36      0.01264  0.01256  0.50   54629     686   54286  1655481  30.30
  1841          37      0.01293  0.01284  0.50   53943     693   53596  1601195  29.68
  1841          38      0.01342  0.01333  0.50   53250     710   52895  1547599  29.06
  1841          39      0.01307  0.01298  0.50   52540     682   52199  1494704  28.45
  1841          40      0.01275  0.01267  0.50   51858     657   51529  1442505  27.82
  1841          41      0.01369  0.01360  0.50   51201     696   50853  1390976  27.17
  1841          42      0.01442  0.01432  0.50   50505     723   50143  1340123  26.53
  1841          43      0.01428  0.01418  0.50   49782     706   49429  1289980  25.91
  1841          44      0.01276  0.01268  0.50   49076     622   48765  1240551  25.28
  1841          45      0.01254  0.01246  0.50   48454     604   48152  1191787  24.60
  1841          46      0.01409  0.01399  0.50   47850     670   47515  1143635  23.90
  1841          47      0.01409  0.01399  0.50   47180     660   46850  1096120  23.23
  1841          48      0.01439  0.01429  0.50   46520     665   46188  1049270  22.56
  1841          49      0.01460  0.01450  0.50   45856     665   45523  1003082  21.87
  1841          50      0.01532  0.01520  0.50   45191     687   44847   957558  21.19
  1841          51      0.01727  0.01712  0.50   44504     762   44123   912711  20.51
  1841          52      0.01892  0.01875  0.50   43742     820   43332   868588  19.86
  1841          53      0.01956  0.01937  0.50   42922     831   42506   825256  19.23
  1841          54      0.01731  0.01717  0.50   42091     723   41729   782749  18.60
  1841          55      0.01701  0.01687  0.50   41368     698   41019   741020  17.91
  1841          56      0.02014  0.01994  0.50   40670     811   40265   700001  17.21
  1841          57      0.02106  0.02084  0.50   39860     831   39444   659736  16.55
  1841          58      0.02224  0.02199  0.50   39029     858   38600   620291  15.89
  1841          59      0.02355  0.02328  0.50   38171     889   37726   581692  15.24
  1841          60      0.02559  0.02527  0.50   37282     942   36811   543966  14.59
  1841          61      0.02944  0.02901  0.50   36340    1054   35813   507155  13.96
  1841          62      0.03406  0.03349  0.50   35286    1182   34695   471342  13.36
  1841          63      0.03706  0.03638  0.50   34104    1241   33484   436647  12.80
  1841          64      0.03619  0.03555  0.50   32863    1168   32279   403164  12.27
  1841          65      0.03898  0.03824  0.50   31695    1212   31089   370884  11.70
  1841          66      0.04638  0.04532  0.50   30483    1382   29792   339795  11.15
  1841          67      0.04834  0.04720  0.50   29101    1374   28415   310003  10.65
  1841          68      0.05225  0.05092  0.50   27728    1412   27022   281588  10.16
  1841          69      0.05564  0.05413  0.50   26316    1425   25604   254567   9.67
  1841          70      0.05959  0.05787  0.50   24891    1440   24171   228963   9.20
  1841          71      0.06690  0.06473  0.50   23451    1518   22692   204792   8.73
  1841          72      0.07354  0.07093  0.50   21933    1556   21155   182100   8.30
  1841          73      0.07980  0.07673  0.50   20377    1564   19595   160945   7.90
