Belgium, Life tables (period 1x1), Males	Last modified: 25 Jan 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1841           0      0.18652  0.16496  0.30  100000   16496   88439  4031618  40.32
  1841           1      0.07413  0.07148  0.50   83504    5969   80520  3943179  47.22
  1841           2      0.03983  0.03905  0.50   77536    3028   76022  3862659  49.82
  1841           3      0.02333  0.02306  0.50   74508    1718   73648  3786638  50.82
  1841           4      0.01707  0.01693  0.50   72789    1232   72173  3712989  51.01
  1841           5      0.01240  0.01233  0.50   71557     882   71116  3640816  50.88
  1841           6      0.01020  0.01014  0.50   70675     717   70317  3569700  50.51
  1841           7      0.00800  0.00797  0.50   69958     557   69679  3499383  50.02
  1841           8      0.00701  0.00699  0.50   69401     485   69158  3429704  49.42
  1841           9      0.00696  0.00694  0.50   68916     478   68677  3360545  48.76
  1841          10      0.00603  0.00601  0.50   68438     411   68232  3291868  48.10
  1841          11      0.00519  0.00518  0.50   68027     352   67850  3223636  47.39
  1841          12      0.00490  0.00489  0.50   67674     331   67509  3155786  46.63
  1841          13      0.00495  0.00494  0.50   67343     333   67177  3088277  45.86
  1841          14      0.00510  0.00509  0.50   67010     341   66840  3021100  45.08
  1841          15      0.00539  0.00537  0.50   66669     358   66490  2954260  44.31
  1841          16      0.00590  0.00588  0.50   66311     390   66116  2887770  43.55
  1841          17      0.00664  0.00661  0.50   65921     436   65703  2821654  42.80
  1841          18      0.00757  0.00754  0.50   65485     494   65238  2755950  42.09
  1841          19      0.00863  0.00859  0.50   64991     559   64712  2690712  41.40
  1841          20      0.00994  0.00989  0.50   64433     637   64114  2626000  40.76
  1841          21      0.01120  0.01114  0.50   63795     711   63440  2561886  40.16
  1841          22      0.01203  0.01196  0.50   63085     754   62708  2498446  39.60
  1841          23      0.01276  0.01268  0.50   62330     790   61935  2435739  39.08
  1841          24      0.01143  0.01137  0.50   61540     700   61190  2373803  38.57
  1841          25      0.01031  0.01025  0.50   60841     624   60529  2312613  38.01
  1841          26      0.01016  0.01011  0.50   60217     609   59913  2252084  37.40
  1841          27      0.00933  0.00929  0.50   59608     554   59331  2192172  36.78
  1841          28      0.00913  0.00908  0.50   59055     536   58786  2132840  36.12
  1841          29      0.00881  0.00878  0.50   58518     514   58261  2074054  35.44
  1841          30      0.00851  0.00847  0.50   58005     491   57759  2015792  34.75
  1841          31      0.00910  0.00905  0.50   57513     521   57253  1958033  34.04
  1841          32      0.00957  0.00952  0.50   56993     543   56721  1900781  33.35
  1841          33      0.00939  0.00934  0.50   56450     528   56186  1844059  32.67
  1841          34      0.00843  0.00839  0.50   55922     469   55688  1787873  31.97
  1841          35      0.00834  0.00830  0.50   55453     460   55223  1732186  31.24
  1841          36      0.00922  0.00917  0.50   54992     504   54740  1676963  30.49
  1841          37      0.00933  0.00928  0.50   54488     506   54235  1622223  29.77
  1841          38      0.00972  0.00967  0.50   53982     522   53721  1567988  29.05
  1841          39      0.00956  0.00952  0.50   53460     509   53206  1514266  28.33
  1841          40      0.00950  0.00946  0.50   52951     501   52701  1461061  27.59
  1841          41      0.01067  0.01061  0.50   52450     556   52172  1408360  26.85
  1841          42      0.01181  0.01174  0.50   51894     609   51589  1356188  26.13
  1841          43      0.01185  0.01178  0.50   51285     604   50983  1304598  25.44
  1841          44      0.01072  0.01066  0.50   50681     540   50411  1253615  24.74
  1841          45      0.01089  0.01083  0.50   50140     543   49869  1203205  24.00
  1841          46      0.01303  0.01294  0.50   49598     642   49277  1153336  23.25
  1841          47      0.01370  0.01361  0.50   48956     666   48622  1104059  22.55
  1841          48      0.01447  0.01436  0.50   48289     694   47942  1055437  21.86
  1841          49      0.01499  0.01488  0.50   47596     708   47242  1007494  21.17
  1841          50      0.01559  0.01547  0.50   46887     725   46525   960253  20.48
  1841          51      0.01759  0.01743  0.50   46162     805   45760   913728  19.79
  1841          52      0.01973  0.01954  0.50   45357     886   44914   867968  19.14
  1841          53      0.02085  0.02064  0.50   44471     918   44012   823054  18.51
  1841          54      0.01858  0.01840  0.50   43554     802   43153   779041  17.89
  1841          55      0.01870  0.01853  0.50   42752     792   42356   735888  17.21
  1841          56      0.02294  0.02268  0.50   41960     952   41484   693533  16.53
  1841          57      0.02449  0.02419  0.50   41008     992   40512   652049  15.90
  1841          58      0.02596  0.02563  0.50   40016    1026   39503   611536  15.28
  1841          59      0.02724  0.02687  0.50   38991    1048   38467   572033  14.67
  1841          60      0.02818  0.02778  0.50   37943    1054   37416   533566  14.06
  1841          61      0.03170  0.03121  0.50   36889    1151   36313   496151  13.45
  1841          62      0.03729  0.03661  0.50   35737    1308   35083   459838  12.87
  1841          63      0.04113  0.04031  0.50   34429    1388   33735   424755  12.34
  1841          64      0.04011  0.03932  0.50   33041    1299   32392   391020  11.83
  1841          65      0.04332  0.04240  0.50   31742    1346   31069   358628  11.30
  1841          66      0.05222  0.05089  0.50   30396    1547   29623   327559  10.78
  1841          67      0.05462  0.05316  0.50   28849    1534   28082   297936  10.33
  1841          68      0.05764  0.05602  0.50   27315    1530   26550   269854   9.88
  1841          69      0.05850  0.05684  0.50   25785    1466   25052   243304   9.44
  1841          70      0.05998  0.05823  0.50   24320    1416   23611   218252   8.97
