BulgariaPopulation size (abridged)	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1947           0             74629.57        78684.98       153314.55
  1947           1             66231.83        68565.08       134796.91
  1947           2             59184.21        61724.48       120908.69
  1947           3             62167.47        64023.68       126191.15
  1947           4             62098.46        64828.75       126927.21
  1947           5             59945.27        62442.54       122387.81
  1947           6             60205.30        62664.56       122869.86
  1947           7             55853.91        57835.13       113689.04
  1947           8             59052.19        61179.43       120231.62
  1947           9             59899.27        62671.56       122570.83
  1947          10             64618.68        67321.97       131940.65
  1947          11             63014.54        66147.87       129162.41
  1947          12             72480.38        75035.66       147516.04
  1947          13             68150.00        71132.31       139282.31
  1947          14             72619.39        75046.66       147666.05
  1947          15             65109.73        68124.04       133233.77
  1947          16             71920.33        75018.66       146938.99
  1947          17             65982.80        68275.06       134257.86
  1947          18             72149.35        72538.44       144687.79
  1947          19             67243.92        69524.17       136768.09
  1947          20             76881.76        77267.86       154149.62
  1947          21             70991.25        78348.95       149340.20
  1947          22             74573.56        74996.65       149570.21
  1947          23             68256.00        66474.90       134730.90
  1947          24             72341.36        70028.21       142369.57
  1947          25             67036.90        67157.96       134194.86
  1947          26             67152.91        65935.85       133088.76
  1947          27             52442.61        54336.82       106779.43
  1947          28             36991.25        35459.15        72450.40
  1947          29             25655.26        25946.30        51601.56
  1947          30             37495.30        35251.13        72746.43
  1947          31             55627.89        56981.06       112608.95
  1947          32             64021.63        66351.89       130373.52
  1947          33             37654.31        37972.37        75626.68
  1947          34             61363.40        61138.42       122501.82
  1947          35             51207.50        54287.82       105495.32
  1947          36             57839.09        59552.28       117391.37
  1947          37             50522.44        52915.69       103438.13
  1947          38             52353.61        52886.69       105240.30
  1947          39             48988.31        51840.60       100828.91
  1947          40             55515.88        54808.86       110324.74
  1947          41             47160.15        50817.51        97977.66
  1947          42             48586.27        49079.35        97665.62
  1947          43             43393.82        46242.10        89635.92
  1947          44             42760.76        43400.85        86161.61
  1947          45             40478.56        41920.72        82399.28
  1947          46             48391.26        47470.21        95861.47
  1947          47             33605.96        35186.12        68792.08
  1947          48             37647.31        37117.29        74764.60
  1947          49             31762.79        34692.08        66454.87
  1947          50             38410.38        36273.22        74683.60
  1947          51             30005.64        30517.71        60523.35
  1947          52             31277.75        30821.73        62099.48
  1947          53             23007.02        23410.08        46417.10
  1947          54             27323.40        25251.24        52574.64
  1947          55             29536.60        23033.04        52569.64
  1947          56             36972.25        24136.14        61108.39
  1947          57             26944.37        19355.72        46300.09
  1947          58             31436.77        26764.37        58201.14
  1947          59             22111.95        20559.82        42671.77
  1947          60             35675.14        27180.41        62855.55
  1947          61             29919.63        28748.55        58668.18
  1947          62             28962.55        25297.24        54259.79
  1947          63             21414.88        19949.77        41364.65
  1947          64             22852.01        23618.10        46470.11
  1947          65             21902.93        19187.70        41090.63
  1947          66             25458.24        21626.92        47085.16
  1947          67             15044.32        13640.21        28684.53
  1947          68             17305.52        15325.36        32630.88
  1947          69             11134.98        11731.04        22866.02
  1947          70             19936.75        14536.29        34473.04
  1947          71             10433.92         9217.82        19651.74
  1947          72             11349.00        10037.89        21386.89
  1947          73              7112.63         7184.64        14297.27
  1947          74              8183.72         8268.73        16452.45
  1947          75              8899.78         7082.63        15982.41
  1947          76             11428.01        10133.90        21561.91
  1947          77              5118.45         5503.49        10621.94
  1947          78              6025.53         6445.57        12471.10
  1947          79              3251.29         3386.30         6637.59
  1947          80              5468.58         5113.57        10582.15
  1947          81              3817.05         3594.33         7411.38
  1947          82              4277.80         4320.96         8598.76
  1947          83              2340.75         2384.79         4725.54
  1947          84              2641.32         2538.76         5180.08
  1947          85              2454.16         2096.10         4550.26
  1947          86              3125.57         2784.40         5909.97
  1947          87              1104.86         1113.84         2218.70
  1947          88              1085.41         1104.32         2189.73
  1947          89               698.03          646.79         1344.82
  1947          90              1320.96          977.21         2298.17
  1947          91               490.56          523.58         1014.14
  1947          92               583.04          530.20         1113.24
  1947          93               325.92          316.94          642.86
  1947          94               346.22          300.00          646.22
  1947          95               327.42          247.27          574.69
  1947          96               382.31          348.40          730.71
  1947          97               141.61          118.59          260.20
  1947          98               130.05          106.26          236.31
  1947          99               102.95           88.05          191.00
  1947         100                81.82           70.71          152.53
  1947         101                61.37           52.83          114.20
  1947         102                45.66           39.53           85.19
  1947         103                33.69           28.89           62.58
  1947         104                24.57           21.27           45.84
  1947         105                18.06           15.51           33.57
  1947         106                12.91           10.55           23.46
  1947         107                 9.12            7.19           16.31
  1947         108                 6.32            4.97           11.29
  1947         109                 4.07            3.28            7.35
  1947         110+                4.32            2.62            6.94
  1948           0             74902.33        78588.05       153490.38
  1948           1             70651.73        73997.60       144649.33
  1948           2             64856.08        67066.77       131922.85
  1948           3             58775.47        61390.59       120166.06
  1948           4             61486.05        63342.76       124828.81
  1948           5             61565.69        64196.06       125761.75
  1948           6             59483.38        61887.84       121371.22
  1948           7             59872.98        62203.71       122076.69
  1948           8             55643.87        57518.67       113162.54
  1948           9             58756.81        60735.32       119492.13
  1948          10             59572.73        62153.51       121726.24
  1948          11             64301.57        66681.04       130982.61
  1948          12             62859.06        65657.90       128516.96
  1948          13             72039.83        74335.56       146375.39
  1948          14             67889.22        70633.80       138523.02
  1948          15             72089.64        74414.15       146503.79
  1948          16             64799.56        67690.54       132490.10
