Bulgaria, Life tables (period 1x1), Males	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0      0.15624  0.14082  0.30  100000   14082   90131  5258127  52.58
  1947           1      0.03146  0.03097  0.50   85918    2661   84588  5167997  60.15
  1947           2      0.01327  0.01319  0.50   83257    1098   82708  5083409  61.06
  1947           3      0.00617  0.00615  0.50   82159     505   81907  5000701  60.87
  1947           4      0.00468  0.00467  0.50   81654     382   81463  4918794  60.24
  1947           5      0.00433  0.00432  0.50   81273     351   81097  4837331  59.52
  1947           6      0.00302  0.00301  0.50   80921     244   80799  4756234  58.78
  1947           7      0.00283  0.00283  0.50   80678     228   80563  4675434  57.95
  1947           8      0.00242  0.00241  0.50   80449     194   80352  4594871  57.12
  1947           9      0.00246  0.00246  0.50   80255     197   80156  4514519  56.25
  1947          10      0.00215  0.00214  0.50   80058     172   79972  4434362  55.39
  1947          11      0.00188  0.00188  0.50   79886     150   79811  4354390  54.51
  1947          12      0.00180  0.00179  0.50   79736     143   79665  4274579  53.61
  1947          13      0.00192  0.00192  0.50   79593     153   79516  4194915  52.70
  1947          14      0.00200  0.00200  0.50   79440     159   79360  4115398  51.81
  1947          15      0.00260  0.00259  0.50   79281     206   79178  4036038  50.91
  1947          16      0.00325  0.00324  0.50   79075     256   78947  3956860  50.04
  1947          17      0.00358  0.00358  0.50   78819     282   78678  3877913  49.20
  1947          18      0.00418  0.00417  0.50   78537     327   78373  3799235  48.38
  1947          19      0.00479  0.00478  0.50   78210     374   78023  3720861  47.58
  1947          20      0.00505  0.00503  0.50   77836     392   77640  3642839  46.80
  1947          21      0.00561  0.00560  0.50   77444     433   77227  3565199  46.04
  1947          22      0.00567  0.00565  0.50   77011     435   76793  3487972  45.29
  1947          23      0.00484  0.00483  0.50   76575     370   76390  3411179  44.55
  1947          24      0.00507  0.00506  0.50   76205     386   76012  3334789  43.76
  1947          25      0.00505  0.00504  0.50   75820     382   75629  3258776  42.98
  1947          26      0.00463  0.00462  0.50   75438     348   75263  3183148  42.20
  1947          27      0.00459  0.00458  0.50   75089     344   74917  3107884  41.39
  1947          28      0.00421  0.00420  0.50   74745     314   74588  3032967  40.58
  1947          29      0.00405  0.00404  0.50   74431     301   74281  2958379  39.75
  1947          30      0.00485  0.00483  0.50   74130     358   73951  2884099  38.91
  1947          31      0.00442  0.00441  0.50   73772     325   73609  2810148  38.09
  1947          32      0.00451  0.00450  0.50   73447     330   73282  2736538  37.26
  1947          33      0.00436  0.00435  0.50   73116     318   72957  2663257  36.42
  1947          34      0.00468  0.00467  0.50   72798     340   72628  2590299  35.58
  1947          35      0.00481  0.00480  0.50   72458     348   72284  2517671  34.75
  1947          36      0.00479  0.00478  0.50   72111     345   71938  2445387  33.91
  1947          37      0.00460  0.00459  0.50   71766     329   71601  2373449  33.07
  1947          38      0.00495  0.00494  0.50   71436     353   71260  2301847  32.22
  1947          39      0.00543  0.00541  0.50   71084     385   70891  2230587  31.38
  1947          40      0.00604  0.00602  0.50   70699     426   70486  2159696  30.55
  1947          41      0.00584  0.00582  0.50   70273     409   70069  2089210  29.73
  1947          42      0.00615  0.00613  0.50   69864     428   69650  2019141  28.90
  1947          43      0.00668  0.00666  0.50   69436     462   69205  1949491  28.08
  1947          44      0.00645  0.00643  0.50   68974     444   68752  1880286  27.26
  1947          45      0.00888  0.00884  0.50   68530     606   68227  1811534  26.43
  1947          46      0.00820  0.00817  0.50   67924     555   67647  1743307  25.67
  1947          47      0.00858  0.00854  0.50   67370     576   67082  1675660  24.87
  1947          48      0.00920  0.00916  0.50   66794     612   66488  1608578  24.08
  1947          49      0.00875  0.00872  0.50   66182     577   65894  1542090  23.30
  1947          50      0.01100  0.01094  0.50   65605     718   65246  1476197  22.50
  1947          51      0.01125  0.01119  0.50   64887     726   64524  1410950  21.74
  1947          52      0.01358  0.01349  0.50   64161     865   63729  1346426  20.99
  1947          53      0.01411  0.01401  0.50   63296     887   62853  1282697  20.27
  1947          54      0.01479  0.01468  0.50   62409     916   61951  1219845  19.55
  1947          55      0.01823  0.01807  0.50   61493    1111   60937  1157894  18.83
  1947          56      0.01749  0.01734  0.50   60382    1047   59859  1096956  18.17
  1947          57      0.02102  0.02081  0.50   59335    1234   58718  1037098  17.48
  1947          58      0.02119  0.02097  0.50   58101    1218   57491   978380  16.84
  1947          59      0.02148  0.02126  0.50   56882    1209   56278   920889  16.19
  1947          60      0.02571  0.02539  0.50   55673    1413   54966   864611  15.53
  1947          61      0.02313  0.02286  0.50   54260    1241   53639   809645  14.92
  1947          62      0.02747  0.02710  0.50   53019    1437   52301   756005  14.26
  1947          63      0.02887  0.02846  0.50   51582    1468   50848   703704  13.64
  1947          64      0.03065  0.03019  0.50   50114    1513   49358   652856  13.03
  1947          65      0.03567  0.03505  0.50   48601    1703   47750   603498  12.42
  1947          66      0.03732  0.03664  0.50   46898    1718   46039   555749  11.85
  1947          67      0.04279  0.04190  0.50   45180    1893   44233   509710  11.28
  1947          68      0.04472  0.04374  0.50   43287    1893   42340   465477  10.75
  1947          69      0.04792  0.04680  0.50   41393    1937   40425   423137  10.22
  1947          70      0.06086  0.05906  0.50   39456    2330   38291   382712   9.70
  1947          71      0.05954  0.05781  0.50   37126    2146   36053   344421   9.28
  1947          72      0.06999  0.06763  0.50   34979    2366   33797   308368   8.82
  1947          73      0.06841  0.06615  0.50   32614    2157   31535   274572   8.42
  1947          74      0.07651  0.07369  0.50   30456    2244   29334   243036   7.98
  1947          75      0.08610  0.08254  0.50   28212    2329   27048   213702   7.57
  1947          76      0.08793  0.08423  0.50   25883    2180   24793   186654   7.21
  1947          77      0.10817  0.10262  0.50   23703    2432   22487   161861   6.83
  1947          78      0.09884  0.09419  0.50   21271    2004   20269   139374   6.55
  1947          79      0.11770  0.11116  0.50   19267    2142   18197   119105   6.18
  1947          80      0.13673  0.12798  0.50   17126    2192   16030   100908   5.89
  1947          81      0.12853  0.12077  0.50   14934    1804   14032    84878   5.68
  1947          82      0.14436  0.13464  0.50   13130    1768   12247    70846   5.40
  1947          83      0.14989  0.13944  0.50   11363    1584   10570    58599   5.16
  1947          84      0.16070  0.14875  0.50    9778    1454    9051    48029   4.91
  1947          85      0.18789  0.17175  0.50    8324    1430    7609    38978   4.68
  1947          86      0.16373  0.15134  0.50    6894    1043    6372    31369   4.55
  1947          87      0.20229  0.18371  0.50    5851    1075    5313    24997   4.27
  1947          88      0.22487  0.20214  0.50    4776     965    4293    19683   4.12
  1947          89      0.19953  0.18143  0.50    3811     691    3465    15390   4.04
  1947          90      0.25739  0.22804  0.50    3119     711    2764    11925   3.82
  1947          91      0.23652  0.21150  0.50    2408     509    2153     9162   3.80
  1947          92      0.23731  0.21214  0.50    1899     403    1697     7008   3.69
  1947          93      0.24917  0.22156  0.50    1496     331    1330     5311   3.55
  1947          94      0.26055  0.23052  0.50    1164     268    1030     3981   3.42
  1947          95      0.27226  0.23964  0.50     896     215     789     2951   3.29
  1947          96      0.28429  0.24891  0.50     681     170     596     2162   3.17
  1947          97      0.29664  0.25833  0.50     512     132     446     1566   3.06
  1947          98      0.30929  0.26787  0.50     380     102     329     1120   2.95
  1947          99      0.32224  0.27753  0.50     278      77     239      791   2.85
  1947         100      0.33547  0.28728  0.50     201      58     172      552   2.75
  1947         101      0.34895  0.29711  0.50     143      43     122      380   2.66
  1947         102      0.36269  0.30701  0.50     101      31      85      258   2.57
  1947         103      0.37665  0.31696  0.50      70      22      59      173   2.49
  1947         104      0.39082  0.32694  0.50      48      16      40      115   2.41
  1947         105      0.40518  0.33692  0.50      32      11      27       75   2.34
  1947         106      0.41970  0.34690  0.50      21       7      18       48   2.27
  1947         107      0.43436  0.35686  0.50      14       5      11       31   2.21
  1947         108      0.44914  0.36677  0.50       9       3       7       19   2.15
  1947         109      0.46401  0.37663  0.50       6       2       5       12   2.11
  1947         110+     0.47894  1.00000  2.09       4       4       7        7   2.09
  1948           0      0.13971  0.12725  0.30  100000   12725   91082  5442788  54.43
  1948           1      0.02762  0.02724  0.50   87275    2378   86087  5351707  61.32
  1948           2      0.01285  0.01277  0.50   84898    1084   84356  5265620  62.02
  1948           3      0.00688  0.00686  0.50   83814     575   83526  5181264  61.82
  1948           4      0.00442  0.00441  0.50   83239     367   83055  5097738  61.24
  1948           5      0.00350  0.00349  0.50   82871     290   82727  5014683  60.51
  1948           6      0.00294  0.00293  0.50   82582     242   82461  4931956  59.72
  1948           7      0.00298  0.00297  0.50   82340     245   82217  4849496  58.90
  1948           8      0.00242  0.00242  0.50   82095     198   81996  4767278  58.07
  1948           9      0.00183  0.00183  0.50   81897     150   81822  4685282  57.21
  1948          10      0.00170  0.00170  0.50   81747     139   81678  4603461  56.31
  1948          11      0.00175  0.00174  0.50   81608     142   81537  4521783  55.41
  1948          12      0.00172  0.00172  0.50   81466     140   81396  4440246  54.50
  1948          13      0.00177  0.00177  0.50   81326     144   81254  4358850  53.60
  1948          14      0.00229  0.00229  0.50   81182     186   81089  4277596  52.69
  1948          15      0.00205  0.00205  0.50   80996     166   80914  4196507  51.81
  1948          16      0.00291  0.00291  0.50   80831     235   80713  4115593  50.92
  1948          17      0.00362  0.00361  0.50   80596     291   80450  4034880  50.06
  1948          18      0.00328  0.00328  0.50   80304     263   80173  3954430  49.24
  1948          19      0.00431  0.00431  0.50   80041     345   79869  3874257  48.40
  1948          20      0.00486  0.00485  0.50   79697     387   79503  3794388  47.61
  1948          21      0.00595  0.00593  0.50   79310     470   79075  3714885  46.84
  1948          22      0.00546  0.00544  0.50   78840     429   78625  3635810  46.12
  1948          23      0.00444  0.00443  0.50   78411     347   78237  3557184  45.37
  1948          24      0.00493  0.00491  0.50   78064     384   77872  3478947  44.57
  1948          25      0.00455  0.00454  0.50   77680     353   77504  3401075  43.78
  1948          26      0.00462  0.00461  0.50   77328     356   77149  3323571  42.98
  1948          27      0.00418  0.00417  0.50   76971     321   76811  3246422  42.18
  1948          28      0.00432  0.00431  0.50   76650     330   76485  3169611  41.35
  1948          29      0.00360  0.00360  0.50   76320     275   76183  3093126  40.53
  1948          30      0.00440  0.00439  0.50   76045     334   75879  3016943  39.67
  1948          31      0.00346  0.00346  0.50   75712     262   75581  2941065  38.85
  1948          32      0.00472  0.00471  0.50   75450     355   75273  2865484  37.98
  1948          33      0.00431  0.00430  0.50   75095     323   74934  2790211  37.16
  1948          34      0.00324  0.00323  0.50   74772     242   74652  2715277  36.31
  1948          35      0.00451  0.00450  0.50   74531     335   74363  2640626  35.43
  1948          36      0.00452  0.00451  0.50   74195     335   74028  2566263  34.59
  1948          37      0.00426  0.00425  0.50   73861     314   73704  2492235  33.74
  1948          38      0.00478  0.00476  0.50   73547     350   73371  2418531  32.88
  1948          39      0.00481  0.00480  0.50   73196     352   73020  2345160  32.04
  1948          40      0.00578  0.00576  0.50   72845     420   72635  2272139  31.19
  1948          41      0.00558  0.00556  0.50   72425     403   72224  2199505  30.37
  1948          42      0.00493  0.00492  0.50   72022     354   71845  2127281  29.54
  1948          43      0.00610  0.00608  0.50   71668     436   71450  2055436  28.68
  1948          44      0.00653  0.00650  0.50   71232     463   71001  1983986  27.85
  1948          45      0.00674  0.00671  0.50   70769     475   70531  1912985  27.03
  1948          46      0.00699  0.00696  0.50   70294     489   70049  1842454  26.21
  1948          47      0.00788  0.00784  0.50   69804     548   69531  1772405  25.39
  1948          48      0.00823  0.00819  0.50   69257     567   68973  1702874  24.59
  1948          49      0.00938  0.00933  0.50   68689     641   68369  1633901  23.79
  1948          50      0.01078  0.01073  0.50   68048     730   67684  1565532  23.01
  1948          51      0.01092  0.01086  0.50   67319     731   66953  1497848  22.25
  1948          52      0.01119  0.01113  0.50   66587     741   66217  1430895  21.49
  1948          53      0.01234  0.01226  0.50   65847     808   65443  1364678  20.73
  1948          54      0.01325  0.01316  0.50   65039     856   64611  1299236  19.98
  1948          55      0.01618  0.01605  0.50   64183    1030   63668  1234625  19.24
  1948          56      0.01578  0.01566  0.50   63153     989   62658  1170957  18.54
  1948          57      0.01593  0.01581  0.50   62164     983   61673  1108298  17.83
  1948          58      0.01988  0.01968  0.50   61181    1204   60579  1046625  17.11
  1948          59      0.02045  0.02025  0.50   59977    1214   59370   986046  16.44
  1948          60      0.02643  0.02608  0.50   58763    1533   57997   926676  15.77
  1948          61      0.02313  0.02286  0.50   57230    1309   56576   868679  15.18
  1948          62      0.02830  0.02791  0.50   55922    1561   55141   812103  14.52
  1948          63      0.02656  0.02621  0.50   54361    1425   53649   756962  13.92
  1948          64      0.02850  0.02810  0.50   52936    1487   52193   703313  13.29
  1948          65      0.03306  0.03252  0.50   51449    1673   50612   651121  12.66
  1948          66      0.03484  0.03424  0.50   49776    1704   48923   600509  12.06
  1948          67      0.03875  0.03801  0.50   48071    1827   47157   551585  11.47
  1948          68      0.04345  0.04252  0.50   46244    1966   45261   504428  10.91
  1948          69      0.04521  0.04421  0.50   44277    1958   43298   459167  10.37
  1948          70      0.06134  0.05952  0.50   42320    2519   41060   415869   9.83
  1948          71      0.05480  0.05334  0.50   39801    2123   38740   374809   9.42
  1948          72      0.06618  0.06406  0.50   37678    2414   36471   336069   8.92
  1948          73      0.06956  0.06723  0.50   35264    2371   34079   299598   8.50
  1948          74      0.07180  0.06931  0.50   32894    2280   31754   265519   8.07
  1948          75      0.08655  0.08296  0.50   30614    2540   29344   233765   7.64
  1948          76      0.09978  0.09504  0.50   28074    2668   26740   204421   7.28
  1948          77      0.08160  0.07840  0.50   25406    1992   24410   177681   6.99
  1948          78      0.11946  0.11272  0.50   23414    2639   22094   153271   6.55
  1948          79      0.10661  0.10121  0.50   20775    2103   19723   131176   6.31
  1948          80      0.13446  0.12599  0.50   18672    2352   17496   111453   5.97
  1948          81      0.13170  0.12356  0.50   16320    2017   15311    93957   5.76
  1948          82      0.15074  0.14017  0.50   14303    2005   13301    78646   5.50
  1948          83      0.13972  0.13060  0.50   12298    1606   11495    65345   5.31
  1948          84      0.16227  0.15009  0.50   10692    1605    9890    53850   5.04
  1948          85      0.18528  0.16957  0.50    9087    1541    8317    43960   4.84
  1948          86      0.18016  0.16528  0.50    7546    1247    6923    35643   4.72
  1948          87      0.17637  0.16208  0.50    6299    1021    5789    28721   4.56
  1948          88      0.19721  0.17951  0.50    5278     947    4804    22932   4.34
  1948          89      0.20724  0.18778  0.50    4331     813    3924    18128   4.19
  1948          90      0.21644  0.19530  0.50    3517     687    3174    14204   4.04
  1948          91      0.19201  0.17519  0.50    2830     496    2583    11030   3.90
  1948          92      0.25890  0.22922  0.50    2335     535    2067     8447   3.62
  1948          93      0.24885  0.22132  0.50    1799     398    1600     6380   3.55
  1948          94      0.26052  0.23049  0.50    1401     323    1240     4780   3.41
  1948          95      0.27253  0.23985  0.50    1078     259     949     3540   3.28
  1948          96      0.28488  0.24936  0.50     820     204     717     2591   3.16
  1948          97      0.29756  0.25902  0.50     615     159     536     1874   3.05
  1948          98      0.31056  0.26882  0.50     456     123     395     1338   2.94
  1948          99      0.32387  0.27874  0.50     333      93     287      944   2.83
  1948         100      0.33747  0.28875  0.50     240      69     206      657   2.73
  1948         101      0.35135  0.29885  0.50     171      51     145      451   2.64
  1948         102      0.36548  0.30901  0.50     120      37     101      306   2.55
  1948         103      0.37984  0.31922  0.50      83      26      70      204   2.46
  1948         104      0.39442  0.32945  0.50      56      19      47      135   2.39
  1948         105      0.40919  0.33969  0.50      38      13      31       87   2.31
  1948         106      0.42412  0.34992  0.50      25       9      21       56   2.24
  1948         107      0.43920  0.36012  0.50      16       6      13       35   2.18
  1948         108      0.45439  0.37027  0.50      10       4       8       22   2.13
  1948         109      0.46966  0.38034  0.50       7       2       5       14   2.09
  1948         110+     0.48499  1.00000  2.06       4       4       8        8   2.06
  1949           0      0.13644  0.12453  0.30  100000   12453   91272  5634217  56.34
  1949           1      0.02168  0.02145  0.50   87547    1877   86608  5542945  63.31
  1949           2      0.00914  0.00910  0.50   85669     779   85280  5456337  63.69
  1949           3      0.00499  0.00497  0.50   84890     422   84679  5371058  63.27
  1949           4      0.00391  0.00391  0.50   84468     330   84303  5286379  62.58
  1949           5      0.00259  0.00258  0.50   84138     217   84029  5202076  61.83
  1949           6      0.00231  0.00230  0.50   83921     193   83824  5118047  60.99
  1949           7      0.00219  0.00219  0.50   83727     183   83636  5034223  60.13
