Belarus, Population size (abridged)	Last modified: 20 Apr 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1959           0             95281.13        99384.20       194665.33
  1959           1             91799.21        95989.24       187788.45
  1959           2             92449.71        96557.29       189007.00
  1959           3             90404.85        94598.02       185002.87
  1959           4             87859.65        91874.23       179733.88
  1959           5             80312.84        82923.81       163236.65
  1959           6             81745.60        85136.87       166882.47
  1959           7             80286.62        83975.71       164262.33
  1959           8             82161.91        85735.39       167897.30
  1959           9             79971.43        82235.35       162206.78
  1959          10             80449.09        82868.20       163317.29
  1959          11             72747.23        74728.78       147476.01
  1959          12             65938.00        68348.42       134286.42
  1959          13             45008.70        47011.40        92020.10
  1959          14             52587.17        53426.23       106013.40
  1959          15             46770.14        46705.56        93475.70
  1959          16             59851.90        58729.02       118580.92
  1959          17             71415.90        66370.27       137786.17
  1959          18             80097.47        73258.86       153356.33
  1959          19             77229.83        71094.48       148324.31
  1959          20             89176.13        75954.68       165130.81
  1959          21             80261.57        73717.44       153979.01
  1959          22             85928.42        73360.17       159288.59
  1959          23             73833.20        66142.40       139975.60
  1959          24             69522.35        59623.08       129145.43
  1959          25             73021.48        61781.18       134802.66
  1959          26             85336.90        71416.48       156753.38
  1959          27             68316.98        63733.22       132050.20
  1959          28             89690.12        80063.49       169753.61
  1959          29             73605.85        64272.06       137877.91
  1959          30             92005.71        76296.06       168301.77
  1959          31             70801.11        60302.90       131104.01
  1959          32             80101.08        55149.98       135251.06
  1959          33             73258.57        48682.78       121941.35
  1959          34             72427.24        45645.64       118072.88
  1959          35             71135.75        45342.16       116477.91
  1959          36             66208.73        41853.93       108062.66
  1959          37             43410.85        30458.98        73869.83
  1959          38             52994.29        34090.20        87084.49
  1959          39             37993.72        24685.33        62679.05
  1959          40             50620.60        30042.20        80662.80
  1959          41             28959.61        19091.36        48050.97
  1959          42             36339.85        22042.89        58382.74
  1959          43             41901.97        24783.82        66685.79
  1959          44             54047.62        30516.99        84564.61
  1959          45             52581.61        31798.12        84379.73
  1959          46             56932.30        33579.13        90511.43
  1959          47             46473.81        30086.46        76560.27
  1959          48             63876.80        36322.97       100199.77
  1959          49             44030.65        29062.30        73092.95
  1959          50             57511.61        35485.19        92996.80
  1959          51             42830.10        31027.60        73857.70
  1959          52             46012.40        32931.34        78943.74
  1959          53             44149.17        29602.03        73751.20
  1959          54             44731.43        30420.95        75152.38
  1959          55             51385.36        29522.11        80907.47
  1959          56             48009.35        27822.02        75831.37
  1959          57             37618.79        20468.00        58086.79
  1959          58             61425.67        30142.51        91568.18
  1959          59             29823.96        18085.42        47909.38
  1959          60             50538.58        24472.21        75010.79
  1959          61             24865.32        17512.43        42377.75
  1959          62             33010.96        20822.89        53833.85
  1959          63             32460.16        20010.67        52470.83
  1959          64             29665.59        18665.30        48330.89
  1959          65             37949.76        20637.16        58586.92
  1959          66             27872.15        18138.07        46010.22
  1959          67             28185.53        15585.40        43770.93
  1959          68             29469.93        16035.84        45505.77
  1959          69             20366.13        10262.99        30629.12
  1959          70             45992.63        18457.57        64450.20
  1959          71             15581.61        10203.94        25785.55
  1959          72             19616.65        11463.88        31080.53
  1959          73             17191.28        10082.54        27273.82
  1959          74             15097.77         9452.45        24550.22
  1959          75             20383.00        10045.66        30428.66
  1959          76             13055.36         8025.35        21080.71
  1959          77             10466.97         6129.57        16596.54
  1959          78             12557.02         7389.25        19946.27
  1959          79              6853.36         3943.44        10796.80
  1959          80              7841.15         3717.61        11558.76
  1959          81              6662.99         3260.62         9923.61
  1959          82              5876.67         2855.10         8731.77
  1959          83              5792.14         2552.59         8344.73
  1959          84              5140.87         2241.79         7382.66
  1959          85              3995.11         1796.63         5791.74
  1959          86              3205.08         1469.66         4674.74
  1959          87              2752.91         1213.51         3966.42
  1959          88              2809.92         1110.82         3920.74
  1959          89              2313.68          892.53         3206.21
  1959          90              1410.93          533.96         1944.89
  1959          91              1162.94          375.36         1538.30
  1959          92               922.66          299.70         1222.36
  1959          93               815.39          272.77         1088.16
  1959          94               821.34          240.39         1061.73
  1959          95               636.19          200.48          836.67
  1959          96               404.27          150.11          554.38
  1959          97               437.17          107.28          544.45
  1959          98               295.67           82.05          377.72
  1959          99               204.68           60.81          265.49
  1959         100               157.58           45.61          203.19
  1959         101               119.96           33.41          153.37
  1959         102                91.04           24.32          115.36
  1959         103                68.19           17.79           85.98
  1959         104                50.47           12.89           63.36
  1959         105                35.85            9.40           45.25
  1959         106                26.38            6.78           33.16
  1959         107                19.18            4.45           23.63
  1959         108                13.81            2.71           16.52
  1959         109                 9.82            1.66           11.48
  1959         110+               14.42            0.29           14.71
  1960           0             95572.53       101420.60       196993.13
  1960           1             93939.97        97700.10       191640.07
  1960           2             91421.17        95621.93       187043.10
  1960           3             92290.10        96389.10       188679.20
  1960           4             90301.14        94470.73       184771.87
  1960           5             87782.69        91778.14       179560.83
  1960           6             80239.31        82838.29       163077.60
  1960           7             81681.27        85047.28       166728.55
  1960           8             80233.12        83890.41       164123.53
  1960           9             82115.51        85655.85       167771.36
  1960          10             79926.65        82146.27       162072.92
  1960          11             80402.03        82784.74       163186.77
  1960          12             72703.73        74656.77       147360.50
  1960          13             65900.89        68285.96       134186.85
  1960          14             44980.67        46956.88        91937.55
  1960          15             52559.18        53372.18       105931.36
  1960          16             46735.71        46654.59        93390.30
