Canada, Population size (abridged)	Last modified: 15 Mar 2019;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
     1921        0            108499.52       111940.54       220440.06
     1921        1            107539.94       109577.74       217117.68
     1921        2            108310.82       110221.12       218531.94
     1921        3            108455.40       110284.39       218739.79
     1921        4            107845.81       109651.46       217497.27
     1921        5            106582.63       108415.98       214998.61
     1921        6            104803.66       106641.90       211445.56
     1921        7            102579.40       104387.05       206966.45
     1921        8             99997.21       101800.33       201797.54
     1921        9             97067.77        98861.16       195928.93
     1921       10             93816.96        95568.72       189385.68
     1921       11             90903.33        92590.73       183494.06
     1921       12             88649.87        90248.69       178898.56
     1921       13             86842.93        88311.50       175154.43
     1921       14             84924.54        86286.63       171211.17
     1921       15             83021.04        84358.36       167379.40
     1921       16             81157.45        82241.65       163399.10
     1921       17             79326.99        79746.26       159073.25
     1921       18             77582.52        77073.84       154656.36
     1921       19             75906.05        74590.60       150496.65
     1921       20             74246.29        72139.19       146385.48
     1921       21             72860.72        70397.04       143257.76
     1921       22             71861.88        69719.02       141580.90
     1921       23             71089.66        69751.44       140841.10
     1921       24             70326.62        69806.62       140133.24
     1921       25             69669.92        70043.84       139713.76
     1921       26             68855.42        70138.80       138994.22
     1921       27             67698.51        69881.77       137580.28
     1921       28             66337.38        69397.78       135735.16
     1921       29             65028.86        68988.18       134017.04
     1921       30             63626.58        68499.91       132126.49
     1921       31             62500.71        68344.78       130845.49
     1921       32             61850.11        68709.88       130559.99
     1921       33             61444.94        69281.21       130726.15
     1921       34             60956.64        69744.05       130700.69
     1921       35             60493.62        70226.97       130720.59
     1921       36             59529.26        69807.22       129336.48
     1921       37             57820.59        68165.89       125986.48
     1921       38             55619.71        65638.53       121258.24
     1921       39             53466.31        63142.15       116608.46
     1921       40             51253.51        60517.90       111771.41
     1921       41             49191.71        58058.98       107250.69
     1921       42             47403.18        56040.56       103443.74
     1921       43             45749.38        54258.36       100007.74
     1921       44             44070.72        52407.52        96478.24
     1921       45             42339.37        50453.31        92792.68
     1921       46             40730.11        48550.20        89280.31
     1921       47             39351.25        46842.35        86193.60
     1921       48             38104.79        45217.14        83321.93
     1921       49             36902.06        43641.39        80543.45
     1921       50             35760.63        42122.25        77882.88
     1921       51             34530.15        40409.81        74939.96
     1921       52             33061.75        38411.19        71472.94
     1921       53             31438.20        36197.82        67636.02
     1921       54             29901.22        34098.21        63999.43
     1921       55             28327.99        31957.34        60285.33
     1921       56             27041.24        30220.52        57261.76
     1921       57             26232.68        29208.66        55441.34
     1921       58             25666.80        28647.22        54314.02
     1921       59             25078.13        28039.35        53117.48
     1921       60             24525.77        27486.28        52012.05
     1921       61             23691.88        26639.04        50330.92
     1921       62             22501.99        25306.09        47808.08
     1921       63             21040.20        23573.12        44613.32
     1921       64             19678.39        22004.49        41682.88
     1921       65             18289.72        20408.98        38698.70
     1921       66             16978.28        18878.58        35856.86
     1921       67             15946.13        17640.40        33586.53
     1921       68             15002.21        16465.23        31467.44
     1921       69             14037.72        15311.07        29348.79
     1921       70             13099.61        14147.18        27246.79
     1921       71             12147.37        12999.09        25146.46
     1921       72             11252.11        11931.62        23183.73
     1921       73             10327.75        10818.95        21146.70
     1921       74              9484.04         9784.74        19268.78
     1921       75              8662.56         8804.09        17466.65
     1921       76              7830.97         7853.53        15684.50
     1921       77              7081.22         7006.14        14087.36
     1921       78              6346.05         6225.55        12571.60
     1921       79              6286.79         5677.85        11964.64
     1921       80              5659.03         5070.22        10729.25
     1921       81              4822.01         4258.50         9080.51
     1921       82              4099.54         3559.68         7659.22
     1921       83              3607.13         3172.92         6780.05
     1921       84              3095.35         2680.16         5775.51
     1921       85              2584.26         2109.92         4694.18
     1921       86              2132.52         1679.99         3812.51
     1921       87              1772.54         1394.56         3167.10
     1921       88              1360.26         1080.15         2440.41
     1921       89              1070.45          817.41         1887.86
     1921       90               883.27          624.56         1507.83
     1921       91               678.67          475.11         1153.78
     1921       92               491.28          359.09          850.37
     1921       93               370.22          256.63          626.85
     1921       94               276.43          194.77          471.20
     1921       95               206.01          142.57          348.58
     1921       96               161.28          102.33          263.61
     1921       97               104.84           75.74          180.58
     1921       98                64.11           50.94          115.05
     1921       99                49.03           38.84           87.87
     1921      100                32.74           29.04           61.78
     1921      101                21.17           19.60           40.77
     1921      102                13.41           12.95           26.36
     1921      103                 7.80            8.23           16.03
     1921      104                 4.43            5.40            9.83
     1921      105                 2.08            3.21            5.29
     1921      106                 0.94            2.15            3.09
     1921      107                 0.32            1.16            1.48
     1921      108                 0.00            0.31            0.31
     1921      109                 0.00            0.00            0.00
     1921      110+                0.00            0.00            0.00
     1922        0            100882.56       102935.93       203818.49
     1922        1            104215.84       106149.08       210364.92
     1922        2            106423.42       108277.86       214701.28
     1922        3            107621.31       109423.01       217044.32
     1922        4            107916.33       109690.28       217606.61
     1922        5            107421.47       109186.50       216607.97
     1922        6            106248.39       108013.08       214261.47
     1922        7            104506.51       106280.10       210786.61
     1922        8            102307.81       104085.55       206393.36
     1922        9             99765.96       101543.26       201309.22
     1922       10             96872.72        98637.24       195509.96
     1922       11             93631.90        95360.39       188992.29
     1922       12             90718.39        92390.36       183108.75
     1922       13             88470.09        90056.06       178526.15
     1922       14             86658.68        88123.90       174782.58
     1922       15             84727.28        86090.75       170818.03
     1922       16             82800.45        84137.42       166937.87
