Switzerland, Population size (abridged)	Last modified: 15 May 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1876           0             33781.00        34056.00        67837.00
  1876           1             32902.00        33277.00        66179.00
  1876           2             32380.00        32888.00        65268.00
  1876           3             32329.00        32851.00        65180.00
  1876           4             31868.00        32327.00        64195.00
  1876           5             29223.00        28638.00        57861.00
  1876           6             29344.00        28996.00        58340.00
  1876           7             28585.00        28401.00        56986.00
  1876           8             28413.00        28041.00        56454.00
  1876           9             28243.00        27671.00        55914.00
  1876          10             28074.00        27485.00        55559.00
  1876          11             27906.00        27397.00        55303.00
  1876          12             27740.00        27266.00        55006.00
  1876          13             27211.00        26818.00        54029.00
  1876          14             26693.00        26198.00        52891.00
  1876          15             26184.00        25620.00        51804.00
  1876          16             25685.00        25079.00        50764.00
  1876          17             25196.00        24307.00        49503.00
  1876          18             24493.00        23580.00        48073.00
  1876          19             23811.00        22874.00        46685.00
  1876          20             22847.00        22189.00        45036.00
  1876          21             22361.00        21525.00        43886.00
  1876          22             21889.00        20880.00        42769.00
  1876          23             21769.00        20623.00        42392.00
  1876          24             21648.00        20369.00        42017.00
  1876          25             21528.00        20118.00        41646.00
  1876          26             21408.00        19872.00        41280.00
  1876          27             21288.00        19629.00        40917.00
  1876          28             21180.00        19560.00        40740.00
  1876          29             21072.00        19491.00        40563.00
  1876          30             20964.00        19422.00        40386.00
  1876          31             20857.00        19353.00        40210.00
  1876          32             20749.00        19284.00        40033.00
  1876          33             20521.00        19043.00        39564.00
  1876          34             20295.00        18804.00        39099.00
  1876          35             20071.00        18568.00        38639.00
  1876          36             19706.00        18334.00        38040.00
  1876          37             19453.00        18101.00        37554.00
  1876          38             18955.00        17693.00        36648.00
  1876          39             18470.00        17295.00        35765.00
  1876          40             17997.00        16905.00        34902.00
  1876          41             17537.00        16525.00        34062.00
  1876          42             17088.00        16153.00        33241.00
  1876          43             16883.00        15916.00        32799.00
  1876          44             16680.00        15682.00        32362.00
  1876          45             16480.00        15452.00        31932.00
  1876          46             16283.00        15225.00        31508.00
  1876          47             16088.00        15002.00        31090.00
  1876          48             15672.00        14600.00        30272.00
  1876          49             15267.00        14209.00        29476.00
  1876          50             14873.00        13829.00        28702.00
  1876          51             14489.00        13460.00        27949.00
  1876          52             14116.00        13100.00        27216.00
  1876          53             13575.00        12545.00        26120.00
  1876          54             13056.00        12015.00        25071.00
  1876          55             12558.00        11508.00        24066.00
  1876          56             12080.00        11023.00        23103.00
  1876          57             11621.00        10560.00        22181.00
  1876          58             11128.00        10163.00        21291.00
  1876          59             10658.00         9783.00        20441.00
  1876          60             10211.00         9418.00        19629.00
  1876          61              9784.00         9069.00        18853.00
  1876          62              9376.00         8734.00        18110.00
  1876          63              8913.00         8280.00        17193.00
  1876          64              8477.00         7854.00        16331.00
  1876          65              8066.00         7452.00        15518.00
  1876          66              7680.00         7075.00        14755.00
