Switzerland, Life tables (period 1x1), Females	Last modified: 15 May 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1876           0      0.22666  0.19617  0.31  100000   19617   86545  4193352  41.93
  1876           1      0.03892  0.03818  0.50   80383    3069   78849  4106807  51.09
  1876           2      0.01801  0.01785  0.50   77315    1380   76625  4027958  52.10
  1876           3      0.01241  0.01233  0.50   75935     937   75466  3951333  52.04
  1876           4      0.00917  0.00912  0.50   74998     684   74656  3875867  51.68
  1876           5      0.00770  0.00767  0.50   74314     570   74029  3801211  51.15
  1876           6      0.00624  0.00622  0.50   73744     458   73514  3727182  50.54
  1876           7      0.00482  0.00481  0.50   73285     353   73109  3653667  49.86
  1876           8      0.00409  0.00408  0.50   72933     297   72784  3580559  49.09
  1876           9      0.00407  0.00407  0.50   72635     295   72488  3507775  48.29
  1876          10      0.00449  0.00448  0.50   72340     324   72178  3435287  47.49
  1876          11      0.00358  0.00358  0.50   72016     258   71887  3363109  46.70
  1876          12      0.00368  0.00367  0.50   71758     263   71627  3291222  45.87
  1876          13      0.00383  0.00382  0.50   71495     273   71358  3219595  45.03
  1876          14      0.00472  0.00471  0.50   71222     336   71054  3148237  44.20
  1876          15      0.00520  0.00518  0.50   70886     367   70702  3077183  43.41
  1876          16      0.00518  0.00517  0.50   70519     364   70336  3006481  42.63
  1876          17      0.00773  0.00770  0.50   70154     540   69884  2936144  41.85
  1876          18      0.00549  0.00547  0.50   69614     381   69424  2866260  41.17
  1876          19      0.00628  0.00626  0.50   69233     433   69017  2796837  40.40
  1876          20      0.00646  0.00644  0.50   68800     443   68578  2727820  39.65
  1876          21      0.00662  0.00660  0.50   68357     451   68131  2659242  38.90
  1876          22      0.00759  0.00756  0.50   67906     514   67649  2591110  38.16
  1876          23      0.00835  0.00832  0.50   67392     561   67112  2523461  37.44
  1876          24      0.00854  0.00850  0.50   66831     568   66547  2456350  36.75
  1876          25      0.00854  0.00850  0.50   66263     563   65981  2389803  36.07
  1876          26      0.00919  0.00915  0.50   65700     601   65399  2323821  35.37
  1876          27      0.00934  0.00930  0.50   65098     605   64796  2258422  34.69
  1876          28      0.00863  0.00859  0.50   64493     554   64216  2193626  34.01
  1876          29      0.00877  0.00873  0.50   63939     558   63660  2129410  33.30
  1876          30      0.00909  0.00905  0.50   63381     574   63094  2065750  32.59
  1876          31      0.00977  0.00972  0.50   62807     610   62502  2002656  31.89
  1876          32      0.01088  0.01082  0.50   62197     673   61860  1940154  31.19
  1876          33      0.00887  0.00883  0.50   61524     543   61252  1878293  30.53
  1876          34      0.01203  0.01196  0.50   60981     729   60616  1817041  29.80
  1876          35      0.01232  0.01224  0.50   60252     738   59883  1756425  29.15
  1876          36      0.01108  0.01102  0.50   59514     656   59186  1696542  28.51
  1876          37      0.01187  0.01180  0.50   58858     695   58511  1637356  27.82
  1876          38      0.01221  0.01214  0.50   58163     706   57811  1578845  27.14
  1876          39      0.01232  0.01225  0.50   57458     704   57106  1521034  26.47
  1876          40      0.01104  0.01098  0.50   56754     623   56442  1463928  25.79
  1876          41      0.01105  0.01099  0.50   56131     617   55822  1407486  25.08
  1876          42      0.01186  0.01179  0.50   55514     655   55186  1351664  24.35
  1876          43      0.01216  0.01208  0.50   54859     663   54528  1296477  23.63
  1876          44      0.01237  0.01229  0.50   54196     666   53863  1241950  22.92
  1876          45      0.01349  0.01340  0.50   53530     717   53171  1188087  22.19
  1876          46      0.01279  0.01271  0.50   52813     671   52477  1134915  21.49
  1876          47      0.01320  0.01312  0.50   52142     684   51800  1082438  20.76
  1876          48      0.01352  0.01343  0.50   51458     691   51112  1030638  20.03
  1876          49      0.01441  0.01430  0.50   50767     726   50404   979526  19.29
  1876          50      0.01727  0.01712  0.50   50040     857   49612   929123  18.57
  1876          51      0.01656  0.01643  0.50   49184     808   48780   879511  17.88
  1876          52      0.01919  0.01901  0.50   48376     920   47916   830731  17.17
  1876          53      0.02079  0.02058  0.50   47456     977   46968   782815  16.50
  1876          54      0.02346  0.02319  0.50   46480    1078   45941   735847  15.83
  1876          55      0.02593  0.02559  0.50   45402    1162   44821   689906  15.20
  1876          56      0.02737  0.02700  0.50   44240    1195   43642   645085  14.58
  1876          57      0.02617  0.02583  0.50   43045    1112   42489   601443  13.97
  1876          58      0.02257  0.02232  0.50   41933     936   41465   558954  13.33
  1876          59      0.03435  0.03377  0.50   40997    1385   40305   517488  12.62
  1876          60      0.04061  0.03980  0.50   39613    1577   38824   477183  12.05
  1876          61      0.03936  0.03860  0.50   38036    1468   37302   438359  11.52
  1876          62      0.04357  0.04264  0.50   36568    1559   35788   401057  10.97
  1876          63      0.04732  0.04623  0.50   35009    1618   34200   365269  10.43
  1876          64      0.05436  0.05292  0.50   33390    1767   32507   331069   9.92
  1876          65      0.05131  0.05003  0.50   31623    1582   30832   298562   9.44
  1876          66      0.06384  0.06186  0.50   30041    1858   29112   267730   8.91
  1876          67      0.06834  0.06608  0.50   28183    1862   27252   238618   8.47
  1876          68      0.08006  0.07698  0.50   26321    2026   25308   211366   8.03
  1876          69      0.07817  0.07523  0.50   24295    1828   23381   186058   7.66
  1876          70      0.08949  0.08565  0.50   22467    1924   21505   162678   7.24
  1876          71      0.09562  0.09126  0.50   20543    1875   19605   141173   6.87
  1876          72      0.10589  0.10056  0.50   18668    1877   17729   121568   6.51
  1876          73      0.11637  0.10998  0.50   16791    1847   15867   103839   6.18
  1876          74      0.12378  0.11657  0.50   14944    1742   14073    87971   5.89
  1876          75      0.13168  0.12355  0.50   13202    1631   12386    73899   5.60
  1876          76      0.14035  0.13115  0.50   11571    1517   10812    61512   5.32
  1876          77      0.14551  0.13564  0.50   10053    1364    9372    50700   5.04
  1876          78      0.15606  0.14476  0.50    8690    1258    8061    41328   4.76
  1876          79      0.15583  0.14457  0.50    7432    1074    6895    33268   4.48
  1876          80      0.18784  0.17171  0.50    6357    1092    5812    26373   4.15
  1876          81      0.20617  0.18691  0.50    5266     984    4774    20561   3.90
  1876          82      0.20358  0.18477  0.50    4282     791    3886    15788   3.69
  1876          83      0.24869  0.22118  0.50    3490     772    3104    11902   3.41
  1876          84      0.28846  0.25210  0.50    2718     685    2376     8797   3.24
  1876          85      0.25905  0.22935  0.50    2033     466    1800     6421   3.16
  1876          86      0.29440  0.25663  0.50    1567     402    1366     4621   2.95
  1876          87      0.31450  0.27176  0.50    1165     317    1006     3256   2.80
  1876          88      0.33531  0.28716  0.50     848     244     726     2249   2.65
  1876          89      0.35678  0.30277  0.50     605     183     513     1523   2.52
  1876          90      0.37884  0.31851  0.50     422     134     354     1010   2.39
  1876          91      0.40142  0.33432  0.50     287      96     239      655   2.28
  1876          92      0.42442  0.35012  0.50     191      67     158      416   2.17
  1876          93      0.44775  0.36585  0.50     124      45     102      258   2.08
  1876          94      0.47132  0.38143  0.50      79      30      64      157   1.99
  1876          95      0.49501  0.39680  0.50      49      19      39       93   1.90
  1876          96      0.51873  0.41190  0.50      29      12      23       54   1.83
  1876          97      0.54236  0.42666  0.50      17       7      14       30   1.76
  1876          98      0.56581  0.44104  0.50      10       4       8       17   1.69
  1876          99      0.58896  0.45498  0.50       6       3       4        9   1.63
  1876         100      0.61172  0.46844  0.50       3       1       2        5   1.58
  1876         101      0.63401  0.48140  0.50       2       1       1        2   1.53
  1876         102      0.65574  0.49383  0.50       1       0       1        1   1.48
  1876         103      0.67684  0.50570  0.50       0       0       0        1   1.44
  1876         104      0.69724  0.51700  0.50       0       0       0        0   1.40
  1876         105      0.71689  0.52773  0.50       0       0       0        0   1.37
  1876         106      0.73575  0.53788  0.50       0       0       0        0   1.33
  1876         107      0.75378  0.54745  0.50       0       0       0        0   1.31
  1876         108      0.77097  0.55646  0.50       0       0       0        0   1.28
  1876         109      0.78730  0.56492  0.50       0       0       0        0   1.26
  1876         110+     0.80276  1.00000  1.25       0       0       0        0   1.25
  1877           0      0.22008  0.19122  0.31  100000   19122   86885  4151846  41.52
  1877           1      0.04499  0.04400  0.50   80878    3559   79099  4064961  50.26
  1877           2      0.02418  0.02390  0.50   77319    1848   76395  3985863  51.55
  1877           3      0.01703  0.01689  0.50   75472    1275   74834  3909467  51.80
  1877           4      0.01275  0.01267  0.50   74197     940   73727  3834633  51.68
  1877           5      0.01007  0.01002  0.50   73257     734   72890  3760906  51.34
  1877           6      0.00729  0.00726  0.50   72523     527   72259  3688016  50.85
  1877           7      0.00753  0.00751  0.50   71996     540   71726  3615756  50.22
  1877           8      0.00630  0.00628  0.50   71456     449   71231  3544030  49.60
  1877           9      0.00454  0.00453  0.50   71007     322   70846  3472799  48.91
  1877          10      0.00542  0.00541  0.50   70685     382   70494  3401954  48.13
  1877          11      0.00452  0.00451  0.50   70303     317   70144  3331460  47.39
  1877          12      0.00382  0.00381  0.50   69986     267   69853  3261315  46.60
  1877          13      0.00402  0.00401  0.50   69719     280   69579  3191463  45.78
  1877          14      0.00422  0.00421  0.50   69439     292   69293  3121883  44.96
  1877          15      0.00482  0.00481  0.50   69147     333   68981  3052590  44.15
  1877          16      0.00664  0.00661  0.50   68815     455   68587  2983609  43.36
  1877          17      0.00603  0.00601  0.50   68360     411   68154  2915022  42.64
  1877          18      0.00666  0.00664  0.50   67949     451   67723  2846868  41.90
  1877          19      0.00699  0.00697  0.50   67498     470   67262  2779144  41.17
  1877          20      0.00612  0.00610  0.50   67027     409   66823  2711882  40.46
  1877          21      0.00556  0.00555  0.50   66618     370   66433  2645059  39.70
  1877          22      0.00745  0.00743  0.50   66249     492   66003  2578626  38.92
  1877          23      0.00742  0.00739  0.50   65757     486   65514  2512623  38.21
  1877          24      0.00834  0.00830  0.50   65270     542   64999  2447110  37.49
  1877          25      0.00829  0.00825  0.50   64728     534   64461  2382110  36.80
  1877          26      0.00771  0.00768  0.50   64194     493   63948  2317649  36.10
  1877          27      0.00942  0.00937  0.50   63701     597   63403  2253701  35.38
  1877          28      0.00999  0.00994  0.50   63104     627   62790  2190299  34.71
  1877          29      0.00845  0.00842  0.50   62477     526   62214  2127508  34.05
  1877          30      0.00844  0.00841  0.50   61951     521   61690  2065295  33.34
  1877          31      0.00819  0.00816  0.50   61430     501   61179  2003604  32.62
