ChilePopulation size (abridged)	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1992           0            137041.17       143510.38       280551.55
  1992           1            133975.25       140086.19       274061.44
  1992           2            141420.05       147408.46       288828.51
  1992           3            146206.47       152530.40       298736.87
  1992           4            148345.97       155414.23       303760.20
  1992           5            126736.52       131385.79       258122.31
  1992           6            122054.06       125575.94       247630.00
  1992           7            119631.19       123685.18       243316.37
  1992           8            119717.37       123228.44       242945.81
  1992           9            125570.55       129065.04       254635.59
  1992          10            128341.95       132630.81       260972.76
  1992          11            120978.72       125911.18       246889.90
  1992          12            118794.61       121904.44       240699.05
  1992          13            115676.71       118325.44       234002.15
  1992          14            116370.83       120840.23       237211.06
  1992          15            113442.36       116906.61       230348.97
  1992          16            118368.73       122117.47       240486.20
  1992          17            124083.89       128477.07       252560.96
  1992          18            125667.86       129236.05       254903.91
  1992          19            122061.34       121054.35       243115.69
  1992          20            121453.86       119198.16       240652.02
  1992          21            120276.61       119711.01       239987.62
  1992          22            120499.35       119628.44       240127.79
  1992          23            123052.97       120117.27       243170.24
  1992          24            124185.11       120598.07       244783.18
  1992          25            123722.74       118938.95       242661.69
  1992          26            125584.78       120583.26       246168.04
  1992          27            126760.15       122264.37       249024.52
  1992          28            124133.74       120382.69       244516.43
  1992          29            124652.11       119708.72       244360.83
  1992          30            122894.23       117544.65       240438.88
  1992          31            114288.57       109813.81       224102.38
  1992          32            118461.82       112755.66       231217.48
  1992          33            109875.19       107538.36       217413.55
  1992          34            103649.46        99505.88       203155.34
  1992          35            102150.91        96607.92       198758.83
  1992          36             98453.02        92576.68       191029.70
  1992          37             94995.11        89159.36       184154.47
  1992          38             92072.22        87214.45       179286.67
  1992          39             85849.05        81843.67       167692.72
  1992          40             82335.58        76794.58       159130.16
  1992          41             77958.94        75647.15       153606.09
  1992          42             85623.16        81550.41       167173.57
  1992          43             74220.66        69893.30       144113.96
  1992          44             69376.51        64391.58       133768.09
  1992          45             68317.02        63061.87       131378.89
  1992          46             69096.69        66240.09       135336.78
  1992          47             67991.08        64399.46       132390.54
  1992          48             64992.60        61503.04       126495.64
  1992          49             62094.04        58042.62       120136.66
  1992          50             61092.14        55765.18       116857.32
  1992          51             56262.74        54227.76       110490.50
  1992          52             60183.63        56623.73       116807.36
  1992          53             51650.71        47028.88        98679.59
  1992          54             50593.97        44920.77        95514.74
  1992          55             48393.48        42915.74        91309.22
  1992          56             46841.61        43217.98        90059.59
  1992          57             45347.27        41323.43        86670.70
  1992          58             45465.07        41190.21        86655.28
  1992          59             46591.96        39980.57        86572.53
  1992          60             48477.63        39765.48        88243.11
  1992          61             44037.04        39966.82        84003.86
  1992          62             49591.18        42863.70        92454.88
  1992          63             44027.46        37677.56        81705.02
  1992          64             42681.45        37655.28        80336.73
  1992          65             40400.23        35035.68        75435.91
  1992          66             34093.85        28838.76        62932.61
  1992          67             32464.21        27731.30        60195.51
  1992          68             29464.08        24072.07        53536.15
  1992          69             27500.78        22328.21        49828.99
  1992          70             28558.32        22393.60        50951.92
  1992          71             25023.84        20791.75        45815.59
  1992          72             27607.45        21411.86        49019.31
  1992          73             23591.64        17745.44        41337.08
  1992          74             23108.04        16931.61        40039.65
  1992          75             22384.15        16139.20        38523.35
  1992          76             20291.35        14605.95        34897.30
  1992          77             18754.03        13551.04        32305.07
  1992          78             18518.34        12747.12        31265.46
  1992          79             16341.95        10894.99        27236.94
  1992          80             15660.03        10059.18        25719.21
  1992          81             14199.27         8869.98        23069.25
  1992          82             12509.59         7491.16        20000.75
  1992          83             10893.71         6421.58        17315.29
  1992          84              9566.38         5449.85        15016.23
  1992          85              8472.12         4432.51        12904.63
  1992          86              7142.74         3521.13        10663.87
  1992          87              5845.20         2860.49         8705.69
  1992          88              4871.76         2310.93         7182.69
  1992          89              4009.75         1812.68         5822.43
  1992          90              3222.07         1411.70         4633.77
  1992          91              2531.69         1077.88         3609.57
  1992          92              1848.06          739.59         2587.65
  1992          93              1349.12          473.94         1823.06
  1992          94              1025.45          324.87         1350.32
  1992          95               749.22          238.09          987.31
  1992          96               528.96          171.12          700.08
  1992          97               363.66           96.84          460.50
  1992          98               237.77           66.91          304.68
  1992          99               154.68           49.07          203.75
  1992         100               101.19           29.24          130.43
  1992         101                67.83           16.61           84.44
  1992         102                45.53           14.86           60.39
  1992         103                26.26           11.97           38.23
  1992         104                17.62            5.92           23.54
  1992         105                11.16            2.19           13.35
  1992         106                 6.04            0.75            6.79
  1992         107                 3.14            0.26            3.40
  1992         108                 1.22            0.00            1.22
  1992         109                 0.70            0.00            0.70
  1992         110+                0.00            0.00            0.00
  1993           0            135971.67       142020.80       277992.47
  1993           1            136878.01       143181.80       280059.81
  1993           2            134474.65       140540.56       275015.21
  1993           3            141478.50       147385.90       288864.40
  1993           4            145585.52       151825.21       297410.73
  1993           5            147453.49       154379.75       301833.24
  1993           6            127318.92       131843.38       259162.30
  1993           7            122076.48       125736.16       247812.64
  1993           8            119673.95       123895.25       243569.20
  1993           9            119835.98       123535.24       243371.22
  1993          10            125515.74       128933.78       254449.52
  1993          11            128172.20       132258.15       260430.35
  1993          12            120907.27       125768.26       246675.53
  1993          13            118762.07       121890.26       240652.33
  1993          14            115634.84       118179.28       233814.12
  1993          15            116045.08       120276.38       236321.46
  1993          16            113450.12       116588.68       230038.80
  1993          17            118448.02       121802.59       240250.61
  1993          18            124081.63       128156.16       252237.79
  1993          19            125459.10       128805.44       254264.54
  1993          20            122129.07       121070.35       243199.42
  1993          21            121561.66       119296.80       240858.46
  1993          22            120073.99       119353.81       239427.80
  1993          23            120602.21       119576.15       240178.36
  1993          24            122866.16       119992.05       242858.21
  1993          25            123880.03       120262.83       244142.86
  1993          26            123635.97       118813.70       242449.67
  1993          27            125736.94       120666.08       246403.02
  1993          28            126921.49       122280.22       249201.71
  1993          29            124308.61       120574.77       244883.38
  1993          30            124654.34       119714.60       244368.94
  1993          31            122849.72       117359.19       240208.91
  1993          32            114424.02       109957.10       224381.12
  1993          33            118953.80       113261.91       232215.71
  1993          34            109779.58       107187.00       216966.58
  1993          35            103214.21        99056.31       202270.52
  1993          36            101880.98        96350.11       198231.09
