Chile, Life tables (period 1x1), Females	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1992           0      0.01382  0.01366  0.12  100000    1366   98799  7746911  77.47
  1992           1      0.00111  0.00111  0.50   98634     109   98580  7648112  77.54
  1992           2      0.00067  0.00067  0.50   98525      66   98492  7549532  76.63
  1992           3      0.00036  0.00036  0.50   98459      36   98441  7451041  75.68
  1992           4      0.00030  0.00030  0.50   98423      29   98408  7352600  74.70
  1992           5      0.00022  0.00022  0.50   98394      22   98383  7254191  73.73
  1992           6      0.00029  0.00029  0.50   98372      28   98358  7155808  72.74
  1992           7      0.00022  0.00022  0.50   98344      22   98333  7057450  71.76
  1992           8      0.00024  0.00024  0.50   98322      24   98310  6959118  70.78
  1992           9      0.00020  0.00020  0.50   98298      20   98288  6860808  69.80
  1992          10      0.00018  0.00018  0.50   98278      18   98269  6762520  68.81
  1992          11      0.00018  0.00018  0.50   98260      18   98251  6664251  67.82
  1992          12      0.00021  0.00021  0.50   98242      20   98232  6566000  66.83
  1992          13      0.00021  0.00021  0.50   98221      21   98211  6467768  65.85
  1992          14      0.00028  0.00028  0.50   98201      27   98187  6369557  64.86
  1992          15      0.00033  0.00033  0.50   98173      33   98157  6271370  63.88
  1992          16      0.00043  0.00043  0.50   98141      42   98120  6173213  62.90
  1992          17      0.00040  0.00040  0.50   98099      40   98079  6075093  61.93
  1992          18      0.00035  0.00035  0.50   98059      35   98042  5977014  60.95
  1992          19      0.00042  0.00042  0.50   98024      41   98004  5878973  59.97
  1992          20      0.00045  0.00045  0.50   97983      44   97961  5780969  59.00
  1992          21      0.00043  0.00043  0.50   97939      42   97918  5683008  58.03
  1992          22      0.00059  0.00059  0.50   97897      58   97868  5585090  57.05
  1992          23      0.00047  0.00047  0.50   97839      46   97816  5487222  56.08
  1992          24      0.00040  0.00040  0.50   97793      39   97774  5389406  55.11
  1992          25      0.00051  0.00051  0.50   97755      50   97730  5291632  54.13
  1992          26      0.00056  0.00056  0.50   97705      55   97677  5193902  53.16
  1992          27      0.00046  0.00046  0.50   97650      45   97628  5096224  52.19
  1992          28      0.00063  0.00063  0.50   97605      61   97574  4998597  51.21
  1992          29      0.00051  0.00051  0.50   97544      50   97519  4901022  50.24
  1992          30      0.00051  0.00051  0.50   97494      50   97469  4803504  49.27
  1992          31      0.00065  0.00065  0.50   97444      63   97412  4706035  48.29
  1992          32      0.00054  0.00054  0.50   97381      53   97354  4608623  47.33
  1992          33      0.00064  0.00064  0.50   97328      62   97297  4511268  46.35
  1992          34      0.00083  0.00083  0.50   97266      81   97225  4413971  45.38
  1992          35      0.00095  0.00095  0.50   97185      93   97139  4316746  44.42
  1992          36      0.00092  0.00092  0.50   97092      89   97048  4219607  43.46
  1992          37      0.00094  0.00094  0.50   97003      91   96957  4122560  42.50
  1992          38      0.00136  0.00136  0.50   96912     132   96846  4025602  41.54
  1992          39      0.00125  0.00125  0.50   96780     121   96720  3928756  40.59
  1992          40      0.00112  0.00112  0.50   96659     108   96605  3832037  39.64
  1992          41      0.00174  0.00173  0.50   96551     167   96467  3735431  38.69
  1992          42      0.00163  0.00163  0.50   96384     157   96305  3638964  37.75
  1992          43      0.00187  0.00186  0.50   96227     179   96137  3542659  36.82
