Chile, Life tables (period 1x1), Males	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1992           0      0.01621  0.01598  0.12  100000    1598   98589  7145490  71.45
  1992           1      0.00157  0.00157  0.50   98402     154   98325  7046902  71.61
  1992           2      0.00093  0.00093  0.50   98247      91   98202  6948577  70.73
  1992           3      0.00074  0.00074  0.50   98156      73   98120  6850375  69.79
  1992           4      0.00031  0.00031  0.50   98083      31   98068  6752256  68.84
  1992           5      0.00026  0.00026  0.50   98053      25   98040  6654187  67.86
  1992           6      0.00024  0.00024  0.50   98027      24   98016  6556147  66.88
  1992           7      0.00034  0.00034  0.50   98004      33   97987  6458132  65.90
  1992           8      0.00033  0.00033  0.50   97971      33   97955  6360144  64.92
  1992           9      0.00028  0.00028  0.50   97938      27   97925  6262190  63.94
  1992          10      0.00028  0.00028  0.50   97911      28   97897  6164265  62.96
  1992          11      0.00038  0.00038  0.50   97883      37   97865  6066368  61.98
  1992          12      0.00030  0.00030  0.50   97846      29   97832  5968503  61.00
  1992          13      0.00038  0.00038  0.50   97817      37   97798  5870671  60.02
  1992          14      0.00049  0.00049  0.50   97780      47   97756  5772873  59.04
  1992          15      0.00052  0.00052  0.50   97732      51   97707  5675117  58.07
  1992          16      0.00077  0.00077  0.50   97681      75   97643  5577410  57.10
  1992          17      0.00086  0.00086  0.50   97606      84   97564  5479767  56.14
  1992          18      0.00099  0.00099  0.50   97522      97   97473  5382203  55.19
  1992          19      0.00121  0.00121  0.50   97425     118   97366  5284730  54.24
  1992          20      0.00137  0.00136  0.50   97307     133   97241  5187364  53.31
  1992          21      0.00167  0.00166  0.50   97174     162   97093  5090123  52.38
  1992          22      0.00162  0.00161  0.50   97013     157   96934  4993030  51.47
  1992          23      0.00158  0.00158  0.50   96856     153   96780  4896095  50.55
  1992          24      0.00155  0.00154  0.50   96703     149   96629  4799316  49.63
  1992          25      0.00181  0.00180  0.50   96554     174   96467  4702687  48.71
  1992          26      0.00169  0.00169  0.50   96380     163   96299  4606220  47.79
  1992          27      0.00162  0.00162  0.50   96217     156   96139  4509922  46.87
  1992          28      0.00169  0.00169  0.50   96061     162   95980  4413782  45.95
  1992          29      0.00167  0.00167  0.50   95899     160   95819  4317802  45.02
  1992          30      0.00189  0.00189  0.50   95739     181   95649  4221983  44.10
  1992          31      0.00192  0.00192  0.50   95558     183   95467  4126334  43.18
  1992          32      0.00200  0.00200  0.50   95375     191   95280  4030868  42.26
  1992          33      0.00187  0.00187  0.50   95184     178   95095  3935588  41.35
  1992          34      0.00207  0.00207  0.50   95006     197   94908  3840493  40.42
  1992          35      0.00247  0.00247  0.50   94809     234   94692  3745585  39.51
  1992          36      0.00210  0.00209  0.50   94575     198   94476  3650893  38.60
  1992          37      0.00237  0.00237  0.50   94377     223   94266  3556417  37.68
  1992          38      0.00242  0.00241  0.50   94154     227   94040  3462151  36.77
  1992          39      0.00244  0.00244  0.50   93927     229   93812  3368111  35.86
  1992          40      0.00273  0.00272  0.50   93698     255   93570  3274298  34.95
  1992          41      0.00316  0.00316  0.50   93443     295   93295  3180728  34.04
  1992          42      0.00347  0.00347  0.50   93148     323   92986  3087433  33.15
  1992          43      0.00330  0.00330  0.50   92824     306   92671  2994447  32.26
  1992          44      0.00368  0.00367  0.50   92518     340   92348  2901775  31.36
  1992          45      0.00463  0.00462  0.50   92178     426   91966  2809427  30.48
