Czechia, Population size (abridged)	Last modified: 25 Mar 2019;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1950           0             86162.77        90338.04       176500.81
  1950           1             87221.56        91103.75       178325.31
  1950           2             91647.83        95601.40       187249.23
  1950           3             88666.45        91809.18       180475.63
  1950           4             75605.57        77784.11       153389.68
  1950           5             76279.05        78564.64       154843.69
  1950           6             75691.81        78492.46       154184.27
  1950           7             67501.45        70038.87       137540.32
  1950           8             64160.58        66626.98       130787.56
  1950           9             62104.23        64289.73       126393.96
  1950          10             57767.42        58972.01       116739.43
  1950          11             54277.11        55478.24       109755.35
  1950          12             53092.44        54110.94       107203.38
  1950          13             53014.67        53991.44       107006.11
  1950          14             54352.09        54946.11       109298.20
  1950          15             57067.56        58188.47       115256.03
  1950          16             59454.06        61670.40       121124.46
  1950          17             63061.83        64690.63       127752.46
  1950          18             65686.65        67418.11       133104.76
  1950          19             68745.90        70456.21       139202.11
  1950          20             67592.31        68867.38       136459.69
  1950          21             68403.20        69565.02       137968.22
  1950          22             68796.12        71782.39       140578.51
  1950          23             71161.34        75390.21       146551.55
  1950          24             73065.58        71419.26       144484.84
  1950          25             75122.32        71051.29       146173.61
  1950          26             77708.75        74876.16       152584.91
  1950          27             77101.21        73926.81       151028.02
  1950          28             76885.53        74184.81       151070.34
  1950          29             69555.22        66918.10       136473.32
  1950          30             57514.91        55127.21       112642.12
  1950          31             34887.78        33366.83        68254.61
  1950          32             34336.62        33384.52        67721.14
  1950          33             39073.23        37750.77        76824.00
  1950          34             51790.86        49519.69       101310.55
  1950          35             71826.74        68419.08       140245.82
  1950          36             74522.00        71763.62       146285.62
  1950          37             74146.89        71516.98       145663.87
  1950          38             74845.00        73092.48       147937.48
  1950          39             76295.94        74152.89       150448.83
  1950          40             76504.34        74430.53       150934.87
  1950          41             74829.33        72986.34       147815.67
  1950          42             73170.40        71546.27       144716.67
  1950          43             73848.98        71470.14       145319.12
  1950          44             68982.30        66479.50       135461.80
  1950          45             70297.89        67552.17       137850.06
  1950          46             69434.41        67154.70       136589.11
  1950          47             69888.90        67114.21       137003.11
