Germany, Population size (abridged)	Last modified: 17 Dec 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1990           0            429806.00       451826.00       881632.00
  1990           1            439691.00       463819.00       903510.00
  1990           2            427660.00       452450.00       880110.00
  1990           3            421698.00       442658.00       864356.00
  1990           4            406143.00       426997.00       833140.00
  1990           5            404272.00       425929.00       830201.00
  1990           6            408416.00       429700.00       838116.00
  1990           7            419676.00       442095.00       861771.00
  1990           8            419328.00       439463.00       858791.00
  1990           9            422221.00       442396.00       864617.00
  1990          10            398577.00       419212.00       817789.00
  1990          11            393153.00       414503.00       807656.00
  1990          12            390546.00       412064.00       802610.00
  1990          13            385306.00       405287.00       790593.00
  1990          14            373480.00       394899.00       768379.00
  1990          15            383874.00       404856.00       788730.00
  1990          16            393278.00       414657.00       807935.00
  1990          17            439123.00       462016.00       901139.00
  1990          18            498056.00       523869.00      1021925.00
  1990          19            528553.00       552358.00      1080911.00
  1990          20            582071.00       607020.00      1189091.00
  1990          21            617869.00       644596.00      1262465.00
  1990          22            641601.00       671583.00      1313184.00
  1990          23            664256.00       699737.00      1363993.00
  1990          24            668582.00       711368.00      1379950.00
  1990          25            684467.00       729923.00      1414390.00
  1990          26            681537.00       727930.00      1409467.00
  1990          27            662795.00       704689.00      1367484.00
  1990          28            657852.00       694045.00      1351897.00
  1990          29            638765.00       673966.00      1312731.00
  1990          30            621093.00       657567.00      1278660.00
  1990          31            589947.00       626217.00      1216164.00
  1990          32            582099.00       617316.00      1199415.00
  1990          33            571664.00       603687.00      1175351.00
  1990          34            558145.00       586071.00      1144216.00
  1990          35            556586.00       577060.00      1133646.00
  1990          36            546895.00       561903.00      1108798.00
  1990          37            551145.00       565460.00      1116605.00
  1990          38            542849.00       557683.00      1100532.00
  1990          39            550517.00       567354.00      1117871.00
  1990          40            532750.00       554857.00      1087607.00
  1990          41            493296.00       517023.00      1010319.00
  1990          42            469114.00       490543.00       959657.00
  1990          43            416136.00       435826.00       851962.00
  1990          44            374979.00       387493.00       762472.00
  1990          45            502528.00       521137.00      1023665.00
  1990          46            511837.00       535638.00      1047475.00
  1990          47            498461.00       522002.00      1020463.00
  1990          48            608000.00       633066.00      1241066.00
  1990          49            647017.00       671795.00      1318812.00
  1990          50            639820.00       661712.00      1301532.00
  1990          51            600953.00       619850.00      1220803.00
  1990          52            566365.00       581744.00      1148109.00
  1990          53            559977.00       570275.00      1130252.00
  1990          54            548116.00       555267.00      1103383.00
  1990          55            516198.00       522403.00      1038601.00
  1990          56            422499.00       423640.00       846139.00
  1990          57            426436.00       421555.00       847991.00
  1990          58            440401.00       430207.00       870608.00
  1990          59            471663.00       453377.00       925040.00
  1990          60            463647.00       438936.00       902583.00
  1990          61            468024.00       434417.00       902441.00
  1990          62            452719.00       384979.00       837698.00
  1990          63            467754.00       355839.00       823593.00
  1990          64            480827.00       337413.00       818240.00
  1990          65            465979.00       292604.00       758583.00
  1990          66            462421.00       282479.00       744900.00
  1990          67            482669.00       295480.00       778149.00
  1990          68            507782.00       299378.00       807160.00
  1990          69            502626.00       285284.00       787910.00
  1990          70            374181.00       211941.00       586122.00
  1990          71            240989.00       133975.00       374964.00
  1990          72            228753.00       126238.00       354991.00
  1990          73            248705.00       132812.00       381517.00
  1990          74            324090.00       166629.00       490719.00
  1990          75            406210.00       202958.00       609168.00
  1990          76            398794.00       198182.00       596976.00
  1990          77            386777.00       188759.00       575536.00
  1990          78            349879.00       165110.00       514989.00
  1990          79            338773.00       152294.00       491067.00
  1990          80            322473.47       140839.44       463312.91
  1990          81            292645.86       122679.19       415325.05
  1990          82            261096.76       109152.15       370248.91
