Germany, Life tables (period 1x1), Males	Last modified: 17 Dec 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1990           0      0.00808  0.00803  0.13  100000     803   99304  7191126  71.91
  1990           1      0.00068  0.00068  0.50   99197      67   99164  7091822  71.49
  1990           2      0.00046  0.00046  0.50   99130      46   99107  6992658  70.54
  1990           3      0.00043  0.00043  0.50   99084      42   99063  6893551  69.57
  1990           4      0.00030  0.00030  0.50   99042      30   99027  6794487  68.60
  1990           5      0.00030  0.00030  0.50   99012      29   98998  6695460  67.62
  1990           6      0.00022  0.00022  0.50   98983      21   98972  6596463  66.64
  1990           7      0.00027  0.00027  0.50   98961      26   98948  6497490  65.66
  1990           8      0.00026  0.00026  0.50   98935      25   98922  6398542  64.67
  1990           9      0.00018  0.00018  0.50   98910      18   98901  6299620  63.69
  1990          10      0.00021  0.00021  0.50   98892      21   98881  6200719  62.70
  1990          11      0.00024  0.00024  0.50   98871      23   98859  6101838  61.72
  1990          12      0.00018  0.00018  0.50   98847      18   98838  6002978  60.73
  1990          13      0.00025  0.00025  0.50   98829      25   98817  5904140  59.74
  1990          14      0.00035  0.00035  0.50   98805      35   98787  5805323  58.76
  1990          15      0.00039  0.00039  0.50   98770      39   98751  5706536  57.78
  1990          16      0.00056  0.00056  0.50   98731      56   98703  5607786  56.80
  1990          17      0.00068  0.00068  0.50   98675      67   98642  5509082  55.83
  1990          18      0.00114  0.00114  0.50   98608     112   98552  5410440  54.87
  1990          19      0.00114  0.00114  0.50   98496     113   98440  5311888  53.93
  1990          20      0.00110  0.00110  0.50   98383     108   98329  5213449  52.99
  1990          21      0.00120  0.00120  0.50   98275     118   98216  5115120  52.05
  1990          22      0.00111  0.00111  0.50   98157     109   98102  5016904  51.11
  1990          23      0.00110  0.00110  0.50   98047     107   97994  4918802  50.17
  1990          24      0.00098  0.00098  0.50   97940      96   97892  4820808  49.22
  1990          25      0.00112  0.00111  0.50   97844     109   97790  4722916  48.27
  1990          26      0.00108  0.00108  0.50   97735     105   97683  4625126  47.32
  1990          27      0.00108  0.00108  0.50   97630     105   97577  4527443  46.37
  1990          28      0.00114  0.00114  0.50   97525     111   97469  4429866  45.42
  1990          29      0.00126  0.00126  0.50   97414     123   97353  4332396  44.47
  1990          30      0.00136  0.00136  0.50   97291     132   97225  4235044  43.53
  1990          31      0.00126  0.00126  0.50   97159     123   97098  4137818  42.59
  1990          32      0.00147  0.00146  0.50   97037     142   96966  4040720  41.64
  1990          33      0.00163  0.00163  0.50   96895     158   96816  3943754  40.70
  1990          34      0.00165  0.00165  0.50   96737     160   96657  3846938  39.77
  1990          35      0.00181  0.00181  0.50   96577     174   96490  3750282  38.83
  1990          36      0.00179  0.00179  0.50   96402     173   96316  3653792  37.90
  1990          37      0.00211  0.00211  0.50   96230     203   96128  3557476  36.97
  1990          38      0.00214  0.00214  0.50   96027     206   95924  3461348  36.05
  1990          39      0.00231  0.00231  0.50   95821     221   95711  3365423  35.12
  1990          40      0.00245  0.00245  0.50   95600     234   95483  3269713  34.20
  1990          41      0.00252  0.00252  0.50   95366     240   95246  3174229  33.28
  1990          42      0.00292  0.00292  0.50   95126     277   94987  3078984  32.37
  1990          43      0.00317  0.00316  0.50   94848     300   94698  2983997  31.46
  1990          44      0.00326  0.00325  0.50   94548     307   94395  2889298  30.56
  1990          45      0.00393  0.00392  0.50   94241     369   94056  2794904  29.66
  1990          46      0.00442  0.00441  0.50   93871     414   93665  2700848  28.77
  1990          47      0.00455  0.00454  0.50   93458     424   93246  2607183  27.90
  1990          48      0.00516  0.00514  0.50   93034     479   92795  2513937  27.02
  1990          49      0.00546  0.00545  0.50   92555     504   92303  2421142  26.16
  1990          50      0.00641  0.00639  0.50   92051     589   91757  2328839  25.30
  1990          51      0.00678  0.00676  0.50   91462     618   91153  2237083  24.46
  1990          52      0.00729  0.00726  0.50   90845     660   90515  2145929  23.62
  1990          53      0.00848  0.00845  0.50   90185     762   89804  2055414  22.79
  1990          54      0.00921  0.00916  0.50   89423     820   89013  1965610  21.98
  1990          55      0.01078  0.01072  0.50   88604     950   88129  1876597  21.18
  1990          56      0.01112  0.01106  0.50   87654     970   87169  1788468  20.40
  1990          57      0.01242  0.01234  0.50   86684    1070   86149  1701299  19.63
  1990          58      0.01369  0.01359  0.50   85615    1164   85033  1615150  18.87
  1990          59      0.01548  0.01536  0.50   84451    1297   83802  1530117  18.12
  1990          60      0.01700  0.01686  0.50   83154    1402   82453  1446315  17.39
  1990          61      0.01853  0.01836  0.50   81752    1501   81001  1363862  16.68
  1990          62      0.01942  0.01923  0.50   80251    1543   79479  1282860  15.99
  1990          63      0.02123  0.02101  0.50   78708    1654   77881  1203381  15.29
  1990          64      0.02289  0.02263  0.50   77054    1744   76182  1125500  14.61
  1990          65      0.02569  0.02537  0.50   75310    1910   74355  1049318  13.93
  1990          66      0.02806  0.02767  0.50   73400    2031   72384   974963  13.28
  1990          67      0.03039  0.02993  0.50   71369    2136   70301   902579  12.65
  1990          68      0.03368  0.03312  0.50   69232    2293   68086   832279  12.02
  1990          69      0.03705  0.03638  0.50   66940    2435   65722   764193  11.42
  1990          70      0.04521  0.04421  0.50   64504    2852   63078   698471  10.83
  1990          71      0.04116  0.04033  0.50   61652    2486   60409   635392  10.31
  1990          72      0.04764  0.04654  0.50   59166    2753   57789   574983   9.72
  1990          73      0.05399  0.05257  0.50   56413    2966   54930   517194   9.17
  1990          74      0.05547  0.05397  0.50   53447    2884   52005   462264   8.65
  1990          75      0.06658  0.06444  0.50   50563    3258   48933   410259   8.11
  1990          76      0.07126  0.06880  0.50   47304    3255   45677   361326   7.64
  1990          77      0.08022  0.07713  0.50   44050    3398   42351   315649   7.17
  1990          78      0.08867  0.08490  0.50   40652    3451   38926   273298   6.72
  1990          79      0.09800  0.09342  0.50   37201    3475   35463   234371   6.30
  1990          80      0.11040  0.10463  0.50   33725    3529   31961   198908   5.90
  1990          81      0.12125  0.11432  0.50   30197    3452   28471   166947   5.53
  1990          82      0.13238  0.12416  0.50   26745    3321   25084   138476   5.18
  1990          83      0.14904  0.13870  0.50   23424    3249   21800   113392   4.84
  1990          84      0.16111  0.14910  0.50   20175    3008   18671    91593   4.54
  1990          85      0.17868  0.16403  0.50   17167    2816   15759    72922   4.25
  1990          86      0.19522  0.17786  0.50   14351    2552   13075    57163   3.98
  1990          87      0.21323  0.19269  0.50   11799    2273   10662    44088   3.74
  1990          88      0.23013  0.20638  0.50    9525    1966    8542    33426   3.51
  1990          89      0.24731  0.22010  0.50    7559    1664    6727    24884   3.29
  1990          90      0.27678  0.24313  0.50    5896    1433    5179    18156   3.08
  1990          91      0.28867  0.25226  0.50    4462    1126    3899    12977   2.91
  1990          92      0.31340  0.27095  0.50    3337     904    2885     9078   2.72
  1990          93      0.34653  0.29536  0.50    2433     718    2073     6193   2.55
  1990          94      0.37453  0.31546  0.50    1714     541    1444     4120   2.40
  1990          95      0.39574  0.33037  0.50    1173     388     980     2676   2.28
  1990          96      0.42258  0.34887  0.50     786     274     649     1697   2.16
  1990          97      0.44989  0.36728  0.50     512     188     418     1048   2.05
  1990          98      0.47751  0.38548  0.50     324     125     261      630   1.95
  1990          99      0.50526  0.40336  0.50     199      80     159      369   1.86
  1990         100      0.53298  0.42084  0.50     119      50      94      210   1.77
  1990         101      0.56050  0.43781  0.50      69      30      54      117   1.70
  1990         102      0.58766  0.45420  0.50      39      18      30       63   1.63
  1990         103      0.61429  0.46995  0.50      21      10      16       33   1.56
  1990         104      0.64025  0.48499  0.50      11       5       8       17   1.51
  1990         105      0.66541  0.49930  0.50       6       3       4        8   1.46
  1990         106      0.68967  0.51283  0.50       3       1       2        4   1.41
  1990         107      0.71293  0.52558  0.50       1       1       1        2   1.37
  1990         108      0.73512  0.53754  0.50       1       0       0        1   1.34
  1990         109      0.75618  0.54871  0.50       0       0       0        0   1.31
  1990         110+     0.77607  1.00000  1.29       0       0       0        0   1.29
  1991           0      0.00727  0.00723  0.13  100000     723   99375  7209448  72.09
  1991           1      0.00068  0.00068  0.50   99277      67   99244  7110074  71.62
  1991           2      0.00045  0.00045  0.50   99210      45   99188  7010830  70.67
  1991           3      0.00037  0.00037  0.50   99165      37   99147  6911643  69.70
  1991           4      0.00030  0.00030  0.50   99128      30   99114  6812496  68.72
  1991           5      0.00026  0.00026  0.50   99099      26   99086  6713382  67.74
  1991           6      0.00021  0.00021  0.50   99073      21   99062  6614296  66.76
  1991           7      0.00021  0.00021  0.50   99052      21   99041  6515234  65.78
  1991           8      0.00024  0.00024  0.50   99031      24   99019  6416192  64.79
  1991           9      0.00017  0.00017  0.50   99007      17   98999  6317173  63.81
  1991          10      0.00017  0.00017  0.50   98990      17   98982  6218174  62.82
  1991          11      0.00020  0.00020  0.50   98974      20   98964  6119192  61.83
  1991          12      0.00023  0.00023  0.50   98954      23   98943  6020228  60.84
  1991          13      0.00020  0.00020  0.50   98931      20   98921  5921286  59.85
  1991          14      0.00025  0.00025  0.50   98911      25   98899  5822365  58.86
  1991          15      0.00036  0.00036  0.50   98886      36   98869  5723466  57.88
  1991          16      0.00063  0.00063  0.50   98851      62   98820  5624597  56.90
