Denmark, Life tables (period 1x1), Females	Last modified: 23 Apr 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1835           0      0.18635  0.16523  0.31  100000   16523   88667  4025017  40.25
  1835           1      0.05611  0.05458  0.50   83477    4556   81199  3936350  47.15
  1835           2      0.04117  0.04034  0.50   78921    3184   77329  3855151  48.85
  1835           3      0.02764  0.02727  0.50   75737    2065   74704  3777822  49.88
  1835           4      0.01870  0.01852  0.50   73672    1365   72989  3703118  50.27
  1835           5      0.01557  0.01545  0.50   72307    1117   71748  3630128  50.20
  1835           6      0.01387  0.01377  0.50   71190     980   70700  3558380  49.98
  1835           7      0.01225  0.01217  0.50   70210     855   69782  3487680  49.68
  1835           8      0.01081  0.01075  0.50   69355     746   68982  3417898  49.28
  1835           9      0.00971  0.00966  0.50   68609     663   68278  3348916  48.81
  1835          10      0.00880  0.00876  0.50   67946     595   67649  3280638  48.28
  1835          11      0.00808  0.00805  0.50   67351     542   67080  3212989  47.70
  1835          12      0.00757  0.00754  0.50   66809     504   66558  3145909  47.09
  1835          13      0.00710  0.00708  0.50   66306     469   66071  3079351  46.44
  1835          14      0.00669  0.00667  0.50   65836     439   65617  3013280  45.77
  1835          15      0.00627  0.00625  0.50   65397     409   65193  2947663  45.07
  1835          16      0.00597  0.00595  0.50   64989     387   64796  2882470  44.35
  1835          17      0.00587  0.00585  0.50   64602     378   64413  2817675  43.62
  1835          18      0.00597  0.00596  0.50   64224     382   64033  2753261  42.87
  1835          19      0.00637  0.00635  0.50   63842     406   63639  2689228  42.12
  1835          20      0.00708  0.00705  0.50   63436     447   63213  2625589  41.39
  1835          21      0.00775  0.00772  0.50   62989     486   62746  2562376  40.68
  1835          22      0.00818  0.00815  0.50   62503     509   62248  2499630  39.99
  1835          23      0.00847  0.00843  0.50   61993     523   61732  2437382  39.32
  1835          24      0.00866  0.00862  0.50   61471     530   61206  2375650  38.65
  1835          25      0.00898  0.00894  0.50   60941     545   60668  2314444  37.98
  1835          26      0.00925  0.00921  0.50   60396     556   60118  2253776  37.32
  1835          27      0.00924  0.00920  0.50   59840     551   59564  2193658  36.66
  1835          28      0.00918  0.00914  0.50   59289     542   59018  2134094  35.99
  1835          29      0.00909  0.00905  0.50   58748     532   58482  2075075  35.32
  1835          30      0.00892  0.00888  0.50   58216     517   57957  2016594  34.64
  1835          31      0.00892  0.00888  0.50   57699     512   57443  1958636  33.95
  1835          32      0.00922  0.00918  0.50   57186     525   56924  1901194  33.25
  1835          33      0.00967  0.00962  0.50   56662     545   56389  1844270  32.55
  1835          34      0.01030  0.01024  0.50   56116     575   55829  1787881  31.86
  1835          35      0.01107  0.01101  0.50   55542     611   55236  1732052  31.18
  1835          36      0.01178  0.01172  0.50   54930     644   54608  1676816  30.53
  1835          37      0.01231  0.01223  0.50   54287     664   53955  1622207  29.88
  1835          38      0.01261  0.01253  0.50   53623     672   53287  1568252  29.25
  1835          39      0.01278  0.01270  0.50   52951     672   52614  1514966  28.61
  1835          40      0.01237  0.01230  0.50   52278     643   51957  1462351  27.97
  1835          41      0.01200  0.01193  0.50   51635     616   51327  1410394  27.31
  1835          42      0.01211  0.01203  0.50   51020     614   50713  1359067  26.64
  1835          43      0.01230  0.01223  0.50   50406     616   50097  1308354  25.96
  1835          44      0.01264  0.01256  0.50   49789     626   49476  1258257  25.27
  1835          45      0.01321  0.01312  0.50   49164     645   48841  1208781  24.59
  1835          46      0.01385  0.01376  0.50   48519     667   48185  1159940  23.91
  1835          47      0.01444  0.01434  0.50   47851     686   47508  1111755  23.23
  1835          48      0.01517  0.01506  0.50   47165     710   46810  1064247  22.56
  1835          49      0.01603  0.01591  0.50   46455     739   46085  1017437  21.90
  1835          50      0.01681  0.01667  0.50   45716     762   45335   971351  21.25
  1835          51      0.01754  0.01738  0.50   44954     781   44563   926017  20.60
  1835          52      0.01836  0.01819  0.50   44172     803   43771   881454  19.95
  1835          53      0.01905  0.01887  0.50   43369     819   42960   837683  19.32
  1835          54      0.01960  0.01941  0.50   42550     826   42137   794724  18.68
  1835          55      0.01998  0.01979  0.50   41725     826   41312   752586  18.04
  1835          56      0.02057  0.02036  0.50   40899     833   40483   711274  17.39
  1835          57      0.02154  0.02131  0.50   40066     854   39639   670792  16.74
  1835          58      0.02296  0.02270  0.50   39212     890   38767   631152  16.10
  1835          59      0.02509  0.02478  0.50   38322     950   37847   592385  15.46
  1835          60      0.02767  0.02730  0.50   37373    1020   36863   554537  14.84
  1835          61      0.03039  0.02993  0.50   36352    1088   35808   517675  14.24
  1835          62      0.03341  0.03286  0.50   35264    1159   34685   481867  13.66
  1835          63      0.03655  0.03589  0.50   34105    1224   33493   447182  13.11
  1835          64      0.03962  0.03885  0.50   32881    1277   32243   413688  12.58
  1835          65      0.04256  0.04168  0.50   31604    1317   30945   381446  12.07
  1835          66      0.04525  0.04425  0.50   30287    1340   29617   350500  11.57
  1835          67      0.04766  0.04655  0.50   28947    1348   28273   320884  11.09
  1835          68      0.05009  0.04887  0.50   27599    1349   26925   292611  10.60
  1835          69      0.05277  0.05141  0.50   26250    1350   25576   265686  10.12
  1835          70      0.05636  0.05482  0.50   24901    1365   24218   240110   9.64
  1835          71      0.06094  0.05914  0.50   23536    1392   22840   215892   9.17
  1835          72      0.06602  0.06391  0.50   22144    1415   21436   193052   8.72
  1835          73      0.07119  0.06874  0.50   20729    1425   20016   171616   8.28
  1835          74      0.07749  0.07460  0.50   19304    1440   18584   151599   7.85
  1835          75      0.08617  0.08261  0.50   17864    1476   17126   133015   7.45
  1835          76      0.09485  0.09056  0.50   16388    1484   15646   115890   7.07
  1835          77      0.10333  0.09825  0.50   14904    1464   14172   100244   6.73
  1835          78      0.11175  0.10584  0.50   13440    1422   12728    86072   6.40
  1835          79      0.12013  0.11333  0.50   12017    1362   11336    73343   6.10
  1835          80      0.12859  0.12083  0.50   10655    1287   10012    62007   5.82
  1835          81      0.14089  0.13162  0.50    9368    1233    8751    51995   5.55
  1835          82      0.14903  0.13870  0.50    8135    1128    7571    43244   5.32
  1835          83      0.15756  0.14606  0.50    7007    1023    6495    35673   5.09
  1835          84      0.16649  0.15369  0.50    5983     920    5523    29178   4.88
  1835          85      0.17581  0.16160  0.50    5064     818    4655    23655   4.67
  1835          86      0.18553  0.16978  0.50    4245     721    3885    19000   4.48
  1835          87      0.19567  0.17823  0.50    3525     628    3210    15115   4.29
  1835          88      0.20622  0.18695  0.50    2896     541    2626    11904   4.11
