Estonia, Population size (abridged)	Last modified: 20 Sep 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1959           0              9268.50         9851.26        19119.76
  1959           1              9031.37         9553.45        18584.82
  1959           2              9230.36         9625.46        18855.82
  1959           3              9731.21        10064.99        19796.20
  1959           4              9596.30        10038.48        19634.78
  1959           5              9108.89         9602.58        18711.47
  1959           6              9446.58         9848.04        19294.62
  1959           7              9192.20         9792.52        18984.72
  1959           8              8945.43         9501.83        18447.26
  1959           9              9316.81         9889.30        19206.11
  1959          10              9302.06         9721.05        19023.11
  1959          11              8725.21         9201.69        17926.90
  1959          12              8591.84         8885.84        17477.68
  1959          13              7172.91         7409.62        14582.53
  1959          14              7047.49         7113.93        14161.42
  1959          15              6958.78         7228.92        14187.70
  1959          16              8215.88         8346.03        16561.91
  1959          17              9870.52         9956.36        19826.88
  1959          18              9006.07         9049.42        18055.49
  1959          19              9615.75         9605.52        19221.27
  1959          20             10163.15        10550.68        20713.83
  1959          21             10320.49        10931.75        21252.24
  1959          22             10379.57         9853.44        20233.01
  1959          23              9550.92         9603.46        19154.38
  1959          24              9275.45         9013.81        18289.26
  1959          25              9886.48         9291.67        19178.15
  1959          26             10853.54         9925.51        20779.05
  1959          27             10882.33        10040.60        20922.93
  1959          28             11447.34        10687.50        22134.84
  1959          29             10864.86         9919.39        20784.25
  1959          30             12232.64        10191.06        22423.70
  1959          31             10748.51         9386.41        20134.92
  1959          32             11534.18         8586.90        20121.08
  1959          33             10937.38         7349.26        18286.64
  1959          34             10789.82         6956.21        17746.03
  1959          35             11021.28         6969.31        17990.59
  1959          36             10257.29         6358.09        16615.38
  1959          37              9206.12         5929.35        15135.47
  1959          38              8251.14         5702.72        13953.86
  1959          39              6958.71         4948.85        11907.56
  1959          40              7755.98         5585.25        13341.23
  1959          41              5572.43         3973.37         9545.80
  1959          42              6742.14         4728.64        11470.78
  1959          43              7703.93         5521.64        13225.57
  1959          44              8857.10         6174.83        15031.93
  1959          45              9147.35         6351.94        15499.29
  1959          46              9273.89         6496.39        15770.28
  1959          47              9019.43         6331.49        15350.92
  1959          48              9805.93         6606.43        16412.36
  1959          49              8933.98         6213.75        15147.73
  1959          50              9128.09         6038.56        15166.65
  1959          51              8572.22         5911.21        14483.43
  1959          52              9101.46         6396.70        15498.16
  1959          53              8504.49         5703.44        14207.93
  1959          54              8685.82         5854.68        14540.50
  1959          55              8786.21         5812.33        14598.54
  1959          56              8519.49         5713.94        14233.43
  1959          57              7966.44         5066.27        13032.71
  1959          58              9185.99         5199.55        14385.54
  1959          59              7755.81         4690.95        12446.76
  1959          60              7942.38         4543.89        12486.27
  1959          61              6926.47         3968.49        10894.96
  1959          62              7301.23         3953.69        11254.92
  1959          63              7235.62         3678.21        10913.83
  1959          64              6530.34         3328.55         9858.89
  1959          65              6711.24         3295.22        10006.46
  1959          66              6449.98         3253.64         9703.62
  1959          67              6162.21         3133.74         9295.95
  1959          68              6083.91         3142.24         9226.15
  1959          69              5725.36         2791.22         8516.58
  1959          70              5909.48         2720.24         8629.72
  1959          71              4730.92         2278.33         7009.25
  1959          72              5090.13         2302.12         7392.25
  1959          73              4840.21         2097.99         6938.20
  1959          74              4396.11         1917.66         6313.77
  1959          75              4092.25         1773.26         5865.51
  1959          76              3634.30         1565.30         5199.60
  1959          77              3137.13         1286.41         4423.54
  1959          78              3146.93         1252.66         4399.59
  1959          79              2687.80         1034.83         3722.63
  1959          80              2412.47          912.23         3324.70
  1959          81              2125.17          783.40         2908.57
  1959          82              1788.04          658.12         2446.16
  1959          83              1588.06          572.02         2160.08
  1959          84              1420.86          494.22         1915.08
  1959          85              1131.89          389.27         1521.16
  1959          86               871.11          292.13         1163.24
  1959          87               709.96          215.79          925.75
  1959          88               537.60          156.27          693.87
  1959          89               355.89          102.31          458.20
  1959          90               265.85           72.55          338.40
  1959          91               215.88           67.65          283.53
  1959          92               161.14           44.97          206.11
  1959          93               112.85           29.26          142.11
  1959          94                82.56           22.17          104.73
  1959          95                60.82           13.84           74.66
  1959          96                37.97           10.35           48.32
  1959          97                20.24            4.31           24.55
  1959          98                10.22            1.60           11.82
  1959          99                 6.79            3.21           10.00
  1959         100                 4.06            0.43            4.49
  1959         101                 1.77            0.00            1.77
  1959         102                 0.77            0.00            0.77
  1959         103                 0.00            0.00            0.00
  1959         104                 0.00            0.00            0.00
  1959         105                 0.00            0.00            0.00
  1959         106                 0.00            0.00            0.00
  1959         107                 0.00            0.00            0.00
  1959         108                 0.00            0.00            0.00
  1959         109                 0.00            0.00            0.00
  1959         110+                0.00            0.00            0.00
  1960           0              9443.99        10040.46        19484.45
  1960           1              9197.10         9761.18        18958.28
  1960           2              9013.88         9532.98        18546.86
  1960           3              9222.54         9611.54        18834.08
  1960           4              9727.20        10054.55        19781.75
  1960           5              9591.83        10028.50        19620.33
  1960           6              9102.86         9590.54        18693.40
  1960           7              9442.14         9837.62        19279.76
  1960           8              9186.09         9786.58        18972.67
  1960           9              8938.50         9494.22        18432.72
  1960          10              9312.38         9881.46        19193.84
  1960          11              9297.06         9715.04        19012.10
  1960          12              8719.71         9195.19        17914.90
  1960          13              8586.34         8877.32        17463.66
  1960          14              7167.91         7400.13        14568.04
  1960          15              7042.48         7103.52        14146.00
  1960          16              6954.78         7216.91        14171.69
  1960          17              8209.40         8335.02        16544.42
  1960          18              9862.51         9939.40        19801.91
  1960          19              8998.57         9027.91        18026.48
  1960          20              9604.66         9579.41        19184.07
  1960          21             10148.13        10516.05        20664.18
  1960          22             10307.02        10898.40        21205.42
  1960          23             10367.05         9822.37        20189.42
  1960          24              9539.45         9572.53        19111.98
  1960          25              9266.43         8981.02        18247.45
  1960          26              9873.95         9259.31        19133.26
  1960          27             10839.55         9895.46        20735.01
  1960          28             10867.81        10009.60        20877.41
  1960          29             11434.38        10659.11        22093.49
  1960          30             10853.84         9886.80        20740.64
  1960          31             12219.12        10146.88        22366.00
  1960          32             10729.96         9352.39        20082.35
  1960          33             11514.71         8562.76        20077.47
  1960          34             10921.90         7321.25        18243.15
  1960          35             10770.82         6926.44        17697.26
  1960          36             11000.30         6941.87        17942.17
  1960          37             10240.80         6333.06        16573.86
  1960          38              9191.12         5903.36        15094.48
  1960          39              8238.15         5676.19        13914.34
  1960          40              6943.68         4923.50        11867.18
  1960          41              7736.98         5559.74        13296.72
  1960          42              5551.41         3946.87         9498.28
  1960          43              6719.64         4706.64        11426.28
  1960          44              7676.39         5494.10        13170.49
  1960          45              8828.63         6134.45        14963.08
  1960          46              9119.82         6313.42        15433.24
  1960          47              9236.84         6458.89        15695.73
  1960          48              8974.91         6287.99        15262.90
  1960          49              9761.43         6551.45        16312.88
  1960          50              8890.02         6146.23        15036.25
  1960          51              9083.59         5979.53        15063.12
