Estonia, Life tables (period 1x1), Females	Last modified: 20 Sep 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1959           0      0.02910  0.02841  0.16  100000    2841   97613  7197602  71.98
  1959           1      0.00274  0.00274  0.50   97159     266   97026  7099990  73.08
  1959           2      0.00132  0.00132  0.50   96893     127   96829  7002964  72.28
  1959           3      0.00042  0.00042  0.50   96765      41   96745  6906135  71.37
  1959           4      0.00042  0.00041  0.50   96724      40   96704  6809390  70.40
  1959           5      0.00053  0.00053  0.50   96684      52   96658  6712685  69.43
  1959           6      0.00075  0.00075  0.50   96633      73   96596  6616027  68.47
  1959           7      0.00022  0.00022  0.50   96560      21   96549  6519431  67.52
  1959           8      0.00110  0.00110  0.50   96539     107   96486  6422882  66.53
  1959           9      0.00044  0.00044  0.50   96432      42   96411  6326396  65.60
  1959          10      0.00054  0.00054  0.50   96390      52   96364  6229985  64.63
  1959          11      0.00055  0.00055  0.50   96338      53   96312  6133621  63.67
  1959          12      0.00069  0.00069  0.50   96285      67   96251  6037309  62.70
  1959          13      0.00063  0.00063  0.50   96218      61   96188  5941058  61.75
  1959          14      0.00070  0.00070  0.50   96157      68   96123  5844870  60.78
  1959          15      0.00071  0.00071  0.50   96089      69   96055  5748747  59.83
  1959          16      0.00040  0.00040  0.50   96021      38   96002  5652692  58.87
  1959          17      0.00111  0.00111  0.50   95983     106   95930  5556690  57.89
  1959          18      0.00064  0.00064  0.50   95877      61   95846  5460760  56.96
  1959          19      0.00097  0.00097  0.50   95816      93   95769  5364914  55.99
  1959          20      0.00132  0.00131  0.50   95723     126   95660  5269145  55.05
  1959          21      0.00166  0.00166  0.50   95597     159   95518  5173484  54.12
  1959          22      0.00097  0.00097  0.50   95439      92   95392  5077966  53.21
  1959          23      0.00151  0.00151  0.50   95346     144   95275  4982574  52.26
  1959          24      0.00085  0.00085  0.50   95203      81   95162  4887299  51.34
  1959          25      0.00104  0.00104  0.50   95122      99   95072  4792137  50.38
  1959          26      0.00145  0.00145  0.50   95023     137   94954  4697065  49.43
  1959          27      0.00120  0.00120  0.50   94885     114   94828  4602111  48.50
  1959          28      0.00143  0.00143  0.50   94772     136   94704  4507282  47.56
  1959          29      0.00090  0.00090  0.50   94636      85   94594  4412578  46.63
  1959          30      0.00104  0.00104  0.50   94551      98   94502  4317985  45.67
  1959          31      0.00131  0.00131  0.50   94453     123   94391  4223483  44.72
  1959          32      0.00198  0.00198  0.50   94330     186   94236  4129092  43.77
  1959          33      0.00151  0.00151  0.50   94143     142   94072  4034855  42.86
  1959          34      0.00129  0.00129  0.50   94001     121   93940  3940783  41.92
  1959          35      0.00220  0.00220  0.50   93880     207   93776  3846843  40.98
  1959          36      0.00169  0.00169  0.50   93673     159   93594  3753067  40.07
  1959          37      0.00154  0.00154  0.50   93514     144   93442  3659473  39.13
  1959          38      0.00172  0.00172  0.50   93370     160   93290  3566030  38.19
  1959          39      0.00145  0.00145  0.50   93210     135   93142  3472740  37.26
  1959          40      0.00259  0.00258  0.50   93075     240   92955  3379598  36.31
  1959          41      0.00286  0.00285  0.50   92835     265   92702  3286643  35.40
  1959          42      0.00374  0.00374  0.50   92570     346   92397  3193941  34.50
  1959          43      0.00305  0.00305  0.50   92224     281   92084  3101543  33.63
  1959          44      0.00399  0.00398  0.50   91943     366   91760  3009460  32.73
  1959          45      0.00267  0.00267  0.50   91577     244   91455  2917700  31.86
  1959          46      0.00337  0.00337  0.50   91333     307   91179  2826245  30.94
  1959          47      0.00471  0.00470  0.50   91025     428   90811  2735066  30.05
