Estonia, Life tables (period 1x1), Males	Last modified: 20 Sep 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1959           0      0.03472  0.03372  0.14  100000    3372   97106  6441125  64.41
  1959           1      0.00280  0.00279  0.50   96628     270   96494  6344020  65.65
  1959           2      0.00167  0.00167  0.50   96359     161   96278  6247526  64.84
  1959           3      0.00122  0.00122  0.50   96198     117   96139  6151248  63.94
  1959           4      0.00090  0.00090  0.50   96080      86   96037  6055109  63.02
  1959           5      0.00112  0.00112  0.50   95994     108   95941  5959071  62.08
  1959           6      0.00134  0.00134  0.50   95887     128   95823  5863131  61.15
  1959           7      0.00082  0.00081  0.50   95759      78   95720  5767308  60.23
  1959           8      0.00041  0.00041  0.50   95681      40   95661  5671588  59.28
  1959           9      0.00113  0.00113  0.50   95641     108   95587  5575927  58.30
  1959          10      0.00051  0.00051  0.50   95532      49   95508  5480341  57.37
  1959          11      0.00074  0.00074  0.50   95484      71   95448  5384833  56.40
  1959          12      0.00066  0.00066  0.50   95413      63   95381  5289384  55.44
  1959          13      0.00135  0.00135  0.50   95350     129   95285  5194003  54.47
  1959          14      0.00110  0.00110  0.50   95221     105   95169  5098717  53.55
  1959          15      0.00181  0.00181  0.50   95116     172   95030  5003548  52.60
  1959          16      0.00141  0.00141  0.50   94944     134   94877  4908518  51.70
  1959          17      0.00120  0.00120  0.50   94810     114   94753  4813642  50.77
  1959          18      0.00242  0.00242  0.50   94696     229   94581  4718889  49.83
  1959          19      0.00215  0.00214  0.50   94466     203   94365  4624308  48.95
  1959          20      0.00308  0.00308  0.50   94264     290   94119  4529943  48.06
  1959          21      0.00354  0.00354  0.50   93974     332   93808  4435824  47.20
  1959          22      0.00279  0.00279  0.50   93641     261   93511  4342017  46.37
  1959          23      0.00340  0.00339  0.50   93380     317   93222  4248506  45.50
  1959          24      0.00312  0.00312  0.50   93063     290   92918  4155284  44.65
  1959          25      0.00394  0.00393  0.50   92773     365   92591  4062366  43.79
  1959          26      0.00302  0.00302  0.50   92408     279   92269  3969775  42.96
  1959          27      0.00311  0.00311  0.50   92129     286   91986  3877506  42.09
  1959          28      0.00300  0.00299  0.50   91843     275   91706  3785520  41.22
  1959          29      0.00253  0.00252  0.50   91569     231   91453  3693814  40.34
  1959          30      0.00389  0.00388  0.50   91337     354   91160  3602361  39.44
