England and Wales, Total Population, Exposure to risk (period 1x1), 	Last modified: 02 Apr 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1841           0            241057.19       245435.36       486492.55
  1841           1            223158.39       221712.36       444870.75
  1841           2            206533.29       203671.62       410204.91
  1841           3            196321.12       193357.43       389678.55
  1841           4            192225.78       190001.21       382226.99
  1841           5            194368.84       193864.31       388233.15
  1841           6            193963.10       194310.81       388273.91
  1841           7            189649.88       189781.28       379431.15
  1841           8            186284.03       186206.64       372490.67
  1841           9            182580.64       183508.63       366089.27
  1841          10            177919.61       181268.59       359188.20
  1841          11            174327.55       178917.88       353245.43
  1841          12            171814.40       176263.84       348078.24
  1841          13            168880.57       173204.40       342084.97
  1841          14            166758.59       168918.22       335676.81
  1841          15            166112.90       163445.28       329558.18
  1841          16            164197.84       158829.72       323027.56
  1841          17            161184.95       155858.40       317043.35
  1841          18            158845.30       153526.47       312371.77
  1841          19            160386.73       151729.71       312116.44
  1841          20            166479.86       150199.81       316679.67
  1841          21            168224.18       147797.38       316021.56
  1841          22            164905.91       144729.22       309635.13
  1841          23            161061.58       141207.08       302268.66
  1841          24            154200.29       136136.45       290336.73
  1841          25            144411.68       129957.73       274369.42
  1841          26            137161.32       124915.20       262076.52
  1841          27            133430.17       121540.12       254970.30
  1841          28            130480.34       118928.04       249408.37
  1841          29            128123.36       117490.55       245613.91
  1841          30            126030.50       117101.46       243131.97
  1841          31            123642.10       115835.99       239478.09
  1841          32            120649.71       113220.03       233869.74
  1841          33            116989.61       109980.43       226970.04
  1841          34            110116.34       104118.15       214234.49
  1841          35             99735.38        95474.15       195209.53
  1841          36             92526.03        89364.14       181890.18
  1841          37             89621.03        86751.65       176372.68
  1841          38             87501.48        84889.96       172391.44
  1841          39             88151.30        85419.19       173570.48
  1841          40             91928.61        88590.05       180518.65
  1841          41             93155.52        89571.55       182727.07
  1841          42             90879.82        87541.75       178421.57
  1841          43             87810.00        84729.14       172539.14
  1841          44             81940.44        79122.84       161063.28
  1841          45             73247.05        70660.67       143907.72
  1841          46             66944.95        64547.76       131492.71
  1841          47             64358.71        62086.86       126445.57
  1841          48             62820.95        60595.97       123416.91
  1841          49             63326.76        60734.35       124061.10
  1841          50             66220.95        62707.89       128928.84
  1841          51             67421.36        63358.84       130780.20
  1841          52             65902.07        61848.94       127751.01
  1841          53             63741.72        59739.24       123480.96
  1841          54             58175.17        54508.41       112683.57
  1841          55             48558.71        45557.76        94116.47
  1841          56             42273.44        39659.90        81933.34
  1841          57             40628.89        38032.77        78661.66
  1841          58             39469.54        36856.08        76325.62
  1841          59             40919.44        37924.68        78844.13
  1841          60             45704.37        41849.07        87553.44
  1841          61             47786.67        43434.93        91221.60
  1841          62             46216.39        41860.33        88076.73
  1841          63             44420.52        40072.70        84493.23
  1841          64             40483.92        36286.72        76770.64
  1841          65             33872.65        30006.78        63879.43
  1841          66             29492.86        25828.81        55321.67
  1841          67             28044.61        24400.27        52444.88
  1841          68             26693.51        23061.56        49755.07
  1841          69             26051.40        22509.41        48560.81
  1841          70             26311.76        22947.99        49259.75
  1841          71             25726.37        22457.65        48184.02
  1841          72             24098.69        20837.15        44935.84
  1841          73             22481.22        19241.37        41722.59
