England and Wales, Total Population, Life tables (period 1x1), Females	Last modified: 02 Apr 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1841           0      0.13607  0.12445  0.31  100000   12445   91464  4264844  42.65
  1841           1      0.05958  0.05785  0.50   87555    5065   85022  4173380  47.67
  1841           2      0.03641  0.03575  0.50   82489    2949   81015  4088358  49.56
  1841           3      0.02491  0.02461  0.50   79540    1957   78561  4007343  50.38
  1841           4      0.01846  0.01829  0.50   77583    1419   76873  3928782  50.64
  1841           5      0.01397  0.01387  0.50   76164    1056   75636  3851908  50.57
  1841           6      0.01087  0.01081  0.50   75108     812   74702  3776272  50.28
  1841           7      0.00859  0.00855  0.50   74296     636   73978  3701571  49.82
  1841           8      0.00686  0.00684  0.50   73660     504   73408  3627593  49.25
  1841           9      0.00577  0.00576  0.50   73156     421   72946  3554185  48.58
  1841          10      0.00530  0.00529  0.50   72735     385   72543  3481239  47.86
  1841          11      0.00511  0.00510  0.50   72351     369   72166  3408696  47.11
  1841          12      0.00515  0.00513  0.50   71982     369   71797  3336530  46.35
  1841          13      0.00545  0.00544  0.50   71612     390   71417  3264733  45.59
  1841          14      0.00601  0.00600  0.50   71223     427   71009  3193315  44.84
  1841          15      0.00673  0.00671  0.50   70796     475   70558  3122306  44.10
  1841          16      0.00746  0.00743  0.50   70321     523   70059  3051748  43.40
  1841          17      0.00814  0.00810  0.50   69798     566   69515  2981689  42.72
  1841          18      0.00868  0.00864  0.50   69232     598   68933  2912173  42.06
  1841          19      0.00889  0.00885  0.50   68634     607   68330  2843240  41.43
  1841          20      0.00874  0.00870  0.50   68027     592   67731  2774910  40.79
  1841          21      0.00873  0.00870  0.50   67435     586   67142  2707179  40.14
  1841          22      0.00893  0.00889  0.50   66849     594   66552  2640037  39.49
  1841          23      0.00908  0.00904  0.50   66255     599   65955  2573485  38.84
  1841          24      0.00934  0.00929  0.50   65656     610   65351  2507530  38.19
  1841          25      0.00974  0.00970  0.50   65046     631   64731  2442179  37.55
  1841          26      0.01002  0.00997  0.50   64415     642   64094  2377449  36.91
  1841          27      0.01007  0.01002  0.50   63773     639   63454  2313355  36.27
  1841          28      0.01008  0.01003  0.50   63134     633   62818  2249901  35.64
  1841          29      0.01006  0.01001  0.50   62501     625   62188  2187083  34.99
  1841          30      0.01003  0.00998  0.50   61876     618   61567  2124895  34.34
  1841          31      0.01005  0.01000  0.50   61258     612   60952  2063328  33.68
  1841          32      0.01013  0.01008  0.50   60646     611   60340  2002377  33.02
  1841          33      0.01029  0.01024  0.50   60034     615   59727  1942037  32.35
  1841          34      0.01079  0.01074  0.50   59419     638   59100  1882310  31.68
  1841          35      0.01178  0.01171  0.50   58782     688   58437  1823209  31.02
  1841          36      0.01254  0.01247  0.50   58093     724   57731  1764772  30.38
  1841          37      0.01279  0.01271  0.50   57369     729   57005  1707041  29.76
  1841          38      0.01293  0.01285  0.50   56640     728   56276  1650036  29.13
  1841          39      0.01267  0.01259  0.50   55912     704   55560  1593760  28.50
  1841          40      0.01199  0.01191  0.50   55208     658   54879  1538200  27.86
  1841          41      0.01166  0.01159  0.50   54550     632   54234  1483321  27.19
  1841          42      0.01178  0.01171  0.50   53918     631   53602  1429087  26.50
  1841          43      0.01201  0.01194  0.50   53287     636   52969  1375484  25.81
  1841          44      0.01267  0.01259  0.50   52651     663   52319  1322516  25.12
  1841          45      0.01395  0.01385  0.50   51988     720   51628  1270197  24.43
  1841          46      0.01507  0.01495  0.50   51268     767   50884  1218569  23.77
  1841          47      0.01553  0.01541  0.50   50501     778   50112  1167684  23.12
  1841          48      0.01582  0.01569  0.50   49723     780   49333  1117572  22.48
  1841          49      0.01566  0.01554  0.50   48943     760   48562  1068240  21.83
  1841          50      0.01500  0.01489  0.50   48182     717   47824  1019677  21.16
  1841          51      0.01481  0.01470  0.50   47465     698   47116   971853  20.48
  1841          52      0.01529  0.01517  0.50   46767     710   46412   924737  19.77
  1841          53      0.01601  0.01588  0.50   46058     731   45692   878325  19.07
  1841          54      0.01782  0.01766  0.50   45326     801   44926   832633  18.37
  1841          55      0.02176  0.02152  0.50   44526     958   44047   787707  17.69
  1841          56      0.02552  0.02520  0.50   43567    1098   43018   743660  17.07
  1841          57      0.02717  0.02681  0.50   42469    1138   41900   700642  16.50
  1841          58      0.02866  0.02826  0.50   41331    1168   40747   658741  15.94
  1841          59      0.02838  0.02798  0.50   40163    1124   39601   617994  15.39
  1841          60      0.02611  0.02577  0.50   39039    1006   38536   578393  14.82
  1841          61      0.02570  0.02537  0.50   38033     965   37551   539857  14.19
  1841          62      0.02738  0.02701  0.50   37068    1001   36568   502306  13.55
  1841          63      0.02937  0.02895  0.50   36067    1044   35545   465738  12.91
  1841          64      0.03327  0.03272  0.50   35023    1146   34450   430193  12.28
  1841          65      0.04104  0.04021  0.50   33877    1362   33196   395743  11.68
  1841          66      0.04848  0.04734  0.50   32515    1539   31745   362547  11.15
  1841          67      0.05225  0.05092  0.50   30976    1577   30187   330802  10.68
  1841          68      0.05604  0.05451  0.50   29398    1603   28597   300615  10.23
  1841          69      0.05843  0.05677  0.50   27796    1578   27007   272018   9.79
  1841          70      0.05867  0.05699  0.50   26218    1494   25471   245012   9.35
  1841          71      0.06066  0.05887  0.50   24724    1456   23996   219541   8.88
  1841          72      0.06527  0.06321  0.50   23268    1471   22533   195545   8.40
  1841          73      0.07031  0.06792  0.50   21797    1481   21057   173012   7.94
  1841          74      0.07880  0.07582  0.50   20317    1540   19547   151955   7.48
  1841          75      0.09446  0.09020  0.50   18776    1694   17930   132409   7.05
  1841          76      0.10935  0.10368  0.50   17083    1771   16197   114479   6.70
  1841          77      0.11814  0.11155  0.50   15312    1708   14458    98282   6.42
  1841          78      0.12804  0.12034  0.50   13604    1637   12785    83824   6.16
  1841          79      0.12584  0.11839  0.50   11967    1417   11258    71039   5.94
  1841          80      0.12342  0.11625  0.50   10550    1226    9937    59781   5.67
  1841          81      0.13487  0.12635  0.50    9324    1178    8735    49844   5.35
  1841          82      0.14799  0.13779  0.50    8145    1122    7584    41110   5.05
  1841          83      0.16091  0.14893  0.50    7023    1046    6500    33525   4.77
  1841          84      0.17464  0.16062  0.50    5977     960    5497    27025   4.52
  1841          85      0.18414  0.16862  0.50    5017     846    4594    21528   4.29
  1841          86      0.19838  0.18048  0.50    4171     753    3795    16934   4.06
  1841          87      0.21327  0.19272  0.50    3418     659    3089    13139   3.84
  1841          88      0.22877  0.20529  0.50    2760     567    2476    10050   3.64
  1841          89      0.24487  0.21816  0.50    2193     478    1954     7574   3.45
  1841          90      0.26147  0.23124  0.50    1715     396    1516     5620   3.28
  1841          91      0.27855  0.24450  0.50    1318     322    1157     4104   3.11
  1841          92      0.29598  0.25782  0.50     996     257     867     2947   2.96
  1841          93      0.31360  0.27109  0.50     739     200     639     2079   2.81
  1841          94      0.33145  0.28433  0.50     539     153     462     1440   2.67
  1841          95      0.35566  0.30196  0.50     386     116     327      978   2.54
  1841          96      0.37643  0.31680  0.50     269      85     227      651   2.42
  1841          97      0.39766  0.33171  0.50     184      61     153      424   2.31
  1841          98      0.41929  0.34662  0.50     123      43     102      271   2.21
  1841          99      0.44123  0.36148  0.50      80      29      66      169   2.11
  1841         100      0.46340  0.37623  0.50      51      19      42      104   2.02
  1841         101      0.48571  0.39080  0.50      32      12      26       62   1.94
  1841         102      0.50809  0.40516  0.50      19       8      16       36   1.87
  1841         103      0.53043  0.41924  0.50      12       5       9       21   1.80
  1841         104      0.55265  0.43300  0.50       7       3       5       12   1.73
