FinlandPopulation size (abridged)	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1878           0             31864.16        32789.53        64653.69
  1878           1             28399.84        28578.50        56978.34
  1878           2             26600.16        26383.81        52983.97
  1878           3             26428.97        26361.86        52790.83
  1878           4             26090.86        26639.29        52730.15
  1878           5             23453.58        23664.52        47118.10
  1878           6             23734.98        23763.06        47498.04
  1878           7             22737.90        22886.59        45624.49
  1878           8             20242.91        20383.02        40625.93
  1878           9             16446.64        16977.81        33424.45
  1878          10             16383.16        16426.66        32809.82
  1878          11             16867.31        16966.95        33834.26
  1878          12             18181.02        18215.80        36396.82
  1878          13             20726.11        20617.67        41343.78
  1878          14             20719.40        20864.92        41584.32
  1878          15             19039.08        18872.07        37911.15
  1878          16             19060.46        18913.93        37974.39
  1878          17             18690.49        18656.49        37346.98
  1878          18             17793.67        18113.23        35906.90
  1878          19             18555.31        18936.28        37491.59
  1878          20             17177.29        17245.74        34423.03
  1878          21             16681.95        16739.25        33421.20
  1878          22             16943.94        17065.30        34009.24
  1878          23             17218.65        16990.24        34208.89
  1878          24             16978.16        16876.47        33854.63
  1878          25             16598.22        16390.36        32988.58
  1878          26             16666.86        15846.98        32513.84
  1878          27             15982.77        15271.92        31254.69
  1878          28             16019.93        15319.21        31339.14
  1878          29             15944.22        15179.53        31123.75
  1878          30             14902.33        14302.19        29204.52
  1878          31             14423.17        13823.64        28246.81
  1878          32             14851.59        14290.08        29141.67
  1878          33             14518.53        13845.22        28363.75
  1878          34             15019.37        14187.87        29207.24
  1878          35             14720.18        14075.44        28795.62
  1878          36             13708.91        12973.56        26682.47
  1878          37             13138.25        12406.37        25544.62
  1878          38             12782.64        12256.35        25038.99
  1878          39             12499.01        11954.27        24453.28
  1878          40             11628.93        11011.47        22640.40
  1878          41             11159.80        10549.62        21709.42
  1878          42             10899.81        10348.35        21248.16
  1878          43             11129.64        10349.82        21479.46
  1878          44              9867.82         9237.75        19105.57
  1878          45              9955.91         9192.11        19148.02
  1878          46              9775.85         8916.61        18692.46
  1878          47              9962.26         9138.73        19100.99
  1878          48             10222.82         9310.62        19533.44
  1878          49             10669.17         9733.92        20403.09
  1878          50             10096.37         9138.44        19234.81
  1878          51              9734.64         8637.45        18372.09
  1878          52              9651.97         8512.64        18164.61
  1878          53              9422.89         8298.24        17721.13
  1878          54              9181.12         7945.24        17126.36
  1878          55              8221.89         7268.69        15490.58
  1878          56              8246.15         7140.96        15387.11
  1878          57              7996.38         6810.64        14807.02
  1878          58              7825.44         6481.09        14306.53
  1878          59              7345.14         6032.63        13377.77
  1878          60              7001.38         5788.04        12789.42
  1878          61              6420.10         5299.39        11719.49
  1878          62              6089.66         4942.44        11032.10
  1878          63              5820.25         4684.82        10505.07
  1878          64              5126.62         4039.31         9165.93
  1878          65              4848.20         3692.90         8541.10
  1878          66              4477.80         3352.85         7830.65
  1878          67              4219.79         3215.98         7435.77
  1878          68              3631.85         2639.37         6271.22
  1878          69              3102.35         2291.91         5394.26
  1878          70              2695.71         1973.36         4669.07
  1878          71              2685.37         1922.41         4607.78
  1878          72              2770.41         1892.92         4663.33
  1878          73              2729.32         1960.67         4689.99
  1878          74              2412.19         1720.64         4132.83
  1878          75              2023.83         1388.27         3412.10
  1878          76              1757.46         1134.79         2892.25
  1878          77              1649.86         1023.18         2673.04
  1878          78              1402.00          887.42         2289.42
  1878          79              1135.85          705.35         1841.20
  1878          80               946.94          576.61         1523.55
  1878          81               808.20          466.27         1274.47
  1878          82               695.43          395.24         1090.67
  1878          83               536.68          301.32          838.00
  1878          84               406.25          223.38          629.63
  1878          85               318.67          174.14          492.81
  1878          86               210.88          117.25          328.13
  1878          87               153.43           80.31          233.74
  1878          88               120.77           52.05          172.82
  1878          89                82.72           29.66          112.38
  1878          90                57.54           21.10           78.64
  1878          91                35.25           15.50           50.75
  1878          92                24.13            8.60           32.73
  1878          93                14.17            3.53           17.70
  1878          94                 9.02            3.50           12.52
  1878          95                 9.54            3.52           13.06
  1878          96                 7.00            2.47            9.47
  1878          97                 3.04            0.50            3.54
  1878          98                 0.00            1.06            1.06
  1878          99                 0.51            0.94            1.45
  1878         100                 0.49            0.00            0.49
  1878         101                 0.00            0.00            0.00
  1878         102                 0.00            0.00            0.00
  1878         103                 0.00            0.00            0.00
  1878         104                 0.00            0.00            0.00
  1878         105                 0.00            0.00            0.00
  1878         106                 0.00            0.00            0.00
  1878         107                 0.00            0.00            0.00
  1878         108                 0.00            0.00            0.00
  1878         109                 0.00            0.00            0.00
  1878         110+                0.00            0.00            0.00
  1879           0             32516.60        34029.41        66546.01
  1879           1             28937.75        29448.15        58385.90
  1879           2             26712.19        26965.58        53677.77
  1879           3             25340.12        25255.89        50596.01
  1879           4             25409.34        25461.97        50871.31
  1879           5             25226.98        25880.80        51107.78
  1879           6             23304.05        23522.23        46826.28
  1879           7             23638.61        23677.23        47315.84
  1879           8             22661.28        22819.95        45481.23
  1879           9             20185.08        20335.79        40520.87
  1879          10             16404.43        16945.94        33350.37
  1879          11             16098.32        16103.54        32201.86
  1879          12             16571.92        16621.87        33193.79
  1879          13             17869.98        17861.30        35731.28
  1879          14             20364.35        20222.35        40586.70
  1879          15             20343.32        20450.88        40794.20
  1879          16             18819.76        18618.82        37438.58
  1879          17             18846.58        18669.11        37515.69
  1879          18             18473.58        18405.69        36879.27
  1879          19             17579.76        17853.51        35433.27
  1879          20             18320.96        18648.39        36969.35
  1879          21             17003.77        17033.37        34037.14
  1879          22             16511.95        16536.36        33048.31
  1879          23             16775.76        16862.82        33638.58
  1879          24             17055.56        16789.06        33844.62
  1879          25             16810.47        16667.82        33478.29
  1879          26             16472.56        16225.18        32697.74
  1879          27             16543.37        15692.32        32235.69
  1879          28             15850.70        15125.75        30976.45
  1879          29             15896.90        15161.93        31058.83
  1879          30             15808.14        15016.29        30824.43
  1879          31             14845.41        14258.58        29103.99
  1879          32             14373.67        13795.88        28169.55
  1879          33             14813.90        14271.83        29085.73
  1879          34             14472.88        13808.42        28281.30
  1879          35             14970.47        14144.26        29114.73
  1879          36             14590.71        13918.04        28508.75
  1879          37             13573.86        12823.00        26396.86
  1879          38             13021.43        12254.29        25275.72
  1879          39             12677.53        12099.41        24776.94
  1879          40             12392.04        11805.68        24197.72
  1879          41             11562.11        10939.60        22501.71
  1879          42             11105.02        10480.46        21585.48
  1879          43             10839.15        10278.20        21117.35
  1879          44             11066.68        10275.06        21341.74
  1879          45              9805.45         9153.97        18959.42
  1879          46              9728.07         8944.77        18672.84
  1879          47              9552.89         8683.91        18236.80
  1879          48              9723.73         8897.66        18621.39
  1879          49              9977.86         9041.69        19019.55
  1879          50             10419.34         9444.27        19863.61
  1879          51              9863.37         8865.23        18728.60
  1879          52              9491.23         8375.69        17866.92
  1879          53              9406.16         8258.78        17664.94
  1879          54              9178.90         8043.03        17221.93
  1879          55              8936.79         7696.78        16633.57
  1879          56              8138.96         7100.94        15239.90
  1879          57              8151.94         6957.78        15109.72
  1879          58              7886.55         6635.24        14521.79
  1879          59              7726.75         6316.26        14043.01
  1879          60              7234.29         5844.51        13078.80
  1879          61              6886.77         5632.85        12519.62
  1879          62              6289.16         5158.50        11447.66
  1879          63              5948.36         4794.25        10742.61
  1879          64              5688.42         4529.88        10218.30
  1879          65              4994.16         3887.90         8882.06
  1879          66              4648.41         3516.91         8165.32
  1879          67              4265.39         3190.72         7456.11
  1879          68              3988.92         3065.50         7054.42
  1879          69              3405.12         2468.97         5874.09
  1879          70              2912.35         2134.78         5047.13
  1879          71              2431.18         1750.15         4181.33
  1879          72              2392.32         1701.99         4094.31
  1879          73              2455.00         1660.52         4115.52
  1879          74              2426.14         1702.56         4128.70
  1879          75              2104.16         1474.14         3578.30
  1879          76              1785.71         1220.07         3005.78
  1879          77              1549.59          987.16         2536.75
  1879          78              1442.89          879.93         2322.82
  1879          79              1197.65          750.69         1948.34
  1879          80               913.50          573.99         1487.49
  1879          81               789.17          469.95         1259.12
  1879          82               673.54          371.41         1044.95
  1879          83               574.64          311.06          885.70
  1879          84               436.16          238.99          675.15
  1879          85               316.68          168.07          484.75
  1879          86               252.49          129.75          382.24
  1879          87               168.77           87.62          256.39
  1879          88               113.90           53.83          167.73
  1879          89                87.90           33.73          121.63
  1879          90                61.32           21.57           82.89
  1879          91                46.33           14.59           60.92
  1879          92                27.34            9.01           36.35
  1879          93                15.09            4.05           19.14
  1879          94                 8.56            2.51           11.07
  1879          95                 6.48            3.50            9.98
  1879          96                 7.05            3.52           10.57
  1879          97                 4.00            1.97            5.97
  1879          98                 1.51            0.00            1.51
  1879          99                 0.00            1.06            1.06
  1879         100                 0.00            0.94            0.94
  1879         101                 0.00            0.00            0.00
  1879         102                 0.00            0.00            0.00
  1879         103                 0.00            0.00            0.00
  1879         104                 0.00            0.00            0.00
  1879         105                 0.00            0.00            0.00
  1879         106                 0.00            0.00            0.00
  1879         107                 0.00            0.00            0.00
  1879         108                 0.00            0.00            0.00
  1879         109                 0.00            0.00            0.00
  1879         110+                0.00            0.00            0.00
  1880           0             33691.93        34698.44        68390.37
  1880           1             29783.98        30686.68        60470.66
  1880           2             27873.87        28277.86        56151.73
  1880           3             26010.59        26271.29        52281.88
  1880           4             24950.63        24932.74        49883.37
  1880           5             25191.59        25322.45        50514.04
  1880           6             24717.62        25376.90        50094.52
  1880           7             22909.83        23109.67        46019.50
  1880           8             23286.41        23309.08        46595.49
  1880           9             22353.56        22472.89        44826.45
  1880          10             19913.21        20019.08        39932.29
  1880          11             16407.58        16922.63        33330.21
  1880          12             16149.25        16124.63        32273.88
  1880          13             16614.91        16641.71        33256.62
  1880          14             17921.05        17898.94        35819.99
  1880          15             20417.53        20271.78        40689.31
  1880          16             20416.52        20519.46        40935.98
  1880          17             18869.50        18670.57        37540.07
  1880          18             18902.41        18723.00        37625.41
  1880          19             18529.03        18443.19        36972.22
  1880          20             17634.04        17861.45        35495.49
  1880          21             18196.93        18493.22        36690.15
  1880          22             16874.31        16888.11        33762.42
  1880          23             16385.86        16406.33        32792.19
  1880          24             16652.87        16727.89        33380.76
  1880          25             16921.95        16647.94        33569.89
  1880          26             16831.69        16658.93        33490.62
  1880          27             16493.80        16219.68        32713.48
  1880          28             16567.08        15701.72        32268.80
  1880          29             15872.48        15137.72        31010.20
  1880          30             15920.49        15162.90        31083.39
  1880          31             15741.36        14925.05        30666.41
  1880          32             14775.92        14169.04        28944.96
  1880          33             14310.16        13715.72        28025.88
  1880          34             14747.06        14192.28        28939.34
  1880          35             14398.84        13709.64        28108.48
  1880          36             14779.40        13916.71        28696.11
  1880          37             14403.53        13701.95        28105.48
  1880          38             13387.52        12613.22        26000.74
  1880          39             12839.71        12044.48        24884.19
  1880          40             12499.31        11878.56        24377.87
  1880          41             12199.38        11604.06        23803.44
  1880          42             11385.05        10758.45        22143.50
  1880          43             10931.51        10295.79        21227.30
  1880          44             10654.75        10082.14        20736.89
  1880          45             10885.37        10057.19        20942.56
  1880          46              9876.79         9176.43        19053.22
  1880          47              9799.91         8990.58        18790.49
  1880          48              9630.89         8728.39        18359.28
  1880          49              9796.04         8936.41        18732.45
  1880          50             10041.79         9061.28        19103.07
  1880          51             10382.56         9368.12        19750.68
  1880          52              9806.42         8776.48        18582.90
  1880          53              9417.14         8264.32        17681.46
  1880          54              9343.08         8142.80        17485.88
  1880          55              9107.31         7917.94        17025.25
  1880          56              8829.76         7572.76        16402.52
  1880          57              8025.94         6969.79        14995.73
  1880          58              8029.42         6822.45        14851.87
  1880          59              7739.57         6492.05        14231.62
  1880          60              7567.38         6179.10        13746.48
  1880          61              7011.57         5661.96        12673.53
  1880          62              6668.78         5427.98        12096.76
  1880          63              6064.91         4939.49        11004.40
  1880          64              5719.35         4579.47        10298.82
  1880          65              5446.37         4331.08         9777.45
  1880          66              4797.06         3710.87         8507.93
  1880          67              4442.34         3330.92         7773.26
  1880          68              4065.49         2990.20         7055.69
  1880          69              3808.74         2873.93         6682.67
  1880          70              3205.63         2283.98         5489.61
  1880          71              2669.57         1910.81         4580.38
  1880          72              2220.72         1559.55         3780.27
  1880          73              2162.49         1516.56         3679.05
  1880          74              2210.59         1465.11         3675.70
  1880          75              2184.67         1511.56         3696.23
  1880          76              1943.86         1335.57         3279.43
  1880          77              1639.18         1084.60         2723.78
  1880          78              1393.70          871.27         2264.97
  1880          79              1270.58          771.99         2042.57
  1880          80               962.17          628.32         1590.49
  1880          81               769.39          476.74         1246.13
  1880          82               668.88          388.04         1056.92
  1880          83               567.54          301.80          869.34
  1880          84               470.52          243.59          714.11
  1880          85               352.24          181.75          533.99
  1880          86               256.53          129.36          385.89
  1880          87               203.09          103.08          306.17
  1880          88               136.32           68.56          204.88
  1880          89                89.48           41.19          130.67
  1880          90                62.67           26.16           88.83
  1880          91                38.28           13.58           51.86
  1880          92                30.12            8.05           38.17
  1880          93                20.24            6.00           26.24
  1880          94                12.54            3.03           15.57
  1880          95                 8.04            2.01           10.05
  1880          96                 4.51            2.50            7.01
  1880          97                 4.53            3.02            7.55
  1880          98                 3.49            1.97            5.46
  1880          99                 1.51            0.00            1.51
  1880         100                 0.00            1.06            1.06
  1880         101                 0.00            0.94            0.94
  1880         102                 0.00            0.00            0.00
  1880         103                 0.00            0.00            0.00
  1880         104                 0.00            0.00            0.00
  1880         105                 0.00            0.00            0.00
  1880         106                 0.00            0.00            0.00
  1880         107                 0.00            0.00            0.00
  1880         108                 0.00            0.00            0.00
  1880         109                 0.00            0.00            0.00
  1880         110+                0.00            0.00            0.00
  1881           0             32301.12        33277.01        65578.13
  1881           1             30349.86        30698.63        61048.49
  1881           2             28305.91        29032.32        57338.23
  1881           3             26984.78        27232.30        54217.08
  1881           4             25341.32        25498.74        50840.06
  1881           5             24471.97        24407.19        48879.16
  1881           6             24799.25        24884.39        49683.64
  1881           7             24436.97        25041.08        49478.05
  1881           8             22733.75        22863.29        45597.04
  1881           9             23165.05        23104.04        46269.09
  1881          10             22247.29        22293.68        44540.97
  1881          11             20016.61        20141.08        40157.69
  1881          12             16499.14        17017.45        33516.59
  1881          13             16280.94        16259.00        32539.94
  1881          14             16732.03        16775.80        33507.83
  1881          15             18048.36        18063.79        36112.15
  1881          16             20352.29        20281.59        40633.88
  1881          17             20346.83        20515.77        40862.60
  1881          18             18806.33        18644.37        37450.70
  1881          19             18853.18        18680.48        37533.66
  1881          20             18458.93        18388.22        36847.15
