Finland, Life tables (period 1x1), Females	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1878           0      0.18302  0.16261  0.31  100000   16261   88847  4025465  40.25
  1878           1      0.08360  0.08025  0.50   83739    6720   80379  3936618  47.01
  1878           2      0.04683  0.04576  0.50   77019    3524   75257  3856239  50.07
  1878           3      0.02822  0.02783  0.50   73495    2045   72472  3780982  51.45
  1878           4      0.02139  0.02116  0.50   71450    1512   70694  3708509  51.90
  1878           5      0.01569  0.01557  0.50   69938    1089   69393  3637815  52.01
  1878           6      0.01257  0.01249  0.50   68849     860   68419  3568422  51.83
  1878           7      0.01002  0.00997  0.50   67989     678   67650  3500003  51.48
  1878           8      0.00824  0.00821  0.50   67311     553   67035  3432352  50.99
  1878           9      0.00642  0.00640  0.50   66759     427   66545  3365317  50.41
  1878          10      0.00668  0.00666  0.50   66331     442   66111  3298772  49.73
  1878          11      0.00578  0.00576  0.50   65890     380   65700  3232662  49.06
  1878          12      0.00561  0.00559  0.50   65510     366   65327  3166962  48.34
  1878          13      0.00510  0.00508  0.50   65144     331   64978  3101635  47.61
  1878          14      0.00497  0.00495  0.50   64813     321   64652  3036657  46.85
  1878          15      0.00574  0.00572  0.50   64492     369   64307  2972005  46.08
  1878          16      0.00628  0.00626  0.50   64123     402   63922  2907698  45.35
  1878          17      0.00623  0.00621  0.50   63721     396   63523  2843776  44.63
  1878          18      0.00574  0.00572  0.50   63325     362   63144  2780253  43.90
  1878          19      0.00576  0.00574  0.50   62963     361   62782  2717109  43.15
  1878          20      0.00569  0.00567  0.50   62601     355   62424  2654327  42.40
  1878          21      0.00606  0.00604  0.50   62246     376   62058  2591904  41.64
  1878          22      0.00717  0.00715  0.50   61870     442   61649  2529846  40.89
  1878          23      0.00606  0.00604  0.50   61428     371   61242  2468197  40.18
  1878          24      0.00682  0.00679  0.50   61057     415   60849  2406954  39.42
  1878          25      0.00593  0.00591  0.50   60642     358   60463  2346105  38.69
  1878          26      0.00833  0.00829  0.50   60284     500   60034  2285642  37.91
  1878          27      0.00849  0.00845  0.50   59784     505   59531  2225608  37.23
  1878          28      0.00847  0.00844  0.50   59279     500   59028  2166077  36.54
  1878          29      0.00747  0.00745  0.50   58778     438   58560  2107049  35.85
  1878          30      0.00795  0.00791  0.50   58341     462   58110  2048489  35.11
  1878          31      0.00738  0.00735  0.50   57879     426   57666  1990379  34.39
  1878          32      0.00732  0.00730  0.50   57453     419   57244  1932713  33.64
  1878          33      0.00839  0.00835  0.50   57034     476   56796  1875469  32.88
  1878          34      0.00861  0.00858  0.50   56558     485   56315  1818673  32.16
  1878          35      0.00916  0.00912  0.50   56073     511   55817  1762358  31.43
  1878          36      0.00848  0.00845  0.50   55561     469   55327  1706541  30.71
  1878          37      0.00906  0.00902  0.50   55092     497   54844  1651214  29.97
  1878          38      0.00977  0.00972  0.50   54595     531   54330  1596370  29.24
  1878          39      0.00969  0.00965  0.50   54065     521   53804  1542040  28.52
  1878          40      0.01049  0.01044  0.50   53543     559   53264  1488236  27.80
  1878          41      0.01056  0.01051  0.50   52984     557   52706  1434972  27.08
  1878          42      0.01136  0.01130  0.50   52428     592   52132  1382266  26.37
  1878          43      0.01147  0.01141  0.50   51835     591   51540  1330135  25.66
  1878          44      0.01032  0.01027  0.50   51244     526   50981  1278595  24.95
  1878          45      0.00911  0.00907  0.50   50718     460   50488  1227614  24.20
  1878          46      0.01231  0.01223  0.50   50258     615   49951  1177125  23.42
  1878          47      0.01230  0.01222  0.50   49644     607   49340  1127175  22.71
  1878          48      0.01023  0.01018  0.50   49037     499   48787  1077835  21.98
  1878          49      0.01104  0.01098  0.50   48538     533   48271  1029047  21.20
  1878          50      0.01404  0.01394  0.50   48005     669   47670   980776  20.43
  1878          51      0.01592  0.01580  0.50   47335     748   46962   933106  19.71
  1878          52      0.01536  0.01524  0.50   46588     710   46233   886145  19.02
  1878          53      0.01477  0.01466  0.50   45878     672   45541   839912  18.31
  1878          54      0.01438  0.01428  0.50   45205     645   44882   794371  17.57
  1878          55      0.01982  0.01962  0.50   44560     874   44122   749488  16.82
  1878          56      0.02026  0.02006  0.50   43685     876   43247   705366  16.15
  1878          57      0.02428  0.02399  0.50   42809    1027   42295   662119  15.47
  1878          58      0.01961  0.01941  0.50   41782     811   41376   619823  14.83
  1878          59      0.02482  0.02451  0.50   40971    1004   40469   578447  14.12
  1878          60      0.03274  0.03222  0.50   39966    1288   39323   537978  13.46
  1878          61      0.03368  0.03312  0.50   38679    1281   38038   498656  12.89
  1878          62      0.03475  0.03415  0.50   37398    1277   36759   460617  12.32
  1878          63      0.03944  0.03868  0.50   36121    1397   35422   423858  11.73
  1878          64      0.03959  0.03882  0.50   34724    1348   34050   388436  11.19
  1878          65      0.04574  0.04472  0.50   33376    1492   32630   354386  10.62
  1878          66      0.05065  0.04940  0.50   31883    1575   31096   321756  10.09
  1878          67      0.05919  0.05749  0.50   30308    1742   29437   290660   9.59
  1878          68      0.06171  0.05986  0.50   28566    1710   27711   261223   9.14
  1878          69      0.05535  0.05386  0.50   26856    1446   26133   233512   8.69
  1878          70      0.06602  0.06391  0.50   25410    1624   24598   207379   8.16
  1878          71      0.08489  0.08144  0.50   23786    1937   22817   182782   7.68
  1878          72      0.08840  0.08466  0.50   21849    1850   20924   159965   7.32
  1878          73      0.08958  0.08574  0.50   19999    1715   19142   139041   6.95
  1878          74      0.09061  0.08668  0.50   18284    1585   17492   119899   6.56
  1878          75      0.10574  0.10043  0.50   16699    1677   15861   102407   6.13
  1878          76      0.12322  0.11607  0.50   15022    1744   14150    86547   5.76
  1878          77      0.15780  0.14626  0.50   13279    1942   12308    72396   5.45
  1878          78      0.13447  0.12600  0.50   11337    1428   10622    60089   5.30
  1878          79      0.12444  0.11715  0.50    9908    1161    9328    49466   4.99
  1878          80      0.18959  0.17318  0.50    8747    1515    7990    40139   4.59
  1878          81      0.18499  0.16933  0.50    7233    1225    6620    32149   4.45
  1878          82      0.19579  0.17834  0.50    6008    1071    5472    25529   4.25
  1878          83      0.20706  0.18764  0.50    4936     926    4473    20056   4.06
  1878          84      0.21880  0.19723  0.50    4010     791    3615    15583   3.89
  1878          85      0.23102  0.20710  0.50    3219     667    2886    11968   3.72
  1878          86      0.24370  0.21723  0.50    2553     554    2275     9083   3.56
  1878          87      0.25685  0.22761  0.50    1998     455    1771     6807   3.41
  1878          88      0.27045  0.23823  0.50    1543     368    1359     5037   3.26
  1878          89      0.28449  0.24906  0.50    1176     293    1029     3677   3.13
  1878          90      0.29897  0.26009  0.50     883     230     768     2648   3.00
  1878          91      0.31386  0.27129  0.50     653     177     565     1880   2.88
  1878          92      0.32914  0.28263  0.50     476     135     409     1315   2.76
  1878          93      0.34480  0.29410  0.50     341     100     291      907   2.65
  1878          94      0.36080  0.30566  0.50     241      74     204      615   2.55
  1878          95      0.37711  0.31728  0.50     167      53     141      411   2.46
  1878          96      0.39370  0.32895  0.50     114      38      95      270   2.37
  1878          97      0.41055  0.34063  0.50      77      26      64      175   2.28
  1878          98      0.42761  0.35229  0.50      51      18      42      111   2.20
  1878          99      0.44484  0.36390  0.50      33      12      27       70   2.12
  1878         100      0.46220  0.37544  0.50      21       8      17       43   2.05
  1878         101      0.47966  0.38688  0.50      13       5      10       26   1.99
  1878         102      0.49717  0.39819  0.50       8       3       6       15   1.92
  1878         103      0.51468  0.40934  0.50       5       2       4        9   1.86
  1878         104      0.53216  0.42032  0.50       3       1       2        5   1.81
  1878         105      0.54956  0.43110  0.50       2       1       1        3   1.76
  1878         106      0.56684  0.44166  0.50       1       0       1        2   1.71
  1878         107      0.58396  0.45199  0.50       1       0       0        1   1.67
  1878         108      0.60087  0.46206  0.50       0       0       0        0   1.63
  1878         109      0.61755  0.47186  0.50       0       0       0        0   1.60
  1878         110+     0.63396  1.00000  1.58       0       0       0        0   1.58
  1879           0      0.14309  0.13030  0.31  100000   13030   91063  4608012  46.08
  1879           1      0.05056  0.04931  0.50   86970    4289   84826  4516949  51.94
  1879           2      0.03392  0.03335  0.50   82681    2758   81302  4432123  53.60
  1879           3      0.02326  0.02299  0.50   79924    1838   79005  4350821  54.44
  1879           4      0.01745  0.01730  0.50   78086    1351   77411  4271816  54.71
  1879           5      0.01106  0.01100  0.50   76735     844   76313  4194405  54.66
  1879           6      0.00791  0.00788  0.50   75891     598   75592  4118092  54.26
  1879           7      0.00747  0.00744  0.50   75293     560   75013  4042500  53.69
  1879           8      0.00599  0.00597  0.50   74733     446   74510  3967487  53.09
  1879           9      0.00541  0.00539  0.50   74287     401   74086  3892977  52.40
  1879          10      0.00470  0.00469  0.50   73886     347   73712  3818891  51.69
  1879          11      0.00355  0.00354  0.50   73539     260   73409  3745178  50.93
  1879          12      0.00396  0.00396  0.50   73279     290   73134  3671769  50.11
  1879          13      0.00373  0.00372  0.50   72989     271   72853  3598636  49.30
  1879          14      0.00483  0.00482  0.50   72717     350   72542  3525783  48.49
  1879          15      0.00456  0.00455  0.50   72367     329   72202  3453240  47.72
  1879          16      0.00372  0.00371  0.50   72038     268   71904  3381038  46.93
  1879          17      0.00440  0.00439  0.50   71770     315   71612  3309134  46.11
  1879          18      0.00449  0.00448  0.50   71455     320   71295  3237522  45.31
  1879          19      0.00499  0.00497  0.50   71134     354   70958  3166227  44.51
  1879          20      0.00629  0.00627  0.50   70781     444   70559  3095269  43.73
  1879          21      0.00597  0.00595  0.50   70337     418   70128  3024711  43.00
  1879          22      0.00659  0.00657  0.50   69919     459   69689  2954583  42.26
  1879          23      0.00597  0.00595  0.50   69460     414   69253  2884893  41.53
  1879          24      0.00581  0.00580  0.50   69046     400   68846  2815641  40.78
  1879          25      0.00652  0.00650  0.50   68646     446   68423  2746795  40.01
  1879          26      0.00577  0.00575  0.50   68199     392   68003  2678372  39.27
  1879          27      0.00642  0.00640  0.50   67807     434   67591  2610369  38.50
  1879          28      0.00710  0.00707  0.50   67374     476   67136  2542778  37.74
  1879          29      0.00548  0.00546  0.50   66897     365   66715  2475643  37.01
  1879          30      0.00901  0.00897  0.50   66532     597   66233  2408928  36.21
  1879          31      0.00863  0.00859  0.50   65935     567   65652  2342695  35.53
  1879          32      0.00844  0.00840  0.50   65368     549   65094  2277043  34.83
  1879          33      0.00776  0.00773  0.50   64819     501   64568  2211950  34.13
  1879          34      0.00931  0.00927  0.50   64318     596   64020  2147381  33.39
  1879          35      0.00851  0.00848  0.50   63722     540   63452  2083361  32.69
  1879          36      0.01076  0.01070  0.50   63182     676   62844  2019910  31.97
  1879          37      0.00951  0.00946  0.50   62506     591   62210  1957066  31.31
  1879          38      0.00916  0.00912  0.50   61914     565   61632  1894856  30.60
  1879          39      0.00854  0.00851  0.50   61349     522   61088  1833225  29.88
  1879          40      0.01004  0.00999  0.50   60827     608   60523  1772136  29.13
  1879          41      0.00825  0.00822  0.50   60219     495   59972  1711613  28.42
  1879          42      0.00872  0.00868  0.50   59725     518   59466  1651641  27.65
  1879          43      0.00992  0.00987  0.50   59206     585   58914  1592175  26.89
  1879          44      0.00958  0.00953  0.50   58622     559   58343  1533261  26.16
  1879          45      0.00938  0.00933  0.50   58063     542   57792  1474918  25.40
  1879          46      0.00826  0.00823  0.50   57521     473   57285  1417126  24.64
  1879          47      0.00961  0.00957  0.50   57048     546   56775  1359841  23.84
