Finland, Life tables (period 1x1), Males	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1878           0      0.21055  0.18347  0.30  100000   18347   87141  3840353  38.40
  1878           1      0.08267  0.07939  0.50   81653    6482   78412  3753211  45.97
  1878           2      0.04462  0.04364  0.50   75170    3281   73530  3674800  48.89
  1878           3      0.02804  0.02765  0.50   71890    1988   70896  3601270  50.09
  1878           4      0.01945  0.01927  0.50   69902    1347   69229  3530374  50.50
  1878           5      0.01480  0.01469  0.50   68555    1007   68052  3461145  50.49
  1878           6      0.01200  0.01193  0.50   67548     806   67145  3393094  50.23
  1878           7      0.00976  0.00972  0.50   66742     649   66418  3325949  49.83
  1878           8      0.00723  0.00721  0.50   66094     476   65856  3259531  49.32
  1878           9      0.00672  0.00670  0.50   65617     439   65398  3193675  48.67
  1878          10      0.00593  0.00591  0.50   65178     385   64985  3128278  48.00
  1878          11      0.00515  0.00513  0.50   64793     333   64626  3063292  47.28
  1878          12      0.00490  0.00489  0.50   64460     315   64302  2998666  46.52
  1878          13      0.00383  0.00383  0.50   64145     245   64022  2934363  45.75
  1878          14      0.00404  0.00403  0.50   63900     258   63771  2870341  44.92
  1878          15      0.00493  0.00492  0.50   63642     313   63485  2806570  44.10
  1878          16      0.00469  0.00468  0.50   63329     296   63181  2743085  43.32
  1878          17      0.00488  0.00486  0.50   63032     307   62879  2679905  42.52
  1878          18      0.00624  0.00622  0.50   62726     390   62531  2617026  41.72
  1878          19      0.00642  0.00639  0.50   62335     399   62136  2554495  40.98
  1878          20      0.00708  0.00705  0.50   61937     437   61718  2492359  40.24
  1878          21      0.00663  0.00661  0.50   61500     407   61297  2430641  39.52
  1878          22      0.00809  0.00806  0.50   61093     493   60847  2369344  38.78
  1878          23      0.00668  0.00665  0.50   60601     403   60399  2308497  38.09
  1878          24      0.00832  0.00828  0.50   60198     499   59948  2248098  37.35
  1878          25      0.00732  0.00729  0.50   59699     435   59481  2188149  36.65
  1878          26      0.00923  0.00919  0.50   59264     544   58991  2128668  35.92
  1878          27      0.00801  0.00798  0.50   58719     468   58485  2069676  35.25
  1878          28      0.00775  0.00772  0.50   58251     450   58026  2011191  34.53
  1878          29      0.00771  0.00768  0.50   57801     444   57579  1953165  33.79
  1878          30      0.00900  0.00896  0.50   57357     514   57100  1895586  33.05
  1878          31      0.00798  0.00794  0.50   56843     452   56617  1838487  32.34
  1878          32      0.00762  0.00759  0.50   56391     428   56177  1781870  31.60
  1878          33      0.00790  0.00786  0.50   55963     440   55743  1725692  30.84
  1878          34      0.00757  0.00754  0.50   55523     419   55314  1669949  30.08
  1878          35      0.01035  0.01029  0.50   55104     567   54821  1614636  29.30
  1878          36      0.00811  0.00807  0.50   54537     440   54317  1559815  28.60
  1878          37      0.01007  0.01002  0.50   54097     542   53826  1505498  27.83
  1878          38      0.01036  0.01031  0.50   53555     552   53279  1451673  27.11
  1878          39      0.01014  0.01009  0.50   53003     535   52735  1398394  26.38
  1878          40      0.01227  0.01220  0.50   52468     640   52148  1345659  25.65
  1878          41      0.01294  0.01285  0.50   51828     666   51495  1293511  24.96
  1878          42      0.01268  0.01260  0.50   51161     644   50839  1242017  24.28
  1878          43      0.01309  0.01300  0.50   50517     657   50189  1191178  23.58
  1878          44      0.01251  0.01243  0.50   49860     620   49550  1140989  22.88
  1878          45      0.01156  0.01149  0.50   49240     566   48958  1091439  22.17
  1878          46      0.01355  0.01346  0.50   48675     655   48347  1042482  21.42
  1878          47      0.01549  0.01537  0.50   48020     738   47651   994134  20.70
  1878          48      0.01769  0.01753  0.50   47282     829   46867   946484  20.02
  1878          49      0.01736  0.01722  0.50   46453     800   46053   899617  19.37
  1878          50      0.01776  0.01760  0.50   45653     804   45251   853564  18.70
  1878          51      0.02171  0.02148  0.50   44849     963   44368   808313  18.02
  1878          52      0.02049  0.02028  0.50   43886     890   43441   763945  17.41
  1878          53      0.02283  0.02258  0.50   42996     971   42511   720504  16.76
  1878          54      0.02064  0.02043  0.50   42025     859   41596   677994  16.13
  1878          55      0.02219  0.02194  0.50   41167     903   40715   636398  15.46
  1878          56      0.02612  0.02579  0.50   40263    1038   39744   595683  14.79
  1878          57      0.02935  0.02892  0.50   39225    1134   38658   555939  14.17
  1878          58      0.03126  0.03078  0.50   38090    1173   37504   517281  13.58
  1878          59      0.03305  0.03251  0.50   36918    1200   36318   479777  13.00
  1878          60      0.03835  0.03763  0.50   35718    1344   35046   443459  12.42
  1878          61      0.04648  0.04543  0.50   34374    1561   33593   408413  11.88
  1878          62      0.04912  0.04794  0.50   32812    1573   32026   374820  11.42
  1878          63      0.04158  0.04073  0.50   31239    1272   30603   342795  10.97
  1878          64      0.04693  0.04585  0.50   29967    1374   29280   312191  10.42
  1878          65      0.05595  0.05443  0.50   28593    1556   27815   282911   9.89
  1878          66      0.05475  0.05329  0.50   27037    1441   26316   255097   9.44
  1878          67      0.07090  0.06847  0.50   25596    1753   24720   228780   8.94
  1878          68      0.06453  0.06252  0.50   23843    1491   23098   204061   8.56
  1878          69      0.06136  0.05953  0.50   22353    1331   21687   180963   8.10
  1878          70      0.07550  0.07275  0.50   21022    1529   20257   159275   7.58
  1878          71      0.08555  0.08204  0.50   19493    1599   18693   139018   7.13
  1878          72      0.10579  0.10047  0.50   17893    1798   16994   120325   6.72
  1878          73      0.11110  0.10526  0.50   16096    1694   15249   103331   6.42
  1878          74      0.10583  0.10051  0.50   14401    1448   13678    88082   6.12
  1878          75      0.10979  0.10408  0.50   12954    1348   12280    74404   5.74
  1878          76      0.10966  0.10396  0.50   11606    1206   11002    62125   5.35
  1878          77      0.16437  0.15189  0.50   10399    1579    9609    51122   4.92
  1878          78      0.16317  0.15086  0.50    8820    1331    8154    41513   4.71
  1878          79      0.12925  0.12141  0.50    7489     909    7035    33358   4.45
  1878          80      0.20893  0.18917  0.50    6580    1245    5958    26324   4.00
  1878          81      0.21658  0.19542  0.50    5335    1043    4814    20366   3.82
  1878          82      0.23141  0.20741  0.50    4293     890    3847    15552   3.62
  1878          83      0.24693  0.21979  0.50    3402     748    3028    11705   3.44
  1878          84      0.26314  0.23254  0.50    2654     617    2346     8676   3.27
  1878          85      0.28001  0.24563  0.50    2037     500    1787     6331   3.11
  1878          86      0.29754  0.25901  0.50    1537     398    1338     4544   2.96
  1878          87      0.31567  0.27264  0.50    1139     310     984     3206   2.82
  1878          88      0.33439  0.28649  0.50     828     237     710     2222   2.68
  1878          89      0.35365  0.30051  0.50     591     178     502     1513   2.56
  1878          90      0.37339  0.31464  0.50     413     130     348     1010   2.44
  1878          91      0.39356  0.32885  0.50     283      93     237      662   2.34
  1878          92      0.41410  0.34307  0.50     190      65     158      425   2.24
  1878          93      0.43494  0.35725  0.50     125      45     103      268   2.14
  1878          94      0.45602  0.37135  0.50      80      30      65      165   2.06
  1878          95      0.47725  0.38531  0.50      50      19      41      100   1.98
  1878          96      0.49857  0.39908  0.50      31      12      25       59   1.90
  1878          97      0.51989  0.41263  0.50      19       8      15       34   1.83
  1878          98      0.54114  0.42590  0.50      11       5       9       19   1.77
  1878          99      0.56224  0.43887  0.50       6       3       5       11   1.71
  1878         100      0.58312  0.45149  0.50       4       2       3        6   1.65
  1878         101      0.60371  0.46373  0.50       2       1       1        3   1.60
