France, Total Population, Population size (abridged)	Last modified: 30 Aug 2019;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
     1816        0            390376.18       405138.22       795514.40
     1816        1            368919.15       382766.27       751685.42
     1816        2            352517.85       365645.54       718163.39
     1816        3            341265.14       353944.06       695209.20
     1816        4            339921.67       352505.91       692427.58
     1816        5            312194.81       329075.45       641270.26
     1816        6            306826.71       323406.50       630233.21
     1816        7            302156.10       318451.01       620607.11
     1816        8            296103.48       312051.09       608154.57
     1816        9            284718.90       300015.95       584734.85
     1816       10            290401.88       292108.88       582510.76
     1816       11            287885.93       289537.77       577423.70
     1816       12            285519.66       287114.47       572634.13
     1816       13            283971.67       285499.45       569471.12
     1816       14            284220.86       285739.42       569960.28
     1816       15            296922.53       288532.91       585455.44
     1816       16            291778.70       283587.07       575365.77
     1816       17            283934.97       276058.50       559993.47
     1816       18            274555.18       267106.62       541661.80
     1816       19            264808.62       257714.90       522523.52
     1816       20            289677.69       249799.49       539477.18
     1816       21            275387.87       237481.20       512869.07
     1816       22            263512.61       227171.66       490684.27
     1816       23            252990.24       217973.08       470963.32
     1816       24            243431.59       209574.56       453006.15
     1816       25            241276.62       197508.53       438785.15
     1816       26            239764.75       196185.67       435950.42
     1816       27            239496.55       195919.49       435416.04
     1816       28            241766.07       197756.65       439522.72
     1816       29            247696.01       202629.67       450325.68
     1816       30            225319.13       203957.83       429276.96
     1816       31            224063.05       202820.70       426883.75
     1816       32            222173.33       201106.03       423279.36
     1816       33            219233.36       198424.55       417657.91
     1816       34            216211.13       195690.90       411902.03
     1816       35            214973.06       196034.93       411007.99
     1816       36            210588.88       192024.95       402613.83
     1816       37            205130.25       187033.84       392164.09
     1816       38            198574.54       181029.55       379604.09
     1816       39            190733.28       173876.73       364610.01
     1816       40            198646.64       167007.35       365653.99
     1816       41            191947.79       161371.55       353319.34
     1816       42            187299.35       157468.16       344767.51
     1816       43            183912.09       154625.88       338537.97
     1816       44            180194.12       151527.06       331721.18
     1816       45            172603.48       147999.50       320602.98
     1816       46            172797.54       148214.77       321012.31
     1816       47            172314.92       147860.43       320175.35
