France, Total Population, Life tables (period 1x1), Males	Last modified: 28 Jun 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1816           0      0.22293  0.19281  0.30  100000   19281   86487  3908210  39.08
  1816           1      0.04667  0.04560  0.50   80719    3681   78879  3821723  47.35
  1816           2      0.03431  0.03373  0.50   77038    2598   75739  3742844  48.58
  1816           3      0.02315  0.02289  0.50   74440    1704   73588  3667105  49.26
  1816           4      0.01607  0.01595  0.50   72736    1160   72156  3593517  49.40
  1816           5      0.01364  0.01354  0.50   71576     969   71091  3521361  49.20
  1816           6      0.01163  0.01157  0.50   70607     817   70198  3450269  48.87
  1816           7      0.00991  0.00986  0.50   69790     688   69446  3380071  48.43
  1816           8      0.00838  0.00834  0.50   69102     577   68814  3310625  47.91
  1816           9      0.00711  0.00708  0.50   68526     485   68283  3241811  47.31
  1816          10      0.00601  0.00599  0.50   68040     408   67836  3173528  46.64
  1816          11      0.00521  0.00519  0.50   67633     351   67457  3105692  45.92
  1816          12      0.00465  0.00464  0.50   67281     312   67125  3038235  45.16
  1816          13      0.00443  0.00442  0.50   66969     296   66822  2971109  44.37
  1816          14      0.00455  0.00454  0.50   66674     303   66522  2904288  43.56
  1816          15      0.00497  0.00495  0.50   66371     329   66207  2837765  42.76
  1816          16      0.00561  0.00559  0.50   66042     369   65858  2771559  41.97
  1816          17      0.00645  0.00643  0.50   65673     422   65462  2705701  41.20
  1816          18      0.00752  0.00749  0.50   65251     489   65006  2640239  40.46
  1816          19      0.00884  0.00880  0.50   64762     570   64477  2575233  39.76
  1816          20      0.01029  0.01024  0.50   64192     657   63863  2510756  39.11
  1816          21      0.01157  0.01150  0.50   63534     731   63169  2446893  38.51
  1816          22      0.01251  0.01244  0.50   62803     781   62413  2383724  37.96
  1816          23      0.01292  0.01283  0.50   62022     796   61624  2321311  37.43
  1816          24      0.01270  0.01262  0.50   61226     773   60840  2259687  36.91
  1816          25      0.01209  0.01202  0.50   60454     727   60090  2198847  36.37
  1816          26      0.01123  0.01117  0.50   59727     667   59393  2138757  35.81
  1816          27      0.01045  0.01039  0.50   59060     614   58753  2079364  35.21
  1816          28      0.00989  0.00984  0.50   58446     575   58158  2020611  34.57
  1816          29      0.00953  0.00948  0.50   57871     549   57597  1962452  33.91
  1816          30      0.00946  0.00941  0.50   57322     540   57052  1904856  33.23
  1816          31      0.00942  0.00938  0.50   56783     533   56516  1847803  32.54
  1816          32      0.00954  0.00950  0.50   56250     534   55983  1791287  31.85
