United Kingdom, Life tables (period 1x1), Males	Last modified: 28 May 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1922           0      0.09257  0.08693  0.30  100000    8693   93907  5517762  55.18
  1922           1      0.02726  0.02689  0.50   91307    2455   90079  5423855  59.40
  1922           2      0.01298  0.01290  0.50   88851    1146   88279  5333776  60.03
  1922           3      0.00632  0.00630  0.50   87706     553   87429  5245497  59.81
  1922           4      0.00431  0.00430  0.50   87153     374   86966  5158068  59.18
  1922           5      0.00378  0.00377  0.50   86778     327   86615  5071102  58.44
  1922           6      0.00316  0.00315  0.50   86451     272   86315  4984488  57.66
  1922           7      0.00253  0.00252  0.50   86178     217   86070  4898173  56.84
  1922           8      0.00217  0.00217  0.50   85961     186   85868  4812103  55.98
  1922           9      0.00188  0.00188  0.50   85775     161   85694  4726235  55.10
  1922          10      0.00175  0.00175  0.50   85614     150   85539  4640541  54.20
  1922          11      0.00173  0.00173  0.50   85464     148   85390  4555002  53.30
  1922          12      0.00164  0.00164  0.50   85316     140   85246  4469612  52.39
  1922          13      0.00172  0.00172  0.50   85176     147   85103  4384366  51.47
  1922          14      0.00199  0.00199  0.50   85029     169   84945  4299263  50.56
  1922          15      0.00207  0.00207  0.50   84860     176   84772  4214319  49.66
  1922          16      0.00250  0.00250  0.50   84684     211   84579  4129547  48.76
  1922          17      0.00285  0.00285  0.50   84473     240   84353  4044968  47.88
  1922          18      0.00309  0.00308  0.50   84232     260   84103  3960615  47.02
  1922          19      0.00341  0.00341  0.50   83973     286   83830  3876513  46.16
  1922          20      0.00363  0.00362  0.50   83687     303   83535  3792683  45.32
  1922          21      0.00356  0.00355  0.50   83383     296   83235  3709148  44.48
  1922          22      0.00389  0.00388  0.50   83087     323   82926  3625913  43.64
  1922          23      0.00382  0.00381  0.50   82765     315   82607  3542987  42.81
  1922          24      0.00418  0.00417  0.50   82449     344   82277  3460380  41.97
  1922          25      0.00386  0.00385  0.50   82105     316   81947  3378102  41.14
  1922          26      0.00403  0.00402  0.50   81789     329   81625  3296155  40.30
  1922          27      0.00412  0.00412  0.50   81460     335   81293  3214530  39.46
  1922          28      0.00432  0.00431  0.50   81125     350   80950  3133238  38.62
  1922          29      0.00448  0.00447  0.50   80775     361   80595  3052287  37.79
  1922          30      0.00422  0.00421  0.50   80415     339   80245  2971692  36.95
  1922          31      0.00449  0.00448  0.50   80076     358   79897  2891447  36.11
  1922          32      0.00501  0.00500  0.50   79717     399   79518  2811550  35.27
  1922          33      0.00499  0.00498  0.50   79319     395   79121  2732032  34.44
  1922          34      0.00547  0.00546  0.50   78924     431   78709  2652911  33.61
  1922          35      0.00559  0.00557  0.50   78493     438   78275  2574202  32.80
  1922          36      0.00585  0.00583  0.50   78056     455   77828  2495928  31.98
  1922          37      0.00608  0.00606  0.50   77601     470   77366  2418099  31.16
  1922          38      0.00671  0.00669  0.50   77130     516   76872  2340734  30.35
  1922          39      0.00697  0.00695  0.50   76614     532   76348  2263862  29.55
  1922          40      0.00688  0.00685  0.50   76082     521   75821  2187513  28.75
  1922          41      0.00678  0.00676  0.50   75561     511   75305  2111692  27.95
  1922          42      0.00837  0.00833  0.50   75050     625   74737  2036387  27.13
  1922          43      0.00801  0.00798  0.50   74425     594   74128  1961649  26.36
  1922          44      0.00838  0.00834  0.50   73831     616   73523  1887522  25.57
  1922          45      0.00939  0.00935  0.50   73215     684   72873  1813999  24.78
  1922          46      0.00931  0.00926  0.50   72531     672   72195  1741126  24.01
  1922          47      0.00998  0.00993  0.50   71859     713   71502  1668931  23.23
  1922          48      0.01093  0.01087  0.50   71145     774   70759  1597429  22.45
  1922          49      0.01172  0.01165  0.50   70372     820   69962  1526671  21.69
  1922          50      0.01201  0.01194  0.50   69552     830   69137  1456709  20.94
  1922          51      0.01222  0.01214  0.50   68722     835   68304  1387572  20.19
  1922          52      0.01513  0.01502  0.50   67887    1020   67377  1319268  19.43
  1922          53      0.01597  0.01584  0.50   66868    1059   66338  1251890  18.72
  1922          54      0.01666  0.01652  0.50   65808    1087   65265  1185553  18.02
  1922          55      0.01686  0.01672  0.50   64721    1082   64180  1120288  17.31
  1922          56      0.01990  0.01970  0.50   63639    1254   63012  1056108  16.60
  1922          57      0.02125  0.02102  0.50   62385    1312   61729   993096  15.92
  1922          58      0.02385  0.02357  0.50   61074    1439   60354   931366  15.25
  1922          59      0.02547  0.02515  0.50   59634    1500   58884   871013  14.61
  1922          60      0.02531  0.02499  0.50   58134    1453   57408   812128  13.97
  1922          61      0.02731  0.02695  0.50   56682    1527   55918   754720  13.32
  1922          62      0.03494  0.03434  0.50   55154    1894   54207   698802  12.67
  1922          63      0.03654  0.03588  0.50   53260    1911   52305   644595  12.10
  1922          64      0.03968  0.03891  0.50   51349    1998   50350   592290  11.53
  1922          65      0.04352  0.04260  0.50   49351    2102   48300   541940  10.98
  1922          66      0.04257  0.04168  0.50   47249    1970   46264   493640  10.45
  1922          67      0.04877  0.04761  0.50   45280    2156   44202   447375   9.88
  1922          68      0.05683  0.05526  0.50   43124    2383   41932   403174   9.35
  1922          69      0.06099  0.05919  0.50   40741    2411   39535   361241   8.87
  1922          70      0.06269  0.06078  0.50   38329    2330   37164   321707   8.39
  1922          71      0.06749  0.06529  0.50   35999    2350   34824   284542   7.90
  1922          72      0.08571  0.08219  0.50   33649    2766   32266   249718   7.42
  1922          73      0.09009  0.08620  0.50   30884    2662   29552   217452   7.04
  1922          74      0.09969  0.09496  0.50   28221    2680   26881   187899   6.66
  1922          75      0.10812  0.10258  0.50   25541    2620   24232   161018   6.30
  1922          76      0.11275  0.10673  0.50   22922    2446   21698   136786   5.97
  1922          77      0.12376  0.11655  0.50   20475    2386   19282   115088   5.62
  1922          78      0.13973  0.13061  0.50   18089    2363   16908    95806   5.30
  1922          79      0.14911  0.13876  0.50   15726    2182   14635    78899   5.02
  1922          80      0.15758  0.14607  0.50   13544    1978   12555    64263   4.74
  1922          81      0.16289  0.15062  0.50   11566    1742   10695    51709   4.47
  1922          82      0.19271  0.17578  0.50    9824    1727    8960    41014   4.18
  1922          83      0.19823  0.18035  0.50    8097    1460    7367    32054   3.96
  1922          84      0.22778  0.20449  0.50    6637    1357    5958    24687   3.72
  1922          85      0.22884  0.20534  0.50    5280    1084    4737    18729   3.55
  1922          86      0.25354  0.22502  0.50    4195     944    3723    13991   3.33
  1922          87      0.27557  0.24220  0.50    3251     787    2858    10268   3.16
  1922          88      0.28081  0.24623  0.50    2464     607    2161     7410   3.01
  1922          89      0.30683  0.26602  0.50    1857     494    1610     5250   2.83
  1922          90      0.31921  0.27527  0.50    1363     375    1176     3640   2.67
  1922          91      0.35465  0.30124  0.50     988     298     839     2464   2.49
  1922          92      0.39930  0.33284  0.50     690     230     575     1625   2.35
  1922          93      0.39844  0.33225  0.50     461     153     384     1050   2.28
  1922          94      0.42413  0.34992  0.50     308     108     254      666   2.16
  1922          95      0.45078  0.36786  0.50     200      74     163      412   2.06
  1922          96      0.47535  0.38407  0.50     126      49     102      249   1.97
  1922          97      0.50005  0.40003  0.50      78      31      62      147   1.88
