Hong Kong, Population size (abridged)	Last modified: 17 Dec 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1986           0             37653.45        40752.14        78405.59
  1986           1             39269.66        42666.37        81936.03
  1986           2             41414.06        44415.75        85829.81
  1986           3             42811.44        45713.31        88524.75
  1986           4             42108.35        45160.06        87268.41
  1986           5             40706.49        43761.07        84467.56
  1986           6             40107.03        43308.84        83415.87
  1986           7             40007.47        43255.94        83263.41
  1986           8             40207.55        43606.08        83813.63
  1986           9             40705.78        44258.44        84964.22
  1986          10             41306.97        45107.94        86414.91
  1986          11             41811.18        45858.14        87669.32
  1986          12             42163.56        46262.13        88425.69
  1986          13             42260.84        46262.96        88523.80
  1986          14             41906.49        46065.50        87971.99
  1986          15             41809.48        45714.35        87523.83
  1986          16             41761.05        45763.65        87524.70
  1986          17             43012.92        46919.32        89932.24
  1986          18             45368.06        49069.14        94437.20
  1986          19             48569.43        51774.46       100343.89
  1986          20             52167.61        54433.26       106600.87
  1986          21             55514.49        56931.97       112446.46
  1986          22             57813.69        59581.54       117395.23
  1986          23             59416.12        61584.72       121000.84
  1986          24             60170.53        62690.40       122860.93
  1986          25             60819.08        63691.77       124510.85
  1986          26             60970.42        64337.46       125307.88
  1986          27             60424.42        63835.61       124260.03
  1986          28             58473.64        62235.89       120709.53
  1986          29             55873.25        59845.64       115718.89
  1986          30             53022.59        57004.05       110026.64
  1986          31             50125.76        54202.93       104328.69
  1986          32             47528.82        52148.05        99676.87
  1986          33             45778.40        50394.96        96173.36
  1986          34             44377.85        49346.99        93724.84
  1986          35             43332.62        48357.04        91689.66
  1986          36             41585.93        47217.52        88803.45
  1986          37             38882.36        44656.68        83539.04
  1986          38             35279.93        40856.46        76136.39
  1986          39             30826.45        36362.72        67189.17
  1986          40             26375.52        31805.44        58180.96
  1986          41             22725.48        28107.83        50833.31
  1986          42             20680.19        26017.19        46697.38
  1986          43             20280.33        25376.35        45656.68
  1986          44             21079.63        26032.90        47112.53
  1986          45             22230.92        27188.28        49419.20
  1986          46             23337.30        28296.77        51634.07
  1986          47             24197.08        29007.88        53204.96
  1986          48             24607.82        29366.76        53974.58
  1986          49             24917.98        29601.09        54519.07
  1986          50             25125.18        29676.70        54801.88
  1986          51             25487.77        29824.40        55312.17
  1986          52             25600.69        29852.47        55453.16
  1986          53             25653.93        29376.94        55030.87
  1986          54             25309.68        28676.98        53986.66
  1986          55             25024.24        27965.94        52990.18
  1986          56             24617.04        27223.80        51840.84
  1986          57             24223.65        26328.31        50551.96
