Croatia, Population size (abridged)	Last modified: 14 Nov 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  2002           0             19561.00        20564.00        40125.00
  2002           1             20745.00        22017.00        42762.00
  2002           2             21626.00        22722.00        44348.00
  2002           3             22837.00        23892.00        46729.00
  2002           4             23960.00        24959.00        48919.00
  2002           5             24149.00        25741.00        49890.00
  2002           6             23357.00        24582.00        47939.00
  2002           7             23402.00        24012.00        47414.00
  2002           8             23318.00        24595.00        47913.00
  2002           9             22449.00        23628.00        46077.00
  2002          10             24454.00        25822.00        50276.00
  2002          11             24416.00        25427.00        49843.00
  2002          12             24500.00        25587.00        50087.00
  2002          13             25270.00        26606.00        51876.00
  2002          14             25285.00        26391.00        51676.00
  2002          15             25777.00        26720.00        52497.00
  2002          16             26814.00        27776.00        54590.00
  2002          17             27566.00        29077.00        56643.00
  2002          18             27287.00        28479.00        55766.00
  2002          19             27619.00        28961.00        56580.00
  2002          20             27853.00        29144.00        56997.00
  2002          21             28260.00        30034.00        58294.00
  2002          22             28445.00        29944.00        58389.00
  2002          23             27896.00        29208.00        57104.00
  2002          24             27890.00        29208.00        57098.00
  2002          25             27940.00        28540.00        56480.00
  2002          26             27569.00        28344.00        55913.00
  2002          27             27494.00        28171.00        55665.00
  2002          28             27752.00        27946.00        55698.00
  2002          29             27727.00        28174.00        55901.00
  2002          30             27755.00        28183.00        55938.00
  2002          31             26578.00        26837.00        53415.00
  2002          32             27872.00        27884.00        55756.00
  2002          33             28531.00        28409.00        56940.00
  2002          34             29447.00        29571.00        59018.00
  2002          35             31064.00        30740.00        61804.00
  2002          36             31195.00        31199.00        62394.00
  2002          37             30080.00        29847.00        59927.00
  2002          38             30493.00        30406.00        60899.00
  2002          39             31307.00        30971.00        62278.00
  2002          40             32378.00        31953.00        64331.00
  2002          41             32589.00        32320.00        64909.00
  2002          42             32813.00        32882.00        65695.00
  2002          43             32480.00        32534.00        65014.00
  2002          44             32399.00        32446.00        64845.00
  2002          45             34129.00        34032.00        68161.00
  2002          46             33686.00        34295.00        67981.00
  2002          47             32861.00        34960.00        67821.00
  2002          48             32438.00        33127.00        65565.00
  2002          49             32084.00        32469.00        64553.00
  2002          50             29642.00        30086.00        59728.00
  2002          51             31438.00        31288.00        62726.00
  2002          52             31442.00        30211.00        61653.00
  2002          53             29337.00        27684.00        57021.00
  2002          54             28949.00        27015.00        55964.00
  2002          55             26890.00        24392.00        51282.00
  2002          56             20655.00        18640.00        39295.00
  2002          57             22630.00        20209.00        42839.00
  2002          58             25292.00        22110.00        47402.00
  2002          59             27564.00        24643.00        52207.00
  2002          60             26347.00        22825.00        49172.00
  2002          61             27966.00        24405.00        52371.00
  2002          62             28027.00        24081.00        52108.00
  2002          63             28342.00        23626.00        51968.00
  2002          64             29041.00        24275.00        53316.00
  2002          65             29002.00        23614.00        52616.00
  2002          66             28493.00        22977.00        51470.00
  2002          67             28588.00        22538.00        51126.00
  2002          68             28656.00        21755.00        50411.00
  2002          69             28537.00        20505.00        49042.00
  2002          70             27493.00        19707.00        47200.00
  2002          71             27182.00        19329.00        46511.00
  2002          72             24356.00        16991.00        41347.00
  2002          73             23332.00        15482.00        38814.00
  2002          74             21274.00        13079.00        34353.00
  2002          75             21524.00        11859.00        33383.00
  2002          76             20035.00         9919.00        29954.00
  2002          77             19160.00         8942.00        28102.00
  2002          78             17569.00         8079.00        25648.00
  2002          79             16120.00         7019.00        23139.00
  2002          80             15050.88         6178.31        21229.19
  2002          81             13100.13         5301.14        18401.27
  2002          82             10315.77         4480.26        14796.03
  2002          83              4421.86         1841.87         6263.73
  2002          84              3748.18         1550.89         5299.07
  2002          85              3275.12         1266.41         4541.53
  2002          86              4050.42         1655.46         5705.88
  2002          87              5302.00         2108.17         7410.17
  2002          88              4120.82         1624.94         5745.76
  2002          89              3657.25         1282.45         4939.70
  2002          90              2574.12          853.30         3427.42
  2002          91              2051.14          679.24         2730.38
  2002          92              1513.26          528.19         2041.45
  2002          93              1037.18          336.12         1373.30
  2002          94               765.13          227.08          992.21
  2002          95               518.09          147.05          665.14
  2002          96               305.05           84.03          389.08
  2002          97               178.03           58.02          236.05
  2002          98               109.02           30.01          139.03
  2002          99                58.01           15.01           73.02
  2002         100                34.01            9.00           43.01
  2002         101                17.00            7.00           24.00
  2002         102                 7.00            5.00           12.00
  2002         103                 2.00            0.00            2.00
  2002         104                 3.00            1.00            4.00
  2002         105                 1.00            0.00            1.00
  2002         106                 2.00            1.00            3.00
  2002         107                 0.00            0.00            0.00
  2002         108                 1.00            0.00            1.00
  2002         109                 0.00            0.00            0.00
  2002         110+                0.00            0.00            0.00
  2003           0             19225.00        20143.00        39368.00
  2003           1             19687.00        20708.00        40395.00
  2003           2             20800.00        22073.00        42873.00
  2003           3             21680.00        22767.00        44447.00
  2003           4             22876.00        23966.00        46842.00
  2003           5             24124.00        25181.00        49305.00
  2003           6             24218.00        25823.00        50041.00
  2003           7             23436.00        24639.00        48075.00
  2003           8             23462.00        24079.00        47541.00
  2003           9             23386.00        24644.00        48030.00
  2003          10             22610.00        23870.00        46480.00
  2003          11             24532.00        25905.00        50437.00
  2003          12             24522.00        25508.00        50030.00
  2003          13             24563.00        25646.00        50209.00
  2003          14             25332.00        26686.00        52018.00
  2003          15             25382.00        26447.00        51829.00
  2003          16             25857.00        26785.00        52642.00
  2003          17             26898.00        27831.00        54729.00
  2003          18             27675.00        29136.00        56811.00
  2003          19             27426.00        28540.00        55966.00
