Croatia, Life tables (period 1x1), Females	Last modified: 14 Nov 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  2002           0      0.00633  0.00630  0.14  100000     630   99456  7831575  78.32
  2002           1      0.00044  0.00044  0.50   99370      44   99348  7732119  77.81
  2002           2      0.00019  0.00019  0.50   99326      19   99317  7632770  76.85
  2002           3      0.00027  0.00027  0.50   99308      27   99294  7533453  75.86
  2002           4      0.00009  0.00009  0.50   99281       8   99276  7434159  74.88
  2002           5      0.00016  0.00016  0.50   99272      16   99264  7334883  73.89
  2002           6      0.00017  0.00017  0.50   99256      17   99248  7235618  72.90
  2002           7      0.00009  0.00009  0.50   99239       8   99235  7136371  71.91
  2002           8      0.00009  0.00009  0.50   99231       9   99226  7037136  70.92
  2002           9      0.00009  0.00009  0.50   99222       8   99218  6937909  69.92
  2002          10      0.00004  0.00004  0.50   99214       4   99212  6838692  68.93
  2002          11      0.00012  0.00012  0.50   99209      12   99203  6739480  67.93
  2002          12      0.00004  0.00004  0.50   99197       4   99195  6640277  66.94
  2002          13      0.00000  0.00000  0.50   99193       0   99193  6541081  65.94
  2002          14      0.00012  0.00012  0.50   99193      12   99187  6441888  64.94
  2002          15      0.00012  0.00012  0.50   99182      12   99176  6342701  63.95
  2002          16      0.00031  0.00031  0.50   99170      30   99155  6243525  62.96
  2002          17      0.00011  0.00011  0.50   99140      11   99134  6144370  61.98
  2002          18      0.00051  0.00051  0.50   99129      50   99104  6045236  60.98
  2002          19      0.00040  0.00040  0.50   99078      40   99059  5946132  60.01
  2002          20      0.00022  0.00022  0.50   99039      21   99028  5847074  59.04
  2002          21      0.00050  0.00050  0.50   99017      49   98993  5748045  58.05
  2002          22      0.00053  0.00053  0.50   98968      52   98942  5649053  57.08
  2002          23      0.00042  0.00042  0.50   98916      42   98895  5550111  56.11
  2002          24      0.00043  0.00043  0.50   98874      42   98853  5451216  55.13
  2002          25      0.00025  0.00025  0.50   98832      25   98819  5352363  54.16
  2002          26      0.00018  0.00018  0.50   98807      18   98798  5253544  53.17
  2002          27      0.00033  0.00033  0.50   98789      32   98773  5154746  52.18
  2002          28      0.00036  0.00036  0.50   98757      36   98739  5055973  51.20
  2002          29      0.00032  0.00032  0.50   98721      32   98705  4957234  50.21
  2002          30      0.00029  0.00029  0.50   98689      28   98675  4858529  49.23
  2002          31      0.00030  0.00030  0.50   98661      29   98646  4759854  48.24
  2002          32      0.00062  0.00062  0.50   98631      61   98601  4661208  47.26
  2002          33      0.00053  0.00053  0.50   98571      52   98544  4562607  46.29
  2002          34      0.00059  0.00059  0.50   98518      58   98489  4464062  45.31
  2002          35      0.00046  0.00046  0.50   98461      46   98438  4365573  44.34
  2002          36      0.00083  0.00083  0.50   98415      82   98374  4267135  43.36
  2002          37      0.00101  0.00101  0.50   98333      99   98283  4168761  42.39
  2002          38      0.00083  0.00082  0.50   98234      81   98193  4070478  41.44
  2002          39      0.00084  0.00084  0.50   98153      83   98111  3972285  40.47
  2002          40      0.00110  0.00110  0.50   98070     108   98016  3874173  39.50
  2002          41      0.00135  0.00135  0.50   97962     133   97896  3776157  38.55
  2002          42      0.00104  0.00104  0.50   97830     102   97779  3678261  37.60
  2002          43      0.00119  0.00119  0.50   97728     117   97670  3580482  36.64
  2002          44      0.00166  0.00166  0.50   97612     162   97530  3482812  35.68
  2002          45      0.00213  0.00213  0.50   97449     208   97345  3385281  34.74
  2002          46      0.00186  0.00186  0.50   97241     181   97151  3287936  33.81
