Croatia, Life tables (period 1x1), Males	Last modified: 14 Nov 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  2002           0      0.00780  0.00774  0.13  100000     774   99329  7105346  71.05
  2002           1      0.00070  0.00070  0.50   99226      70   99191  7006017  70.61
  2002           2      0.00031  0.00031  0.50   99156      31   99141  6906826  69.66
  2002           3      0.00017  0.00017  0.50   99125      17   99117  6807686  68.68
  2002           4      0.00029  0.00029  0.50   99108      28   99094  6708569  67.69
  2002           5      0.00016  0.00016  0.50   99080      15   99072  6609475  66.71
  2002           6      0.00024  0.00024  0.50   99064      24   99052  6510403  65.72
  2002           7      0.00008  0.00008  0.50   99041       8   99037  6411351  64.73
  2002           8      0.00029  0.00029  0.50   99032      29   99018  6312314  63.74
  2002           9      0.00012  0.00012  0.50   99004      12   98998  6213296  62.76
  2002          10      0.00012  0.00012  0.50   98992      12   98985  6114299  61.77
  2002          11      0.00000  0.00000  0.50   98979       0   98979  6015313  60.77
  2002          12      0.00024  0.00024  0.50   98979      23   98968  5916334  59.77
  2002          13      0.00019  0.00019  0.50   98956      19   98946  5817366  58.79
  2002          14      0.00022  0.00022  0.50   98937      22   98926  5718420  57.80
  2002          15      0.00038  0.00038  0.50   98915      37   98896  5619494  56.81
  2002          16      0.00055  0.00055  0.50   98877      55   98850  5520598  55.83
  2002          17      0.00077  0.00077  0.50   98823      76   98784  5421748  54.86
  2002          18      0.00062  0.00062  0.50   98746      61   98716  5322964  53.91
  2002          19      0.00146  0.00146  0.50   98685     144   98613  5224248  52.94
  2002          20      0.00138  0.00138  0.50   98541     136   98473  5125635  52.02
  2002          21      0.00142  0.00142  0.50   98405     140   98335  5027162  51.09
  2002          22      0.00100  0.00100  0.50   98265      98   98216  4928827  50.16
  2002          23      0.00131  0.00131  0.50   98167     129   98103  4830610  49.21
  2002          24      0.00136  0.00136  0.50   98038     134   97972  4732508  48.27
  2002          25      0.00104  0.00104  0.50   97905     102   97854  4634536  47.34
  2002          26      0.00119  0.00119  0.50   97803     117   97744  4536682  46.39
