Hungary, Population size (abridged)	Last modified: 26 Sep 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1950           0             86944.00        91486.00       178430.00
  1950           1             84864.00        88204.00       173068.00
  1950           2             80846.00        84275.00       165121.00
  1950           3             71603.00        74612.00       146215.00
  1950           4             70980.00        73292.00       144272.00
  1950           5             80859.00        83872.00       164731.00
  1950           6             74320.00        76974.00       151294.00
  1950           7             77842.00        79647.00       157489.00
  1950           8             72261.00        74562.00       146823.00
  1950           9             76221.00        78277.00       154498.00
  1950          10             71338.00        73123.00       144461.00
  1950          11             73710.00        74975.00       148685.00
  1950          12             71994.00        72850.00       144844.00
  1950          13             71966.00        73336.00       145302.00
  1950          14             73116.00        74443.00       147559.00
  1950          15             73181.00        74069.00       147250.00
  1950          16             75276.00        76595.00       151871.00
  1950          17             77227.00        76950.00       154177.00
  1950          18             75605.00        76188.00       151793.00
  1950          19             81035.00        80981.00       162016.00
  1950          20             77062.00        77470.00       154532.00
  1950          21             79703.00        77893.00       157596.00
  1950          22             77047.00        75180.00       152227.00
  1950          23             81112.00        76630.00       157742.00
  1950          24             83550.00        79304.00       162854.00
  1950          25             77366.00        73235.00       150601.00
  1950          26             82105.00        77691.00       159796.00
  1950          27             85827.00        75180.00       161007.00
  1950          28             83307.00        75830.00       159137.00
  1950          29             83271.00        71964.00       155235.00
  1950          30             71378.00        64092.00       135470.00
  1950          31             40649.00        35600.00        76249.00
  1950          32             40140.00        35897.00        76037.00
  1950          33             41623.00        37075.00        78698.00
  1950          34             55181.00        48752.00       103933.00
  1950          35             80842.00        70051.00       150893.00
  1950          36             78644.00        70479.00       149123.00
  1950          37             82210.00        73258.00       155468.00
  1950          38             75280.00        70201.00       145481.00
  1950          39             79455.00        71441.00       150896.00
  1950          40             76038.00        70479.00       146517.00
  1950          41             75385.00        69163.00       144548.00
  1950          42             72808.00        66643.00       139451.00
  1950          43             69139.00        64322.00       133461.00
  1950          44             65508.00        60878.00       126386.00
  1950          45             66207.00        61425.00       127632.00
  1950          46             66263.00        62608.00       128871.00
  1950          47             67660.00        63257.00       130917.00
  1950          48             62659.00        60224.00       122883.00
  1950          49             67488.00        61191.00       128679.00
  1950          50             60226.00        57982.00       118208.00
  1950          51             62113.00        55147.00       117260.00
  1950          52             60462.00        51943.00       112405.00
  1950          53             59511.00        47464.00       106975.00
  1950          54             56809.00        46324.00       103133.00
  1950          55             54051.00        42452.00        96503.00
  1950          56             52275.00        42378.00        94653.00
  1950          57             50147.00        38841.00        88988.00
  1950          58             44223.00        36564.00        80787.00
  1950          59             40989.00        32815.00        73804.00
  1950          60             43080.00        34421.00        77501.00
  1950          61             47442.00        34592.00        82034.00
  1950          62             41358.00        33785.00        75143.00
