Hungary, Life tables (period 1x1), Males	Last modified: 26 Sep 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1950           0      0.09971  0.09320  0.30  100000    9320   93468  5993031  59.93
  1950           1      0.00756  0.00753  0.50   90680     683   90339  5899563  65.06
  1950           2      0.00348  0.00347  0.50   89997     313   89841  5809224  64.55
  1950           3      0.00278  0.00277  0.50   89685     249   89560  5719383  63.77
  1950           4      0.00198  0.00198  0.50   89436     177   89348  5629823  62.95
  1950           5      0.00149  0.00149  0.50   89259     133   89193  5540475  62.07
  1950           6      0.00172  0.00172  0.50   89126     153   89050  5451283  61.16
  1950           7      0.00118  0.00118  0.50   88973     105   88921  5362233  60.27
  1950           8      0.00133  0.00132  0.50   88868     118   88810  5273312  59.34
  1950           9      0.00118  0.00118  0.50   88751     105   88698  5184503  58.42
  1950          10      0.00115  0.00115  0.50   88646     102   88595  5095804  57.48
  1950          11      0.00116  0.00116  0.50   88544     103   88493  5007209  56.55
  1950          12      0.00128  0.00127  0.50   88441     113   88385  4918717  55.62
  1950          13      0.00132  0.00132  0.50   88328     116   88270  4830332  54.69
  1950          14      0.00114  0.00114  0.50   88212     100   88162  4742062  53.76
  1950          15      0.00145  0.00144  0.50   88112     127   88048  4653900  52.82
  1950          16      0.00160  0.00160  0.50   87984     140   87914  4565852  51.89
  1950          17      0.00176  0.00176  0.50   87844     155   87767  4477938  50.98
  1950          18      0.00237  0.00237  0.50   87689     208   87585  4390171  50.07
  1950          19      0.00265  0.00265  0.50   87482     232   87366  4302586  49.18
  1950          20      0.00320  0.00320  0.50   87250     279   87110  4215220  48.31
  1950          21      0.00320  0.00320  0.50   86971     278   86832  4128110  47.47
  1950          22      0.00329  0.00328  0.50   86693     285   86551  4041278  46.62
  1950          23      0.00320  0.00319  0.50   86408     276   86270  3954727  45.77
  1950          24      0.00307  0.00307  0.50   86132     264   86000  3868457  44.91
  1950          25      0.00326  0.00326  0.50   85868     280   85728  3782457  44.05
  1950          26      0.00304  0.00304  0.50   85588     260   85459  3696729  43.19
  1950          27      0.00323  0.00322  0.50   85329     275   85191  3611270  42.32
  1950          28      0.00341  0.00341  0.50   85054     290   84909  3526079  41.46
  1950          29      0.00335  0.00335  0.50   84764     284   84622  3441170  40.60
  1950          30      0.00374  0.00374  0.50   84480     316   84322  3356548  39.73
  1950          31      0.00290  0.00289  0.50   84165     244   84043  3272226  38.88
  1950          32      0.00314  0.00314  0.50   83921     263   83789  3188183  37.99
  1950          33      0.00396  0.00395  0.50   83658     330   83493  3104393  37.11
  1950          34      0.00332  0.00331  0.50   83328     276   83190  3020901  36.25
  1950          35      0.00376  0.00376  0.50   83052     312   82896  2937711  35.37
  1950          36      0.00341  0.00340  0.50   82740     282   82599  2854816  34.50
  1950          37      0.00386  0.00386  0.50   82458     318   82299  2772217  33.62
  1950          38      0.00411  0.00410  0.50   82140     337   81971  2689918  32.75
  1950          39      0.00466  0.00465  0.50   81803     380   81613  2607947  31.88
  1950          40      0.00491  0.00489  0.50   81423     398   81223  2526334  31.03
  1950          41      0.00549  0.00548  0.50   81024     444   80802  2445111  30.18
  1950          42      0.00559  0.00557  0.50   80580     449   80356  2364308  29.34
  1950          43      0.00615  0.00613  0.50   80131     491   79886  2283953  28.50
  1950          44      0.00654  0.00652  0.50   79640     520   79380  2204067  27.68
  1950          45      0.00695  0.00692  0.50   79121     548   78847  2124687  26.85
  1950          46      0.00683  0.00681  0.50   78573     535   78305  2045840  26.04
  1950          47      0.00784  0.00781  0.50   78038     609   77733  1967535  25.21
  1950          48      0.00871  0.00867  0.50   77428     671   77093  1889802  24.41
  1950          49      0.00924  0.00920  0.50   76757     706   76404  1812709  23.62
  1950          50      0.01018  0.01013  0.50   76051     770   75666  1736305  22.83
  1950          51      0.01062  0.01057  0.50   75281     796   74883  1660639  22.06
  1950          52      0.01192  0.01185  0.50   74485     883   74044  1585755  21.29
  1950          53      0.01306  0.01297  0.50   73603     955   73125  1511711  20.54
  1950          54      0.01465  0.01454  0.50   72648    1057   72120  1438586  19.80
  1950          55      0.01477  0.01466  0.50   71591    1050   71066  1366467  19.09
  1950          56      0.01501  0.01490  0.50   70542    1051   70016  1295400  18.36
  1950          57      0.01717  0.01703  0.50   69491    1183   68899  1225384  17.63
  1950          58      0.02046  0.02025  0.50   68308    1383   67616  1156485  16.93
  1950          59      0.02190  0.02166  0.50   66924    1450   66199  1088869  16.27
  1950          60      0.02316  0.02289  0.50   65475    1499   64725  1022669  15.62
  1950          61      0.02487  0.02456  0.50   63976    1571   63190   957944  14.97
  1950          62      0.02717  0.02680  0.50   62404    1673   61568   894754  14.34
  1950          63      0.02910  0.02868  0.50   60732    1742   59861   833186  13.72
  1950          64      0.03063  0.03017  0.50   58990    1780   58100   773326  13.11
  1950          65      0.03598  0.03535  0.50   57210    2022   56199   715226  12.50
  1950          66      0.03431  0.03373  0.50   55188    1861   54257   659027  11.94
  1950          67      0.03819  0.03748  0.50   53327    1998   52327   604769  11.34
  1950          68      0.04413  0.04317  0.50   51328    2216   50220   552442  10.76
  1950          69      0.04605  0.04501  0.50   49112    2211   48007   502222  10.23
  1950          70      0.05058  0.04933  0.50   46901    2314   45744   454215   9.68
  1950          71      0.05488  0.05341  0.50   44588    2381   43397   408471   9.16
  1950          72      0.05874  0.05706  0.50   42206    2408   41002   365074   8.65
  1950          73      0.06374  0.06178  0.50   39798    2459   38569   324072   8.14
  1950          74      0.07609  0.07330  0.50   37339    2737   35971   285503   7.65
  1950          75      0.08631  0.08274  0.50   34602    2863   33171   249532   7.21
  1950          76      0.09401  0.08979  0.50   31739    2850   30314   216362   6.82
  1950          77      0.08871  0.08494  0.50   28889    2454   27662   186047   6.44
  1950          78      0.11871  0.11206  0.50   26436    2962   24954   158385   5.99
  1950          79      0.11801  0.11143  0.50   23473    2616   22165   133430   5.68
  1950          80      0.13042  0.12243  0.50   20858    2554   19581   111265   5.33
  1950          81      0.13329  0.12496  0.50   18304    2287   17160    91684   5.01
  1950          82      0.15058  0.14004  0.50   16017    2243   14895    74524   4.65
  1950          83      0.16699  0.15412  0.50   13774    2123   12712    59629   4.33
  1950          84      0.19404  0.17688  0.50   11651    2061   10620    46917   4.03
  1950          85      0.21189  0.19159  0.50    9590    1837    8671    36296   3.78
  1950          86      0.23820  0.21285  0.50    7753    1650    6928    27625   3.56
  1950          87      0.22682  0.20372  0.50    6102    1243    5481    20697   3.39
