Ireland, Life tables (period 1x1), Males	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1950           0      0.05142  0.04938  0.20  100000    4938   96030  6450074  64.50
  1950           1      0.00445  0.00444  0.50   95062     422   94851  6354044  66.84
  1950           2      0.00229  0.00229  0.50   94640     217   94532  6259193  66.14
  1950           3      0.00187  0.00187  0.50   94423     176   94335  6164661  65.29
  1950           4      0.00145  0.00145  0.50   94247     137   94179  6070326  64.41
  1950           5      0.00101  0.00101  0.50   94110      95   94063  5976147  63.50
  1950           6      0.00063  0.00063  0.50   94015      59   93986  5882084  62.57
  1950           7      0.00123  0.00123  0.50   93956     116   93898  5788099  61.60
  1950           8      0.00113  0.00113  0.50   93841     106   93787  5694200  60.68
  1950           9      0.00066  0.00066  0.50   93734      62   93703  5600413  59.75
  1950          10      0.00069  0.00069  0.50   93673      65   93640  5506709  58.79
  1950          11      0.00073  0.00073  0.50   93608      69   93574  5413069  57.83
  1950          12      0.00070  0.00070  0.50   93539      66   93506  5319496  56.87
  1950          13      0.00066  0.00066  0.50   93473      62   93442  5225989  55.91
  1950          14      0.00066  0.00066  0.50   93411      62   93380  5132547  54.95
  1950          15      0.00071  0.00071  0.50   93349      67   93316  5039166  53.98
  1950          16      0.00113  0.00113  0.50   93283     106   93230  4945850  53.02
  1950          17      0.00099  0.00099  0.50   93177      93   93131  4852620  52.08
  1950          18      0.00121  0.00121  0.50   93085     112   93028  4759490  51.13
  1950          19      0.00178  0.00178  0.50   92972     165   92890  4666461  50.19
  1950          20      0.00230  0.00230  0.50   92807     214   92700  4573571  49.28
  1950          21      0.00243  0.00243  0.50   92594     225   92481  4480871  48.39
  1950          22      0.00191  0.00191  0.50   92369     177   92281  4388390  47.51
  1950          23      0.00292  0.00292  0.50   92192     269   92058  4296109  46.60
  1950          24      0.00329  0.00328  0.50   91923     302   91772  4204051  45.73
  1950          25      0.00255  0.00255  0.50   91622     233   91505  4112278  44.88
  1950          26      0.00254  0.00254  0.50   91388     232   91272  4020773  44.00
  1950          27      0.00274  0.00273  0.50   91156     249   91032  3929501  43.11
  1950          28      0.00265  0.00265  0.50   90907     241   90787  3838470  42.22
  1950          29      0.00255  0.00254  0.50   90666     231   90551  3747683  41.33
  1950          30      0.00309  0.00309  0.50   90436     279   90296  3657132  40.44
  1950          31      0.00238  0.00237  0.50   90156     214   90050  3566835  39.56
