Iceland, Population size (abridged)	Last modified: 26 Mar 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1838           0               811.07          829.38         1640.45
  1838           1               781.71          730.00         1511.71
  1838           2               721.93          686.36         1408.29
  1838           3               770.53          698.17         1468.70
  1838           4               789.59          719.31         1508.90
  1838           5               781.31          855.60         1636.91
  1838           6               859.17          847.75         1706.92
  1838           7               848.03          830.90         1678.93
  1838           8               737.05          733.56         1470.61
  1838           9               605.11          688.62         1293.73
  1838          10               543.11          521.46         1064.57
  1838          11               452.16          470.96          923.12
  1838          12               497.37          464.08          961.45
  1838          13               534.59          550.85         1085.44
  1838          14               574.40          542.09         1116.49
  1838          15               554.24          511.85         1066.09
  1838          16               474.98          475.08          950.06
  1838          17               438.60          426.89          865.49
  1838          18               415.04          406.82          821.86
  1838          19               428.32          427.48          855.80
  1838          20               403.44          384.44          787.88
  1838          21               410.50          370.62          781.12
  1838          22               320.48          331.99          652.47
  1838          23               317.43          304.83          622.26
  1838          24               323.40          292.63          616.03
  1838          25               390.26          341.72          731.98
  1838          26               419.99          344.36          764.35
  1838          27               434.53          387.48          822.01
  1838          28               407.87          367.97          775.84
  1838          29               447.20          430.70          877.90
  1838          30               448.95          384.60          833.55
  1838          31               418.37          355.67          774.04
  1838          32               339.50          329.85          669.35
  1838          33               333.36          294.23          627.59
  1838          34               381.72          329.68          711.40
  1838          35               490.10          411.97          902.07
  1838          36               561.00          525.75         1086.75
  1838          37               520.37          499.04         1019.41
  1838          38               507.06          431.92          938.98
  1838          39               469.92          425.51          895.43
  1838          40               432.14          385.10          817.24
  1838          41               449.05          360.94          809.99
  1838          42               369.77          353.12          722.89
  1838          43               377.42          335.63          713.05
  1838          44               368.39          313.35          681.74
  1838          45               329.81          259.94          589.75
  1838          46               382.57          296.03          678.60
  1838          47               330.63          320.54          651.17
  1838          48               311.95          276.43          588.38
  1838          49               271.32          242.72          514.04
  1838          50               237.50          204.83          442.33
  1838          51               194.44          182.10          376.54
  1838          52               148.14          120.65          268.79
  1838          53               137.66           98.83          236.49
  1838          54               156.26          127.90          284.16
  1838          55               177.40          129.81          307.21
  1838          56               186.29          137.34          323.63
  1838          57               193.01          141.39          334.40
  1838          58               203.51          138.60          342.11
  1838          59               224.45          150.42          374.87
  1838          60               204.22          140.55          344.77
  1838          61               236.31          146.88          383.19
  1838          62               208.64          141.50          350.14
  1838          63               203.32          134.66          337.98
  1838          64               199.59          142.99          342.58
  1838          65               204.04          131.03          335.07
  1838          66               220.15          138.88          359.03
  1838          67               201.99          136.54          338.53
  1838          68               193.41          136.81          330.22
  1838          69               161.05          121.01          282.06
  1838          70               161.11          104.51          265.62
  1838          71               168.97          104.14          273.11
  1838          72               144.46           95.88          240.34
  1838          73               144.80           95.87          240.67
  1838          74               111.15           79.48          190.63
  1838          75               107.97           65.86          173.83
  1838          76                96.61           74.86          171.47
  1838          77                91.03           61.07          152.10
  1838          78                77.11           52.25          129.36
  1838          79                62.70           43.19          105.89
  1838          80                49.57           34.77           84.34
  1838          81                38.30           26.96           65.26
  1838          82                29.61           19.88           49.49
  1838          83                25.12           14.98           40.10
  1838          84                22.25           11.55           33.80
  1838          85                19.63            8.79           28.42
  1838          86                18.20            8.01           26.21
  1838          87                17.17            7.23           24.40
  1838          88                16.20            6.35           22.55
  1838          89                15.13            5.75           20.88
  1838          90                12.62            4.85           17.47
  1838          91                10.35            3.83           14.18
  1838          92                 8.08            2.90           10.98
  1838          93                 5.69            1.94            7.63
  1838          94                 4.54            1.77            6.31
  1838          95                 4.22            1.57            5.79
  1838          96                 3.35            0.99            4.34
  1838          97                 1.52            0.64            2.16
  1838          98                 1.28            0.73            2.01
  1838          99                 1.73            0.04            1.77
  1838         100                 0.94            0.00            0.94
  1838         101                 0.00            0.00            0.00
  1838         102                 0.00            0.00            0.00
  1838         103                 0.00            0.00            0.00
  1838         104                 0.00            0.00            0.00
  1838         105                 0.00            0.00            0.00
  1838         106                 0.00            0.00            0.00
  1838         107                 0.00            0.00            0.00
  1838         108                 0.00            0.00            0.00
  1838         109                 0.00            0.00            0.00
  1838         110+                0.00            0.00            0.00
  1839           0               733.42          761.27         1494.69
  1839           1               678.04          674.17         1352.21
  1839           2               758.13          706.87         1465.00
  1839           3               704.05          668.28         1372.33
  1839           4               757.52          683.67         1441.19
  1839           5               779.44          707.81         1487.25
  1839           6               772.73          846.77         1619.50
  1839           7               851.93          841.14         1693.07
  1839           8               841.94          825.95         1667.89
  1839           9               731.89          729.70         1461.59
  1839          10               600.76          685.36         1286.12
  1839          11               539.25          518.42         1057.67
  1839          12               448.72          468.11          916.83
  1839          13               494.20          461.38          955.58
  1839          14               531.56          548.26         1079.82
  1839          15               571.37          539.60         1110.97
  1839          16               551.15          509.31         1060.46
  1839          17               471.81          472.37          944.18
  1839          18               435.36          423.85          859.21
  1839          19               411.74          403.29          815.03
  1839          20               424.92          423.23          848.15
  1839          21               400.00          379.69          779.69
  1839          22               406.97          365.50          772.47
  1839          23               316.84          326.75          643.59
  1839          24               313.67          299.71          613.38
  1839          25               319.49          287.82          607.31
  1839          26               386.27          337.35          723.62
  1839          27               416.02          340.32          756.34
  1839          28               430.71          383.67          814.38
  1839          29               404.32          364.30          768.62
  1839          30               444.00          427.06          871.06
  1839          31               445.99          380.83          826.82
  1839          32               415.30          351.62          766.92
  1839          33               335.95          325.36          661.31
  1839          34               328.95          289.12          618.07
  1839          35               376.18          323.88          700.06
  1839          36               483.44          405.46          888.90
  1839          37               553.68          518.89         1072.57
  1839          38               512.91          492.18         1005.09
  1839          39               499.99          425.40          925.39
  1839          40               463.69          419.66          883.35
  1839          41               426.87          379.85          806.72
  1839          42               444.49          356.03          800.52
  1839          43               365.59          348.18          713.77
  1839          44               373.32          330.30          703.62
  1839          45               364.07          307.33          671.40
  1839          46               325.14          253.20          578.34
  1839          47               377.61          288.92          666.53
  1839          48               325.47          313.46          638.93
  1839          49               306.68          269.76          576.44
  1839          50               266.02          236.79          502.81
  1839          51               232.24          199.66          431.90
  1839          52               189.30          177.36          366.66
  1839          53               143.18          115.96          259.14
  1839          54               132.94           93.80          226.74
  1839          55               151.81          122.19          274.00
  1839          56               173.06          123.30          296.36
  1839          57               181.72          130.12          311.84
  1839          58               187.81          133.61          321.42
  1839          59               197.29          130.41          327.70
  1839          60               216.92          141.98          358.90
  1839          61               195.36          131.91          327.27
  1839          62               226.55          138.11          364.66
  1839          63               198.48          132.63          331.11
  1839          64               193.25          125.72          318.97
  1839          65               190.05          134.02          324.07
  1839          66               194.92          121.99          316.91
  1839          67               210.97          129.77          340.74
  1839          68               192.13          127.32          319.45
  1839          69               182.27          127.44          309.71
  1839          70               148.15          111.47          259.62
  1839          71               146.44           94.73          241.17
  1839          72               153.18           94.11          247.29
  1839          73               128.33           85.57          213.90
  1839          74               129.08           85.25          214.33
  1839          75                96.58           68.58          165.16
  1839          76                94.81           54.83          149.64
  1839          77                84.84           64.13          148.97
  1839          78                80.51           51.09          131.60
  1839          79                67.70           43.46          111.16
  1839          80                54.28           35.98           90.26
  1839          81                41.97           29.22           71.19
  1839          82                31.36           22.82           54.18
  1839          83                23.17           16.83           40.00
  1839          84                19.00           12.71           31.71
  1839          85                16.28            9.75           26.03
  1839          86                13.85            7.29           21.14
  1839          87                12.68            6.74           19.42
  1839          88                12.06            6.15           18.21
  1839          89                11.62            5.42           17.04
  1839          90                11.19            4.93           16.12
  1839          91                 9.40            4.12           13.52
  1839          92                 7.75            3.19           10.94
  1839          93                 5.99            2.34            8.33
  1839          94                 4.03            1.47            5.50
  1839          95                 3.21            1.38            4.59
  1839          96                 3.17            1.27            4.44
  1839          97                 2.51            0.77            3.28
  1839          98                 0.83            0.48            1.31
  1839          99                 0.70            0.62            1.32
  1839         100                 0.39            0.00            0.39
  1839         101                 0.00            0.00            0.00
  1839         102                 0.00            0.00            0.00
  1839         103                 0.00            0.00            0.00
  1839         104                 0.00            0.00            0.00
  1839         105                 0.00            0.00            0.00
  1839         106                 0.00            0.00            0.00
  1839         107                 0.00            0.00            0.00
  1839         108                 0.00            0.00            0.00
  1839         109                 0.00            0.00            0.00
  1839         110+                0.00            0.00            0.00
  1840           0               743.30          742.32         1485.62
  1840           1               576.45          601.76         1178.21
  1840           2               630.75          630.22         1260.97
  1840           3               726.02          677.48         1403.50
  1840           4               690.50          656.80         1347.30
  1840           5               749.84          678.14         1427.98
  1840           6               769.85          700.87         1470.72
  1840           7               761.31          838.10         1599.41
  1840           8               840.23          831.81         1672.04
  1840           9               831.51          817.03         1648.54
  1840          10               724.19          722.22         1446.41
  1840          11               595.89          679.49         1275.38
  1840          12               536.65          513.99         1050.64
  1840          13               447.45          464.71          912.16
  1840          14               493.32          458.62          951.94
  1840          15               530.23          545.77         1076.00
  1840          16               569.18          537.04         1106.22
  1840          17               548.17          506.49         1054.66
  1840          18               468.19          469.10          937.29
  1840          19               431.27          419.93          851.20
  1840          20               407.29          398.46          805.75
  1840          21               420.28          417.73          838.01
  1840          22               395.21          373.64          768.85
  1840          23               402.08          359.16          761.24
  1840          24               311.91          320.38          632.29
  1840          25               308.75          293.52          602.27
  1840          26               314.69          281.92          596.61
  1840          27               381.74          331.63          713.37
  1840          28               411.90          334.63          746.53
  1840          29               427.16          377.90          805.06
  1840          30               401.45          358.34          759.79
  1840          31               441.71          420.79          862.50
  1840          32               443.94          374.23          818.17
  1840          33               413.12          344.66          757.78
  1840          34               333.26          318.02          651.28
  1840          35               325.42          281.45          606.87
  1840          36               371.62          315.74          687.36
  1840          37               477.88          396.97          874.85
  1840          38               547.19          510.11         1057.30
  1840          39               505.54          483.15          988.69
  1840          40               491.83          416.24          908.07
  1840          41               454.96          410.31          865.27
  1840          42               417.91          370.43          788.34
  1840          43               435.68          346.58          782.26
  1840          44               357.30          338.75          696.05
  1840          45               365.86          320.97          686.83
  1840          46               357.49          298.14          655.63
  1840          47               319.20          244.29          563.49
  1840          48               372.00          280.42          652.42
  1840          49               319.88          305.50          625.38
  1840          50               300.85          262.43          563.28
  1840          51               259.89          230.11          490.00
  1840          52               226.00          193.52          419.52
  1840          53               183.18          171.66          354.84
  1840          54               137.42          110.57          247.99
  1840          55               127.71           88.57          216.28
  1840          56               147.02          116.95          263.97
  1840          57               168.35          117.78          286.13
  1840          58               176.68          124.07          300.75
  1840          59               182.00          126.74          308.74
  1840          60               190.39          122.53          312.92
  1840          61               208.77          133.16          341.93
  1840          62               186.18          122.57          308.75
  1840          63               216.60          128.73          345.33
  1840          64               188.01          123.69          311.70
  1840          65               182.52          117.62          300.14
  1840          66               179.05          126.64          305.69
  1840          67               183.63          114.77          298.40
  1840          68               199.27          122.03          321.30
  1840          69               179.90          118.39          298.29
  1840          70               169.48          116.77          286.25
  1840          71               134.80           99.03          233.83
