Iceland, Life tables (period 1x1), Females	Last modified: 26 Mar 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1838           0      0.36819  0.29396  0.31  100000   29396   79838  3437633  34.38
  1838           1      0.04388  0.04294  0.50   70604    3032   69089  3357795  47.56
  1838           2      0.02830  0.02790  0.50   67573    1885   66630  3288707  48.67
  1838           3      0.02006  0.01986  0.50   65687    1305   65035  3222077  49.05
  1838           4      0.01449  0.01439  0.50   64383     926   63919  3157042  49.04
  1838           5      0.01189  0.01182  0.50   63456     750   63081  3093122  48.74
  1838           6      0.00961  0.00956  0.50   62706     600   62406  3030041  48.32
  1838           7      0.00777  0.00774  0.50   62106     480   61866  2967635  47.78
  1838           8      0.00704  0.00702  0.50   61626     432   61410  2905768  47.15
  1838           9      0.00708  0.00705  0.50   61194     431   60978  2844359  46.48
  1838          10      0.00715  0.00713  0.50   60762     433   60546  2783381  45.81
  1838          11      0.00726  0.00724  0.50   60329     437   60111  2722835  45.13
  1838          12      0.00689  0.00687  0.50   59893     411   59687  2662724  44.46
  1838          13      0.00595  0.00593  0.50   59481     353   59305  2603037  43.76
  1838          14      0.00543  0.00541  0.50   59128     320   58968  2543733  43.02
  1838          15      0.00544  0.00542  0.50   58808     319   58649  2484764  42.25
  1838          16      0.00610  0.00608  0.50   58490     356   58312  2426115  41.48
  1838          17      0.00705  0.00703  0.50   58134     409   57930  2367804  40.73
  1838          18      0.00769  0.00766  0.50   57725     442   57504  2309874  40.01
  1838          19      0.00795  0.00792  0.50   57283     454   57056  2252370  39.32
  1838          20      0.00823  0.00820  0.50   56829     466   56596  2195314  38.63
  1838          21      0.00859  0.00855  0.50   56363     482   56122  2138718  37.95
  1838          22      0.00984  0.00980  0.50   55881     547   55608  2082595  37.27
  1838          23      0.01167  0.01160  0.50   55334     642   55013  2026988  36.63
  1838          24      0.01202  0.01195  0.50   54692     654   54365  1971975  36.06
  1838          25      0.01122  0.01115  0.50   54038     603   53737  1917610  35.49
  1838          26      0.00995  0.00990  0.50   53436     529   53171  1863873  34.88
  1838          27      0.00922  0.00918  0.50   52907     485   52664  1810702  34.22
  1838          28      0.00885  0.00881  0.50   52421     462   52190  1758038  33.54
  1838          29      0.00794  0.00791  0.50   51959     411   51754  1705847  32.83
  1838          30      0.00672  0.00670  0.50   51548     345   51376  1654093  32.09
  1838          31      0.00676  0.00673  0.50   51203     345   51031  1602718  31.30
  1838          32      0.00856  0.00852  0.50   50858     433   50642  1551687  30.51
  1838          33      0.01165  0.01159  0.50   50425     584   50133  1501045  29.77
  1838          34      0.01393  0.01384  0.50   49841     690   49496  1450912  29.11
  1838          35      0.01438  0.01428  0.50   49151     702   48800  1401416  28.51
  1838          36      0.01365  0.01356  0.50   48449     657   48121  1352616  27.92
  1838          37      0.01402  0.01393  0.50   47792     666   47459  1304495  27.30
  1838          38      0.01447  0.01437  0.50   47127     677   46788  1257036  26.67
  1838          39      0.01388  0.01378  0.50   46449     640   46129  1210248  26.06
  1838          40      0.01268  0.01260  0.50   45809     577   45521  1164119  25.41
  1838          41      0.01101  0.01095  0.50   45232     495   44984  1118598  24.73
  1838          42      0.01051  0.01046  0.50   44737     468   44503  1073614  24.00
  1838          43      0.01093  0.01087  0.50   44269     481   44028  1029111  23.25
  1838          44      0.01119  0.01113  0.50   43788     487   43544   985083  22.50
  1838          45      0.01300  0.01292  0.50   43300     559   43021   941539  21.74
  1838          46      0.01368  0.01359  0.50   42741     581   42451   898518  21.02
  1838          47      0.01438  0.01427  0.50   42160     602   41859   856067  20.31
  1838          48      0.01644  0.01631  0.50   41559     678   41220   814208  19.59
  1838          49      0.01838  0.01821  0.50   40881     744   40509   772988  18.91
  1838          50      0.02106  0.02084  0.50   40136     836   39718   732480  18.25
  1838          51      0.02443  0.02413  0.50   39300     948   38826   692761  17.63
  1838          52      0.03000  0.02955  0.50   38352    1133   37785   653935  17.05
  1838          53      0.03455  0.03396  0.50   37218    1264   36586   616150  16.56
  1838          54      0.03168  0.03119  0.50   35954    1121   35394   579564  16.12
  1838          55      0.02625  0.02591  0.50   34833     903   34382   544170  15.62
  1838          56      0.02427  0.02398  0.50   33930     814   33524   509789  15.02
  1838          57      0.02562  0.02530  0.50   33117     838   32698   476265  14.38
  1838          58      0.02883  0.02842  0.50   32279     917   31820   443567  13.74
  1838          59      0.03259  0.03207  0.50   31362    1006   30859   411747  13.13
  1838          60      0.03957  0.03881  0.50   30356    1178   29767   380888  12.55
  1838          61      0.04385  0.04291  0.50   29178    1252   28552   351121  12.03
  1838          62      0.04639  0.04534  0.50   27926    1266   27293   322569  11.55
  1838          63      0.05100  0.04973  0.50   26660    1326   25997   295277  11.08
  1838          64      0.05033  0.04909  0.50   25334    1244   24712   269280  10.63
  1838          65      0.04687  0.04579  0.50   24090    1103   23539   244568  10.15
  1838          66      0.04339  0.04247  0.50   22987     976   22499   221029   9.62
  1838          67      0.04550  0.04449  0.50   22011     979   21521   198530   9.02
  1838          68      0.05393  0.05251  0.50   21032    1104   20480   177008   8.42
  1838          69      0.06996  0.06760  0.50   19927    1347   19254   156529   7.85
  1838          70      0.09064  0.08671  0.50   18580    1611   17775   137275   7.39
  1838          71      0.09815  0.09356  0.50   16969    1588   16175   119500   7.04
  1838          72      0.10873  0.10312  0.50   15382    1586   14589   103325   6.72
  1838          73      0.11806  0.11148  0.50   13795    1538   13027    88736   6.43
  1838          74      0.12741  0.11978  0.50   12258    1468   11524    75709   6.18
  1838          75      0.13546  0.12687  0.50   10789    1369   10105    64186   5.95
  1838          76      0.12957  0.12168  0.50    9421    1146    8847    54081   5.74
  1838          77      0.12598  0.11851  0.50    8274     981    7784    45233   5.47
  1838          78      0.12570  0.11826  0.50    7294     863    6862    37450   5.13
  1838          79      0.13582  0.12718  0.50    6431     818    6022    30587   4.76
  1838          80      0.17452  0.16051  0.50    5613     901    5163    24565   4.38
  1838          81      0.18955  0.17314  0.50    4712     816    4304    19402   4.12
  1838          82      0.20555  0.18639  0.50    3896     726    3533    15098   3.87
  1838          83      0.22253  0.20025  0.50    3170     635    2853    11565   3.65
  1838          84      0.24049  0.21468  0.50    2535     544    2263     8712   3.44
  1838          85      0.25942  0.22963  0.50    1991     457    1762     6449   3.24
  1838          86      0.27928  0.24506  0.50    1534     376    1346     4687   3.06
  1838          87      0.30006  0.26091  0.50    1158     302    1007     3341   2.89
  1838          88      0.32169  0.27711  0.50     856     237     737     2334   2.73
  1838          89      0.34411  0.29359  0.50     619     182     528     1597   2.58
  1838          90      0.36724  0.31027  0.50     437     136     369     1069   2.45
  1838          91      0.39101  0.32707  0.50     301      99     252      700   2.32
