Iceland, Life tables (period 1x1), Males	Last modified: 26 Mar 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1838           0      0.41464  0.32128  0.30  100000   32128   77483  3070443  30.70
  1838           1      0.04520  0.04420  0.50   67872    3000   66372  2992960  44.10
  1838           2      0.02903  0.02861  0.50   64872    1856   63944  2926588  45.11
  1838           3      0.02336  0.02309  0.50   63016    1455   62289  2862644  45.43
  1838           4      0.01859  0.01842  0.50   61561    1134   60994  2800355  45.49
  1838           5      0.01290  0.01281  0.50   60427     774   60040  2739361  45.33
  1838           6      0.00893  0.00890  0.50   59653     531   59388  2679321  44.92
  1838           7      0.00673  0.00671  0.50   59122     397   58924  2619933  44.31
  1838           8      0.00546  0.00545  0.50   58726     320   58566  2561009  43.61
  1838           9      0.00486  0.00485  0.50   58406     283   58264  2502444  42.85
  1838          10      0.00520  0.00519  0.50   58122     302   57971  2444180  42.05
  1838          11      0.00592  0.00591  0.50   57820     341   57650  2386208  41.27
  1838          12      0.00594  0.00593  0.50   57479     341   57309  2328558  40.51
  1838          13      0.00520  0.00518  0.50   57138     296   56990  2271250  39.75
  1838          14      0.00466  0.00465  0.50   56842     264   56710  2214259  38.95
  1838          15      0.00474  0.00473  0.50   56578     267   56444  2157549  38.13
  1838          16      0.00526  0.00525  0.50   56311     296   56163  2101105  37.31
  1838          17      0.00632  0.00630  0.50   56015     353   55839  2044942  36.51
  1838          18      0.00785  0.00782  0.50   55662     435   55445  1989103  35.74
  1838          19      0.00922  0.00918  0.50   55227     507   54974  1933658  35.01
  1838          20      0.01117  0.01111  0.50   54720     608   54416  1878685  34.33
  1838          21      0.01333  0.01324  0.50   54113     716   53754  1824268  33.71
  1838          22      0.01503  0.01491  0.50   53396     796   52998  1770514  33.16
  1838          23      0.01659  0.01646  0.50   52600     866   52167  1717516  32.65
  1838          24      0.01688  0.01674  0.50   51734     866   51301  1665349  32.19
  1838          25      0.01452  0.01441  0.50   50868     733   50501  1614048  31.73
  1838          26      0.01226  0.01219  0.50   50135     611   49829  1563546  31.19
  1838          27      0.01072  0.01066  0.50   49524     528   49260  1513717  30.57
  1838          28      0.00987  0.00982  0.50   48996     481   48755  1464457  29.89
  1838          29      0.00916  0.00912  0.50   48515     442   48293  1415702  29.18
  1838          30      0.00904  0.00900  0.50   48072     433   47856  1367408  28.44
  1838          31      0.01051  0.01045  0.50   47640     498   47391  1319552  27.70
  1838          32      0.01241  0.01234  0.50   47142     582   46851  1272162  26.99
  1838          33      0.01537  0.01525  0.50   46560     710   46205  1225311  26.32
  1838          34      0.01768  0.01752  0.50   45850     804   45448  1179106  25.72
  1838          35      0.01699  0.01685  0.50   45046     759   44667  1133658  25.17
  1838          36      0.01456  0.01446  0.50   44288     640   43967  1088991  24.59
  1838          37      0.01366  0.01356  0.50   43647     592   43351  1045023  23.94
  1838          38      0.01465  0.01455  0.50   43055     626   42742  1001672  23.26
  1838          39      0.01469  0.01458  0.50   42429     619   42120   958930  22.60
  1838          40      0.01365  0.01355  0.50   41810     567   41527   916810  21.93
  1838          41      0.01345  0.01336  0.50   41244     551   40968   875283  21.22
  1838          42      0.01365  0.01356  0.50   40693     552   40417   834315  20.50
  1838          43      0.01477  0.01466  0.50   40141     589   39847   793898  19.78
  1838          44      0.01753  0.01737  0.50   39552     687   39209   754052  19.06
  1838          45      0.02281  0.02256  0.50   38865     877   38427   714843  18.39
  1838          46      0.02560  0.02528  0.50   37988     960   37508   676416  17.81
  1838          47      0.02360  0.02332  0.50   37028     864   36596   638908  17.25
  1838          48      0.02364  0.02336  0.50   36164     845   35742   602312  16.65
  1838          49      0.02475  0.02444  0.50   35320     863   34888   566570  16.04
  1838          50      0.02478  0.02447  0.50   34456     843   34035   531682  15.43
  1838          51      0.02541  0.02509  0.50   33613     844   33191   497647  14.81
  1838          52      0.03101  0.03054  0.50   32770    1001   32269   464456  14.17
  1838          53      0.04443  0.04346  0.50   31769    1381   31078   432186  13.60
  1838          54      0.04792  0.04680  0.50   30388    1422   29677   401108  13.20
  1838          55      0.04875  0.04759  0.50   28966    1378   28277   371431  12.82
  1838          56      0.05312  0.05175  0.50   27587    1428   26874   343154  12.44
  1838          57      0.05564  0.05413  0.50   26160    1416   25452   316281  12.09
