Israel, Total Population, Population size (abridged)	Last modified: 31 Oct 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1983           0             46549.62        49110.29        95659.91
  1983           1             44398.80        47297.17        91695.97
  1983           2             44875.35        47371.82        92247.17
  1983           3             44177.94        46880.76        91058.70
  1983           4             44185.87        46280.27        90466.14
  1983           5             44752.44        47428.00        92180.44
  1983           6             46574.04        49192.53        95766.57
  1983           7             45654.05        47734.85        93388.90
  1983           8             43775.95        46269.91        90045.86
  1983           9             42660.31        44589.46        87249.77
  1983          10             40881.01        43122.08        84003.09
  1983          11             41494.53        43415.92        84910.45
  1983          12             39933.49        42432.10        82365.59
  1983          13             37763.02        39643.98        77407.00
  1983          14             36520.97        38540.89        75061.86
  1983          15             34146.01        36341.97        70487.98
  1983          16             34803.53        37444.04        72247.57
  1983          17             34684.44        38339.06        73023.50
  1983          18             33746.07        37028.99        70775.06
  1983          19             32615.00        35430.64        68045.64
  1983          20             32031.60        33999.08        66030.68
  1983          21             31597.97        33196.90        64794.87
  1983          22             33002.00        34403.10        67405.10
  1983          23             32266.89        32745.38        65012.27
  1983          24             32263.13        32512.72        64775.85
  1983          25             32193.57        32245.53        64439.10
  1983          26             32236.88        32098.36        64335.24
  1983          27             32568.15        32440.06        65008.21
  1983          28             31570.91        31526.23        63097.14
  1983          29             33077.07        32406.56        65483.63
  1983          30             33199.00        32983.87        66182.87
  1983          31             32526.52        32610.80        65137.32
  1983          32             31982.03        31936.38        63918.41
  1983          33             27807.51        27375.86        55183.37
  1983          34             28970.96        27952.93        56923.89
  1983          35             30232.00        29361.97        59593.97
  1983          36             27851.93        27150.49        55002.42
  1983          37             23658.56        23243.03        46901.59
  1983          38             20759.44        20487.91        41247.35
  1983          39             18691.05        18225.33        36916.38
  1983          40             18084.39        16998.55        35082.94
  1983          41             16138.64        16396.94        32535.58
  1983          42             18587.64        17640.14        36227.78
  1983          43             17133.43        16816.54        33949.97
  1983          44             18553.51        17675.44        36228.95
  1983          45             17973.00        16944.91        34917.91
  1983          46             18850.49        17946.63        36797.12
  1983          47             17577.27        16996.55        34573.82
  1983          48             17261.86        16104.98        33366.84
  1983          49             17262.54        16238.57        33501.11
  1983          50             18523.78        16445.58        34969.36
  1983          51             15457.80        14847.59        30305.39
  1983          52             18391.36        16533.63        34924.99
  1983          53             16248.42        14615.95        30864.37
  1983          54             17587.64        15241.24        32828.88
  1983          55             16626.98        14410.58        31037.56
  1983          56             17043.96        14024.49        31068.45
  1983          57             17972.46        14372.62        32345.08
  1983          58             18199.57        14829.68        33029.25
  1983          59             17883.40        14745.79        32629.19
  1983          60             16917.55        15326.65        32244.20
  1983          61             13891.98        14125.35        28017.33
  1983          62             17045.50        15521.27        32566.77
  1983          63             13322.68        12045.25        25367.93
  1983          64             13124.35        10670.51        23794.86
  1983          65             10228.46         9279.99        19508.45
  1983          66             11485.62         9788.65        21274.27
  1983          67             13198.55        10945.80        24144.35
  1983          68             15377.59        12742.21        28119.80
  1983          69             13801.62        11779.72        25581.34
  1983          70             14747.98        12122.55        26870.53
  1983          71             10782.51        11524.04        22306.55
  1983          72             14229.42        12620.07        26849.49
  1983          73             10342.06         9835.47        20177.53
  1983          74             10951.97         9564.21        20516.18
  1983          75              8273.67         8270.01        16543.68
  1983          76              7358.16         7594.98        14953.14
  1983          77              7247.91         6953.03        14200.94
  1983          78              6171.03         5683.00        11854.03
  1983          79              5837.92         5338.34        11176.26
  1983          80              5463.55         4630.61        10094.16
  1983          81              4364.37         3700.27         8064.64
  1983          82              4638.10         3684.05         8322.15
  1983          83              4130.50         3187.04         7317.54
  1983          84              2922.27         2348.48         5270.75
  1983          85              2475.90         1957.38         4433.28
  1983          86              1841.40         1473.35         3314.75
  1983          87              1532.15         1238.88         2771.03
  1983          88              1199.35          976.95         2176.30
  1983          89               948.48          774.37         1722.85
  1983          90               791.45          600.23         1391.68
  1983          91               530.37          423.27          953.64
  1983          92               471.90          374.66          846.56
  1983          93               406.16          272.65          678.81
  1983          94               261.02          195.46          456.48
  1983          95               189.92          146.22          336.14
  1983          96               135.48          103.97          239.45
  1983          97                95.06           72.96          168.02
  1983          98                65.41           49.99          115.40
  1983          99                44.10           33.94           78.04
  1983         100                29.09           22.29           51.38
  1983         101                18.92           14.79           33.71
  1983         102                11.94            9.04           20.98
  1983         103                 6.98            5.66           12.64
  1983         104                 3.95            3.19            7.14
  1983         105                 2.19            1.32            3.51
  1983         106                 0.80            0.65            1.45
  1983         107                 0.27            0.00            0.27
  1983         108                 0.00            0.00            0.00
  1983         109                 0.00            0.00            0.00
  1983         110+                0.00            0.00            0.00
  1984           0             47432.00        50392.00        97824.00
  1984           1             46429.00        48988.00        95417.00
  1984           2             44355.00        47262.00        91617.00
  1984           3             44853.00        47341.00        92194.00
  1984           4             44166.00        46857.00        91023.00
  1984           5             44175.00        46263.00        90438.00
  1984           6             44743.00        47413.00        92156.00
  1984           7             46565.00        49177.00        95742.00
  1984           8             45643.00        47722.00        93365.00
  1984           9             43765.00        46262.00        90027.00
  1984          10             42654.00        44582.00        87236.00
  1984          11             40877.00        43110.00        83987.00
  1984          12             41487.00        43404.00        84891.00
  1984          13             39924.00        42419.00        82343.00
  1984          14             37752.00        39628.00        77380.00
  1984          15             36511.00        38523.00        75034.00
  1984          16             34138.00        36324.00        70462.00
  1984          17             34792.00        37424.00        72216.00
  1984          18             34676.00        38306.00        72982.00
  1984          19             33737.00        36989.00        70726.00
  1984          20             32604.00        35384.00        67988.00
  1984          21             32021.00        33956.00        65977.00
  1984          22             31585.00        33164.00        64749.00
  1984          23             32990.00        34370.00        67360.00
  1984          24             32259.00        32713.00        64972.00
  1984          25             32255.00        32481.00        64736.00
  1984          26             32179.00        32212.00        64391.00
  1984          27             32224.00        32067.00        64291.00
  1984          28             32554.00        32410.00        64964.00
  1984          29             31555.00        31500.00        63055.00
  1984          30             33062.00        32381.00        65443.00
  1984          31             33182.00        32947.00        66129.00
  1984          32             32509.00        32571.00        65080.00
  1984          33             31963.00        31903.00        63866.00
  1984          34             27787.00        27348.00        55135.00
  1984          35             28949.00        27922.00        56871.00
  1984          36             30209.00        29326.00        59535.00
  1984          37             27832.00        27116.00        54948.00
  1984          38             23639.00        23208.00        46847.00
  1984          39             20740.00        20455.00        41195.00
  1984          40             18672.00        18196.00        36868.00
  1984          41             18068.00        16967.00        35035.00
  1984          42             16121.00        16366.00        32487.00
  1984          43             18559.00        17605.00        36164.00
  1984          44             17102.00        16772.00        33874.00
  1984          45             18524.00        17622.00        36146.00
  1984          46             17943.00        16892.00        34835.00
  1984          47             18821.00        17890.00        36711.00
  1984          48             17537.00        16926.00        34463.00
  1984          49             17217.00        16032.00        33249.00
  1984          50             17219.00        16163.00        33382.00
  1984          51             18463.00        16361.00        34824.00
  1984          52             15394.00        14750.00        30144.00
  1984          53             18320.00        16419.00        34739.00
  1984          54             16165.00        14496.00        30661.00
  1984          55             17498.00        15110.00        32608.00
  1984          56             16529.00        14259.00        30788.00
  1984          57             16949.00        13868.00        30817.00
  1984          58             17857.00        14208.00        32065.00
  1984          59             18059.00        14643.00        32702.00
  1984          60             17739.00        14538.00        32277.00
  1984          61             16767.00        15097.00        31864.00
  1984          62             13739.00        13896.00        27635.00
