Israel, Total Population, Life tables (period 1x1), Females	Last modified: 31 Oct 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1983           0      0.01337  0.01321  0.12  100000    1321   98840  7652433  76.52
  1983           1      0.00125  0.00125  0.50   98679     124   98617  7553594  76.55
  1983           2      0.00074  0.00074  0.50   98555      73   98519  7454977  75.64
  1983           3      0.00030  0.00030  0.50   98483      29   98468  7356458  74.70
  1983           4      0.00025  0.00025  0.50   98453      25   98441  7257990  73.72
  1983           5      0.00025  0.00025  0.50   98429      24   98417  7159548  72.74
  1983           6      0.00018  0.00018  0.50   98405      17   98396  7061132  71.76
  1983           7      0.00022  0.00022  0.50   98387      21   98377  6962736  70.77
  1983           8      0.00027  0.00027  0.50   98366      26   98353  6864359  69.78
  1983           9      0.00023  0.00023  0.50   98340      23   98328  6766006  68.80
  1983          10      0.00007  0.00007  0.50   98317       7   98313  6667678  67.82
  1983          11      0.00012  0.00012  0.50   98310      12   98304  6569365  66.82
  1983          12      0.00025  0.00025  0.50   98298      24   98286  6471061  65.83
  1983          13      0.00023  0.00023  0.50   98274      23   98262  6372775  64.85
  1983          14      0.00035  0.00035  0.50   98251      34   98234  6274513  63.86
  1983          15      0.00020  0.00020  0.50   98217      19   98207  6176279  62.88
  1983          16      0.00026  0.00026  0.50   98197      26   98184  6078072  61.90
  1983          17      0.00040  0.00040  0.50   98171      40   98152  5979888  60.91
  1983          18      0.00009  0.00009  0.50   98132       9   98128  5881736  59.94
  1983          19      0.00045  0.00045  0.50   98123      44   98101  5783608  58.94
  1983          20      0.00022  0.00022  0.50   98079      21   98068  5685507  57.97
  1983          21      0.00044  0.00044  0.50   98058      43   98036  5587439  56.98
  1983          22      0.00037  0.00037  0.50   98015      36   97996  5489403  56.01
  1983          23      0.00037  0.00037  0.50   97978      36   97960  5391406  55.03
  1983          24      0.00012  0.00012  0.50   97942      12   97936  5293446  54.05
  1983          25      0.00037  0.00037  0.50   97930      36   97912  5195510  53.05
  1983          26      0.00053  0.00053  0.50   97894      52   97868  5097598  52.07
  1983          27      0.00028  0.00028  0.50   97842      27   97828  4999731  51.10
  1983          28      0.00059  0.00059  0.50   97815      58   97786  4901902  50.11
  1983          29      0.00040  0.00040  0.50   97757      39   97737  4804117  49.14
  1983          30      0.00051  0.00051  0.50   97717      50   97692  4706380  48.16
  1983          31      0.00052  0.00052  0.50   97667      51   97642  4608687  47.19
  1983          32      0.00056  0.00056  0.50   97617      54   97590  4511045  46.21
  1983          33      0.00067  0.00067  0.50   97562      65   97530  4413456  45.24
  1983          34      0.00074  0.00074  0.50   97497      72   97461  4315926  44.27
  1983          35      0.00078  0.00078  0.50   97425      76   97387  4218465  43.30
  1983          36      0.00079  0.00079  0.50   97349      77   97311  4121078  42.33
  1983          37      0.00066  0.00066  0.50   97272      64   97240  4023767  41.37
  1983          38      0.00099  0.00099  0.50   97208      96   97160  3926527  40.39
  1983          39      0.00086  0.00086  0.50   97112      84   97070  3829367  39.43
  1983          40      0.00114  0.00114  0.50   97028     111   96973  3732298  38.47
  1983          41      0.00070  0.00070  0.50   96917      68   96883  3635325  37.51
  1983          42      0.00133  0.00132  0.50   96849     128   96785  3538442  36.54
  1983          43      0.00191  0.00190  0.50   96721     184   96629  3441657  35.58
  1983          44      0.00163  0.00163  0.50   96537     157   96458  3345028  34.65
  1983          45      0.00164  0.00164  0.50   96380     158   96301  3248570  33.71
  1983          46      0.00163  0.00163  0.50   96222     157   96143  3152269  32.76
  1983          47      0.00159  0.00159  0.50   96065     153   95988  3056126  31.81
  1983          48      0.00293  0.00293  0.50   95912     281   95771  2960138  30.86
  1983          49      0.00226  0.00226  0.50   95631     216   95523  2864366  29.95
  1983          50      0.00269  0.00268  0.50   95415     256   95287  2768843  29.02
  1983          51      0.00430  0.00429  0.50   95159     409   94955  2673556  28.10
  1983          52      0.00326  0.00325  0.50   94750     308   94596  2578601  27.21
  1983          53      0.00503  0.00502  0.50   94442     474   94205  2484005  26.30
  1983          54      0.00474  0.00473  0.50   93968     444   93746  2389800  25.43
  1983          55      0.00580  0.00579  0.50   93524     541   93253  2296054  24.55
  1983          56      0.00578  0.00576  0.50   92983     536   92715  2202800  23.69
  1983          57      0.00533  0.00531  0.50   92447     491   92202  2110085  22.82
  1983          58      0.00760  0.00757  0.50   91956     696   91608  2017884  21.94
  1983          59      0.00801  0.00798  0.50   91260     728   90896  1926276  21.11
  1983          60      0.00843  0.00839  0.50   90532     760   90152  1835380  20.27
  1983          61      0.01011  0.01006  0.50   89772     903   89320  1745228  19.44
  1983          62      0.00981  0.00976  0.50   88869     868   88435  1655908  18.63
  1983          63      0.01544  0.01532  0.50   88001    1349   87327  1567473  17.81
  1983          64      0.01380  0.01370  0.50   86653    1187   86059  1480146  17.08
  1983          65      0.01961  0.01942  0.50   85466    1660   84636  1394087  16.31
  1983          66      0.01898  0.01880  0.50   83806    1575   83018  1309451  15.62
  1983          67      0.02168  0.02144  0.50   82230    1763   81349  1226433  14.91
  1983          68      0.02050  0.02029  0.50   80467    1632   79651  1145085  14.23
  1983          69      0.02293  0.02267  0.50   78834    1787   77941  1065434  13.51
  1983          70      0.02567  0.02534  0.50   77047    1953   76071   987493  12.82
  1983          71      0.03165  0.03116  0.50   75094    2340   73925   911422  12.14
