Israel, Total Population, Life tables (period 1x1), Males	Last modified: 31 Oct 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1983           0      0.01471  0.01453  0.12  100000    1453   98722  7310027  73.10
  1983           1      0.00077  0.00077  0.50   98547      76   98510  7211305  73.18
  1983           2      0.00072  0.00072  0.50   98472      71   98437  7112795  72.23
  1983           3      0.00060  0.00060  0.50   98401      59   98372  7014359  71.28
  1983           4      0.00043  0.00043  0.50   98342      42   98321  6915987  70.33
  1983           5      0.00032  0.00032  0.50   98300      31   98284  6817666  69.36
  1983           6      0.00031  0.00031  0.50   98268      31   98253  6719382  68.38
  1983           7      0.00033  0.00033  0.50   98238      32   98222  6621129  67.40
  1983           8      0.00021  0.00021  0.50   98205      21   98195  6522908  66.42
  1983           9      0.00013  0.00013  0.50   98184      13   98178  6424713  65.44
  1983          10      0.00021  0.00021  0.50   98171      20   98161  6326535  64.44
  1983          11      0.00035  0.00035  0.50   98151      34   98134  6228373  63.46
  1983          12      0.00021  0.00021  0.50   98117      21   98107  6130239  62.48
  1983          13      0.00041  0.00041  0.50   98097      41   98076  6032132  61.49
  1983          14      0.00038  0.00038  0.50   98056      38   98037  5934056  60.52
  1983          15      0.00056  0.00056  0.50   98018      55   97991  5836018  59.54
  1983          16      0.00041  0.00041  0.50   97963      40   97944  5738027  58.57
  1983          17      0.00066  0.00066  0.50   97924      65   97891  5640084  57.60
  1983          18      0.00109  0.00109  0.50   97859     106   97806  5542192  56.63
  1983          19      0.00108  0.00108  0.50   97753     105   97700  5444387  55.70
  1983          20      0.00150  0.00150  0.50   97647     146   97574  5346687  54.76
  1983          21      0.00104  0.00104  0.50   97501     102   97450  5249112  53.84
  1983          22      0.00092  0.00092  0.50   97400      89   97355  5151662  52.89
  1983          23      0.00104  0.00104  0.50   97310     101   97259  5054307  51.94
  1983          24      0.00092  0.00092  0.50   97209      89   97164  4957048  50.99
  1983          25      0.00102  0.00102  0.50   97119      99   97070  4859884  50.04
  1983          26      0.00106  0.00106  0.50   97020     103   96969  4762814  49.09
  1983          27      0.00090  0.00090  0.50   96918      87   96874  4665845  48.14
  1983          28      0.00097  0.00097  0.50   96831      94   96784  4568970  47.19
  1983          29      0.00069  0.00069  0.50   96737      67   96704  4472187  46.23
  1983          30      0.00089  0.00089  0.50   96670      86   96627  4375483  45.26
  1983          31      0.00134  0.00134  0.50   96585     130   96520  4278855  44.30
  1983          32      0.00112  0.00112  0.50   96455     108   96401  4182336  43.36
  1983          33      0.00105  0.00105  0.50   96347     101   96297  4085934  42.41
  1983          34      0.00090  0.00090  0.50   96247      87   96203  3989637  41.45
  1983          35      0.00129  0.00129  0.50   96160     124   96098  3893434  40.49
  1983          36      0.00124  0.00124  0.50   96036     119   95976  3797336  39.54
  1983          37      0.00135  0.00135  0.50   95917     129   95852  3701360  38.59
  1983          38      0.00165  0.00165  0.50   95787     158   95708  3605508  37.64
  1983          39      0.00155  0.00155  0.50   95630     148   95555  3509800  36.70
  1983          40      0.00165  0.00165  0.50   95481     157   95403  3414245  35.76
  1983          41      0.00204  0.00204  0.50   95324     194   95227  3318842  34.82
  1983          42      0.00165  0.00165  0.50   95130     157   95052  3223615  33.89
  1983          43      0.00244  0.00244  0.50   94973     231   94858  3128563  32.94
  1983          44      0.00273  0.00273  0.50   94742     258   94613  3033706  32.02
  1983          45      0.00347  0.00347  0.50   94484     327   94320  2939093  31.11
  1983          46      0.00264  0.00264  0.50   94156     248   94032  2844773  30.21
