Italy, Life tables (period 1x1), Males	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1872           0      0.29346  0.24340  0.30  100000   24340   82941  2928471  29.28
  1872           1      0.13815  0.12923  0.50   75660    9777   70771  2845529  37.61
  1872           2      0.09327  0.08912  0.50   65883    5871   62947  2774758  42.12
  1872           3      0.05416  0.05273  0.50   60011    3165   58429  2711811  45.19
  1872           4      0.03553  0.03491  0.50   56847    1985   55854  2653382  46.68
  1872           5      0.02417  0.02388  0.50   54862    1310   54207  2597528  47.35
  1872           6      0.01614  0.01601  0.50   53552     857   53123  2543321  47.49
  1872           7      0.01056  0.01051  0.50   52695     554   52418  2490197  47.26
  1872           8      0.00693  0.00691  0.50   52141     360   51961  2437780  46.75
  1872           9      0.00565  0.00563  0.50   51781     292   51635  2385819  46.08
  1872          10      0.00580  0.00578  0.50   51489     298   51340  2334184  45.33
  1872          11      0.00638  0.00636  0.50   51191     326   51029  2282844  44.59
  1872          12      0.00635  0.00633  0.50   50866     322   50705  2231815  43.88
  1872          13      0.00628  0.00626  0.50   50544     316   50385  2181111  43.15
  1872          14      0.00645  0.00643  0.50   50227     323   50066  2130725  42.42
  1872          15      0.00624  0.00622  0.50   49904     310   49749  2080659  41.69
  1872          16      0.00648  0.00646  0.50   49594     320   49434  2030910  40.95
  1872          17      0.00722  0.00720  0.50   49273     355   49096  1981477  40.21
  1872          18      0.00792  0.00788  0.50   48919     386   48726  1932381  39.50
  1872          19      0.00941  0.00937  0.50   48533     455   48306  1883655  38.81
  1872          20      0.01044  0.01039  0.50   48078     499   47829  1835349  38.17
  1872          21      0.01063  0.01058  0.50   47579     503   47327  1787521  37.57
  1872          22      0.01161  0.01154  0.50   47076     543   46804  1740194  36.97
  1872          23      0.01235  0.01227  0.50   46532     571   46247  1693390  36.39
  1872          24      0.01265  0.01258  0.50   45961     578   45672  1647143  35.84
  1872          25      0.01193  0.01186  0.50   45383     538   45114  1601471  35.29
  1872          26      0.01076  0.01070  0.50   44845     480   44605  1556357  34.71
  1872          27      0.01047  0.01041  0.50   44365     462   44134  1511752  34.08
  1872          28      0.01018  0.01013  0.50   43903     445   43681  1467618  33.43
  1872          29      0.01111  0.01105  0.50   43458     480   43218  1423937  32.77
  1872          30      0.00940  0.00935  0.50   42978     402   42777  1380719  32.13
  1872          31      0.00965  0.00961  0.50   42576     409   42371  1337942  31.42
  1872          32      0.01191  0.01183  0.50   42167     499   41917  1295571  30.72
  1872          33      0.01183  0.01176  0.50   41668     490   41423  1253653  30.09
  1872          34      0.01235  0.01228  0.50   41178     506   40925  1212230  29.44
  1872          35      0.01167  0.01160  0.50   40672     472   40436  1171305  28.80
  1872          36      0.01141  0.01134  0.50   40200     456   39972  1130869  28.13
