Japan, Population size (abridged)	Last modified: 01 Apr 2019;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
     1947        0            909483.41       947121.76      1856605.17
     1947        1            811823.13       831767.81      1643590.94
     1947        2            951470.49       971124.32      1922594.81
     1947        3            971099.41       992404.34      1963503.75
     1947        4            981728.47      1007291.92      1989020.39
     1947        5            979973.57      1002766.40      1982739.97
     1947        6            910625.18       928848.68      1839473.86
     1947        7            811212.51       827602.17      1638814.68
     1947        8            825929.88       842309.96      1668239.84
     1947        9            869291.87       890655.60      1759947.47
     1947       10            893021.69       910504.09      1803525.78
     1947       11            875382.92       890763.57      1766146.49
     1947       12            847274.85       862557.57      1709832.42
     1947       13            853607.62       869439.12      1723046.74
     1947       14            854981.77       869775.97      1724757.74
     1947       15            845662.50       860621.34      1706283.84
     1947       16            820949.97       831926.70      1652876.67
     1947       17            809206.01       809268.31      1618474.32
     1947       18            796422.64       784701.81      1581124.45
     1947       19            781517.26       778224.45      1559741.71
     1947       20            772891.92       751968.28      1524860.20
     1947       21            757614.00       702123.85      1459737.85
     1947       22            716739.39       629758.07      1346497.46
     1947       23            694140.41       557623.92      1251764.33
     1947       24            675337.67       515094.14      1190431.81
     1947       25            647724.74       488279.77      1136004.51
     1947       26            657873.09       503425.36      1161298.45
     1947       27            574228.88       459526.18      1033755.06
     1947       28            554085.36       453517.59      1007602.95
     1947       29            557768.27       465119.00      1022887.27
     1947       30            561739.25       477684.25      1039423.50
     1947       31            553843.82       471974.66      1025818.48
     1947       32            557660.61       481041.66      1038702.27
     1947       33            541233.76       474110.93      1015344.69
     1947       34            534387.77       467547.48      1001935.25
     1947       35            529859.23       469770.29       999629.52
     1947       36            513766.77       468340.29       982107.06
     1947       37            502940.10       466147.97       969088.07
     1947       38            484525.86       456182.16       940708.02
     1947       39            465565.85       454553.48       920119.33
     1947       40            412111.06       419745.54       831856.60
     1947       41            409863.28       412782.97       822646.25
     1947       42            401233.28       407325.89       808559.17
     1947       43            410866.33       419182.47       830048.80
     1947       44            412187.41       422807.52       834994.93
     1947       45            402586.59       417404.30       819990.89
     1947       46            385523.95       398146.75       783670.70
     1947       47            358642.23       372856.45       731498.68
     1947       48            355004.24       368811.99       723816.23
     1947       49            334255.81       351881.72       686137.53
     1947       50            322722.32       337786.18       660508.50
     1947       51            316591.40       332397.00       648988.40
     1947       52            302146.61       313806.73       615953.34
     1947       53            285407.70       294058.17       579465.87
     1947       54            282389.05       289878.45       572267.50
     1947       55            259750.91       263445.71       523196.62
     1947       56            266296.38       264343.73       530640.11
     1947       57            274943.08       272040.21       546983.29
     1947       58            264545.08       257541.94       522087.02
     1947       59            250004.72       239731.02       489735.74
     1947       60            224793.75       210227.22       435020.97
     1947       61            222045.53       202745.69       424791.22
     1947       62            225680.69       198774.17       424454.86
     1947       63            221558.72       189453.43       411012.15
     1947       64            213964.18       179873.14       393837.32
     1947       65            211769.86       176382.33       388152.19
     1947       66            195622.20       160176.41       355798.61
     1947       67            188692.80       151638.85       340331.65
     1947       68            182035.36       142768.36       324803.72
     1947       69            167695.22       129309.05       297004.27
     1947       70            162483.36       123280.72       285764.08
     1947       71            144985.92       106251.30       251237.22
     1947       72            129346.16        92587.45       221933.61
     1947       73            118583.15        82452.24       201035.39
     1947       74            102191.49        69793.66       171985.15
     1947       75             83156.82        55840.50       138997.32
     1947       76             69590.84        44851.86       114442.70
     1947       77             62166.73        38839.62       101006.35
     1947       78             61079.51        37255.04        98334.55
     1947       79             49115.65        29099.95        78215.60
     1947       80             41752.52        23629.18        65381.70
     1947       81             39650.61        21085.54        60736.15
     1947       82             30555.80        16007.36        46563.16
     1947       83             21558.26        11040.97        32599.23
     1947       84             15828.49         7570.32        23398.81
     1947       85             11862.35         5620.32        17482.67
     1947       86             10328.03         4871.03        15199.06
     1947       87              7883.23         3464.23        11347.46
     1947       88              6048.58         2773.84         8822.42
     1947       89              4509.03         1913.31         6422.34
     1947       90              3227.51         1308.94         4536.45
     1947       91              2179.03          842.61         3021.64
     1947       92              1546.78          568.42         2115.20
     1947       93               933.49          367.26         1300.75
     1947       94               622.33          254.22          876.55
     1947       95               336.18          138.11          474.29
     1947       96               229.12           92.07          321.19
     1947       97               153.09           65.04          218.13
     1947       98                88.05           50.04          138.09
     1947       99                32.01           24.02           56.03
     1947      100                27.01           12.01           39.02
     1947      101                14.00            3.00           17.00
     1947      102                 8.00            7.00           15.00
     1947      103                 8.00            0.00            8.00
     1947      104                 3.00            2.00            5.00
     1947      105                 3.00            3.00            6.00
     1947      106                 1.00            2.00            3.00
     1947      107                 1.00            1.00            2.00
     1947      108                 2.00            0.00            2.00
     1947      109                 1.00            1.00            2.00
     1947      110+               11.00            6.00           17.00
     1948        0           1212413.20      1263408.12      2475821.32
     1948        1            863745.50       895251.37      1758996.87
     1948        2            793009.48       811789.39      1604798.87
     1948        3            938423.25       957749.98      1896173.23
     1948        4            962302.16       983314.23      1945616.39
     1948        5            976137.23      1001242.53      1977379.76
     1948        6            975932.78       998273.91      1974206.69
     1948        7            907656.40       925501.59      1833157.99
     1948        8            809167.59       825195.23      1634362.82
     1948        9            824247.30       840392.61      1664639.91
     1948       10            867552.24       888715.23      1756267.47
     1948       11            891517.28       908863.09      1800380.37
     1948       12            873814.45       889208.67      1763023.12
     1948       13            845714.38       861066.75      1706781.13
     1948       14            851754.88       867751.06      1719505.94
     1948       15            852593.53       867715.45      1720308.98
     1948       16            842802.81       858106.27      1700909.08
     1948       17            817628.85       828865.96      1646494.81
     1948       18            805231.28       805427.62      1610658.90
     1948       19            791853.35       779825.85      1571679.20
     1948       20            776127.21       772534.50      1548661.71
     1948       21            767490.85       746015.00      1513505.85
     1948       22            751996.73       696096.48      1448093.21
     1948       23            711346.33       624056.10      1335402.43
     1948       24            688649.26       552573.75      1241223.01
     1948       25            670272.92       510374.37      1180647.29
     1948       26            642846.16       483878.39      1126724.55
     1948       27            653121.63       499051.01      1152172.64
     1948       28            570106.01       455631.42      1025737.43
     1948       29            550097.61       449770.01       999867.62
     1948       30            553666.42       461268.30      1014934.72
     1948       31            557775.54       473871.59      1031647.13
     1948       32            549977.19       468058.88      1018036.07
     1948       33            553785.97       477003.72      1030789.69
     1948       34            537438.20       470133.07      1007571.27
     1948       35            530665.28       463630.69       994295.97
     1948       36            526175.77       465825.47       992001.24
     1948       37            510143.37       464330.39       974473.76
     1948       38            499230.62       462110.04       961340.66
     1948       39            481133.68       452206.30       933339.98
     1948       40            461995.50       450461.48       912456.98
     1948       41            409153.29       415920.86       825074.15
     1948       42            406397.03       408844.15       815241.18
     1948       43            398039.28       403335.02       801374.30
     1948       44            407654.32       414766.08       822420.40
     1948       45            408812.24       418175.86       826988.10
     1948       46            399276.49       412740.60       812017.09
     1948       47            382138.77       393442.00       775580.77
     1948       48            355289.09       368111.65       723400.74
     1948       49            351398.86       363628.66       715027.52
     1948       50            330694.47       346856.58       677551.05
     1948       51            318936.77       332668.93       651605.70
     1948       52            312897.94       326944.34       639842.28
     1948       53            298293.99       307990.62       606284.61
