Korea, Life tables (period 1x1), Females	Last modified: 11 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  2003           0      0.00482  0.00480  0.14  100000     480   99587  8077340  80.77
  2003           1      0.00047  0.00047  0.50   99520      47   99496  7977753  80.16
  2003           2      0.00028  0.00028  0.50   99473      28   99459  7878257  79.20
  2003           3      0.00028  0.00028  0.50   99445      27   99431  7778798  78.22
  2003           4      0.00026  0.00026  0.50   99417      26   99404  7679367  77.24
  2003           5      0.00017  0.00017  0.50   99392      17   99383  7579962  76.26
  2003           6      0.00022  0.00022  0.50   99375      22   99364  7480579  75.28
  2003           7      0.00016  0.00016  0.50   99353      16   99345  7381215  74.29
  2003           8      0.00012  0.00012  0.50   99337      12   99331  7281870  73.30
  2003           9      0.00014  0.00014  0.50   99325      14   99318  7182540  72.31
  2003          10      0.00013  0.00013  0.50   99311      13   99305  7083221  71.32
  2003          11      0.00012  0.00012  0.50   99299      11   99293  6983917  70.33
  2003          12      0.00012  0.00012  0.50   99287      12   99281  6884624  69.34
  2003          13      0.00013  0.00013  0.50   99275      13   99269  6785343  68.35
  2003          14      0.00012  0.00012  0.50   99263      12   99257  6686073  67.36
  2003          15      0.00019  0.00019  0.50   99250      19   99241  6586817  66.37
  2003          16      0.00026  0.00026  0.50   99231      26   99218  6487576  65.38
  2003          17      0.00028  0.00028  0.50   99206      28   99192  6388358  64.40
  2003          18      0.00026  0.00026  0.50   99178      26   99165  6289166  63.41
  2003          19      0.00029  0.00029  0.50   99152      29   99138  6190001  62.43
  2003          20      0.00028  0.00028  0.50   99124      27   99110  6090863  61.45
  2003          21      0.00032  0.00032  0.50   99096      32   99080  5991753  60.46
  2003          22      0.00038  0.00038  0.50   99064      38   99045  5892673  59.48
  2003          23      0.00038  0.00038  0.50   99027      37   99008  5793628  58.51
  2003          24      0.00036  0.00036  0.50   98989      36   98972  5694620  57.53
  2003          25      0.00038  0.00038  0.50   98954      37   98935  5595648  56.55
  2003          26      0.00043  0.00043  0.50   98916      42   98895  5496713  55.57
  2003          27      0.00044  0.00044  0.50   98874      43   98853  5397818  54.59
  2003          28      0.00045  0.00045  0.50   98831      45   98809  5298965  53.62
  2003          29      0.00045  0.00045  0.50   98786      45   98764  5200156  52.64
  2003          30      0.00047  0.00047  0.50   98742      46   98719  5101393  51.66
  2003          31      0.00049  0.00049  0.50   98696      48   98672  5002674  50.69
  2003          32      0.00050  0.00050  0.50   98648      50   98623  4904002  49.71
  2003          33      0.00059  0.00059  0.50   98598      58   98569  4805380  48.74
  2003          34      0.00068  0.00068  0.50   98540      67   98507  4706810  47.77
  2003          35      0.00065  0.00065  0.50   98474      64   98441  4608304  46.80
  2003          36      0.00070  0.00070  0.50   98409      69   98375  4509862  45.83
  2003          37      0.00077  0.00077  0.50   98340      76   98303  4411487  44.86
  2003          38      0.00076  0.00076  0.50   98265      75   98227  4313185  43.89
  2003          39      0.00089  0.00089  0.50   98190      87   98146  4214958  42.93
  2003          40      0.00099  0.00099  0.50   98103      97   98054  4116811  41.96
  2003          41      0.00098  0.00098  0.50   98006      96   97958  4018757  41.01
  2003          42      0.00105  0.00105  0.50   97909     103   97858  3920799  40.05
  2003          43      0.00126  0.00126  0.50   97807     124   97745  3822941  39.09
  2003          44      0.00136  0.00136  0.50   97683     132   97617  3725196  38.14
  2003          45      0.00126  0.00126  0.50   97551     122   97490  3627579  37.19
  2003          46      0.00152  0.00152  0.50   97428     148   97355  3530089  36.23
  2003          47      0.00173  0.00172  0.50   97281     168   97197  3432735  35.29
  2003          48      0.00179  0.00179  0.50   97113     174   97026  3335538  34.35
  2003          49      0.00188  0.00188  0.50   96939     182   96848  3238512  33.41
  2003          50      0.00205  0.00205  0.50   96757     198   96657  3141664  32.47
  2003          51      0.00242  0.00241  0.50   96558     233   96442  3045007  31.54
  2003          52      0.00225  0.00224  0.50   96325     216   96217  2948565  30.61
  2003          53      0.00263  0.00263  0.50   96109     253   95983  2852348  29.68
  2003          54      0.00267  0.00267  0.50   95857     256   95729  2756365  28.76
  2003          55      0.00302  0.00301  0.50   95601     288   95457  2660636  27.83
  2003          56      0.00351  0.00350  0.50   95313     334   95146  2565179  26.91
  2003          57      0.00340  0.00339  0.50   94979     322   94818  2470033  26.01
  2003          58      0.00393  0.00392  0.50   94657     371   94472  2375215  25.09
  2003          59      0.00441  0.00441  0.50   94286     415   94078  2280743  24.19
  2003          60      0.00478  0.00477  0.50   93871     448   93647  2186665  23.29
  2003          61      0.00524  0.00523  0.50   93423     489   93179  2093018  22.40
  2003          62      0.00576  0.00574  0.50   92934     534   92668  1999839  21.52
  2003          63      0.00643  0.00641  0.50   92401     592   92105  1907171  20.64
  2003          64      0.00757  0.00754  0.50   91809     693   91463  1815066  19.77
  2003          65      0.00814  0.00811  0.50   91116     739   90747  1723604  18.92
  2003          66      0.00902  0.00898  0.50   90377     812   89971  1632857  18.07
  2003          67      0.01105  0.01099  0.50   89566     984   89073  1542885  17.23
  2003          68      0.01255  0.01248  0.50   88581    1105   88029  1453812  16.41
  2003          69      0.01381  0.01372  0.50   87476    1200   86876  1365783  15.61
  2003          70      0.01620  0.01607  0.50   86276    1387   85583  1278907  14.82
  2003          71      0.01796  0.01780  0.50   84890    1511   84134  1193324  14.06
  2003          72      0.02012  0.01992  0.50   83379    1661   82548  1109190  13.30
  2003          73      0.02378  0.02350  0.50   81718    1920   80758  1026641  12.56
  2003          74      0.02680  0.02644  0.50   79798    2110   78743   945884  11.85
  2003          75      0.03104  0.03057  0.50   77688    2375   76500   867141  11.16
  2003          76      0.03573  0.03510  0.50   75313    2643   73991   790640  10.50
  2003          77      0.04180  0.04094  0.50   72669    2975   71182   716649   9.86
  2003          78      0.04756  0.04645  0.50   69694    3237   68075   645467   9.26
  2003          79      0.04999  0.04877  0.50   66457    3241   64836   577392   8.69
