Korea, Life tables (period 1x1), Males	Last modified: 11 Jul 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  2003           0      0.00596  0.00593  0.14  100000     593   99488  7382756  73.83
  2003           1      0.00041  0.00041  0.50   99407      41   99387  7283268  73.27
  2003           2      0.00040  0.00040  0.50   99366      40   99346  7183881  72.30
  2003           3      0.00031  0.00031  0.50   99326      30   99311  7084535  71.33
  2003           4      0.00034  0.00034  0.50   99296      34   99279  6985224  70.35
  2003           5      0.00026  0.00026  0.50   99262      25   99249  6885945  69.37
  2003           6      0.00026  0.00026  0.50   99237      25   99224  6786695  68.39
  2003           7      0.00025  0.00025  0.50   99211      25   99199  6687471  67.41
  2003           8      0.00018  0.00018  0.50   99186      18   99178  6588272  66.42
  2003           9      0.00017  0.00017  0.50   99169      17   99160  6489095  65.43
  2003          10      0.00018  0.00018  0.50   99152      18   99143  6389935  64.45
  2003          11      0.00018  0.00018  0.50   99134      18   99125  6290792  63.46
  2003          12      0.00015  0.00015  0.50   99116      14   99109  6191666  62.47
  2003          13      0.00015  0.00015  0.50   99102      15   99094  6092557  61.48
  2003          14      0.00024  0.00024  0.50   99087      23   99075  5993463  60.49
  2003          15      0.00029  0.00029  0.50   99063      29   99049  5894387  59.50
  2003          16      0.00041  0.00041  0.50   99035      40   99015  5795338  58.52
  2003          17      0.00049  0.00049  0.50   98994      48   98970  5696324  57.54
  2003          18      0.00059  0.00059  0.50   98946      58   98917  5597353  56.57
  2003          19      0.00069  0.00069  0.50   98888      68   98854  5498437  55.60
  2003          20      0.00061  0.00061  0.50   98819      60   98789  5399583  54.64
  2003          21      0.00055  0.00055  0.50   98759      54   98732  5300794  53.67
  2003          22      0.00069  0.00069  0.50   98705      68   98671  5202061  52.70
  2003          23      0.00074  0.00074  0.50   98637      73   98601  5103390  51.74
  2003          24      0.00084  0.00084  0.50   98564      83   98523  5004790  50.78
  2003          25      0.00082  0.00082  0.50   98481      80   98441  4906267  49.82
  2003          26      0.00084  0.00084  0.50   98401      82   98359  4807826  48.86
  2003          27      0.00086  0.00086  0.50   98318      85   98276  4709467  47.90
  2003          28      0.00089  0.00089  0.50   98233      87   98190  4611191  46.94
  2003          29      0.00097  0.00097  0.50   98146      96   98099  4513001  45.98
  2003          30      0.00102  0.00102  0.50   98051     100   98001  4414902  45.03
  2003          31      0.00104  0.00104  0.50   97951     102   97900  4316901  44.07
  2003          32      0.00111  0.00111  0.50   97849     109   97795  4219001  43.12
  2003          33      0.00116  0.00115  0.50   97741     113   97684  4121206  42.16
  2003          34      0.00149  0.00149  0.50   97628     145   97555  4023522  41.21
  2003          35      0.00137  0.00137  0.50   97483     134   97416  3925966  40.27
  2003          36      0.00168  0.00168  0.50   97349     163   97268  3828550  39.33
  2003          37      0.00175  0.00175  0.50   97186     170   97101  3731283  38.39
  2003          38      0.00218  0.00218  0.50   97016     211   96911  3634182  37.46
  2003          39      0.00223  0.00223  0.50   96805     216   96697  3537271  36.54
  2003          40      0.00247  0.00247  0.50   96589     238   96470  3440574  35.62
  2003          41      0.00275  0.00275  0.50   96351     265   96219  3344104  34.71
  2003          42      0.00312  0.00311  0.50   96086     299   95937  3247886  33.80
  2003          43      0.00346  0.00345  0.50   95787     331   95622  3151949  32.91
  2003          44      0.00377  0.00376  0.50   95457     359   95277  3056327  32.02
  2003          45      0.00396  0.00396  0.50   95098     376   94909  2961050  31.14
  2003          46      0.00440  0.00439  0.50   94721     416   94513  2866141  30.26
  2003          47      0.00490  0.00489  0.50   94305     461   94075  2771627  29.39
  2003          48      0.00520  0.00519  0.50   93845     487   93601  2677552  28.53
  2003          49      0.00556  0.00555  0.50   93358     518   93099  2583951  27.68
  2003          50      0.00584  0.00583  0.50   92840     541   92570  2490852  26.83
  2003          51      0.00697  0.00695  0.50   92299     641   91978  2398282  25.98
  2003          52      0.00716  0.00714  0.50   91658     654   91331  2306304  25.16
  2003          53      0.00795  0.00792  0.50   91004     721   90643  2214973  24.34
  2003          54      0.00820  0.00817  0.50   90283     738   89914  2124330  23.53
  2003          55      0.00825  0.00822  0.50   89545     736   89177  2034416  22.72
  2003          56      0.00950  0.00945  0.50   88809     840   88389  1945239  21.90
  2003          57      0.00944  0.00940  0.50   87970     826   87557  1856849  21.11
  2003          58      0.01111  0.01105  0.50   87143     963   86662  1769293  20.30
  2003          59      0.01148  0.01141  0.50   86181     983   85689  1682631  19.52
  2003          60      0.01351  0.01342  0.50   85197    1144   84625  1596942  18.74
  2003          61      0.01484  0.01473  0.50   84054    1238   83434  1512316  17.99
  2003          62      0.01652  0.01638  0.50   82815    1357   82137  1428882  17.25
  2003          63      0.01713  0.01698  0.50   81459    1383   80767  1346745  16.53
  2003          64      0.01896  0.01878  0.50   80075    1504   79323  1265978  15.81
  2003          65      0.02074  0.02052  0.50   78571    1613   77765  1186655  15.10
  2003          66      0.02364  0.02336  0.50   76959    1798   76060  1108889  14.41
  2003          67      0.02509  0.02478  0.50   75161    1862   74230  1032829  13.74
  2003          68      0.02858  0.02818  0.50   73298    2066   72266   958600  13.08
  2003          69      0.03176  0.03127  0.50   71233    2227   70119   886334  12.44
  2003          70      0.03438  0.03380  0.50   69006    2332   67840   816215  11.83
  2003          71      0.03723  0.03655  0.50   66673    2437   65455   748375  11.22
  2003          72      0.04173  0.04088  0.50   64237    2626   62924   682920  10.63
  2003          73      0.04574  0.04472  0.50   61611    2755   60233   619996  10.06
  2003          74      0.05089  0.04963  0.50   58856    2921   57395   559763   9.51
  2003          75      0.05600  0.05447  0.50   55935    3047   54411   502367   8.98
  2003          76      0.06264  0.06074  0.50   52888    3212   51282   447956   8.47
