Lithuania, Population size (abridged)	Last modified: 20 Sep 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1959           0             27849.47        28855.27        56704.74
  1959           1             26313.41        27354.96        53668.37
  1959           2             25218.27        25998.52        51216.79
  1959           3             25382.84        26194.47        51577.31
  1959           4             24685.80        25920.02        50605.82
  1959           5             23118.87        24007.09        47125.96
  1959           6             24337.55        24985.30        49322.85
  1959           7             23558.93        24495.86        48054.79
  1959           8             25012.92        25581.14        50594.06
  1959           9             23616.47        24059.74        47676.21
  1959          10             24069.68        24407.61        48477.29
  1959          11             21299.91        21444.28        42744.19
  1959          12             21655.69        22285.75        43941.44
  1959          13             22144.79        22378.29        44523.08
  1959          14             20943.49        21083.45        42026.94
  1959          15             22693.34        22233.97        44927.31
  1959          16             25774.63        25694.25        51468.88
  1959          17             24413.17        24188.01        48601.18
  1959          18             24669.81        24006.31        48676.12
  1959          19             22443.25        20167.10        42610.35
  1959          20             25052.36        22439.68        47492.04
  1959          21             23720.64        21581.24        45301.88
  1959          22             26150.51        23248.97        49399.48
  1959          23             24464.73        22582.67        47047.40
  1959          24             24183.50        21760.74        45944.24
  1959          25             25742.51        22688.79        48431.30
  1959          26             26137.46        22831.78        48969.24
  1959          27             24246.97        21619.98        45866.95
  1959          28             26858.78        24304.87        51163.65
  1959          29             24209.14        21121.09        45330.23
  1959          30             29204.32        24448.76        53653.08
  1959          31             23327.49        20382.92        43710.41
  1959          32             25190.62        17371.12        42561.74
  1959          33             23595.13        16283.03        39878.16
  1959          34             23109.79        15865.03        38974.82
  1959          35             22656.20        16319.34        38975.54
  1959          36             21587.40        15502.17        37089.57
  1959          37             17937.57        13936.47        31874.04
  1959          38             18878.21        14638.55        33516.76
  1959          39             14300.73        10866.74        25167.47
  1959          40             14646.02        10055.23        24701.25
  1959          41             11191.30         8405.44        19596.74
  1959          42             13537.03         9845.09        23382.12
  1959          43             13659.94         9680.66        23340.60
  1959          44             16601.13        11371.34        27972.47
  1959          45             17302.23        11567.11        28869.34
  1959          46             17704.51        11809.80        29514.31
  1959          47             16350.78        11125.69        27476.47
  1959          48             18863.51        12139.70        31003.21
  1959          49             15737.87        11380.21        27118.08
  1959          50             19333.79        20830.76        40164.55
  1959          51             15801.94        18878.08        34680.02
  1959          52             17121.52        17217.47        34338.99
  1959          53             15533.62        13865.06        29398.68
  1959          54             15779.68        14349.15        30128.83
  1959          55             16864.12        12698.70        29562.82
  1959          56             16589.72        12889.10        29478.82
  1959          57             13973.87         9861.12        23834.99
  1959          58             19470.38        12617.28        32087.66
  1959          59             11725.11         8106.88        19831.99
  1959          60             17877.06        10873.16        28750.22
  1959          61             10492.02         8412.34        18904.36
  1959          62             13013.54         9377.34        22390.88
  1959          63             13473.95         8807.42        22281.37
  1959          64             11189.64         8777.43        19967.07
  1959          65             11813.58         8695.14        20508.72
  1959          66              9191.68         7115.04        16306.72
  1959          67              9393.81         6481.66        15875.47
  1959          68             10426.63         6732.85        17159.48
  1959          69              7705.86         4210.45        11916.31
  1959          70             13368.34         6177.06        19545.40
  1959          71              5751.07         3443.84         9194.91
  1959          72              7045.04         3592.06        10637.10
  1959          73              6827.02         3725.50        10552.52
  1959          74              5713.80         3241.05         8954.85
  1959          75              6055.09         3323.75         9378.84
  1959          76              4629.50         2798.54         7428.04
  1959          77              3766.38         2167.26         5933.64
  1959          78              4994.21         2643.64         7637.85
  1959          79              2741.80         1460.03         4201.83
  1959          80              2751.22         1473.70         4224.92
  1959          81              2580.42         1292.49         3872.91
  1959          82              2619.54         1118.34         3737.88
  1959          83              2484.57         1013.35         3497.92
  1959          84              1849.51          863.30         2712.81
  1959          85              1338.02          705.35         2043.37
  1959          86              1178.21          604.79         1783.00
  1959          87              1136.92          541.83         1678.75
  1959          88              1162.99          462.19         1625.18
  1959          89               827.39          309.08         1136.47
  1959          90               473.30          204.17          677.47
  1959          91               462.83          170.12          632.95
  1959          92               460.03          159.78          619.81
  1959          93               418.07          125.05          543.12
  1959          94               324.06           96.75          420.81
  1959          95               216.24           80.64          296.88
  1959          96               159.38           55.68          215.06
  1959          97               137.49           43.17          180.66
  1959          98               114.04           34.68          148.72
  1959          99                90.84           25.36          116.20
  1959         100                70.12           18.49           88.61
  1959         101                53.20           13.46           66.66
  1959         102                39.18            9.25           48.43
  1959         103                28.97            6.52           35.49
  1959         104                21.64            4.52           26.16
  1959         105                16.15            2.61           18.76
  1959         106                11.04            1.44           12.48
  1959         107                 8.15            0.83            8.98
  1959         108                 5.97            0.59            6.56
  1959         109                 4.08            0.00            4.08
  1959         110+                5.24            0.00            5.24
  1960           0             29369.37        30354.07        59723.44
  1960           1             27448.06        28319.91        55767.97
  1960           2             26235.37        27274.39        53509.76
  1960           3             25174.67        25950.51        51125.18
  1960           4             25351.32        26160.98        51512.30
  1960           5             24663.24        25890.26        50553.50
  1960           6             23100.30        23978.55        47078.85
  1960           7             24319.59        24959.90        49279.49
  1960           8             23546.43        24472.81        48019.24
  1960           9             25002.41        25558.70        50561.11
  1960          10             23604.65        24034.47        47639.12
  1960          11             24056.64        24382.10        48438.74
  1960          12             21288.39        21428.28        42716.67
  1960          13             21644.68        22272.24        43916.92
  1960          14             22132.79        22352.78        44485.57
  1960          15             20929.48        21051.69        41981.17
  1960          16             22675.86        22204.98        44880.84
  1960          17             25757.56        25662.28        51419.84
  1960          18             24394.23        24143.68        48537.91
  1960          19             24648.73        23950.81        48599.54
  1960          20             22421.10        20116.57        42537.67
  1960          21             25030.83        22393.08        47423.91
  1960          22             23700.62        21529.69        45230.31
  1960          23             26125.48        23195.96        49321.44
  1960          24             24436.20        22529.15        46965.35
  1960          25             24155.93        21707.51        45863.44
  1960          26             25716.98        22634.19        48351.17
  1960          27             26102.40        22769.08        48871.48
  1960          28             24208.44        21552.99        45761.43
  1960          29             26830.75        24236.79        51067.54
  1960          30             24178.07        21047.33        45225.40
  1960          31             29166.78        24383.54        53550.32
  1960          32             23289.94        20323.77        43613.71
  1960          33             25150.57        17310.72        42461.29
  1960          34             23560.10        16230.60        39790.70
  1960          35             23078.35        15809.46        38887.81
  1960          36             22615.67        16256.33        38872.00
  1960          37             21542.34        15442.17        36984.51
  1960          38             17889.53        13878.96        31768.49
  1960          39             18837.12        14583.55        33420.67
  1960          40             14265.70        10813.50        25079.20
  1960          41             14606.47        10012.65        24619.12
  1960          42             11154.75         8370.46        19525.21
  1960          43             13503.49         9799.61        23303.10
  1960          44             13620.91         9626.17        23247.08
  1960          45             16549.59        11310.05        27859.64
  1960          46             17246.16        11496.65        28742.81
  1960          47             17640.46        11736.26        29376.72
  1960          48             16278.19        11049.24        27327.43
  1960          49             18795.41        12061.14        30856.55
  1960          50             15668.90        11275.01        26943.91
  1960          51             19255.72        20689.78        39945.50
  1960          52             15711.88        18709.30        34421.18
  1960          53             17021.91        17039.77        34061.68
  1960          54             15428.52        13687.68        29116.20
  1960          55             15669.63        14172.39        29842.02
  1960          56             16746.03        12531.22        29277.25
  1960          57             16475.01        12711.59        29186.60
  1960          58             13842.41         9661.27        23503.68
  1960          59             19323.12        12410.60        31733.72
  1960          60             11577.72         7905.23        19482.95
  1960          61             17720.30        10663.60        28383.90
  1960          62             10313.72         8204.28        18518.00
  1960          63             12797.45         9144.15        21941.60
  1960          64             13243.23         8553.27        21796.50
  1960          65             10980.75         8516.65        19497.40
  1960          66             11620.57         8445.12        20065.69
  1960          67              8986.51         6880.18        15866.69
  1960          68              9163.57         6237.57        15401.14
  1960          69             10180.66         6499.63        16680.29
  1960          70              7425.91         3964.32        11390.23
  1960          71             13059.96         5935.36        18995.32
  1960          72              5442.74         3237.17         8679.91
  1960          73              6721.54         3390.52        10112.06
  1960          74              6485.77         3512.20         9997.97
  1960          75              5376.99         3016.07         8393.06
  1960          76              5740.40         3101.59         8841.99
  1960          77              4330.85         2572.70         6903.55
  1960          78              3466.89         1945.86         5412.75
  1960          79              4670.26         2424.40         7094.66
  1960          80              3450.69         1760.34         5211.03
  1960          81              2463.94         1301.22         3765.16
  1960          82              2330.82         1143.79         3474.61
  1960          83              2332.79          982.16         3314.95
  1960          84              2194.69          874.54         3069.23
  1960          85              1591.52          722.81         2314.33
  1960          86              1118.74          574.81         1693.55
  1960          87               988.72          492.50         1481.22
  1960          88               956.24          441.39         1397.63
  1960          89               990.52          363.54         1354.06
  1960          90               688.73          229.88          918.61
  1960          91               382.45          159.69          542.14
  1960          92               383.85          142.61          526.46
  1960          93               372.90          128.27          501.17
  1960          94               338.91          102.55          441.46
  1960          95               257.32           80.54          337.86
  1960          96               166.26           62.61          228.87
  1960          97               124.39           41.29          165.68
  1960          98               108.45           32.15          140.60
  1960          99                84.11           23.94          108.05
  1960         100                64.02           17.20           81.22
  1960         101                48.26           12.16           60.42
  1960         102                35.52            8.58           44.10
  1960         103                25.00            5.53           30.53
  1960         104                17.69            3.72           21.41
  1960         105                12.75            2.42           15.17
  1960         106                 9.20            1.05           10.25
  1960         107                 5.67            0.29            5.96
  1960         108                 4.03            0.00            4.03
  1960         109                 2.83            0.00            2.83
  1960         110+                1.98            0.00            1.98
  1961           0             29760.90        31031.77        60792.67
  1961           1             29266.41        30143.05        59409.46
  1961           2             27621.10        28458.67        56079.77
  1961           3             26379.52        27445.36        53824.88
  1961           4             25215.37        25961.40        51176.77
  1961           5             25360.75        26168.96        51529.71
  1961           6             24625.88        25834.22        50460.10
  1961           7             23040.37        23941.22        46981.59
  1961           8             24185.86        24859.90        49045.76
  1961           9             23420.07        24443.79        47863.86
  1961          10             24795.90        25401.64        50197.54
  1961          11             23585.96        23991.00        47576.96
  1961          12             23833.65        24100.23        47933.88
  1961          13             21239.53        21350.22        42589.75
  1961          14             21480.62        22068.17        43548.79
  1961          15             22142.80        22253.18        44395.98
  1961          16             20817.33        20885.46        41702.79
  1961          17             22659.91        22161.12        44821.03
  1961          18             25695.80        25533.04        51228.84
  1961          19             24412.00        24163.71        48575.71
  1961          20             24492.35        23838.67        48331.02
  1961          21             22640.74        20425.03        43065.77
  1961          22             24965.14        22446.13        47411.27
  1961          23             23853.21        21684.70        45537.91
  1961          24             26063.96        23221.03        49284.99
  1961          25             24463.24        22598.56        47061.80
  1961          26             24130.69        21727.37        45858.06
  1961          27             25621.32        22639.11        48260.43
  1961          28             26090.77        22796.65        48887.42
  1961          29             24203.54        21592.93        45796.47
  1961          30             26684.00        24162.27        50846.27
  1961          31             24327.87        21238.13        45566.00
  1961          32             28916.63        24205.18        53121.81
  1961          33             23433.71        20464.34        43898.05
  1961          34             25024.44        17264.29        42288.73
  1961          35             23587.79        16251.82        39839.61
  1961          36             23088.22        15849.38        38937.60
  1961          37             22527.04        16231.42        38758.46
  1961          38             21504.97        15441.44        36946.41
  1961          39             17919.44        13905.74        31825.18
  1961          40             18717.26        14479.40        33196.66
  1961          41             14361.73        10891.49        25253.22
  1961          42             14387.30         9892.46        24279.76
  1961          43             11183.00         8386.09        19569.09
  1961          44             13423.75         9757.48        23181.23
  1961          45             13592.87         9601.65        23194.52
  1961          46             16568.85        11272.62        27841.47
  1961          47             17186.78        11419.63        28606.41
  1961          48             17672.95        11713.89        29386.84
  1961          49             16299.60        11012.95        27312.55
  1961          50             18671.22        11922.67        30593.89
  1961          51             15883.50        11349.73        27233.23
  1961          52             19004.94        20443.38        39448.32
  1961          53             15841.14        18640.22        34481.36
  1961          54             16990.45        16852.69        33843.14
  1961          55             15482.08        13573.94        29056.02
  1961          56             15668.17        14019.52        29687.69
  1961          57             16501.29        12372.27        28873.56
  1961          58             16345.56        12568.14        28913.70
  1961          59             13771.19         9626.49        23397.68
  1961          60             19094.34        12178.52        31272.86
  1961          61             11708.34         7879.86        19588.20
  1961          62             17102.32        10329.78        27432.10
  1961          63             10361.22         8100.13        18461.35
  1961          64             12598.53         8882.54        21481.07
  1961          65             13015.48         8288.25        21303.73
  1961          66             10776.69         8291.65        19068.34
  1961          67             11200.99         8161.08        19362.07
  1961          68              8745.64         6667.86        15413.50
  1961          69              8911.07         6033.98        14945.05
  1961          70              9947.47         6245.90        16193.37
  1961          71              7406.69         3839.32        11246.01
  1961          72             12367.72         5595.23        17962.95
  1961          73              5358.93         3097.23         8456.16
  1961          74              6448.84         3211.84         9660.68
  1961          75              6236.69         3318.18         9554.87
  1961          76              5139.57         2830.30         7969.87
  1961          77              5409.50         2897.79         8307.29
  1961          78              4077.29         2371.14         6448.43
  1961          79              3276.12         1783.87         5059.99
  1961          80              3993.93         2005.73         5999.66
  1961          81              3165.82         1583.62         4749.44
  1961          82              2250.32         1171.03         3421.35
  1961          83              2112.51         1024.28         3136.79
  1961          84              2097.57          872.47         2970.04
  1961          85              1948.62          769.02         2717.64
  1961          86              1405.23          622.73         2027.96
  1961          87               982.53          487.28         1469.81
  1961          88               848.98          414.94         1263.92
  1961          89               808.10          372.88         1180.98
  1961          90               840.97          296.52         1137.49
  1961          91               582.50          183.52          766.02
  1961          92               325.45          128.66          454.11
  1961          93               330.33          113.15          443.48
  1961          94               320.90          102.76          423.66
  1961          95               274.73           83.98          358.71
  1961          96               202.58           66.93          269.51
  1961          97               134.34           49.22          183.56
  1961          98                97.89           30.26          128.15
  1961          99                84.36           22.51          106.87
  1961         100                64.89           17.28           82.17
  1961         101                48.89           12.12           61.01
  1961         102                36.50            8.34           44.84
  1961         103                26.49            5.73           32.22
  1961         104                18.15            3.44           21.59
  1961         105                12.57            2.20           14.77
  1961         106                 8.96            1.33           10.29
  1961         107                 6.44            0.28            6.72
  1961         108                 3.68            0.00            3.68
  1961         109                 2.62            0.00            2.62
  1961         110+                3.14            0.00            3.14
  1962           0             29889.10        31227.42        61116.52
  1962           1             29688.24        30813.02        60501.26
  1962           2             29377.05        30214.81        59591.86
  1962           3             27820.84        28620.20        56441.04
  1962           4             26535.41        27629.39        54164.80
  1962           5             25260.77        25982.74        51243.51
  1962           6             25375.96        26178.14        51554.10
  1962           7             24594.97        25775.22        50370.19
  1962           8             22985.46        23901.90        46887.36
  1962           9             24059.15        24756.87        48816.02
