Lithuania, Life tables (period 1x1), Females	Last modified: 20 Sep 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1959           0      0.04732  0.04565  0.23  100000    4565   96486  7063418  70.63
  1959           1      0.00413  0.00413  0.50   95435     394   95238  6966932  73.00
  1959           2      0.00218  0.00218  0.50   95041     207   94937  6871694  72.30
  1959           3      0.00127  0.00127  0.50   94834     120   94774  6776757  71.46
  1959           4      0.00124  0.00124  0.50   94714     117   94655  6681983  70.55
  1959           5      0.00063  0.00063  0.50   94596      59   94567  6587328  69.64
  1959           6      0.00093  0.00093  0.50   94537      88   94493  6492761  68.68
  1959           7      0.00059  0.00059  0.50   94449      55   94422  6398268  67.74
  1959           8      0.00045  0.00045  0.50   94394      43   94372  6303847  66.78
  1959           9      0.00041  0.00041  0.50   94351      39   94332  6209474  65.81
  1959          10      0.00059  0.00059  0.50   94312      55   94285  6115143  64.84
  1959          11      0.00053  0.00053  0.50   94257      50   94232  6020858  63.88
  1959          12      0.00051  0.00051  0.50   94207      48   94183  5926626  62.91
  1959          13      0.00050  0.00050  0.50   94159      47   94135  5832444  61.94
  1959          14      0.00060  0.00060  0.50   94111      57   94083  5738309  60.97
  1959          15      0.00069  0.00069  0.50   94054      65   94022  5644226  60.01
  1959          16      0.00083  0.00083  0.50   93990      78   93951  5550204  59.05
  1959          17      0.00056  0.00056  0.50   93912      52   93886  5456253  58.10
  1959          18      0.00098  0.00098  0.50   93859      92   93814  5362367  57.13
  1959          19      0.00077  0.00077  0.50   93768      72   93732  5268554  56.19
  1959          20      0.00110  0.00110  0.50   93696     103   93645  5174822  55.23
  1959          21      0.00070  0.00070  0.50   93593      65   93560  5081178  54.29
  1959          22      0.00092  0.00092  0.50   93528      86   93485  4987617  53.33
  1959          23      0.00107  0.00107  0.50   93441     100   93392  4894133  52.38
  1959          24      0.00124  0.00123  0.50   93342     115   93284  4800741  51.43
  1959          25      0.00100  0.00100  0.50   93226      93   93180  4707457  50.49
  1959          26      0.00100  0.00100  0.50   93133      93   93086  4614277  49.55
  1959          27      0.00175  0.00175  0.50   93039     163   92958  4521191  48.59
  1959          28      0.00129  0.00129  0.50   92877     120   92817  4428233  47.68
  1959          29      0.00090  0.00090  0.50   92757      84   92715  4335416  46.74
  1959          30      0.00146  0.00146  0.50   92673     135   92605  4242701  45.78
  1959          31      0.00137  0.00137  0.50   92538     127   92474  4150096  44.85
  1959          32      0.00161  0.00161  0.50   92411     149   92336  4057622  43.91
  1959          33      0.00168  0.00168  0.50   92262     155   92184  3965286  42.98
  1959          34      0.00124  0.00124  0.50   92107     115   92049  3873101  42.05
  1959          35      0.00149  0.00149  0.50   91992     137   91924  3781052  41.10
  1959          36      0.00213  0.00213  0.50   91855     195   91758  3689129  40.16
  1959          37      0.00218  0.00218  0.50   91660     200   91560  3597371  39.25
  1959          38      0.00289  0.00288  0.50   91460     264   91328  3505811  38.33
  1959          39      0.00175  0.00175  0.50   91197     160   91117  3414483  37.44
  1959          40      0.00284  0.00283  0.50   91037     258   90908  3323366  36.51
  1959          41      0.00295  0.00295  0.50   90779     267   90645  3232458  35.61
  1959          42      0.00284  0.00283  0.50   90511     257   90383  3141813  34.71
  1959          43      0.00236  0.00236  0.50   90255     213   90149  3051430  33.81
  1959          44      0.00305  0.00304  0.50   90042     274   89905  2961282  32.89
  1959          45      0.00337  0.00337  0.50   89768     302   89617  2871376  31.99
  1959          46      0.00315  0.00315  0.50   89466     281   89325  2781759  31.09
  1959          47      0.00430  0.00429  0.50   89185     383   88993  2692434  30.19
  1959          48      0.00410  0.00409  0.50   88802     364   88620  2603441  29.32
  1959          49      0.00371  0.00370  0.50   88438     328   88274  2514821  28.44
  1959          50      0.00423  0.00422  0.50   88111     372   87925  2426546  27.54
  1959          51      0.00468  0.00467  0.50   87738     410   87533  2338622  26.65
  1959          52      0.00598  0.00596  0.50   87328     520   87068  2251088  25.78
  1959          53      0.00621  0.00619  0.50   86808     538   86539  2164020  24.93
  1959          54      0.00699  0.00697  0.50   86270     601   85970  2077481  24.08
  1959          55      0.00683  0.00681  0.50   85669     583   85378  1991511  23.25
  1959          56      0.00751  0.00748  0.50   85086     636   84768  1906133  22.40
  1959          57      0.00684  0.00682  0.50   84449     576   84162  1821366  21.57
  1959          58      0.00956  0.00951  0.50   83874     798   83475  1737204  20.71
  1959          59      0.00871  0.00867  0.50   83076     720   82716  1653729  19.91
  1959          60      0.01095  0.01089  0.50   82356     896   81908  1571013  19.08
  1959          61      0.01079  0.01073  0.50   81459     874   81022  1489105  18.28
  1959          62      0.01760  0.01744  0.50   80585    1406   79882  1408083  17.47
  1959          63      0.01730  0.01715  0.50   79179    1358   78500  1328201  16.77
  1959          64      0.01918  0.01900  0.50   77821    1478   77082  1249700  16.06
  1959          65      0.01616  0.01604  0.50   76343    1224   75731  1172618  15.36
  1959          66      0.01944  0.01925  0.50   75119    1446   74396  1096887  14.60
  1959          67      0.02266  0.02241  0.50   73673    1651   72847  1022492  13.88
  1959          68      0.02586  0.02553  0.50   72022    1839   71102   949644  13.19
