LuxembourgPopulation size (abridged)	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1960           0              2390.95         2572.89         4963.84
  1960           1              2348.90         2563.14         4912.04
  1960           2              2335.45         2541.57         4877.02
  1960           3              2437.52         2383.88         4821.40
  1960           4              2271.94         2369.51         4641.45
  1960           5              2337.50         2374.46         4711.96
  1960           6              2204.48         2307.04         4511.52
  1960           7              2213.07         2299.45         4512.52
  1960           8              1993.93         2141.00         4134.93
  1960           9              2044.00         2095.50         4139.50
  1960          10              1944.00         2011.00         3955.00
  1960          11              1982.00         2078.50         4060.50
  1960          12              1990.00         2079.50         4069.50
  1960          13              1962.50         2101.01         4063.51
  1960          14              1809.00         1829.99         3638.99
  1960          15              1938.00         1938.50         3876.50
  1960          16              2018.00         2045.51         4063.51
  1960          17              2095.50         2190.00         4285.50
  1960          18              1947.00         1987.01         3934.01
  1960          19              2019.00         2162.04         4181.04
  1960          20              2105.01         2332.10         4437.11
  1960          21              2156.50         2214.91         4371.41
  1960          22              2038.50         2287.55         4326.05
  1960          23              2086.99         2284.07         4371.06
  1960          24              2118.00         2278.96         4396.96
  1960          25              2171.53         2302.00         4473.53
  1960          26              2146.50         2348.00         4494.50
  1960          27              2214.48         2430.48         4644.96
  1960          28              2371.51         2576.00         4947.51
  1960          29              2538.51         2721.50         5260.01
  1960          30              2423.49         2696.52         5120.01
  1960          31              2409.02         2675.53         5084.55
  1960          32              2419.98         2586.97         5006.95
  1960          33              2368.98         2352.04         4721.02
  1960          34              2320.52         2156.95         4477.47
  1960          35              2369.00         1931.48         4300.48
  1960          36              2401.02         1987.54         4388.56
  1960          37              2218.48         1842.97         4061.45
  1960          38              2283.51         2020.00         4303.51
  1960          39              2417.99         2010.49         4428.48
  1960          40              1972.02         1850.01         3822.03
  1960          41              1568.48         1602.51         3170.99
  1960          42              1660.50         1674.50         3335.00
  1960          43              1749.54         1727.02         3476.56
  1960          44              2039.98         2030.49         4070.47
  1960          45              2315.52         2283.00         4598.52
  1960          46              2284.48         2250.49         4534.97
  1960          47              2406.52         2419.56         4826.08
  1960          48              2315.98         2272.53         4588.51
  1960          49              2278.51         2353.51         4632.02
  1960          50              2314.00         2341.05         4655.05
  1960          51              2396.50         2350.02         4746.52
  1960          52              2385.53         2366.58         4752.11
  1960          53              2324.48         2281.49         4605.97
  1960          54              2256.00         2232.08         4488.08
  1960          55              2240.01         2136.52         4376.53
  1960          56              2135.51         2042.07         4177.58
  1960          57              2295.49         2074.54         4370.03
  1960          58              2097.00         2062.05         4159.05
  1960          59              2068.92         1913.48         3982.40
  1960          60              1983.00         1763.59         3746.59
  1960          61              1873.99         1638.02         3512.01
  1960          62              1800.01         1568.09         3368.10
  1960          63              1704.00         1461.06         3165.06
  1960          64              1653.86         1357.47         3011.33
  1960          65              1565.48         1344.02         2909.50
  1960          66              1535.03         1294.08         2829.11
  1960          67              1358.98         1151.02         2510.00
  1960          68              1282.51         1079.10         2361.61
  1960          69              1224.80          991.90         2216.70
  1960          70              1154.96          949.15         2104.11
  1960          71              1106.07          900.59         2006.66
  1960          72              1043.41          848.88         1892.29
  1960          73              1027.04          809.21         1836.25
  1960          74               915.81          702.01         1617.82
  1960          75               857.06          659.12         1516.18
  1960          76               779.35          595.39         1374.74
  1960          77               751.49          562.76         1314.25
  1960          78               653.08          478.59         1131.67
  1960          79               585.44          445.61         1031.05
  1960          80               521.92          383.77          905.69
  1960          81               446.45          327.53          773.98
  1960          82               382.55          284.86          667.41
  1960          83               321.13          247.58          568.71
  1960          84               274.88          189.12          464.00
  1960          85               228.17          140.76          368.93
  1960          86               153.81          117.06          270.87
  1960          87               114.32           94.85          209.17
  1960          88                87.21           62.09          149.30
  1960          89                64.71           40.61          105.32
  1960          90                48.97           27.86           76.83
  1960          91                32.27           15.54           47.81
  1960          92                24.91           10.95           35.86
  1960          93                21.94            6.55           28.49
  1960          94                12.43            3.95           16.38
  1960          95                 6.90            2.02            8.92
  1960          96                 4.47            1.47            5.94
  1960          97                 4.02            1.00            5.02
  1960          98                 2.44            0.48            2.92
  1960          99                 0.80            0.00            0.80
  1960         100                 1.20            0.00            1.20
  1960         101                 0.00            0.00            0.00
  1960         102                 0.00            0.00            0.00
  1960         103                 0.00            0.00            0.00
  1960         104                 0.00            0.00            0.00
  1960         105                 0.00            0.00            0.00
  1960         106                 0.00            0.00            0.00
  1960         107                 0.00            0.00            0.00
  1960         108                 0.00            0.00            0.00
  1960         109                 0.00            0.00            0.00
  1960         110+                0.00            0.00            0.00
  1961           0              2479.00         2492.00         4971.00
  1961           1              2378.00         2545.00         4923.00
  1961           2              2345.00         2556.00         4901.00
  1961           3              2332.00         2536.00         4868.00
  1961           4              2435.00         2380.00         4815.00
  1961           5              2270.00         2366.00         4636.00
  1961           6              2336.00         2372.00         4708.00
  1961           7              2204.00         2305.00         4509.00
  1961           8              2212.00         2298.00         4510.00
  1961           9              1993.00         2141.00         4134.00
  1961          10              2044.00         2095.00         4139.00
  1961          11              1943.00         2010.00         3953.00
  1961          12              1981.00         2078.00         4059.00
  1961          13              1990.00         2079.00         4069.00
  1961          14              1962.00         2099.00         4061.00
  1961          15              1808.00         1828.00         3636.00
  1961          16              1937.00         1937.00         3874.00
  1961          17              2017.00         2044.00         4061.00
  1961          18              2095.00         2188.00         4283.00
  1961          19              1947.00         1984.00         3931.00
  1961          20              2019.00         2160.00         4179.00
  1961          21              2104.00         2328.00         4432.00
  1961          22              2155.00         2211.00         4366.00
  1961          23              2037.00         2285.00         4322.00
  1961          24              2086.00         2278.00         4364.00
  1961          25              2118.00         2273.00         4391.00
  1961          26              2170.00         2298.00         4468.00
  1961          27              2143.00         2344.00         4487.00
  1961          28              2212.00         2427.00         4639.00
  1961          29              2370.00         2573.00         4943.00
  1961          30              2536.00         2718.00         5254.00
  1961          31              2421.00         2692.00         5113.00
  1961          32              2406.00         2670.00         5076.00
  1961          33              2417.00         2582.00         4999.00
  1961          34              2368.00         2347.00         4715.00
  1961          35              2319.00         2151.00         4470.00
  1961          36              2366.00         1928.00         4294.00
  1961          37              2396.00         1983.00         4379.00
  1961          38              2213.00         1838.00         4051.00
  1961          39              2279.00         2018.00         4297.00
  1961          40              2414.00         2008.00         4422.00
  1961          41              1967.00         1845.00         3812.00
  1961          42              1563.00         1595.00         3158.00
  1961          43              1657.00         1669.00         3326.00
  1961          44              1743.00         1719.00         3462.00
  1961          45              2032.00         2021.00         4053.00
  1961          46              2307.00         2273.00         4580.00
  1961          47              2276.00         2230.00         4506.00
  1961          48              2398.00         2397.00         4795.00
  1961          49              2307.00         2255.00         4562.00
  1961          50              2269.00         2332.00         4601.00
  1961          51              2302.00         2316.00         4618.00
  1961          52              2385.00         2320.00         4705.00
  1961          53              2371.00         2341.00         4712.00
  1961          54              2309.00         2255.00         4564.00
  1961          55              2242.00         2201.00         4443.00
  1961          56              2224.00         2105.00         4329.00
  1961          57              2117.00         2008.00         4125.00
  1961          58              2276.00         2042.00         4318.00
  1961          59              2078.00         2026.00         4104.00
  1961          60              2047.00         1874.00         3921.00
  1961          61              1961.00         1725.00         3686.00
  1961          62              1846.00         1598.00         3444.00
  1961          63              1773.00         1526.00         3299.00
  1961          64              1683.00         1423.00         3106.00
  1961          65              1625.00         1319.00         2944.00
  1961          66              1530.00         1301.00         2831.00
  1961          67              1500.00         1248.00         2748.00
  1961          68              1325.00         1102.00         2427.00
  1961          69              1248.00         1029.00         2277.00
  1961          70              1184.00          939.00         2123.00
  1961          71              1103.00          895.00         1998.00
  1961          72              1056.00          853.00         1909.00
  1961          73               992.00          789.00         1781.00
  1961          74               972.00          742.00         1714.00
  1961          75               862.00          646.00         1508.00
  1961          76               804.00          609.00         1413.00
  1961          77               722.00          538.00         1260.00
  1961          78               686.00          504.00         1190.00
  1961          79               591.00          429.00         1020.00
  1961          80               524.02          388.58          912.60
  1961          81               464.31          337.17          801.48
  1961          82               393.47          276.57          670.04
  1961          83               326.59          230.73          557.32
  1961          84               270.97          199.45          470.42
  1961          85               224.79          148.27          373.06
  1961          86               182.53          112.16          294.69
  1961          87               125.25           92.55          217.80
  1961          88                90.81           70.78          161.59
  1961          89                65.20           48.52          113.72
  1961          90                46.06           29.50           75.56
  1961          91                35.48           17.88           53.36
  1961          92                23.28           10.03           33.31
  1961          93                17.41            5.95           23.36
  1961          94                15.45            4.05           19.50
  1961          95                 8.92            2.93           11.85
  1961          96                 4.90            1.53            6.43
  1961          97                 1.95            0.96            2.91
  1961          98                 0.51            0.00            0.51
  1961          99                 0.49            0.00            0.49
  1961         100                 0.00            0.00            0.00
  1961         101                 0.00            0.00            0.00
  1961         102                 0.00            0.00            0.00
  1961         103                 0.00            0.00            0.00
  1961         104                 0.00            0.00            0.00
  1961         105                 0.00            0.00            0.00
  1961         106                 0.00            0.00            0.00
  1961         107                 0.00            0.00            0.00
  1961         108                 0.00            0.00            0.00
  1961         109                 0.00            0.00            0.00
  1961         110+                0.00            0.00            0.00
  1962           0              2490.76         2536.29         5027.05
  1962           1              2484.57         2493.27         4977.84
  1962           2              2395.84         2563.00         4958.84
  1962           3              2358.43         2563.73         4922.16
  1962           4              2346.83         2545.80         4892.63
  1962           5              2444.06         2393.74         4837.80
  1962           6              2286.90         2374.53         4661.43
  1962           7              2348.85         2386.16         4735.01
  1962           8              2223.58         2318.54         4542.12
  1962           9              2223.51         2311.68         4535.19
  1962          10              2023.81         2160.84         4184.65
  1962          11              2079.42         2113.00         4192.42
  1962          12              1983.58         2039.08         4022.66
  1962          13              2025.08         2123.08         4148.16
  1962          14              2024.75         2125.24         4149.99
  1962          15              1991.25         2147.11         4138.36
  1962          16              1838.17         1876.68         3714.85
  1962          17              1959.17         1979.53         3938.70
  1962          18              2041.08         2092.77         4133.85
  1962          19              2122.09         2232.86         4354.95
  1962          20              1972.75         2013.94         3986.69
  1962          21              2055.08         2188.22         4243.30
  1962          22              2134.50         2354.94         4489.44
  1962          23              2186.07         2236.62         4422.69
  1962          24              2059.17         2309.26         4368.43
  1962          25              2112.58         2305.21         4417.79
  1962          26              2135.44         2288.04         4423.48
  1962          27              2185.14         2300.51         4485.65
  1962          28              2163.60         2357.72         4521.32
  1962          29              2225.63         2436.84         4662.47
  1962          30              2384.52         2582.62         4967.14
  1962          31              2549.41         2724.78         5274.19
  1962          32              2435.41         2694.07         5129.48
  1962          33              2408.41         2673.46         5081.87
  1962          34              2428.68         2586.07         5014.75
  1962          35              2383.61         2357.25         4740.86
  1962          36              2326.90         2155.78         4482.68
  1962          37              2373.00         1929.57         4302.57
  1962          38              2397.98         1987.99         4385.97
  1962          39              2219.35         1835.18         4054.53
  1962          40              2282.99         2017.94         4300.93
  1962          41              2416.85         2005.93         4422.78
  1962          42              1967.18         1849.75         3816.93
  1962          43              1565.90         1595.75         3161.65
  1962          44              1656.28         1666.33         3322.61
  1962          45              1740.70         1719.61         3460.31
  1962          46              2027.94         2020.42         4048.36
  1962          47              2303.75         2261.17         4564.92
  1962          48              2269.44         2221.43         4490.87
  1962          49              2393.49         2379.01         4772.50
  1962          50              2297.61         2233.43         4531.04
  1962          51              2261.84         2304.08         4565.92
  1962          52              2298.33         2286.26         4584.59
  1962          53              2381.23         2292.95         4674.18
  1962          54              2357.84         2322.78         4680.62
  1962          55              2299.32         2225.49         4524.81
  1962          56              2233.66         2162.01         4395.67
  1962          57              2207.30         2072.59         4279.89
  1962          58              2100.90         1971.76         4072.66
  1962          59              2250.73         2000.67         4251.40
  1962          60              2059.48         1984.14         4043.62
  1962          61              2021.64         1816.50         3838.14
  1962          62              1925.98         1678.14         3604.12
  1962          63              1812.72         1565.51         3378.23
  1962          64              1742.31         1484.34         3226.65
  1962          65              1658.64         1372.69         3031.33
  1962          66              1595.26         1271.31         2866.57
  1962          67              1478.16         1257.41         2735.57
  1962          68              1451.60         1192.69         2644.29
  1962          69              1280.76         1054.15         2334.91
  1962          70              1205.57          980.87         2186.44
  1962          71              1147.00          893.44         2040.44
  1962          72              1064.18          843.70         1907.88
  1962          73              1014.61          803.89         1818.50
  1962          74               948.98          733.06         1682.04
  1962          75               917.50          688.14         1605.64
  1962          76               803.99          602.37         1406.36
  1962          77               748.12          560.34         1308.46
  1962          78               675.82          488.77         1164.59
  1962          79               634.69          454.51         1089.20
  1962          80               537.58          405.20          942.78
  1962          81               461.55          336.50          798.05
  1962          82               402.26          286.57          688.83
  1962          83               341.79          228.98          570.77
  1962          84               285.06          189.11          474.17
  1962          85               232.28          166.69          398.97
  1962          86               188.28          123.73          312.01
  1962          87               150.48           91.13          241.61
  1962          88               103.68           72.02          175.70
  1962          89                74.83           52.25          127.08
  1962          90                50.58           36.44           87.02
  1962          91                34.06           21.48           55.54
  1962          92                23.48           11.41           34.89
  1962          93                16.29            6.53           22.82
  1962          94                12.91            3.96           16.87
  1962          95                10.43            2.52           12.95
  1962          96                 6.94            1.97            8.91
  1962          97                 2.88            1.01            3.89
  1962          98                 0.49            0.47            0.96
  1962          99                 0.00            0.00            0.00
  1962         100                 0.00            0.00            0.00
  1962         101                 0.00            0.00            0.00
  1962         102                 0.00            0.00            0.00
  1962         103                 0.00            0.00            0.00
  1962         104                 0.00            0.00            0.00
  1962         105                 0.00            0.00            0.00
  1962         106                 0.00            0.00            0.00
  1962         107                 0.00            0.00            0.00
  1962         108                 0.00            0.00            0.00
  1962         109                 0.00            0.00            0.00
  1962         110+                0.00            0.00            0.00
  1963           0              2483.50         2545.44         5028.94
  1963           1              2495.68         2537.23         5032.91
  1963           2              2499.43         2508.11         5007.54
  1963           3              2415.95         2582.35         4998.30
  1963           4              2373.85         2572.50         4946.35
  1963           5              2363.66         2555.50         4919.16
  1963           6              2452.48         2406.53         4859.01
  1963           7              2302.89         2385.14         4688.03
  1963           8              2361.66         2400.17         4761.83
  1963           9              2242.17         2330.67         4572.84
  1963          10              2234.53         2326.37         4560.90
  1963          11              2054.15         2180.16         4234.31
  1963          12              2113.83         2130.00         4243.83
  1963          13              2022.67         2067.65         4090.32
  1963          14              2068.66         2167.66         4236.32
  1963          15              2060.00         2172.00         4232.00
  1963          16              2020.00         2195.71         4215.71
  1963          17              1866.34         1925.36         3791.70
  1963          18              1979.84         2022.06         4001.90
  1963          19              2065.66         2142.04         4207.70
  1963          20              2148.66         2276.62         4425.28
  1963          21              1996.51         2046.11         4042.62
  1963          22              2090.17         2223.97         4314.14
  1963          23              2164.50         2384.19         4548.69
  1963          24              2217.16         2263.91         4481.07
  1963          25              2081.83         2335.86         4417.69
  1963          26              2139.17         2332.49         4471.66
  1963          27              2150.34         2305.64         4455.98
  1963          28              2198.84         2303.88         4502.72
  1963          29              2184.68         2371.00         4555.68
  1963          30              2239.28         2450.83         4690.11
  1963          31              2399.53         2594.03         4993.56
  1963          32              2562.83         2730.62         5293.45
  1963          33              2450.83         2695.59         5146.42
  1963          34              2412.32         2676.98         5089.30
  1963          35              2439.34         2591.13         5030.47
  1963          36              2396.71         2367.98         4764.69
  1963          37              2332.30         2161.54         4493.84
  1963          38              2379.53         1932.65         4312.18
  1963          39              2402.47         1995.99         4398.46
  1963          40              2226.67         1835.86         4062.53
  1963          41              2289.51         2016.84         4306.35
  1963          42              2423.67         1998.83         4422.50
  1963          43              1967.85         1848.99         3816.84
  1963          44              1567.80         1593.50         3161.30
  1963          45              1654.55         1660.69         3315.24
  1963          46              1743.47         1715.68         3459.15
  1963          47              2029.32         2015.84         4045.16
  1963          48              2304.04         2246.34         4550.38
  1963          49              2266.33         2208.33         4474.66
  1963          50              2389.50         2355.51         4745.01
  1963          51              2286.17         2207.33         4493.50
  1963          52              2249.68         2273.16         4522.84
  1963          53              2287.65         2258.49         4546.14
  1963          54              2373.49         2262.36         4635.85
  1963          55              2341.67         2293.52         4635.19
  1963          56              2280.62         2187.97         4468.59
  1963          57              2221.36         2115.47         4336.83
  1963          58              2191.08         2033.15         4224.23
  1963          59              2085.32         1923.47         4008.79
  1963          60              2227.55         1943.37         4170.92
  1963          61              2040.35         1933.68         3974.03
  1963          62              1996.28         1766.43         3762.71
  1963          63              1895.95         1637.28         3533.23
  1963          64              1783.94         1518.49         3302.43
  1963          65              1710.77         1430.20         3140.97
  1963          66              1628.65         1312.28         2940.93
  1963          67              1556.05         1213.51         2769.56
  1963          68              1426.21         1201.83         2628.04
  1963          69              1407.76         1129.22         2536.98
  1963          70              1239.59         1006.90         2246.49
  1963          71              1157.70          922.67         2080.37
  1963          72              1100.84          837.75         1938.59
  1963          73              1019.47          787.88         1807.35
  1963          74               954.32          752.70         1707.02
  1963          75               887.54          673.80         1561.34
  1963          76               850.87          625.08         1475.95
  1963          77               738.38          543.28         1281.66
  1963          78               686.79          490.61         1177.40
  1963          79               611.85          429.76         1041.61
  1963          80               561.05          399.24          960.29
  1963          81               473.58          344.39          817.97
  1963          82               398.04          281.45          679.49
  1963          83               340.73          241.23          581.96
  1963          84               289.61          195.94          485.55
  1963          85               236.92          150.84          387.76
  1963          86               186.20          127.09          313.29
  1963          87               147.79           92.61          240.40
  1963          88               119.35           65.09          184.44
  1963          89                81.19           49.93          131.12
  1963          90                55.15           34.58           89.73
  1963          91                38.09           22.46           60.55
  1963          92                22.56           14.48           37.04
  1963          93                13.48            7.91           21.39
  1963          94                 9.80            4.53           14.33
  1963          95                 8.38            2.45           10.83
  1963          96                 7.43            0.48            7.91
  1963          97                 4.96            0.00            4.96
  1963          98                 2.39            0.53            2.92
  1963          99                 0.49            0.47            0.96
  1963         100                 0.00            0.00            0.00
  1963         101                 0.00            0.00            0.00
  1963         102                 0.00            0.00            0.00
  1963         103                 0.00            0.00            0.00
  1963         104                 0.00            0.00            0.00
  1963         105                 0.00            0.00            0.00
  1963         106                 0.00            0.00            0.00
  1963         107                 0.00            0.00            0.00
  1963         108                 0.00            0.00            0.00
  1963         109                 0.00            0.00            0.00
  1963         110+                0.00            0.00            0.00
  1964           0              2448.01         2590.88         5038.89
  1964           1              2491.54         2538.28         5029.82
  1964           2              2513.02         2557.34         5070.36
  1964           3              2518.42         2521.77         5040.19
  1964           4              2437.01         2601.78         5038.79
  1964           5              2389.27         2581.21         4970.48
  1964           6              2380.49         2564.22         4944.71
  1964           7              2462.48         2419.84         4882.32
  1964           8              2319.79         2396.23         4716.02
  1964           9              2374.51         2416.25         4790.76
  1964          10              2261.75         2344.24         4605.99
  1964          11              2244.49         2340.56         4585.05
  1964          12              2083.52         2200.47         4283.99
  1964          13              2149.25         2147.50         4296.75
  1964          14              2062.75         2096.74         4159.49
  1964          15              2112.25         2212.26         4324.51
  1964          16              2094.75         2216.25         4311.00
  1964          17              2048.76         2242.30         4291.06
  1964          18              1896.01         1972.55         3868.56
  1964          19              2001.01         2060.11         4061.12
  1964          20              2089.24         2186.15         4275.39
  1964          21              2175.24         2317.47         4492.71
  1964          22              2019.75         2073.20         4092.95
  1964          23              2124.26         2255.82         4380.08
  1964          24              2194.01         2412.43         4606.44
  1964          25              2247.73         2291.75         4539.48
  1964          26              2104.00         2363.96         4467.96
  1964          27              2165.75         2360.26         4526.01
  1964          28              2166.76         2323.25         4490.01
  1964          29              2212.50         2308.31         4520.81
  1964          30              2204.28         2384.74         4589.02
  1964          31              2254.45         2463.81         4718.26
  1964          32              2415.51         2605.98         5021.49
  1964          33              2575.75         2739.00         5314.75
  1964          34              2465.75         2700.12         5165.87
  1964          35              2416.24         2683.04         5099.28
  1964          36              2453.02         2594.08         5047.10
  1964          37              2410.77         2376.26         4787.03
  1964          38              2337.73         2165.78         4503.51
  1964          39              2386.52         1931.73         4318.25
  1964          40              2406.47         2000.53         4407.00
  1964          41              2231.96         1833.04         4065.00
  1964          42              2293.57         2016.26         4309.83
  1964          43              2428.47         1992.74         4421.21
  1964          44              1965.52         1846.75         3812.27
  1964          45              1570.73         1591.28         3162.01
  1964          46              1652.28         1656.03         3308.31
  1964          47              1740.73         1713.28         3454.01
  1964          48              2028.75         2011.77         4040.52
  1964          49              2299.25         2233.04         4532.29
  1964          50              2253.78         2198.27         4452.05
  1964          51              2378.49         2333.05         4711.54
  1964          52              2269.25         2184.28         4453.53
  1964          53              2232.51         2248.28         4480.79
  1964          54              2273.99         2233.29         4507.28
  1964          55              2362.75         2225.81         4588.56
  1964          56              2327.04         2256.81         4583.85
  1964          57              2264.87         2153.00         4417.87
  1964          58              2200.03         2073.01         4273.04
  1964          59              2169.94         1991.79         4161.73
  1964          60              2067.30         1869.35         3936.65
  1964          61              2193.79         1884.05         4077.84
  1964          62              2015.73         1882.83         3898.56
  1964          63              1970.92         1704.98         3675.90
  1964          64              1863.92         1586.45         3450.37
  1964          65              1748.32         1471.68         3220.00
  1964          66              1674.57         1376.05         3050.62
  1964          67              1597.69         1259.89         2857.58
  1964          68              1517.28         1161.43         2678.71
  1964          69              1379.25         1148.76         2528.01
  1964          70              1362.12         1067.57         2429.69
  1964          71              1192.27          945.70         2137.97
  1964          72              1106.83          861.85         1968.68
  1964          73              1048.72          787.77         1836.49
  1964          74               966.25          728.66         1694.91
  1964          75               897.01          695.29         1592.30
  1964          76               829.63          613.85         1443.48
  1964          77               783.58          570.62         1354.20
  1964          78               673.89          490.85         1164.74
  1964          79               626.34          438.75         1065.09
  1964          80               563.52          388.76          952.28
  1964          81               502.58          343.70          846.28
  1964          82               409.17          291.83          701.00
  1964          83               339.83          232.90          572.73
  1964          84               293.73          196.17          489.90
  1964          85               241.91          159.64          401.55
  1964          86               196.34          121.83          318.17
  1964          87               157.65          103.05          260.70
  1964          88               116.37           77.59          193.96
  1964          89                86.28           52.59          138.87
  1964          90                62.03           40.37          102.40
  1964          91                45.16           28.56           73.72
  1964          92                27.08           15.45           42.53
  1964          93                14.07           10.00           24.07
  1964          94                 9.48            5.41           14.89
  1964          95                 6.27            3.04            9.31
  1964          96                 5.89            1.93            7.82
  1964          97                 5.94            0.00            5.94
  1964          98                 3.96            0.00            3.96
  1964          99                 1.39            0.53            1.92
  1964         100                 0.00            0.47            0.47
  1964         101                 0.00            0.00            0.00
  1964         102                 0.00            0.00            0.00
  1964         103                 0.00            0.00            0.00
  1964         104                 0.00            0.00            0.00
  1964         105                 0.00            0.00            0.00
  1964         106                 0.00            0.00            0.00
  1964         107                 0.00            0.00            0.00
  1964         108                 0.00            0.00            0.00
  1964         109                 0.00            0.00            0.00
  1964         110+                0.00            0.00            0.00
  1965           0              2442.72         2694.98         5137.70
  1965           1              2475.37         2612.71         5088.08
  1965           2              2510.72         2546.97         5057.69
  1965           3              2534.54         2577.47         5112.01
  1965           4              2539.42         2535.82         5075.24
  1965           5              2459.03         2620.25         5079.28
  1965           6              2404.68         2591.46         4996.14
  1965           7              2397.33         2575.46         4972.79
  1965           8              2472.48         2434.08         4906.56
  1965           9              2337.20         2406.29         4743.49
  1965          10              2387.85         2430.36         4818.21
  1965          11              2281.33         2357.33         4638.66
  1965          12              2255.48         2354.21         4609.69
  1965          13              2113.37         2219.82         4333.19
  1965          14              2184.16         2165.00         4349.16
  1965          15              2102.84         2125.83         4228.67
  1965          16              2155.83         2256.36         4412.19
  1965          17              2129.00         2260.49         4389.49
  1965          18              2077.51         2288.90         4366.41
  1965          19              1925.67         2019.73         3945.40
  1965          20              2021.15         2101.04         4122.19
  1965          21              2111.84         2233.92         4345.76
  1965          22              2201.82         2360.32         4562.14
  1965          23              2044.00         2101.27         4145.27
  1965          24              2158.34         2286.11         4444.45
  1965          25              2222.51         2441.29         4663.80
  1965          26              2278.33         2321.54         4599.87
  1965          27              2127.17         2393.63         4520.80
  1965          28              2193.33         2389.99         4583.32
  1965          29              2183.16         2340.30         4523.46
  1965          30              2225.14         2311.79         4536.93
  1965          31              2222.89         2397.43         4620.32
  1965          32              2269.14         2474.79         4743.93
  1965          33              2432.50         2614.91         5047.41
  1965          34              2589.65         2740.78         5330.43
  1965          35              2478.65         2702.37         5181.02
