Latvia, Population size (abridged)	Last modified: 20 Sep 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1959           0             16428.16        17464.30        33892.46
  1959           1             15923.66        16954.61        32878.27
  1959           2             15853.64        16321.73        32175.37
  1959           3             16005.11        16410.48        32415.59
  1959           4             15817.55        16396.33        32213.88
  1959           5             14647.78        15392.96        30040.74
  1959           6             15183.03        15757.96        30940.99
  1959           7             15212.64        15819.72        31032.36
  1959           8             15094.72        15922.87        31017.59
  1959           9             15744.99        15991.73        31736.72
  1959          10             15591.92        16251.29        31843.21
  1959          11             14776.51        15204.07        29980.58
  1959          12             13729.88        14163.96        27893.84
  1959          13             13135.30        13383.90        26519.20
  1959          14             14169.24        14345.96        28515.20
  1959          15             15059.22        15293.30        30352.52
  1959          16             16577.47        16296.35        32873.82
  1959          17             18001.64        18014.45        36016.09
  1959          18             17915.41        17453.41        35368.82
  1959          19             17903.11        17787.20        35690.31
  1959          20             18868.13        18040.40        36908.53
  1959          21             18163.60        17197.51        35361.11
  1959          22             18411.37        16842.39        35253.76
  1959          23             17261.01        16038.30        33299.31
  1959          24             16673.25        15311.77        31985.02
  1959          25             17363.39        15865.31        33228.70
  1959          26             18986.15        17518.79        36504.94
  1959          27             18085.74        17264.68        35350.42
  1959          28             19964.60        18606.74        38571.34
  1959          29             18209.53        16949.76        35159.29
  1959          30             21515.40        18011.55        39526.95
  1959          31             19225.43        16222.40        35447.83
  1959          32             21128.42        13746.66        34875.08
  1959          33             20218.74        12228.62        32447.36
  1959          34             19475.31        11241.55        30716.86
  1959          35             19741.71        11344.91        31086.62
  1959          36             18507.22        10859.61        29366.83
  1959          37             15546.34        10343.05        25889.39
  1959          38             14841.92        10025.04        24866.96
  1959          39             12318.63         8555.09        20873.72
  1959          40             13567.88         9124.31        22692.19
  1959          41              9736.52         6996.38        16732.90
  1959          42             11688.30         8054.53        19742.83
  1959          43             12915.78         8866.16        21781.94
  1959          44             15738.15        10515.60        26253.75
  1959          45             15855.96        11198.18        27054.14
  1959          46             16683.31        11825.24        28508.55
  1959          47             15804.22        11410.40        27214.62
  1959          48             17027.21        12228.48        29255.69
  1959          49             15499.03        11167.14        26666.17
  1959          50             16460.44        11621.29        28081.73
  1959          51             15051.81        11981.11        27032.92
  1959          52             15884.23        12423.46        28307.69
  1959          53             14836.45        11764.28        26600.73
  1959          54             15235.46        11836.47        27071.93
  1959          55             15169.12        10890.06        26059.18
  1959          56             15249.53        10419.27        25668.80
  1959          57             13239.37         8626.35        21865.72
  1959          58             16241.47         9164.47        25405.94
  1959          59             12380.67         7161.86        19542.53
  1959          60             14022.75         7369.41        21392.16
  1959          61             11425.94         6258.54        17684.48
  1959          62             12318.17         6498.53        18816.70
  1959          63             12046.65         6430.30        18476.95
  1959          64             11229.99         6294.67        17524.66
  1959          65             10825.32         5987.33        16812.65
  1959          66             10292.86         5792.39        16085.25
  1959          67             10022.33         5330.35        15352.68
  1959          68             10674.69         5457.29        16131.98
  1959          69              8891.70         4539.33        13431.03
  1959          70             10613.12         5121.87        15734.99
  1959          71              7404.29         3980.27        11384.56
  1959          72              8156.97         4065.10        12222.07
  1959          73              7806.06         3863.52        11669.58
  1959          74              7064.72         3757.27        10821.99
  1959          75              6934.09         3757.85        10691.94
  1959          76              6223.09         3161.29         9384.38
  1959          77              5391.34         2685.90         8077.24
  1959          78              5645.44         2660.93         8306.37
  1959          79              4204.33         2085.18         6289.51
  1959          80              4134.03         1908.93         6042.96
  1959          81              3625.79         1659.87         5285.66
  1959          82              3140.17         1441.93         4582.10
  1959          83              2883.81         1236.92         4120.73
  1959          84              2435.59         1044.59         3480.18
  1959          85              2004.00          887.42         2891.42
  1959          86              1709.27          719.39         2428.66
  1959          87              1420.74          545.10         1965.84
  1959          88              1131.77          414.81         1546.58
  1959          89               855.99          306.41         1162.40
  1959          90               647.51          244.70          892.21
  1959          91               517.08          199.11          716.19
  1959          92               413.28          155.12          568.40
  1959          93               326.72          124.25          450.97
  1959          94               250.56          100.75          351.31
  1959          95               196.31           83.72          280.03
  1959          96               136.60           61.60          198.20
  1959          97                94.80           46.41          141.21
  1959          98                67.00           36.68          103.68
  1959          99                46.47           28.94           75.41
  1959         100                31.88           22.66           54.54
  1959         101                21.47           17.23           38.70
  1959         102                13.23           13.25           26.48
  1959         103                 8.08           10.38           18.46
  1959         104                 5.19            8.03           13.22
  1959         105                 3.38            6.12            9.50
  1959         106                 2.15            4.60            6.75
  1959         107                 1.33            3.40            4.73
  1959         108                 0.80            2.48            3.28
  1959         109                 0.27            1.78            2.05
  1959         110+                0.00            2.74            2.74
  1960           0             16791.52        17456.44        34247.96
  1960           1             16320.07        17300.19        33620.26
  1960           2             15893.05        16917.62        32810.67
  1960           3             15832.73        16296.80        32129.53
  1960           4             15990.86        16392.31        32383.17
  1960           5             15806.37        16379.73        32186.10
  1960           6             14637.98        15375.90        30013.88
  1960           7             15173.72        15739.87        30913.59
  1960           8             15204.23        15801.60        31005.83
  1960           9             15087.21        15905.26        30992.47
  1960          10             15738.44        15975.50        31713.94
  1960          11             15585.89        16235.94        31821.83
  1960          12             14770.65        15189.17        29959.82
  1960          13             13723.69        14148.77        27872.46
  1960          14             13128.28        13367.67        26495.95
  1960          15             14160.91        14328.13        28489.04
  1960          16             15049.30        15272.87        30322.17
  1960          17             16565.83        16272.86        32838.69
