Netherlands, Population size (abridged)	Last modified: 10 May 2018;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1850           0             39671.00        40920.00        80591.00
  1850           1             33995.00        34490.00        68485.00
  1850           2             31863.00        31926.00        63789.00
  1850           3             31733.00        32211.00        63944.00
  1850           4             34595.00        34874.00        69469.00
  1850           5             35175.00        36191.00        71366.00
  1850           6             34121.00        34737.00        68858.00
  1850           7             34071.00        34407.00        68478.00
  1850           8             33572.00        34626.00        68198.00
  1850           9             34217.00        34662.00        68879.00
  1850          10             34102.00        34636.00        68738.00
  1850          11             33273.00        33463.00        66736.00
  1850          12             32497.00        32930.00        65427.00
  1850          13             31557.00        32596.00        64153.00
  1850          14             31710.00        31989.00        63699.00
  1850          15             29671.00        29830.00        59501.00
  1850          16             29772.00        30162.00        59934.00
  1850          17             27055.00        26695.00        53750.00
  1850          18             26403.00        26766.00        53169.00
  1850          19             28869.00        28214.00        57083.00
  1850          20             29382.00        28396.00        57778.00
  1850          21             26648.00        26392.00        53040.00
  1850          22             26613.00        25472.00        52085.00
  1850          23             28418.00        27081.00        55499.00
  1850          24             28675.00        27102.00        55777.00
  1850          25             28649.00        28203.00        56852.00
  1850          26             27548.00        26437.00        53985.00
  1850          27             26021.00        25646.00        51667.00
  1850          28             25001.00        24140.00        49141.00
  1850          29             23450.00        22484.00        45934.00
  1850          30             25064.00        23911.00        48975.00
  1850          31             21002.00        20516.00        41518.00
  1850          32             21278.00        20642.00        41920.00
  1850          33             22722.00        21678.00        44400.00
  1850          34             21147.00        20617.00        41764.00
  1850          35             20512.00        19656.00        40168.00
  1850          36             20389.00        19474.00        39863.00
  1850          37             18722.00        18110.00        36832.00
  1850          38             19931.00        18968.00        38899.00
  1850          39             19098.00        17878.00        36976.00
  1850          40             18426.00        17251.00        35677.00
  1850          41             15606.00        15223.00        30829.00
  1850          42             17152.00        16059.00        33211.00
  1850          43             16695.00        15892.00        32587.00
  1850          44             16733.00        15885.00        32618.00
  1850          45             16309.00        15501.00        31810.00
  1850          46             16258.00        15524.00        31782.00
  1850          47             16255.00        15490.00        31745.00
  1850          48             16268.00        14998.00        31266.00
  1850          49             17314.00        15713.00        33027.00
  1850          50             16900.00        15804.00        32704.00
  1850          51             14121.00        13639.00        27760.00
  1850          52             14531.00        13660.00        28191.00
  1850          53             13440.00        12297.00        25737.00
  1850          54             13384.00        11344.00        24728.00
  1850          55             12519.00        10961.00        23480.00
  1850          56             12330.00        10579.00        22909.00
  1850          57             11989.00        10253.00        22242.00
  1850          58             11359.00         9628.00        20987.00
  1850          59             11442.00         8871.00        20313.00
  1850          60             11190.00         8414.00        19604.00
  1850          61              9932.00         8120.00        18052.00
  1850          62             10546.00         8911.00        19457.00
  1850          63              9301.00         7600.00        16901.00
  1850          64              8928.00         7163.00        16091.00
  1850          65              8168.00         6572.00        14740.00
  1850          66              7327.00         5910.00        13237.00
  1850          67              6315.00         5101.00        11416.00
  1850          68              5696.00         4516.00        10212.00
  1850          69              6354.00         5077.00        11431.00
  1850          70              5891.00         4504.00        10395.00
  1850          71              4435.00         3545.00         7980.00
  1850          72              4826.00         3998.00         8824.00
  1850          73              4110.00         3220.00         7330.00
  1850          74              3953.00         3095.00         7048.00
  1850          75              3702.00         2891.00         6593.00
  1850          76              3143.00         2565.00         5708.00
  1850          77              2916.00         2299.00         5215.00
  1850          78              2388.00         1724.00         4112.00
  1850          79              2459.00         1812.00         4271.00
  1850          80              1825.00         1347.00         3172.00
  1850          81              1530.00         1169.00         2699.00
  1850          82              1274.00         1001.00         2275.00
  1850          83              1047.00          809.00         1856.00
  1850          84               808.00          602.00         1410.00
  1850          85               664.00          497.00         1161.00
  1850          86               539.00          409.00          948.00
  1850          87               404.00          298.00          702.00
  1850          88               280.00          221.00          501.00
  1850          89               236.00          185.00          421.00
  1850          90               180.00          115.00          295.00
  1850          91                98.00           76.00          174.00
  1850          92                81.47           58.00          139.47
  1850          93                57.53           47.17          104.70
  1850          94                53.00           22.83           75.83
  1850          95                32.55           24.00           56.55
  1850          96                24.42           11.00           35.42
  1850          97                14.03            9.00           23.03
  1850          98                 5.23            3.00            8.23
  1850          99                 4.77            3.00            7.77
  1850         100                 1.65            0.00            1.65
  1850         101                 1.01            0.00            1.01
  1850         102                 0.34            0.00            0.34
  1850         103                 0.00            0.00            0.00
  1850         104                 0.00            0.00            0.00
  1850         105                 0.00            0.00            0.00
  1850         106                 0.00            0.00            0.00
  1850         107                 0.00            0.00            0.00
  1850         108                 0.00            0.00            0.00
  1850         109                 0.00            0.00            0.00
  1850         110+                0.00            0.00            0.00
  1851           0             45744.00        47331.00        93075.00
  1851           1             35782.00        36455.00        72237.00
  1851           2             32587.00        32983.00        65570.00
  1851           3             31050.00        31048.00        62098.00
  1851           4             31207.00        31644.00        62851.00
  1851           5             34166.00        34402.00        68568.00
  1851           6             34776.00        35774.00        70550.00
  1851           7             33830.00        34434.00        68264.00
  1851           8             33821.00        34142.00        67963.00
  1851           9             33347.00        34402.00        67749.00
  1851          10             34005.00        34469.00        68474.00
  1851          11             33916.00        34457.00        68373.00
  1851          12             33110.00        33321.00        66431.00
  1851          13             32355.00        32800.00        65155.00
  1851          14             31399.00        32461.00        63860.00
  1851          15             31529.00        31864.00        63393.00
  1851          16             29508.00        29709.00        59217.00
  1851          17             29609.00        30031.00        59640.00
  1851          18             26884.00        26519.00        53403.00
  1851          19             26228.00        26567.00        52795.00
  1851          20             28671.00        27989.00        56660.00
  1851          21             29188.00        28154.00        57342.00
  1851          22             26440.00        26148.00        52588.00
  1851          23             26402.00        25223.00        51625.00
  1851          24             28205.00        26854.00        55059.00
  1851          25             28457.00        26873.00        55330.00
  1851          26             28389.00        27951.00        56340.00
  1851          27             27294.00        26191.00        53485.00
  1851          28             25746.00        25421.00        51167.00
  1851          29             24726.00        23920.00        48646.00
  1851          30             23194.00        22266.00        45460.00
  1851          31             24820.00        23722.00        48542.00
  1851          32             20743.00        20326.00        41069.00
  1851          33             21006.00        20429.00        41435.00
  1851          34             22439.00        21467.00        43906.00
