Netherlands, Life tables (period 1x1), Males	Last modified: 10 May 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1850           0      0.24315  0.20775  0.30  100000   20775   85440  3889045  38.89
  1850           1      0.06750  0.06529  0.50   79225    5173   76639  3803605  48.01
  1850           2      0.03337  0.03282  0.50   74052    2430   72837  3726966  50.33
  1850           3      0.02028  0.02008  0.50   71622    1438   70903  3654129  51.02
  1850           4      0.01551  0.01539  0.50   70184    1080   69644  3583226  51.05
  1850           5      0.01192  0.01185  0.50   69104     819   68694  3513582  50.85
  1850           6      0.00948  0.00944  0.50   68285     644   67963  3444887  50.45
  1850           7      0.00811  0.00807  0.50   67641     546   67368  3376925  49.92
  1850           8      0.00718  0.00715  0.50   67095     480   66855  3309557  49.33
  1850           9      0.00605  0.00603  0.50   66615     402   66414  3242702  48.68
  1850          10      0.00536  0.00534  0.50   66213     354   66036  3176288  47.97
  1850          11      0.00477  0.00476  0.50   65859     313   65703  3110252  47.23
  1850          12      0.00417  0.00416  0.50   65546     272   65410  3044549  46.45
  1850          13      0.00367  0.00366  0.50   65274     239   65154  2979140  45.64
  1850          14      0.00419  0.00418  0.50   65034     272   64899  2913986  44.81
  1850          15      0.00415  0.00414  0.50   64763     268   64629  2849087  43.99
  1850          16      0.00398  0.00397  0.50   64494     256   64366  2784459  43.17
  1850          17      0.00525  0.00524  0.50   64239     337   64070  2720092  42.34
  1850          18      0.00721  0.00718  0.50   63902     459   63673  2656022  41.56
  1850          19      0.00752  0.00749  0.50   63443     475   63205  2592349  40.86
  1850          20      0.00826  0.00823  0.50   62968     518   62709  2529144  40.17
  1850          21      0.00902  0.00898  0.50   62450     561   62169  2466435  39.49
  1850          22      0.00953  0.00948  0.50   61889     587   61595  2404266  38.85
  1850          23      0.00918  0.00913  0.50   61302     560   61022  2342671  38.22
  1850          24      0.00819  0.00816  0.50   60742     495   60494  2281649  37.56
  1850          25      0.00922  0.00918  0.50   60246     553   59970  2221154  36.87
  1850          26      0.00894  0.00890  0.50   59693     531   59428  2161184  36.20
  1850          27      0.00937  0.00933  0.50   59162     552   58886  2101757  35.53
  1850          28      0.00904  0.00900  0.50   58610     527   58347  2042870  34.86
  1850          29      0.00922  0.00918  0.50   58083     533   57816  1984524  34.17
  1850          30      0.00888  0.00884  0.50   57550     509   57295  1926707  33.48
  1850          31      0.00823  0.00819  0.50   57041     467   56807  1869412  32.77
  1850          32      0.00991  0.00986  0.50   56574     558   56295  1812605  32.04
  1850          33      0.01050  0.01044  0.50   56016     585   55723  1756310  31.35
