NorwayPopulation size (abridged)	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1846           0             17990.00        18382.00        36372.00
  1846           1             16132.00        16699.00        32831.00
  1846           2             16404.00        17089.00        33493.00
  1846           3             17564.00        17337.00        34901.00
  1846           4             16352.00        16367.00        32719.00
  1846           5             14538.00        14412.00        28950.00
  1846           6             13426.00        13563.00        26989.00
  1846           7             13531.00        13824.00        27355.00
  1846           8             13664.00        13985.00        27649.00
  1846           9             13746.00        13956.00        27702.00
  1846          10             14814.00        15139.00        29953.00
  1846          11             14058.00        14367.00        28425.00
  1846          12             13270.00        13702.00        26972.00
  1846          13             12576.00        13403.00        25979.00
  1846          14             12784.00        13423.00        26207.00
  1846          15             13245.00        13592.00        26837.00
  1846          16             13463.00        13974.00        27437.00
  1846          17             12698.00        12862.00        25560.00
  1846          18             12644.00        12756.00        25400.00
  1846          19             13630.00        13669.00        27299.00
  1846          20             13546.00        13064.00        26610.00
  1846          21             12824.00        12105.00        24929.00
  1846          22             13202.00        12586.00        25788.00
  1846          23             12772.00        12031.00        24803.00
  1846          24             13222.00        12347.00        25569.00
  1846          25             12396.00        11613.00        24009.00
  1846          26             11615.00        10849.00        22464.00
  1846          27             10768.00        10257.00        21025.00
  1846          28             11095.00        10488.00        21583.00
  1846          29             11539.00        10963.00        22502.00
  1846          30              9605.00         9208.00        18813.00
  1846          31              7424.00         7251.00        14675.00
  1846          32              7771.00         7528.00        15299.00
  1846          33              8537.00         8388.00        16925.00
  1846          34              7770.00         7673.00        15443.00
  1846          35              7293.00         7374.00        14667.00
  1846          36              6082.00         5968.00        12050.00
  1846          37              7515.00         7315.00        14830.00
  1846          38              7784.00         7699.00        15483.00
  1846          39              7716.00         7759.00        15475.00
  1846          40              7523.00         7341.00        14864.00
  1846          41              6664.00         6512.00        13176.00
  1846          42              7032.00         6685.00        13717.00
  1846          43              6441.00         6069.00        12510.00
  1846          44              7041.00         6754.00        13795.00
  1846          45              7040.00         6690.00        13730.00
  1846          46              6999.00         6607.00        13606.00
  1846          47              6783.00         6386.00        13169.00
  1846          48              6729.00         6305.00        13034.00
  1846          49              6364.00         5928.00        12292.00
  1846          50              6412.00         5946.00        12358.00
  1846          51              6539.00         6029.00        12568.00
  1846          52              6441.00         5930.00        12371.00
  1846          53              6423.00         5868.00        12291.00
  1846          54              5913.00         5371.00        11284.00
  1846          55              5635.00         5095.00        10730.00
  1846          56              5240.00         4709.00         9949.00
  1846          57              5097.00         4571.00         9668.00
  1846          58              4679.00         4151.00         8830.00
  1846          59              4712.00         4143.00         8855.00
  1846          60              4329.00         3699.00         8028.00
  1846          61              4406.00         3731.00         8137.00
  1846          62              3837.00         3214.00         7051.00
  1846          63              4103.00         3413.00         7516.00
  1846          64              3971.00         3277.00         7248.00
  1846          65              3890.00         3182.00         7072.00
  1846          66              3441.00         2777.00         6218.00
  1846          67              3362.00         2687.00         6049.00
  1846          68              3175.00         2501.00         5676.00
  1846          69              2737.00         2125.00         4862.00
  1846          70              3030.00         2362.00         5392.00
  1846          71              2309.00         1830.00         4139.00
  1846          72              1908.00         1507.00         3415.00
  1846          73              1985.00         1568.00         3553.00
  1846          74              2028.00         1580.00         3608.00
  1846          75              1854.00         1423.00         3277.00
  1846          76              1748.00         1307.00         3055.00
  1846          77              1491.00         1109.00         2600.00
  1846          78              1427.00         1040.00         2467.00
  1846          79              1222.00          893.00         2115.00
  1846          80              1289.00          879.00         2168.00
  1846          81              1186.00          812.00         1998.00
  1846          82              1064.00          719.00         1783.00
  1846          83               925.00          629.00         1554.00
  1846          84               794.00          520.00         1314.00
  1846          85               682.00          424.00         1106.00
  1846          86               574.00          335.00          909.00
  1846          87               458.00          263.00          721.00
  1846          88               372.00          197.00          569.00
  1846          89               287.00          163.00          450.00
  1846          90               210.00          115.00          325.00
  1846          91               171.00           96.00          267.00
  1846          92               144.00           74.00          218.00
  1846          93               117.00           54.00          171.00
  1846          94                90.00           45.00          135.00
  1846          95                75.00           39.00          114.00
  1846          96                55.00           20.00           75.00
  1846          97                37.00           17.00           54.00
  1846          98                31.00           13.00           44.00
  1846          99                21.00           10.00           31.00
  1846         100                10.00            4.00           14.00
  1846         101                 7.00            3.00           10.00
  1846         102                 5.00            1.00            6.00
  1846         103                 3.00            1.00            4.00
  1846         104                 2.00            0.00            2.00
  1846         105                 1.00            0.00            1.00
  1846         106                 0.00            0.00            0.00
  1846         107                 0.00            0.00            0.00
  1846         108                 0.00            0.00            0.00
  1846         109                 0.00            0.00            0.00
  1846         110+                0.00            0.00            0.00
  1847           0             18742.00        19544.00        38286.00
  1847           1             16949.00        17265.00        34214.00
  1847           2             15692.00        16232.00        31924.00
  1847           3             15986.00        16677.00        32663.00
