Norway, Life tables (period 1x1), Females	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1846           0      0.10950  0.10185  0.31  100000   10185   93014  4967494  49.67
  1846           1      0.04984  0.04862  0.50   89815    4367   87632  4874480  54.27
  1846           2      0.02793  0.02755  0.50   85448    2354   84271  4786848  56.02
  1846           3      0.02050  0.02029  0.50   83094    1686   82251  4702577  56.59
  1846           4      0.01396  0.01386  0.50   81408    1128   80844  4620326  56.75
  1846           5      0.00995  0.00990  0.50   80280     795   79883  4539481  56.55
  1846           6      0.00861  0.00857  0.50   79485     682   79144  4459599  56.11
  1846           7      0.00735  0.00732  0.50   78804     577   78515  4380454  55.59
  1846           8      0.00628  0.00626  0.50   78227     490   77982  4301939  54.99
  1846           9      0.00457  0.00456  0.50   77737     355   77560  4223957  54.34
  1846          10      0.00312  0.00311  0.50   77382     241   77262  4146398  53.58
  1846          11      0.00280  0.00280  0.50   77141     216   77033  4069136  52.75
  1846          12      0.00284  0.00284  0.50   76925     218   76816  3992103  51.90
  1846          13      0.00335  0.00334  0.50   76707     257   76579  3915287  51.04
  1846          14      0.00365  0.00364  0.50   76450     279   76311  3838708  50.21
  1846          15      0.00383  0.00382  0.50   76172     291   76026  3762397  49.39
  1846          16      0.00380  0.00379  0.50   75881     288   75737  3686371  48.58
  1846          17      0.00362  0.00361  0.50   75593     273   75457  3610634  47.76
  1846          18      0.00382  0.00381  0.50   75320     287   75177  3535177  46.94
  1846          19      0.00460  0.00459  0.50   75033     344   74861  3460001  46.11
  1846          20      0.00519  0.00518  0.50   74689     387   74495  3385140  45.32
  1846          21      0.00540  0.00539  0.50   74302     400   74102  3310644  44.56
  1846          22      0.00541  0.00539  0.50   73902     398   73702  3236542  43.80
  1846          23      0.00558  0.00557  0.50   73503     409   73299  3162840  43.03
  1846          24      0.00570  0.00568  0.50   73094     415   72886  3089541  42.27
  1846          25      0.00567  0.00565  0.50   72679     411   72473  3016655  41.51
  1846          26      0.00593  0.00591  0.50   72268     427   72054  2944182  40.74
  1846          27      0.00632  0.00630  0.50   71841     452   71615  2872127  39.98
  1846          28      0.00633  0.00631  0.50   71388     450   71163  2800513  39.23
  1846          29      0.00629  0.00627  0.50   70938     445   70716  2729349  38.47
  1846          30      0.00650  0.00648  0.50   70494     457   70265  2658633  37.71
  1846          31      0.00758  0.00755  0.50   70037     529   69773  2588368  36.96
  1846          32      0.00875  0.00871  0.50   69508     606   69205  2518595  36.23
  1846          33      0.00809  0.00806  0.50   68903     555   68625  2449390  35.55
  1846          34      0.00766  0.00763  0.50   68348     522   68087  2380765  34.83
  1846          35      0.00835  0.00832  0.50   67826     564   67544  2312678  34.10
  1846          36      0.00918  0.00914  0.50   67262     615   66954  2245134  33.38
  1846          37      0.00871  0.00868  0.50   66647     578   66358  2178179  32.68
  1846          38      0.00762  0.00759  0.50   66069     501   65818  2111821  31.96
  1846          39      0.00835  0.00832  0.50   65568     545   65295  2046003  31.20
  1846          40      0.00889  0.00885  0.50   65022     576   64734  1980708  30.46
  1846          41      0.00890  0.00886  0.50   64447     571   64161  1915974  29.73
  1846          42      0.00965  0.00960  0.50   63876     613   63569  1851813  28.99
  1846          43      0.00987  0.00983  0.50   63263     622   62952  1788243  28.27
  1846          44      0.00995  0.00990  0.50   62641     620   62331  1725291  27.54
  1846          45      0.00932  0.00927  0.50   62021     575   61733  1662961  26.81
  1846          46      0.00915  0.00911  0.50   61446     560   61166  1601227  26.06
  1846          47      0.00970  0.00965  0.50   60886     588   60592  1540061  25.29
  1846          48      0.00991  0.00986  0.50   60298     595   60001  1479469  24.54
  1846          49      0.01155  0.01148  0.50   59704     685   59361  1419468  23.78
  1846          50      0.01239  0.01232  0.50   59018     727   58655  1360107  23.05
  1846          51      0.01158  0.01151  0.50   58291     671   57956  1301453  22.33
  1846          52      0.01319  0.01310  0.50   57620     755   57243  1243497  21.58
  1846          53      0.01394  0.01384  0.50   56865     787   56472  1186254  20.86
  1846          54      0.01470  0.01459  0.50   56078     818   55669  1129783  20.15
  1846          55      0.01649  0.01635  0.50   55260     904   54808  1074114  19.44
  1846          56      0.01658  0.01645  0.50   54356     894   53909  1019306  18.75
  1846          57      0.01654  0.01640  0.50   53462     877   53024   965396  18.06
  1846          58      0.01790  0.01774  0.50   52585     933   52119   912372  17.35
  1846          59      0.02466  0.02436  0.50   51652    1258   51023   860253  16.65
  1846          60      0.02723  0.02686  0.50   50394    1354   49717   809230  16.06
  1846          61      0.02310  0.02284  0.50   49041    1120   48481   759513  15.49
  1846          62      0.02580  0.02547  0.50   47921    1220   47310   711032  14.84
  1846          63      0.03000  0.02956  0.50   46700    1380   46010   663722  14.21
  1846          64      0.03050  0.03004  0.50   45320    1361   44639   617712  13.63
  1846          65      0.03160  0.03111  0.50   43958    1368   43275   573073  13.04
  1846          66      0.03386  0.03330  0.50   42591    1418   41882   529798  12.44
  1846          67      0.03737  0.03668  0.50   41173    1510   40418   487916  11.85
  1846          68      0.03934  0.03858  0.50   39662    1530   38897   447499  11.28
  1846          69      0.04629  0.04524  0.50   38132    1725   37270   408601  10.72
  1846          70      0.04498  0.04399  0.50   36407    1602   35606   371331  10.20
  1846          71      0.04440  0.04344  0.50   34805    1512   34049   335725   9.65
  1846          72      0.06121  0.05940  0.50   33294    1978   32305   301676   9.06
  1846          73      0.07063  0.06822  0.50   31316    2136   30248   269371   8.60
  1846          74      0.07828  0.07533  0.50   29180    2198   28081   239123   8.19
  1846          75      0.08229  0.07904  0.50   26982    2132   25915   211043   7.82
  1846          76      0.08954  0.08570  0.50   24849    2130   23784   185127   7.45
  1846          77      0.10398  0.09884  0.50   22720    2246   21597   161343   7.10
  1846          78      0.10509  0.09984  0.50   20474    2044   19452   139746   6.83
  1846          79      0.12803  0.12033  0.50   18430    2218   17321   120294   6.53
  1846          80      0.11583  0.10949  0.50   16212    1775   15325   102974   6.35
  1846          81      0.11218  0.10622  0.50   14437    1534   13670    87649   6.07
  1846          82      0.12192  0.11491  0.50   12904    1483   12162    73979   5.73
  1846          83      0.13237  0.12415  0.50   11421    1418   10712    61817   5.41
  1846          84      0.14357  0.13396  0.50   10003    1340    9333    51105   5.11
  1846          85      0.15556  0.14433  0.50    8663    1250    8038    41772   4.82
  1846          86      0.16834  0.15527  0.50    7413    1151    6837    33734   4.55
  1846          87      0.18196  0.16678  0.50    6262    1044    5739    26897   4.30
  1846          88      0.19641  0.17884  0.50    5217     933    4751    21158   4.06
  1846          89      0.21171  0.19144  0.50    4284     820    3874    16407   3.83
  1846          90      0.22787  0.20456  0.50    3464     709    3110    12533   3.62
  1846          91      0.24487  0.21816  0.50    2755     601    2455     9423   3.42
  1846          92      0.26272  0.23221  0.50    2154     500    1904     6968   3.23
  1846          93      0.28138  0.24667  0.50    1654     408    1450     5064   3.06
  1846          94      0.30082  0.26149  0.50    1246     326    1083     3614   2.90
  1846          95      0.32101  0.27661  0.50     920     255     793     2531   2.75
  1846          96      0.34189  0.29198  0.50     666     194     568     1738   2.61
  1846          97      0.36340  0.30752  0.50     471     145     399     1170   2.48
  1846          98      0.38547  0.32318  0.50     326     105     274      771   2.36
  1846          99      0.40802  0.33889  0.50     221      75     183      497   2.25
