New Zealand, Life tables (period 1x1), Females	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1948           0      0.02402  0.02354  0.14  100000    2354   97976  7083271  70.83
  1948           1      0.00390  0.00389  0.50   97646     380   97456  6985296  71.54
  1948           2      0.00183  0.00183  0.50   97266     178   97177  6887839  70.81
  1948           3      0.00097  0.00097  0.50   97088      94   97041  6790662  69.94
  1948           4      0.00146  0.00146  0.50   96994     142   96923  6693622  69.01
  1948           5      0.00148  0.00148  0.50   96852     143   96780  6596699  68.11
  1948           6      0.00064  0.00064  0.50   96709      61   96678  6499918  67.21
  1948           7      0.00070  0.00070  0.50   96647      67   96614  6403240  66.25
  1948           8      0.00062  0.00062  0.50   96580      59   96550  6306627  65.30
  1948           9      0.00060  0.00060  0.50   96521      58   96492  6210076  64.34
  1948          10      0.00077  0.00077  0.50   96463      75   96426  6113585  63.38
  1948          11      0.00044  0.00044  0.50   96388      43   96367  6017159  62.43
  1948          12      0.00084  0.00084  0.50   96346      81   96305  5920792  61.45
  1948          13      0.00149  0.00149  0.50   96265     144   96193  5824487  60.50
  1948          14      0.00071  0.00071  0.50   96121      68   96087  5728294  59.59
  1948          15      0.00094  0.00094  0.50   96053      90   96008  5632207  58.64
  1948          16      0.00159  0.00159  0.50   95963     153   95887  5536199  57.69
  1948          17      0.00133  0.00133  0.50   95810     128   95746  5440312  56.78
  1948          18      0.00184  0.00184  0.50   95683     176   95595  5344566  55.86
  1948          19      0.00140  0.00140  0.50   95507     134   95440  5248971  54.96
  1948          20      0.00169  0.00169  0.50   95373     161   95293  5153532  54.04
  1948          21      0.00181  0.00181  0.50   95212     172   95126  5058239  53.13
  1948          22      0.00179  0.00179  0.50   95040     170   94955  4963113  52.22
  1948          23      0.00142  0.00142  0.50   94870     135   94803  4868158  51.31
  1948          24      0.00198  0.00198  0.50   94735     188   94641  4773355  50.39
  1948          25      0.00224  0.00223  0.50   94548     211   94442  4678713  49.49
  1948          26      0.00214  0.00213  0.50   94336     201   94236  4584271  48.59
  1948          27      0.00131  0.00131  0.50   94135     123   94074  4490035  47.70
  1948          28      0.00208  0.00207  0.50   94012     195   93915  4395962  46.76
  1948          29      0.00179  0.00179  0.50   93817     168   93733  4302047  45.86
  1948          30      0.00156  0.00156  0.50   93649     146   93576  4208314  44.94
  1948          31      0.00167  0.00167  0.50   93503     156   93425  4114738  44.01
  1948          32      0.00222  0.00221  0.50   93347     207   93244  4021314  43.08
  1948          33      0.00151  0.00151  0.50   93140     140   93070  3928070  42.17
  1948          34      0.00197  0.00196  0.50   93000     183   92908  3835000  41.24
  1948          35      0.00244  0.00244  0.50   92817     226   92704  3742091  40.32
  1948          36      0.00226  0.00226  0.50   92591     209   92486  3649387  39.41
  1948          37      0.00199  0.00199  0.50   92382     183   92290  3556901  38.50
  1948          38      0.00224  0.00224  0.50   92198     207   92095  3464611  37.58
  1948          39      0.00308  0.00307  0.50   91992     283   91850  3372516  36.66
  1948          40      0.00267  0.00267  0.50   91709     245   91587  3280666  35.77
  1948          41      0.00273  0.00272  0.50   91464     249   91340  3189079  34.87
  1948          42      0.00270  0.00270  0.50   91216     246   91092  3097739  33.96
  1948          43      0.00352  0.00351  0.50   90969     320   90809  3006647  33.05
  1948          44      0.00332  0.00331  0.50   90650     300   90499  2915837  32.17
  1948          45      0.00362  0.00361  0.50   90349     326   90186  2825338  31.27
  1948          46      0.00354  0.00354  0.50   90023     318   89864  2735152  30.38
  1948          47      0.00434  0.00433  0.50   89705     388   89511  2645288  29.49
  1948          48      0.00519  0.00518  0.50   89317     463   89085  2555777  28.61
  1948          49      0.00376  0.00375  0.50   88854     334   88687  2466692  27.76
  1948          50      0.00682  0.00679  0.50   88520     601   88220  2378005  26.86
  1948          51      0.00429  0.00428  0.50   87919     376   87731  2289785  26.04
  1948          52      0.00723  0.00721  0.50   87543     631   87227  2202054  25.15
  1948          53      0.00641  0.00639  0.50   86912     556   86634  2114826  24.33
  1948          54      0.00818  0.00814  0.50   86356     703   86005  2028192  23.49
  1948          55      0.00691  0.00689  0.50   85653     590   85358  1942187  22.67
  1948          56      0.01125  0.01119  0.50   85064     952   84588  1856829  21.83
  1948          57      0.01082  0.01076  0.50   84112     905   83659  1772241  21.07
  1948          58      0.01131  0.01125  0.50   83207     936   82739  1688582  20.29
  1948          59      0.01238  0.01231  0.50   82271    1013   81764  1605843  19.52
  1948          60      0.01380  0.01370  0.50   81258    1114   80701  1524079  18.76
  1948          61      0.01154  0.01147  0.50   80144     920   79685  1443378  18.01
  1948          62      0.01533  0.01521  0.50   79225    1205   78622  1363693  17.21
  1948          63      0.01771  0.01756  0.50   78020    1370   77335  1285071  16.47
  1948          64      0.02064  0.02043  0.50   76650    1566   75867  1207736  15.76
  1948          65      0.02366  0.02339  0.50   75084    1756   74206  1131869  15.07
  1948          66      0.02315  0.02289  0.50   73328    1678   72489  1057664  14.42
  1948          67      0.02469  0.02439  0.50   71650    1748   70776   985175  13.75
  1948          68      0.02544  0.02512  0.50   69902    1756   69024   914399  13.08
  1948          69      0.03165  0.03115  0.50   68146    2123   67084   845375  12.41
  1948          70      0.03432  0.03374  0.50   66023    2228   64909   778291  11.79
  1948          71      0.03307  0.03253  0.50   63795    2075   62758   713382  11.18
  1948          72      0.04136  0.04052  0.50   61720    2501   60469   650624  10.54
  1948          73      0.04707  0.04599  0.50   59219    2724   57857   590155   9.97
  1948          74      0.05233  0.05100  0.50   56495    2881   55055   532297   9.42
  1948          75      0.05298  0.05161  0.50   53614    2767   52231   477243   8.90
  1948          76      0.07005  0.06768  0.50   50847    3441   49126   425012   8.36
  1948          77      0.07914  0.07613  0.50   47406    3609   45601   375886   7.93
  1948          78      0.08695  0.08333  0.50   43797    3650   41972   330285   7.54
  1948          79      0.08129  0.07812  0.50   40147    3136   38579   288313   7.18
  1948          80      0.09651  0.09207  0.50   37011    3407   35307   249734   6.75
  1948          81      0.10418  0.09903  0.50   33604    3328   31940   214426   6.38
  1948          82      0.12567  0.11824  0.50   30276    3580   28486   182486   6.03
  1948          83      0.11419  0.10802  0.50   26696    2884   25254   154000   5.77
  1948          84      0.14010  0.13093  0.50   23812    3118   22254   128746   5.41
  1948          85      0.14768  0.13753  0.50   20695    2846   19272   106493   5.15
  1948          86      0.15993  0.14809  0.50   17848    2643   16527    87221   4.89
  1948          87      0.16715  0.15425  0.50   15205    2345   14033    70694   4.65
  1948          88      0.17949  0.16471  0.50   12860    2118   11801    56661   4.41
  1948          89      0.19254  0.17563  0.50   10742    1887    9798    44861   4.18
  1948          90      0.20629  0.18700  0.50    8855    1656    8027    35062   3.96
