Portugal, Life tables (period 1x1), Males	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1940           0      0.15228  0.13760  0.30  100000   13760   90357  4907719  49.08
  1940           1      0.05115  0.04987  0.50   86240    4301   84090  4817363  55.86
  1940           2      0.01991  0.01971  0.50   81939    1615   81132  4733273  57.77
  1940           3      0.00999  0.00994  0.50   80324     798   79925  4652141  57.92
  1940           4      0.00683  0.00681  0.50   79526     541   79255  4572216  57.49
  1940           5      0.00469  0.00468  0.50   78985     370   78800  4492961  56.88
  1940           6      0.00383  0.00383  0.50   78615     301   78465  4414161  56.15
  1940           7      0.00340  0.00339  0.50   78314     266   78181  4335697  55.36
  1940           8      0.00294  0.00293  0.50   78048     229   77934  4257515  54.55
  1940           9      0.00216  0.00216  0.50   77819     168   77735  4179582  53.71
  1940          10      0.00253  0.00252  0.50   77651     196   77553  4101846  52.82
  1940          11      0.00221  0.00220  0.50   77455     171   77370  4024293  51.96
  1940          12      0.00180  0.00180  0.50   77284     139   77215  3946924  51.07
  1940          13      0.00261  0.00260  0.50   77145     201   77045  3869709  50.16
  1940          14      0.00215  0.00215  0.50   76944     165   76862  3792664  49.29
  1940          15      0.00237  0.00237  0.50   76779     182   76688  3715802  48.40
  1940          16      0.00269  0.00268  0.50   76597     205   76494  3639114  47.51
  1940          17      0.00334  0.00333  0.50   76392     255   76264  3562620  46.64
  1940          18      0.00429  0.00428  0.50   76137     326   75974  3486356  45.79
  1940          19      0.00477  0.00476  0.50   75811     361   75631  3410382  44.99
  1940          20      0.00469  0.00467  0.50   75450     353   75274  3334751  44.20
  1940          21      0.00429  0.00428  0.50   75098     321   74937  3259477  43.40
  1940          22      0.00459  0.00458  0.50   74776     342   74605  3184540  42.59
  1940          23      0.00544  0.00543  0.50   74434     404   74232  3109935  41.78
  1940          24      0.00489  0.00488  0.50   74030     361   73850  3035703  41.01
  1940          25      0.00464  0.00463  0.50   73669     341   73498  2961853  40.20
  1940          26      0.00510  0.00509  0.50   73328     373   73141  2888355  39.39
  1940          27      0.00570  0.00568  0.50   72955     415   72747  2815214  38.59
  1940          28      0.00580  0.00578  0.50   72540     420   72330  2742467  37.81
  1940          29      0.00508  0.00506  0.50   72120     365   71938  2670136  37.02
  1940          30      0.00638  0.00636  0.50   71755     457   71527  2598199  36.21
  1940          31      0.00573  0.00571  0.50   71299     407   71095  2526672  35.44
  1940          32      0.00689  0.00686  0.50   70891     487   70648  2455577  34.64
  1940          33      0.00711  0.00708  0.50   70405     498   70155  2384929  33.87
  1940          34      0.00622  0.00620  0.50   69906     434   69689  2314773  33.11
  1940          35      0.00694  0.00692  0.50   69473     481   69232  2245084  32.32
  1940          36      0.00716  0.00713  0.50   68992     492   68746  2175852  31.54
  1940          37      0.00700  0.00697  0.50   68500     478   68261  2107106  30.76
  1940          38      0.00783  0.00780  0.50   68022     530   67757  2038845  29.97
  1940          39      0.00666  0.00664  0.50   67492     448   67268  1971088  29.20
  1940          40      0.00851  0.00847  0.50   67044     568   66760  1903820  28.40
  1940          41      0.00809  0.00806  0.50   66476     536   66208  1837060  27.64
  1940          42      0.01082  0.01076  0.50   65940     710   65585  1770852  26.86
  1940          43      0.00911  0.00907  0.50   65230     591   64934  1705267  26.14
  1940          44      0.00907  0.00903  0.50   64639     583   64347  1640333  25.38
  1940          45      0.01092  0.01086  0.50   64055     696   63707  1575986  24.60
