Russia, Life tables (period 1x1), Females	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1959           0      0.03739  0.03630  0.19  100000    3630   97066  7115551  71.16
  1959           1      0.00639  0.00637  0.50   96370     614   96064  7018484  72.83
  1959           2      0.00253  0.00253  0.50   95757     242   95636  6922421  72.29
  1959           3      0.00157  0.00157  0.50   95514     150   95439  6826785  71.47
  1959           4      0.00122  0.00122  0.50   95364     116   95306  6731346  70.59
  1959           5      0.00104  0.00104  0.50   95248      99   95198  6636040  69.67
  1959           6      0.00096  0.00096  0.50   95148      91   95103  6540841  68.74
  1959           7      0.00081  0.00081  0.50   95057      77   95019  6445739  67.81
  1959           8      0.00077  0.00077  0.50   94980      73   94943  6350720  66.86
  1959           9      0.00062  0.00062  0.50   94907      59   94877  6255777  65.91
  1959          10      0.00070  0.00070  0.50   94848      66   94815  6160899  64.96
  1959          11      0.00052  0.00052  0.50   94782      49   94757  6066084  64.00
  1959          12      0.00067  0.00067  0.50   94733      64   94701  5971327  63.03
  1959          13      0.00068  0.00068  0.50   94669      65   94636  5876626  62.08
  1959          14      0.00073  0.00073  0.50   94604      69   94570  5781990  61.12
  1959          15      0.00084  0.00084  0.50   94535      79   94495  5687420  60.16
  1959          16      0.00071  0.00070  0.50   94456      67   94422  5592925  59.21
  1959          17      0.00089  0.00089  0.50   94389      84   94347  5498502  58.25
  1959          18      0.00110  0.00110  0.50   94305     104   94253  5404155  57.31
  1959          19      0.00106  0.00106  0.50   94202     100   94152  5309902  56.37
  1959          20      0.00128  0.00128  0.50   94102     120   94041  5215750  55.43
  1959          21      0.00105  0.00105  0.50   93981      99   93932  5121709  54.50
  1959          22      0.00129  0.00128  0.50   93882     121   93822  5027777  53.55
  1959          23      0.00129  0.00129  0.50   93762     121   93701  4933955  52.62
  1959          24      0.00130  0.00130  0.50   93641     122   93580  4840253  51.69
  1959          25      0.00135  0.00134  0.50   93519     126   93456  4746673  50.76
  1959          26      0.00132  0.00132  0.50   93393     123   93331  4653217  49.82
  1959          27      0.00140  0.00140  0.50   93270     131   93205  4559886  48.89
  1959          28      0.00147  0.00147  0.50   93139     137   93071  4466681  47.96
  1959          29      0.00136  0.00136  0.50   93002     126   92939  4373611  47.03
